time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.074,7.63,-18.74,-4.03,0.26,-0.95,0.08,Aufheben
0.022,0.089,7.87,-18.74,-4.64,0.27,-0.96,0.08,Aufheben
0.034,0.096,8.06,-16.91,-4.21,0.27,-0.96,0.08,Aufheben
0.046,0.12,6.47,-16.48,-5.25,0.27,-0.95,0.09,Aufheben
0.058,0.146,6.71,-16.72,-4.82,0.28,-0.96,0.10,Aufheben
0.07,0.162,6.47,-15.50,-5.68,0.27,-0.96,0.10,Aufheben
0.082,0.162,8.18,-17.09,-5.74,0.27,-0.96,0.08,Aufheben
0.094,0.162,7.57,-16.54,-5.49,0.27,-0.94,0.09,Aufheben
0.106,0.17,8.00,-17.09,-4.82,0.25,-0.96,0.07,Aufheben
0.118,0.18,7.57,-17.15,-5.13,0.24,-0.95,0.09,Aufheben
0.13,0.192,8.12,-20.69,-6.16,0.25,-0.96,0.07,Aufheben
0.142,0.205,8.24,-21.61,-5.37,0.24,-0.97,0.09,Aufheben
0.154,0.23,8.42,-23.25,-5.49,0.24,-0.96,0.07,Aufheben
0.166,0.23,6.47,-20.26,-4.09,0.25,-0.95,0.07,Aufheben
0.178,0.244,6.90,-25.33,-3.48,0.24,-0.94,0.08,Aufheben
0.19,0.267,6.71,-25.09,-3.42,0.25,-0.95,0.07,Aufheben
0.202,0.267,6.23,-25.33,-2.38,0.24,-0.97,0.07,Aufheben
0.214,0.276,6.65,-26.18,-1.83,0.22,-0.99,0.09,Aufheben
0.226,0.293,6.96,-25.94,-2.44,0.19,-1.00,0.09,Aufheben
0.238,0.301,7.45,-30.82,-3.30,0.18,-1.01,0.08,Aufheben
0.25,0.326,7.08,-37.66,-3.11,0.16,-1.00,0.10,Aufheben
0.262,0.333,6.77,-44.19,-5.07,0.16,-1.03,0.08,Aufheben
0.274,0.356,8.00,-50.90,-8.97,0.17,-1.08,0.11,Aufheben
0.286,0.364,11.54,-54.32,-14.28,0.15,-1.14,0.13,Aufheben
0.298,0.364,14.83,-56.70,-21.73,0.18,-1.15,0.15,Aufheben
0.31,0.376,20.57,-59.08,-27.89,0.21,-1.20,0.19,Aufheben
0.322,0.388,29.85,-59.57,-33.45,0.23,-1.25,0.20,Aufheben
0.334,0.396,39.92,-60.30,-36.38,0.28,-1.29,0.22,Aufheben
0.346,0.412,52.61,-56.27,-41.08,0.32,-1.27,0.15,Aufheben
0.358,0.429,65.80,-57.74,-45.96,0.39,-1.27,0.15,Aufheben
0.37,0.436,79.22,-58.04,-49.93,0.43,-1.25,0.16,Aufheben
0.382,0.451,89.11,-46.14,-57.80,0.49,-1.32,0.22,Aufheben
0.394,0.46,99.30,-25.33,-68.30,0.46,-1.22,0.24,Aufheben
0.406,0.475,104.55,-18.86,-80.20,0.42,-1.23,0.22,Aufheben
0.418,0.483,114.93,-26.12,-93.20,0.42,-1.17,0.23,Aufheben
0.43,0.492,120.61,-41.99,-107.30,0.45,-1.10,0.27,Aufheben
0.442,0.505,125.92,-56.88,-118.41,0.47,-1.06,0.26,Aufheben
0.454,0.517,125.37,-70.13,-124.51,0.52,-0.95,0.35,Aufheben
0.466,0.551,121.09,-77.70,-126.46,0.61,-0.90,0.36,Aufheben
0.478,0.551,113.46,-74.65,-124.21,0.64,-0.76,0.39,Aufheben
0.49,0.568,106.57,-65.31,-119.38,0.62,-0.70,0.37,Aufheben
0.502,0.568,100.22,-48.28,-114.44,0.66,-0.65,0.37,Aufheben
0.514,0.578,98.14,-31.25,-108.28,0.67,-0.60,0.36,Aufheben
0.526,0.595,92.96,-10.19,-103.21,0.65,-0.55,0.36,Aufheben
0.538,0.603,93.44,6.16,-99.06,0.63,-0.52,0.40,Aufheben
0.55,0.611,92.10,16.72,-90.39,0.62,-0.47,0.38,Aufheben
0.562,0.657,89.54,19.78,-83.19,0.59,-0.46,0.39,Aufheben
0.574,0.657,87.28,20.63,-74.95,0.56,-0.43,0.42,Aufheben
0.586,0.657,83.13,21.36,-68.91,0.54,-0.40,0.43,Aufheben
0.598,0.663,80.32,19.17,-61.58,0.56,-0.40,0.43,Aufheben
0.61,0.671,74.89,21.61,-53.47,0.59,-0.44,0.39,Aufheben
0.622,0.689,71.17,26.55,-47.36,0.61,-0.47,0.41,Aufheben
0.634,0.696,68.54,35.46,-42.36,0.59,-0.46,0.40,Aufheben
0.646,0.709,66.22,42.18,-38.76,0.55,-0.47,0.42,Aufheben
0.659,0.743,63.96,42.18,-34.36,0.52,-0.47,0.44,Aufheben
0.671,0.743,59.63,39.37,-29.91,0.49,-0.47,0.46,Aufheben
0.683,0.756,56.64,32.41,-24.66,0.50,-0.46,0.43,Aufheben
0.695,0.769,52.98,24.05,-20.45,0.51,-0.47,0.43,Aufheben
0.707,0.777,51.51,16.11,-17.15,0.53,-0.51,0.39,Aufheben
0.719,0.786,49.38,10.99,-13.79,0.53,-0.50,0.38,Aufheben
0.731,0.794,48.95,6.16,-12.70,0.55,-0.54,0.39,Aufheben
0.743,0.807,52.67,3.36,-11.29,0.60,-0.55,0.39,Aufheben
0.755,0.817,54.57,1.53,-10.50,0.60,-0.55,0.37,Aufheben
0.767,0.837,52.73,-3.85,-8.36,0.60,-0.53,0.33,Aufheben
0.779,0.846,53.47,-11.35,-7.45,0.58,-0.50,0.36,Aufheben
0.791,0.858,50.72,-14.59,-5.68,0.59,-0.50,0.38,Aufheben
0.803,0.869,43.95,-16.72,-4.39,0.58,-0.50,0.41,Aufheben
0.815,0.877,37.90,-17.15,-1.10,0.53,-0.50,0.46,Aufheben
0.827,0.892,32.04,-12.15,3.85,0.50,-0.57,0.46,Aufheben
0.839,0.903,27.34,-9.34,6.53,0.53,-0.56,0.45,Aufheben
0.851,0.918,26.55,-6.84,9.64,0.55,-0.64,0.41,Aufheben
0.863,0.927,33.69,-5.98,12.39,0.58,-0.67,0.48,Aufheben
0.875,0.939,39.98,2.20,17.82,0.62,-0.69,0.51,Aufheben
0.887,0.948,48.95,12.27,19.35,0.62,-0.70,0.59,Aufheben
0.899,0.971,57.37,22.16,24.35,0.55,-0.66,0.63,Aufheben
0.911,0.979,62.56,26.25,31.49,0.47,-0.65,0.61,Aufheben
0.923,0.988,63.60,25.33,35.71,0.45,-0.63,0.61,Aufheben
0.935,0.996,63.42,13.92,41.56,0.43,-0.63,0.56,Aufheben
0.947,1.018,61.65,10.19,44.13,0.52,-0.61,0.58,Aufheben
0.959,1.04,53.71,16.78,46.45,0.53,-0.57,0.68,Aufheben
0.971,1.04,39.18,26.12,51.27,0.50,-0.59,0.75,Aufheben
0.983,1.052,21.79,30.76,55.30,0.39,-0.56,0.77,Aufheben
0.995,1.072,0.37,24.54,59.45,0.30,-0.57,0.76,Aufheben
1.007,1.086,-14.40,10.38,58.53,0.30,-0.58,0.68,Aufheben
1.04,1.102,-29.85,-0.12,51.33,0.46,-0.68,0.66,Aufheben
1.052,1.114,-37.84,8.91,51.76,0.50,-0.73,0.67,Aufheben
1.064,1.14,-43.09,15.01,53.22,0.49,-0.74,0.66,Aufheben
1.076,1.147,-47.73,18.62,51.15,0.42,-0.76,0.63,Aufheben
1.088,1.17,-47.00,15.44,43.95,0.37,-0.78,0.65,Aufheben
1.1,1.186,-47.18,13.67,35.34,0.34,-0.76,0.62,Aufheben
1.112,1.186,-47.42,4.15,25.88,0.32,-0.77,0.61,Aufheben
1.124,1.198,-47.42,-7.81,19.47,0.33,-0.77,0.59,Aufheben
1.136,1.205,-45.29,-14.53,14.53,0.36,-0.80,0.59,Aufheben
1.148,1.211,-39.43,-7.26,13.24,0.42,-0.82,0.58,Aufheben
1.16,1.222,-32.71,10.86,19.35,0.43,-0.80,0.58,Aufheben
1.172,1.246,-25.63,23.74,22.22,0.32,-0.76,0.56,Aufheben
1.184,1.253,-15.69,26.49,17.88,0.24,-0.76,0.57,Aufheben
1.196,1.264,-11.96,18.13,20.26,0.22,-0.81,0.57,Aufheben
1.208,1.278,-4.76,7.39,20.87,0.26,-0.79,0.57,Aufheben
1.22,1.288,-0.85,-3.30,18.68,0.24,-0.78,0.58,Aufheben
1.232,1.301,-0.31,-10.93,16.72,0.24,-0.78,0.62,Aufheben
1.244,1.307,-4.03,-17.27,16.24,0.30,-0.76,0.60,Aufheben
1.256,1.318,-10.25,-14.16,16.05,0.33,-0.76,0.56,Aufheben
1.268,1.349,-14.40,-2.26,17.09,0.36,-0.79,0.57,Aufheben
1.28,1.356,-10.13,5.49,18.31,0.29,-0.81,0.57,Aufheben
1.292,1.356,-0.61,7.87,16.66,0.30,-0.84,0.62,Aufheben
1.304,1.367,9.77,12.63,18.49,0.33,-0.83,0.61,Aufheben
1.316,1.388,13.24,15.81,18.43,0.27,-0.77,0.61,Aufheben
1.328,1.396,13.00,10.38,17.70,0.25,-0.73,0.59,Aufheben
1.34,1.403,8.97,3.91,20.51,0.24,-0.72,0.57,Aufheben
1.352,1.414,2.20,-9.52,22.77,0.20,-0.70,0.57,Aufheben
1.364,1.428,-13.37,-17.58,21.67,0.21,-0.74,0.55,Aufheben
1.376,1.438,-19.71,-12.27,18.07,0.38,-0.91,0.52,Aufheben
1.388,1.453,-11.96,10.93,17.09,0.39,-0.92,0.52,Aufheben
1.4,1.463,3.23,28.63,5.98,0.31,-0.89,0.58,Aufheben
1.412,1.484,7.32,29.24,-6.35,0.28,-0.77,0.66,Aufheben
1.424,1.491,3.11,35.22,-8.79,0.40,-0.84,0.64,Aufheben
1.436,1.5,8.48,44.13,-3.72,0.07,-0.85,0.52,Aufheben
1.448,1.513,26.61,11.05,-10.50,-0.13,-1.05,0.56,Aufheben
1.46,1.522,54.57,-41.44,-21.36,0.09,-0.86,0.61,Aufheben
1.472,1.538,39.73,-77.15,-33.33,0.38,-0.62,0.75,Aufheben
1.484,1.555,10.38,-83.68,-16.54,0.49,-0.73,0.83,Aufheben
1.496,1.565,-5.92,-102.84,-15.50,0.39,-0.80,0.79,Aufheben
1.508,1.584,-17.33,-136.78,-16.48,0.64,-0.90,0.79,Aufheben
1.52,1.597,-1.65,-127.26,-16.54,0.83,-0.86,0.76,Aufheben
1.532,1.597,5.43,-78.00,-15.93,0.58,-0.81,0.77,Aufheben
1.544,1.606,1.22,-38.02,-25.33,0.28,-0.77,0.74,Aufheben
1.556,1.622,0.55,-51.03,-16.85,0.30,-0.74,0.67,Aufheben
1.569,1.637,-11.96,-91.00,-13.43,0.31,-0.69,0.68,Aufheben
1.581,1.656,-23.38,-106.99,8.00,0.44,-0.69,0.62,Aufheben
1.593,1.668,-14.71,-92.53,15.50,0.16,-0.70,0.62,Aufheben
1.605,1.68,-18.80,-109.13,5.92,0.14,-0.77,0.66,Aufheben
1.617,1.688,-14.89,-132.57,-5.19,0.39,-0.73,0.63,Aufheben
1.629,1.696,-15.99,-135.25,-15.08,0.42,-0.86,0.55,Aufheben
1.641,1.706,-16.36,-135.62,-20.45,0.69,-0.98,0.41,Aufheben
1.653,1.721,-2.26,-87.59,-18.01,0.67,-0.91,0.38,Aufheben
1.665,1.734,10.56,-41.38,-16.17,0.46,-0.82,0.43,Aufheben
1.677,1.741,18.49,-26.31,-20.26,0.37,-0.85,0.48,Aufheben
1.689,1.763,18.92,-44.56,-24.78,0.13,-0.78,0.53,Aufheben
1.701,1.768,15.26,-93.20,-30.94,0.11,-0.78,0.60,Aufheben
1.713,1.781,9.58,-119.02,-31.80,0.42,-0.78,0.53,Aufheben
1.725,1.79,5.92,-105.71,-33.33,0.58,-0.87,0.46,Aufheben
1.737,1.798,12.27,-75.56,-32.17,0.45,-0.86,0.42,Aufheben
1.749,1.818,13.31,-59.27,-30.40,0.52,-1.03,0.45,Aufheben
1.761,1.825,25.02,-24.96,-37.41,0.61,-0.94,0.47,Aufheben
1.773,1.836,20.32,-17.03,-37.05,0.53,-1.08,0.46,Aufheben
1.785,1.862,30.94,-29.24,-44.49,0.58,-1.15,0.46,Aufheben
1.797,1.886,36.68,-42.30,-51.45,0.65,-1.07,0.54,Aufheben
1.809,1.886,32.59,-58.78,-49.99,0.68,-1.06,0.62,Aufheben
1.821,1.926,31.43,-52.67,-49.13,0.65,-0.96,0.64,Aufheben
1.833,1.926,23.86,-41.69,-47.73,0.47,-0.83,0.65,Aufheben
1.845,1.934,12.82,-39.67,-48.34,0.39,-0.83,0.61,Aufheben
1.857,1.934,2.20,-45.17,-53.83,0.41,-0.87,0.55,Aufheben
1.869,1.934,-2.20,-44.19,-60.73,0.51,-0.88,0.51,Aufheben
1.881,1.944,-1.95,-36.80,-68.24,0.54,-0.92,0.44,Aufheben
1.893,1.988,3.97,-28.75,-74.58,0.64,-0.85,0.45,Aufheben
1.905,1.988,6.53,-19.84,-75.50,0.69,-0.80,0.50,Aufheben
1.917,2.061,8.54,-13.43,-74.16,0.78,-0.84,0.52,Aufheben
1.929,2.061,13.00,-11.29,-73.12,0.82,-0.83,0.59,Aufheben
