time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.076,4.88,3.72,2.08,-0.23,-0.94,0.34,Aufheben
0.022,0.094,4.82,4.03,2.38,-0.23,-0.93,0.34,Aufheben
0.034,0.101,4.58,3.91,1.89,-0.22,-0.93,0.34,Aufheben
0.046,0.12,4.94,4.03,2.08,-0.21,-0.93,0.34,Aufheben
0.058,0.13,5.49,5.07,2.50,-0.20,-0.94,0.34,Aufheben
0.07,0.16,5.19,5.49,1.95,-0.22,-0.92,0.33,Aufheben
0.082,0.16,5.62,4.76,2.08,-0.24,-0.94,0.33,Aufheben
0.094,0.17,5.25,5.13,2.44,-0.23,-0.93,0.33,Aufheben
0.107,0.176,5.07,5.07,1.71,-0.23,-0.93,0.35,Aufheben
0.119,0.184,4.15,4.15,1.16,-0.22,-0.94,0.33,Aufheben
0.131,0.198,4.15,4.09,1.16,-0.21,-0.94,0.33,Aufheben
0.143,0.209,4.64,4.52,1.34,-0.23,-0.94,0.32,Aufheben
0.155,0.571,4.52,3.97,1.34,-0.23,-0.94,0.33,Aufheben
0.167,0.571,5.07,4.70,1.83,-0.22,-0.95,0.35,Aufheben
0.179,0.571,5.00,5.13,2.01,-0.22,-0.95,0.33,Aufheben
0.191,0.571,5.07,5.13,1.53,-0.21,-0.95,0.33,Aufheben
0.203,0.571,5.37,5.92,1.77,-0.22,-0.95,0.32,Aufheben
0.215,0.572,4.76,6.47,1.59,-0.22,-0.94,0.33,Aufheben
0.227,0.572,4.64,6.23,0.73,-0.19,-0.96,0.33,Aufheben
0.239,0.572,4.82,6.84,0.43,-0.20,-1.00,0.32,Aufheben
0.251,0.572,5.25,7.14,0.18,-0.18,-1.02,0.35,Aufheben
0.263,0.572,6.10,7.69,0.49,-0.18,-1.04,0.34,Aufheben
0.275,0.572,8.67,10.50,0.92,-0.15,-1.04,0.35,Aufheben
0.287,0.572,12.21,13.85,1.83,-0.14,-1.03,0.35,Aufheben
0.299,0.572,17.76,17.03,3.17,-0.13,-1.07,0.34,Aufheben
0.311,0.572,24.60,18.68,3.91,-0.19,-1.15,0.44,Aufheben
0.323,0.572,32.17,18.01,-1.65,-0.16,-1.20,0.49,Aufheben
0.335,0.572,40.04,17.21,-8.48,-0.10,-1.21,0.49,Aufheben
0.347,0.572,44.68,15.01,-13.67,-0.12,-1.22,0.50,Aufheben
0.359,0.572,54.08,21.85,-19.04,-0.10,-1.20,0.46,Aufheben
0.371,0.572,65.19,28.38,-15.87,-0.09,-1.20,0.52,Aufheben
0.383,0.572,76.60,40.95,-14.47,-0.15,-1.23,0.58,Aufheben
0.395,0.572,87.89,55.05,-9.89,-0.19,-1.23,0.65,Aufheben
0.407,0.572,95.95,68.24,-4.82,-0.14,-1.18,0.64,Aufheben
0.419,0.572,101.07,79.22,1.04,-0.16,-1.14,0.59,Aufheben
0.431,0.572,105.29,79.71,9.52,-0.24,-1.09,0.56,Aufheben
0.443,0.572,107.30,71.59,19.10,-0.32,-1.05,0.56,Aufheben
0.455,0.572,110.90,61.22,24.23,-0.40,-1.02,0.59,Aufheben
0.467,0.572,110.90,49.56,25.76,-0.40,-0.93,0.60,Aufheben
0.479,0.572,109.92,40.95,25.57,-0.42,-0.86,0.61,Aufheben
0.491,0.572,108.40,28.56,26.06,-0.42,-0.77,0.62,Aufheben
0.503,0.58,105.71,19.78,25.70,-0.40,-0.70,0.62,Aufheben
0.515,0.58,102.54,10.68,24.11,-0.42,-0.64,0.63,Aufheben
0.527,0.593,97.90,-0.49,21.36,-0.41,-0.60,0.62,Aufheben
0.54,0.608,93.26,-9.95,20.69,-0.39,-0.57,0.66,Aufheben
0.552,0.641,90.15,-18.49,19.90,-0.37,-0.57,0.68,Aufheben
0.564,0.654,88.38,-20.81,20.08,-0.32,-0.56,0.69,Aufheben
0.576,0.654,88.38,-14.59,19.17,-0.31,-0.54,0.69,Aufheben
0.588,0.664,87.34,-16.48,16.30,-0.33,-0.49,0.65,Aufheben
0.6,0.67,85.08,-19.23,13.31,-0.29,-0.50,0.68,Aufheben
0.612,0.679,83.31,-17.94,9.16,-0.30,-0.49,0.67,Aufheben
0.624,0.692,81.48,-18.55,9.28,-0.29,-0.53,0.67,Aufheben
0.636,0.702,79.90,-22.40,8.42,-0.29,-0.55,0.73,Aufheben
0.648,0.716,75.32,-26.86,7.02,-0.32,-0.54,0.70,Aufheben
0.66,0.75,71.59,-29.24,5.49,-0.28,-0.51,0.68,Aufheben
0.672,0.764,68.30,-28.69,5.00,-0.25,-0.51,0.67,Aufheben
0.684,0.764,64.76,-24.60,5.74,-0.24,-0.51,0.65,Aufheben
0.696,0.771,60.61,-21.36,7.39,-0.23,-0.46,0.63,Aufheben
0.708,0.78,55.66,-18.92,8.67,-0.22,-0.49,0.65,Aufheben
0.72,0.788,52.31,-12.94,7.93,-0.23,-0.49,0.65,Aufheben
0.732,0.798,47.55,-8.91,6.90,-0.25,-0.51,0.67,Aufheben
0.744,0.811,41.69,-7.57,4.46,-0.29,-0.51,0.69,Aufheben
0.756,0.824,34.48,-10.31,0.49,-0.32,-0.54,0.69,Aufheben
0.768,0.838,29.54,-15.14,-0.55,-0.32,-0.56,0.68,Aufheben
0.78,0.846,24.23,-19.96,-0.98,-0.30,-0.56,0.67,Aufheben
0.793,0.869,21.42,-23.68,-0.61,-0.27,-0.56,0.66,Aufheben
0.805,0.877,18.49,-22.77,0.49,-0.23,-0.56,0.62,Aufheben
0.817,0.886,15.75,-18.80,1.95,-0.24,-0.55,0.63,Aufheben
0.829,0.893,14.71,-11.72,3.05,-0.21,-0.56,0.61,Aufheben
0.841,0.908,12.39,-5.00,3.60,-0.19,-0.52,0.59,Aufheben
0.853,0.92,9.03,-0.67,2.20,-0.23,-0.54,0.62,Aufheben
0.865,0.946,4.03,-1.53,0.24,-0.24,-0.55,0.63,Aufheben
0.877,0.946,-2.93,-2.87,-1.65,-0.23,-0.61,0.67,Aufheben
0.889,0.956,-10.01,-4.21,-5.07,-0.22,-0.63,0.67,Aufheben
0.901,0.977,-14.71,-1.77,-8.00,-0.21,-0.63,0.68,Aufheben
0.913,0.986,-16.97,3.72,-12.51,-0.20,-0.64,0.67,Aufheben
0.925,0.993,-17.03,6.77,-15.26,-0.22,-0.65,0.65,Aufheben
0.937,1.004,-15.93,4.27,-18.37,-0.18,-0.64,0.63,Aufheben
0.949,1.018,-15.56,2.87,-20.69,-0.17,-0.68,0.65,Aufheben
0.961,1.04,-16.36,4.33,-22.89,-0.15,-0.69,0.68,Aufheben
0.973,1.052,-18.80,6.16,-24.35,-0.17,-0.70,0.68,Aufheben
0.985,1.071,-22.95,6.59,-27.47,-0.19,-0.71,0.68,Aufheben
0.997,1.096,-23.93,3.85,-29.42,-0.19,-0.71,0.70,Aufheben
1.009,1.096,-27.16,-2.01,-30.64,-0.19,-0.74,0.68,Aufheben
1.042,1.107,-24.96,-7.26,-30.52,-0.16,-0.83,0.69,Aufheben
1.054,1.121,-25.82,-6.84,-27.04,-0.14,-0.84,0.72,Aufheben
1.066,1.137,-27.34,-5.07,-25.33,-0.14,-0.83,0.73,Aufheben
1.078,1.145,-30.15,-5.86,-18.31,-0.18,-0.83,0.72,Aufheben
1.09,1.17,-30.21,-6.29,-11.41,-0.18,-0.84,0.69,Aufheben
1.102,1.186,-33.57,-9.03,-10.80,-0.21,-0.85,0.67,Aufheben
1.114,1.198,-30.76,-11.96,-9.16,-0.20,-0.81,0.64,Aufheben
1.126,1.198,-27.28,-19.04,-9.70,-0.18,-0.85,0.66,Aufheben
1.138,1.205,-24.96,-24.48,-10.80,-0.11,-0.85,0.68,Aufheben
1.15,1.217,-22.77,-25.51,-10.80,-0.07,-0.82,0.70,Aufheben
1.162,1.232,-22.95,-23.56,-8.54,-0.08,-0.85,0.72,Aufheben
1.174,1.249,-24.23,-16.78,-3.72,-0.05,-0.87,0.71,Aufheben
1.186,1.257,-22.46,-4.82,1.10,-0.07,-0.83,0.69,Aufheben
