time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.001,0.11,4.94,0.24,2.56,-0.15,-0.92,0.43,Aufheben
0.013,0.12,5.86,-4.88,-0.06,-0.15,-0.92,0.44,Aufheben
0.025,0.129,5.92,-6.29,-0.55,-0.13,-0.93,0.44,Aufheben
0.037,0.142,5.37,-4.39,-0.31,-0.12,-0.93,0.43,Aufheben
0.049,0.156,5.62,1.40,1.28,-0.07,-0.92,0.44,Aufheben
0.061,0.165,5.92,8.12,1.16,-0.10,-0.93,0.42,Aufheben
0.073,0.181,5.62,11.60,1.46,-0.11,-0.94,0.42,Aufheben
0.085,0.208,5.49,11.60,2.08,-0.16,-0.92,0.42,Aufheben
0.097,0.208,5.74,8.97,2.14,-0.16,-0.92,0.42,Aufheben
0.109,0.221,4.88,3.72,1.83,-0.15,-0.92,0.42,Aufheben
0.121,0.227,4.94,1.71,1.77,-0.14,-0.93,0.42,Aufheben
0.133,0.237,4.88,-0.55,0.79,-0.11,-0.93,0.43,Aufheben
0.145,0.251,4.39,-0.67,0.85,-0.11,-0.93,0.44,Aufheben
0.158,0.283,5.07,1.95,0.73,-0.12,-0.92,0.44,Aufheben
0.17,0.283,6.23,4.39,1.22,-0.12,-0.94,0.43,Aufheben
0.182,0.303,5.31,6.16,1.16,-0.10,-0.92,0.43,Aufheben
0.194,0.309,6.23,5.92,1.22,-0.14,-0.92,0.41,Aufheben
0.206,0.318,5.80,3.42,0.73,-0.13,-0.93,0.42,Aufheben
0.218,0.344,6.35,1.71,1.59,-0.12,-0.91,0.41,Aufheben
0.23,0.344,6.53,0.61,-0.12,-0.14,-0.92,0.41,Aufheben
0.242,0.356,7.39,-1.22,-0.61,-0.14,-0.94,0.43,Aufheben
0.254,0.362,6.47,-2.44,-1.22,-0.11,-0.96,0.43,Aufheben
0.266,0.373,6.59,0.98,-1.40,-0.08,-0.94,0.45,Aufheben
0.278,0.412,7.69,5.92,-1.77,-0.08,-0.94,0.44,Aufheben
0.29,0.412,8.36,9.64,-1.83,-0.08,-0.93,0.42,Aufheben
0.302,0.412,10.19,13.24,-1.53,-0.10,-0.93,0.42,Aufheben
0.314,0.42,10.93,8.36,-1.28,-0.15,-0.93,0.42,Aufheben
0.326,0.433,9.64,-2.81,-0.85,-0.19,-0.93,0.41,Aufheben
0.338,0.451,8.61,-13.43,-1.10,-0.16,-0.90,0.43,Aufheben
0.35,0.461,7.93,-18.74,-3.78,-0.12,-0.88,0.42,Aufheben
0.362,0.468,10.07,-17.64,-3.72,-0.05,-0.91,0.43,Aufheben
0.374,0.484,13.06,-5.74,-5.13,-0.06,-0.93,0.42,Aufheben
0.386,0.496,14.10,4.33,-4.21,-0.01,-0.94,0.45,Aufheben
0.398,0.524,16.36,17.27,-5.55,0.05,-0.96,0.48,Aufheben
0.41,0.524,17.46,33.57,-4.88,0.05,-0.94,0.44,Aufheben
0.422,0.531,19.84,48.58,-5.55,-0.00,-0.96,0.46,Aufheben
0.434,0.539,23.86,56.27,-9.89,-0.06,-0.95,0.46,Aufheben
0.446,0.554,24.05,50.29,-14.34,-0.06,-0.96,0.49,Aufheben
0.458,0.563,24.11,41.87,-18.25,0.02,-0.97,0.51,Aufheben
0.47,0.585,24.17,39.43,-19.71,0.09,-0.98,0.53,Aufheben
0.482,0.597,24.41,39.98,-22.22,0.08,-0.99,0.54,Aufheben
0.494,0.614,24.66,45.53,-25.57,0.15,-0.99,0.50,Aufheben
0.506,0.614,24.84,57.07,-30.94,0.15,-0.99,0.51,Aufheben
0.518,0.624,28.26,66.53,-37.23,0.18,-0.98,0.52,Aufheben
0.53,0.643,29.42,77.70,-42.11,0.23,-0.99,0.55,Aufheben
0.542,0.65,32.59,90.39,-46.26,0.19,-1.03,0.60,Aufheben
0.554,0.661,35.34,106.08,-49.93,0.11,-1.06,0.64,Aufheben
0.566,0.673,37.11,118.65,-51.45,0.11,-1.08,0.66,Aufheben
0.578,0.683,41.63,128.54,-57.80,0.06,-1.10,0.65,Aufheben
0.59,0.7,46.39,129.94,-62.07,0.07,-1.05,0.60,Aufheben
0.603,0.716,49.93,121.64,-62.68,0.09,-1.02,0.63,Aufheben
0.615,0.728,53.28,120.48,-59.69,0.01,-1.04,0.63,Aufheben
0.627,0.753,56.95,112.67,-53.59,-0.04,-1.01,0.59,Aufheben
0.639,0.753,62.81,104.80,-47.85,-0.09,-1.00,0.65,Aufheben
0.651,0.771,67.50,96.98,-42.18,-0.09,-0.95,0.66,Aufheben
0.663,0.777,70.07,91.67,-41.87,-0.19,-0.94,0.65,Aufheben
0.675,0.784,74.52,83.98,-39.00,-0.22,-0.88,0.64,Aufheben
0.687,0.794,78.25,66.77,-38.15,-0.30,-0.84,0.63,Aufheben
0.699,0.842,79.35,48.22,-36.50,-0.32,-0.81,0.63,Aufheben
0.711,0.842,80.63,33.57,-33.20,-0.28,-0.82,0.63,Aufheben
0.723,0.842,83.50,24.54,-29.79,-0.28,-0.82,0.65,Aufheben
0.735,0.842,86.55,22.77,-25.39,-0.28,-0.81,0.64,Aufheben
0.747,0.852,90.52,23.74,-20.51,-0.27,-0.77,0.66,Aufheben
0.759,0.867,93.44,25.15,-16.66,-0.28,-0.73,0.65,Aufheben
0.772,0.885,93.81,25.63,-10.38,-0.27,-0.70,0.67,Aufheben
0.784,0.891,92.29,26.86,-4.09,-0.27,-0.67,0.67,Aufheben
0.796,0.905,87.65,29.05,3.42,-0.29,-0.64,0.67,Aufheben
0.808,0.915,82.52,33.20,8.06,-0.30,-0.65,0.67,Aufheben
0.821,0.942,78.25,40.95,12.27,-0.30,-0.64,0.65,Aufheben
0.833,0.942,73.67,45.53,16.17,-0.32,-0.65,0.66,Aufheben
0.845,0.949,67.81,46.33,16.60,-0.33,-0.63,0.65,Aufheben
0.857,0.962,61.52,39.79,18.74,-0.32,-0.64,0.63,Aufheben
0.869,0.975,57.19,32.65,21.67,-0.29,-0.63,0.59,Aufheben
0.881,0.986,54.50,30.58,24.84,-0.29,-0.61,0.56,Aufheben
0.893,1.022,53.71,29.36,26.67,-0.29,-0.61,0.57,Aufheben
0.905,1.028,52.86,28.81,27.10,-0.30,-0.61,0.60,Aufheben
0.917,1.028,49.87,26.12,25.70,-0.32,-0.64,0.62,Aufheben
0.929,1.036,46.81,23.62,27.47,-0.31,-0.65,0.61,Aufheben
0.942,1.062,40.22,20.08,27.89,-0.29,-0.64,0.60,Aufheben
0.954,1.062,34.61,12.82,28.50,-0.27,-0.64,0.60,Aufheben
0.966,1.071,30.58,9.89,28.32,-0.25,-0.65,0.60,Aufheben
0.978,1.102,27.04,16.60,33.39,-0.17,-0.67,0.59,Aufheben
0.99,1.102,24.11,26.18,38.51,-0.21,-0.67,0.61,Aufheben
1.002,1.127,23.93,32.29,38.82,-0.29,-0.68,0.63,Aufheben
1.035,1.14,18.62,5.49,22.52,-0.22,-0.64,0.65,Aufheben
1.047,1.155,16.05,0.67,24.35,-0.16,-0.66,0.63,Aufheben
1.059,1.164,12.76,8.30,28.81,-0.14,-0.67,0.61,Aufheben
1.071,1.182,12.94,15.87,25.27,-0.15,-0.67,0.63,Aufheben
1.083,1.188,12.76,28.14,28.20,-0.10,-0.67,0.61,Aufheben
1.095,1.205,7.87,41.14,30.46,-0.10,-0.61,0.67,Aufheben
1.107,1.22,4.27,57.07,42.36,-0.08,-0.71,0.66,Aufheben
1.119,1.228,11.72,77.76,34.61,-0.24,-0.70,0.68,Aufheben
1.131,1.239,7.26,61.58,20.87,-0.39,-0.62,0.69,Aufheben
1.143,1.249,-10.13,31.62,14.53,-0.34,-0.68,0.69,Aufheben
1.155,1.26,-20.75,8.30,14.59,-0.26,-0.75,0.70,Aufheben
1.167,1.279,-21.18,-3.23,13.98,-0.21,-0.72,0.71,Aufheben
1.179,1.29,-22.58,-7.02,11.35,-0.18,-0.66,0.68,Aufheben
1.191,1.295,-22.95,-1.10,12.21,-0.17,-0.72,0.67,Aufheben
1.203,1.32,-15.01,11.60,8.61,-0.16,-0.82,0.67,Aufheben
