time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.111,8.73,-18.13,-4.52,0.28,-0.92,0.14,Aufheben
0.022,0.117,8.12,-18.92,-5.13,0.29,-0.91,0.15,Aufheben
0.034,0.127,6.84,-18.25,-5.19,0.29,-0.92,0.16,Aufheben
0.046,0.155,6.10,-17.40,-5.55,0.28,-0.91,0.15,Aufheben
0.058,0.168,4.82,-14.77,-4.46,0.29,-0.90,0.15,Aufheben
0.07,0.168,4.64,-16.05,-4.33,0.29,-0.90,0.16,Aufheben
0.082,0.177,2.20,-12.76,-3.17,0.27,-0.91,0.16,Aufheben
0.094,0.188,0.98,-11.72,-2.26,0.28,-0.91,0.17,Aufheben
0.106,0.198,0.79,-11.72,-1.77,0.29,-0.93,0.17,Aufheben
0.118,0.209,-0.55,-11.60,-0.37,0.28,-0.94,0.17,Aufheben
0.13,0.228,-0.67,-11.78,-0.12,0.27,-0.95,0.17,Aufheben
0.142,0.234,0.73,-12.82,0.55,0.28,-0.95,0.17,Aufheben
0.154,0.249,1.04,-12.33,-0.37,0.29,-0.94,0.17,Aufheben
0.166,0.27,0.98,-10.25,-0.18,0.29,-0.94,0.16,Aufheben
0.178,0.27,1.46,-8.67,-0.61,0.27,-0.94,0.17,Aufheben
0.19,0.281,-0.55,-8.61,-1.95,0.25,-0.92,0.18,Aufheben
0.202,0.308,-1.71,-9.03,-2.62,0.25,-0.92,0.15,Aufheben
0.214,0.32,-3.36,-9.03,-2.26,0.25,-0.92,0.17,Aufheben
0.226,0.32,-5.37,-8.61,-2.08,0.27,-0.91,0.14,Aufheben
0.238,0.336,-7.26,-8.06,-2.56,0.26,-0.89,0.16,Aufheben
0.25,0.343,-8.85,-5.00,-1.95,0.27,-0.91,0.20,Aufheben
0.262,0.663,-11.54,-4.39,-0.79,0.25,-0.87,0.16,Aufheben
0.274,0.663,-16.17,-4.03,0.12,0.24,-0.89,0.19,Aufheben
0.286,0.663,-17.09,-6.35,1.40,0.23,-0.90,0.16,Aufheben
0.298,0.663,-16.24,-5.49,2.81,0.26,-0.90,0.18,Aufheben
0.31,0.663,-15.56,-6.10,2.44,0.23,-0.89,0.26,Aufheben
0.322,0.663,-17.33,-10.25,3.30,0.22,-0.88,0.26,Aufheben
0.334,0.663,-16.17,-17.03,4.82,0.23,-0.91,0.23,Aufheben
0.346,0.663,-10.50,-22.16,3.85,0.22,-0.89,0.20,Aufheben
0.358,0.663,-6.23,-28.75,3.05,0.21,-0.84,0.16,Aufheben
0.37,0.663,-2.99,-36.38,1.71,0.23,-0.81,0.16,Aufheben
0.382,0.663,-2.38,-40.71,1.34,0.24,-0.79,0.17,Aufheben
0.394,0.663,-2.44,-45.53,-0.67,0.24,-0.80,0.17,Aufheben
0.406,0.663,-2.01,-47.30,-0.79,0.26,-0.80,0.16,Aufheben
0.418,0.663,-2.93,-47.85,-1.59,0.26,-0.76,0.16,Aufheben
0.43,0.663,-2.56,-47.61,-1.89,0.25,-0.73,0.17,Aufheben
0.442,0.663,-3.48,-49.38,-3.42,0.26,-0.70,0.16,Aufheben
0.454,0.663,-6.84,-48.03,-4.94,0.26,-0.70,0.15,Aufheben
0.466,0.663,-6.59,-50.48,-7.39,0.25,-0.67,0.12,Aufheben
0.478,0.663,-5.31,-54.38,-10.74,0.24,-0.65,0.11,Aufheben
0.49,0.663,-2.99,-58.17,-12.57,0.23,-0.60,0.10,Aufheben
0.502,0.663,-5.62,-61.52,-15.32,0.23,-0.59,0.06,Aufheben
0.514,0.663,-8.85,-65.61,-17.70,0.25,-0.57,0.06,Aufheben
0.526,0.663,-12.39,-65.92,-18.62,0.25,-0.59,0.07,Aufheben
0.538,0.693,-13.79,-64.70,-18.49,0.28,-0.61,0.09,Aufheben
0.55,0.693,-14.28,-61.95,-18.49,0.29,-0.62,0.09,Aufheben
0.562,0.693,-14.71,-54.69,-18.43,0.30,-0.59,0.11,Aufheben
0.574,0.693,-14.47,-49.93,-18.92,0.29,-0.58,0.12,Aufheben
0.586,0.693,-15.14,-48.77,-18.68,0.26,-0.56,0.06,Aufheben
0.598,0.758,-17.52,-46.33,-19.65,0.25,-0.56,0.05,Aufheben
0.61,0.758,-18.98,-50.23,-21.61,0.22,-0.58,0.03,Aufheben
