time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.27,2.93,3.23,-1.04,-0.22,-0.95,0.35,Aufheben
0.022,0.277,2.93,2.93,-1.28,-0.23,-0.97,0.35,Aufheben
0.034,0.289,3.23,3.11,-1.46,-0.22,-0.95,0.34,Aufheben
0.046,0.306,2.75,3.78,-2.01,-0.22,-0.96,0.34,Aufheben
0.058,0.315,2.08,4.03,-1.77,-0.22,-0.95,0.34,Aufheben
0.07,0.335,4.46,5.37,-2.38,-0.20,-0.95,0.32,Aufheben
0.082,0.341,5.37,6.71,-2.62,-0.22,-0.93,0.32,Aufheben
0.094,0.354,4.70,8.00,-2.75,-0.22,-0.90,0.32,Aufheben
0.107,0.362,4.33,8.67,-2.69,-0.23,-0.88,0.29,Aufheben
0.119,0.398,2.62,9.34,-3.36,-0.23,-0.87,0.29,Aufheben
0.131,0.398,0.37,8.85,-4.09,-0.25,-0.87,0.30,Aufheben
0.143,0.405,-2.81,7.45,-5.31,-0.25,-0.87,0.30,Aufheben
0.155,0.413,-5.62,5.86,-6.10,-0.26,-0.87,0.32,Aufheben
0.167,0.422,-9.28,3.36,-6.96,-0.27,-0.88,0.31,Aufheben
0.179,0.456,-11.66,-0.12,-7.32,-0.29,-0.90,0.32,Aufheben
0.191,0.456,-14.53,-4.46,-8.18,-0.31,-0.92,0.33,Aufheben
0.203,0.464,-16.17,-8.06,-8.24,-0.31,-0.93,0.34,Aufheben
0.215,0.475,-16.30,-11.11,-8.00,-0.30,-0.97,0.35,Aufheben
0.227,0.483,-15.32,-12.70,-7.26,-0.29,-0.99,0.35,Aufheben
0.239,0.505,-13.43,-12.88,-6.47,-0.28,-1.01,0.37,Aufheben
0.251,0.525,-9.95,-11.11,-4.58,-0.26,-1.04,0.36,Aufheben
0.263,0.525,-6.59,-6.16,-2.44,-0.25,-1.04,0.37,Aufheben
0.275,0.534,-3.23,-1.89,-0.12,-0.27,-1.04,0.37,Aufheben
0.287,0.542,-0.06,-0.98,1.89,-0.27,-1.02,0.36,Aufheben
0.299,0.559,2.14,-1.22,3.17,-0.26,-1.02,0.34,Aufheben
0.311,0.581,4.03,-3.30,3.91,-0.27,-1.01,0.35,Aufheben
0.323,0.581,4.70,-5.86,4.21,-0.26,-0.99,0.34,Aufheben
0.335,0.589,5.31,-8.61,4.39,-0.24,-0.99,0.35,Aufheben
0.347,0.602,4.70,-9.09,3.54,-0.24,-0.99,0.34,Aufheben
0.359,0.616,3.30,-10.38,4.27,-0.22,-0.97,0.33,Aufheben
0.371,0.634,3.30,-10.93,3.42,-0.20,-0.98,0.32,Aufheben
0.383,0.64,2.56,-11.17,2.93,-0.23,-0.98,0.33,Aufheben
0.395,0.65,2.99,-11.11,2.56,-0.20,-0.97,0.33,Aufheben
0.407,0.7,1.71,-11.11,0.98,-0.21,-0.96,0.32,Aufheben
0.419,0.7,0.98,-11.17,-0.55,-0.21,-0.97,0.32,Aufheben
0.431,0.7,0.12,-11.29,-1.28,-0.22,-0.97,0.31,Aufheben
0.443,0.707,0.67,-10.56,-2.62,-0.22,-0.97,0.30,Aufheben
0.455,0.715,0.37,-10.68,-4.39,-0.22,-0.97,0.30,Aufheben
0.467,0.722,-0.98,-10.44,-5.98,-0.21,-0.97,0.30,Aufheben
0.479,0.735,-1.28,-9.16,-7.14,-0.23,-0.97,0.29,Aufheben
0.491,0.748,-1.83,-8.97,-9.34,-0.24,-0.97,0.28,Aufheben
0.503,0.757,-3.85,-10.68,-10.50,-0.23,-0.99,0.30,Aufheben
0.515,0.772,-4.33,-11.23,-12.08,-0.23,-0.98,0.29,Aufheben
0.527,0.784,-3.91,-11.90,-13.67,-0.22,-0.99,0.29,Aufheben
0.539,0.806,-2.62,-11.29,-16.24,-0.23,-0.97,0.27,Aufheben
0.551,0.806,-2.56,-10.44,-14.71,-0.20,-0.98,0.25,Aufheben
0.563,0.82,-2.62,-8.91,-15.99,-0.22,-0.99,0.27,Aufheben
0.575,0.829,-1.71,-6.71,-14.22,-0.20,-1.00,0.27,Aufheben
0.587,0.846,0.12,-3.11,-15.69,-0.21,-0.98,0.28,Aufheben
0.599,0.886,0.24,-2.08,-15.93,-0.21,-0.97,0.28,Aufheben
0.611,0.886,-1.16,-1.53,-14.34,-0.19,-0.97,0.26,Aufheben
0.623,0.892,-0.43,-1.28,-13.98,-0.22,-0.97,0.26,Aufheben
0.636,0.892,-0.43,-1.77,-14.53,-0.24,-0.97,0.27,Aufheben
0.648,0.906,-1.16,-4.39,-13.00,-0.19,-0.94,0.28,Aufheben
0.66,0.923,-1.16,-5.62,-15.69,-0.19,-0.94,0.27,Aufheben
0.672,0.941,-2.50,-6.77,-15.56,-0.19,-0.93,0.25,Aufheben
0.684,0.947,-4.03,-7.93,-15.69,-0.17,-0.92,0.26,Aufheben
0.696,0.952,-4.27,-6.71,-16.30,-0.16,-0.93,0.26,Aufheben
0.708,0.967,-7.63,-4.39,-16.78,-0.14,-0.92,0.27,Aufheben
0.72,0.976,-9.40,-1.71,-17.76,-0.14,-0.91,0.29,Aufheben
0.732,0.995,-11.17,0.18,-19.65,-0.15,-0.92,0.29,Aufheben
0.744,1.002,-13.98,0.55,-20.02,-0.15,-0.92,0.29,Aufheben
0.756,1.015,-15.50,2.32,-21.48,-0.15,-0.92,0.29,Aufheben
0.768,1.038,-16.97,2.50,-22.03,-0.16,-0.94,0.30,Aufheben
0.78,1.053,-16.54,2.87,-22.46,-0.16,-0.95,0.30,Aufheben
0.792,1.053,-14.77,4.76,-22.89,-0.15,-0.95,0.29,Aufheben
0.804,1.062,-13.55,6.96,-23.74,-0.15,-0.96,0.30,Aufheben
0.816,1.097,-12.45,9.46,-22.64,-0.16,-0.96,0.32,Aufheben
0.828,1.097,-10.31,11.35,-21.12,-0.14,-0.94,0.32,Aufheben
0.84,1.097,-10.50,13.55,-19.65,-0.15,-0.97,0.31,Aufheben
0.852,1.107,-5.62,16.24,-18.43,-0.15,-0.96,0.31,Aufheben
0.864,1.122,-3.23,18.19,-17.15,-0.19,-0.95,0.33,Aufheben
0.876,1.133,-0.67,18.07,-15.44,-0.20,-0.96,0.31,Aufheben
0.888,1.172,2.81,16.85,-14.59,-0.20,-0.94,0.31,Aufheben
0.9,1.172,4.09,14.83,-13.00,-0.18,-0.94,0.33,Aufheben
0.912,1.172,5.25,12.45,-11.54,-0.19,-0.91,0.31,Aufheben
0.924,1.184,6.04,9.46,-9.83,-0.21,-0.92,0.32,Aufheben
0.936,1.201,8.06,7.51,-8.36,-0.19,-0.91,0.32,Aufheben
0.948,1.214,8.18,7.20,-5.86,-0.20,-0.90,0.31,Aufheben
0.96,1.237,7.63,6.53,-4.21,-0.21,-0.92,0.31,Aufheben
0.972,1.237,7.69,2.08,-2.38,-0.22,-0.95,0.31,Aufheben
0.984,1.25,9.70,-2.93,-2.08,-0.21,-0.96,0.32,Aufheben
0.996,1.258,12.27,-5.74,-0.37,-0.18,-0.96,0.31,Aufheben
1.008,1.297,13.49,-5.80,1.89,-0.19,-0.96,0.28,Aufheben
1.041,1.303,14.95,-3.30,6.77,-0.15,-0.97,0.27,Aufheben
1.053,1.312,14.95,-0.92,8.30,-0.16,-0.97,0.27,Aufheben
1.065,1.318,13.98,1.40,9.46,-0.15,-0.96,0.26,Aufheben
1.077,1.341,13.37,0.92,9.70,-0.14,-0.96,0.28,Aufheben
1.089,1.351,12.51,-1.22,10.74,-0.15,-0.97,0.27,Aufheben
1.101,1.36,11.05,-2.38,10.19,-0.15,-0.95,0.27,Aufheben
1.113,1.37,9.22,-4.33,10.56,-0.14,-0.95,0.27,Aufheben
1.125,1.383,9.28,-5.31,10.99,-0.11,-0.95,0.25,Aufheben
1.137,1.421,9.46,-5.37,10.44,-0.11,-0.95,0.25,Aufheben
1.149,1.421,9.95,-3.42,10.25,-0.11,-0.97,0.26,Aufheben
1.161,1.421,10.07,-1.10,10.80,-0.10,-0.96,0.27,Aufheben
1.173,1.473,10.99,0.73,10.07,-0.10,-0.96,0.28,Aufheben
1.185,1.473,11.47,2.99,9.46,-0.13,-0.97,0.28,Aufheben
1.197,1.473,11.17,4.27,7.51,-0.14,-0.96,0.28,Aufheben
1.209,1.49,9.70,6.04,6.77,-0.15,-0.96,0.27,Aufheben
1.221,1.49,9.22,7.39,6.10,-0.14,-0.97,0.28,Aufheben
1.233,1.542,9.28,10.13,6.71,-0.16,-0.96,0.26,Aufheben
1.245,1.677,9.77,11.90,6.47,-0.17,-0.96,0.27,Aufheben
1.257,1.677,11.47,13.43,7.26,-0.17,-0.95,0.28,Aufheben
1.269,1.677,12.39,16.24,8.30,-0.17,-0.96,0.28,Aufheben
1.281,1.677,12.45,16.97,9.34,-0.18,-0.95,0.29,Aufheben
1.293,1.677,12.51,17.46,10.56,-0.19,-0.94,0.29,Aufheben
1.305,1.677,13.73,18.25,11.17,-0.20,-0.92,0.27,Aufheben
1.317,1.677,13.37,19.71,10.93,-0.20,-0.92,0.27,Aufheben
1.329,1.677,12.82,18.74,11.96,-0.20,-0.93,0.28,Aufheben
1.341,1.677,12.51,19.53,12.39,-0.20,-0.95,0.30,Aufheben
1.353,1.677,12.27,20.32,12.15,-0.23,-0.93,0.29,Aufheben
1.365,1.677,12.02,21.12,12.88,-0.21,-0.94,0.28,Aufheben
1.377,1.677,11.11,22.28,12.39,-0.23,-0.94,0.29,Aufheben
1.389,1.677,10.80,22.77,12.82,-0.23,-0.96,0.29,Aufheben
1.401,1.677,11.78,22.77,12.21,-0.21,-0.95,0.29,Aufheben
1.413,1.677,12.15,23.44,12.21,-0.22,-0.95,0.29,Aufheben
1.425,1.69,12.39,24.54,12.88,-0.23,-0.96,0.28,Aufheben
1.437,1.703,11.60,24.48,13.43,-0.23,-0.96,0.28,Aufheben
1.449,1.718,12.21,24.48,13.73,-0.22,-0.95,0.29,Aufheben
1.461,1.719,12.57,26.55,13.73,-0.21,-0.93,0.29,Aufheben
1.473,1.731,10.07,26.98,14.16,-0.23,-0.94,0.29,Aufheben
1.485,1.775,8.61,27.95,14.71,-0.23,-0.94,0.29,Aufheben
1.497,1.775,8.30,28.26,13.31,-0.24,-0.93,0.29,Aufheben
1.509,1.775,7.39,27.53,13.12,-0.22,-0.92,0.31,Aufheben
1.521,1.788,6.04,27.34,11.90,-0.24,-0.93,0.33,Aufheben
1.534,1.795,3.78,32.78,11.90,-0.22,-0.94,0.37,Aufheben
1.546,1.807,3.91,44.80,14.34,-0.21,-0.94,0.37,Aufheben
1.558,1.819,5.31,62.81,16.97,-0.20,-0.98,0.37,Aufheben
1.57,1.841,7.02,79.22,20.57,-0.26,-0.96,0.34,Aufheben
1.582,1.849,10.25,90.15,24.05,-0.30,-0.95,0.30,Aufheben
1.594,1.849,12.88,96.13,26.31,-0.36,-0.94,0.30,Aufheben
1.606,1.868,13.18,94.06,27.59,-0.39,-0.90,0.30,Aufheben
1.618,1.874,12.76,85.39,25.57,-0.42,-0.88,0.28,Aufheben
1.63,1.887,10.19,73.18,24.60,-0.43,-0.87,0.29,Aufheben
1.642,1.898,8.18,57.37,20.26,-0.45,-0.86,0.27,Aufheben
1.654,1.911,5.07,38.15,15.93,-0.46,-0.86,0.27,Aufheben
1.666,1.921,2.87,20.45,12.02,-0.43,-0.88,0.28,Aufheben
1.678,1.937,2.08,10.62,9.52,-0.41,-0.88,0.26,Aufheben
