time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.163,4.52,2.20,-3.78,-0.27,-0.95,0.20,Aufheben
0.022,0.17,4.46,2.08,-3.97,-0.26,-0.96,0.21,Aufheben
0.034,0.184,5.19,1.95,-3.60,-0.29,-0.95,0.20,Aufheben
0.046,0.218,4.70,2.50,-3.05,-0.27,-0.96,0.20,Aufheben
0.058,0.218,4.33,3.36,-3.72,-0.28,-0.94,0.18,Aufheben
0.07,0.23,4.39,3.97,-3.05,-0.27,-0.95,0.19,Aufheben
0.082,0.23,3.91,4.21,-3.11,-0.27,-0.94,0.20,Aufheben
0.094,0.242,3.11,3.23,-3.05,-0.29,-0.94,0.19,Aufheben
0.106,0.252,2.62,1.46,-2.81,-0.30,-0.92,0.18,Aufheben
0.118,0.266,-0.67,-2.50,-3.91,-0.33,-0.89,0.21,Aufheben
0.13,0.277,-4.03,-7.45,-4.21,-0.31,-0.90,0.21,Aufheben
0.142,0.283,-6.41,-11.23,-3.97,-0.33,-0.92,0.21,Aufheben
0.154,0.293,-8.54,-13.61,-3.78,-0.31,-0.93,0.21,Aufheben
0.166,0.319,-8.97,-15.14,-2.81,-0.31,-0.94,0.21,Aufheben
0.178,0.319,-9.77,-16.36,-2.93,-0.32,-0.95,0.23,Aufheben
0.19,0.327,-9.52,-17.88,-2.87,-0.31,-0.94,0.24,Aufheben
0.202,0.352,-9.77,-17.76,-2.14,-0.29,-0.92,0.21,Aufheben
0.214,0.352,-10.01,-16.17,-1.83,-0.32,-0.92,0.22,Aufheben
0.227,0.365,-10.44,-19.90,-2.32,-0.32,-0.92,0.20,Aufheben
0.239,0.378,-12.39,-22.22,-1.59,-0.29,-0.90,0.21,Aufheben
0.251,0.397,-12.63,-22.95,-1.59,-0.31,-0.91,0.20,Aufheben
0.263,0.403,-13.31,-23.56,-1.40,-0.31,-0.92,0.19,Aufheben
0.275,0.416,-13.61,-23.07,-0.61,-0.31,-0.91,0.18,Aufheben
0.287,0.433,-14.10,-23.01,0.43,-0.32,-0.92,0.19,Aufheben
0.299,0.443,-15.50,-24.11,0.37,-0.31,-0.92,0.19,Aufheben
0.311,0.467,-16.72,-27.04,0.98,-0.32,-0.92,0.17,Aufheben
0.323,0.467,-16.91,-29.11,0.98,-0.32,-0.90,0.17,Aufheben
