time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.091,6.59,-14.40,-4.21,0.19,-0.93,0.32,Aufheben
0.022,0.105,6.59,-16.30,-5.25,0.19,-0.94,0.33,Aufheben
0.034,0.118,6.53,-14.65,-4.21,0.19,-0.93,0.34,Aufheben
0.046,0.139,6.23,-15.44,-4.15,0.19,-0.93,0.35,Aufheben
0.058,0.151,5.62,-13.73,-3.72,0.20,-0.93,0.33,Aufheben
0.07,0.161,6.16,-12.21,-3.66,0.19,-0.93,0.34,Aufheben
0.082,0.178,5.86,-12.08,-3.23,0.20,-0.94,0.34,Aufheben
0.094,0.187,6.23,-13.55,-3.30,0.19,-0.93,0.34,Aufheben
0.106,0.187,6.23,-10.80,-2.62,0.18,-0.94,0.33,Aufheben
0.118,0.199,7.57,-15.08,-3.48,0.19,-0.93,0.33,Aufheben
0.13,0.211,7.14,-13.37,-2.87,0.18,-0.93,0.33,Aufheben
0.142,0.249,6.84,-14.04,-2.99,0.19,-0.95,0.34,Aufheben
0.154,0.249,6.59,-13.43,-3.11,0.19,-0.95,0.34,Aufheben
0.166,0.249,7.32,-12.76,-3.05,0.19,-0.94,0.34,Aufheben
0.178,0.257,7.14,-13.73,-3.05,0.19,-0.94,0.35,Aufheben
0.19,0.28,7.32,-13.73,-3.30,0.20,-0.95,0.33,Aufheben
0.203,0.288,7.57,-14.77,-2.87,0.19,-0.94,0.33,Aufheben
0.215,0.296,7.45,-14.89,-2.75,0.19,-0.94,0.32,Aufheben
0.227,0.306,7.69,-14.95,-3.23,0.18,-0.93,0.32,Aufheben
0.239,0.322,8.61,-16.60,-3.11,0.18,-0.94,0.33,Aufheben
0.251,0.33,8.85,-17.33,-3.30,0.20,-0.94,0.32,Aufheben
0.263,0.344,8.24,-17.58,-3.72,0.19,-0.94,0.31,Aufheben
0.275,0.355,7.87,-16.17,-3.23,0.18,-0.92,0.31,Aufheben
0.287,0.372,7.39,-17.03,-3.36,0.19,-0.93,0.31,Aufheben
0.299,0.384,6.16,-15.75,-2.50,0.18,-0.93,0.30,Aufheben
0.311,0.392,6.04,-16.05,-2.20,0.19,-0.94,0.31,Aufheben
0.323,0.404,6.04,-17.21,-2.14,0.18,-0.95,0.30,Aufheben
0.335,0.42,3.97,-15.56,-2.26,0.19,-0.96,0.30,Aufheben
0.347,0.427,4.94,-16.24,-1.95,0.19,-0.96,0.31,Aufheben
0.359,0.459,5.13,-17.82,-2.44,0.18,-0.96,0.30,Aufheben
0.371,0.459,4.94,-17.94,-2.32,0.16,-0.96,0.31,Aufheben
0.383,0.466,4.64,-17.33,-2.81,0.18,-0.97,0.31,Aufheben
0.395,0.873,4.21,-17.21,-2.08,0.17,-0.97,0.33,Aufheben
0.407,0.873,3.36,-17.09,-1.53,0.16,-0.97,0.31,Aufheben
0.419,0.873,3.23,-15.69,-1.04,0.15,-0.94,0.31,Aufheben
0.431,0.873,3.42,-17.76,-1.22,0.14,-0.94,0.31,Aufheben
0.443,0.873,4.58,-19.59,-0.55,0.16,-0.93,0.32,Aufheben
0.455,0.873,5.80,-22.83,-0.98,0.16,-0.94,0.30,Aufheben
0.467,0.873,7.20,-24.41,-0.37,0.15,-0.93,0.29,Aufheben
0.479,0.873,7.14,-25.82,0.12,0.16,-0.94,0.28,Aufheben
0.491,0.873,4.52,-24.96,0.67,0.18,-0.93,0.29,Aufheben
0.503,0.873,2.99,-24.41,1.46,0.18,-0.91,0.27,Aufheben
