time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.091,3.78,4.58,-2.56,-0.26,-0.94,0.40,Aufheben
0.023,0.105,4.46,4.09,-1.65,-0.27,-0.93,0.41,Aufheben
0.035,0.115,4.70,3.17,-0.98,-0.26,-0.93,0.40,Aufheben
0.047,0.137,5.74,3.17,-0.49,-0.26,-0.93,0.40,Aufheben
0.059,0.151,6.47,3.30,0.98,-0.26,-0.93,0.38,Aufheben
0.071,0.157,6.90,3.05,1.22,-0.26,-0.93,0.39,Aufheben
0.083,0.164,6.96,2.50,1.83,-0.24,-0.92,0.39,Aufheben
0.095,0.553,7.20,2.14,2.01,-0.24,-0.93,0.38,Aufheben
0.107,0.553,7.26,2.62,2.20,-0.25,-0.92,0.38,Aufheben
0.119,0.553,7.32,3.17,1.83,-0.24,-0.92,0.37,Aufheben
0.131,0.553,6.29,3.36,1.71,-0.24,-0.91,0.36,Aufheben
0.143,0.553,5.80,3.23,2.26,-0.26,-0.94,0.37,Aufheben
0.155,0.553,5.00,2.38,2.44,-0.27,-0.95,0.38,Aufheben
0.167,0.553,5.55,0.37,2.99,-0.27,-0.96,0.37,Aufheben
0.179,0.553,6.23,-1.46,4.64,-0.27,-0.98,0.38,Aufheben
0.191,0.553,7.39,-1.95,7.69,-0.25,-0.98,0.40,Aufheben
0.203,0.553,9.40,0.98,10.68,-0.24,-0.99,0.41,Aufheben
0.215,0.553,11.41,8.67,14.71,-0.21,-0.97,0.41,Aufheben
0.227,0.553,12.57,18.49,17.27,-0.23,-0.97,0.44,Aufheben
0.239,0.553,13.12,26.49,20.20,-0.23,-0.99,0.44,Aufheben
0.251,0.553,15.69,34.36,22.22,-0.25,-0.97,0.43,Aufheben
0.263,0.553,17.58,42.11,25.21,-0.27,-0.99,0.46,Aufheben
0.275,0.553,20.14,49.62,28.56,-0.28,-0.99,0.48,Aufheben
0.287,0.553,21.91,58.11,32.04,-0.32,-1.00,0.48,Aufheben
0.299,0.553,24.54,63.66,35.52,-0.36,-1.01,0.47,Aufheben
0.311,0.553,29.05,69.15,40.59,-0.38,-1.01,0.48,Aufheben
0.323,0.553,32.71,73.73,45.35,-0.39,-1.01,0.46,Aufheben
0.335,0.553,33.75,79.77,49.62,-0.42,-1.04,0.47,Aufheben
0.347,0.553,38.45,86.91,54.50,-0.42,-1.01,0.45,Aufheben
0.359,0.553,40.28,99.12,60.36,-0.43,-1.01,0.46,Aufheben
0.371,0.553,41.93,113.53,65.31,-0.43,-1.00,0.43,Aufheben
0.383,0.553,40.71,129.03,69.15,-0.48,-1.01,0.41,Aufheben
0.395,0.553,41.69,143.37,74.58,-0.49,-1.03,0.39,Aufheben
0.407,0.553,44.62,165.53,79.10,-0.49,-1.01,0.36,Aufheben
0.419,0.553,50.60,186.77,80.38,-0.52,-1.06,0.31,Aufheben
0.431,0.553,63.60,217.35,77.21,-0.55,-0.95,0.38,Aufheben
0.443,0.676,67.93,224.61,79.28,-0.78,-0.89,0.31,Aufheben
0.455,0.676,60.30,212.04,86.00,-0.70,-0.91,0.29,Aufheben
0.467,0.676,53.47,201.72,87.28,-0.47,-0.84,0.35,Aufheben
0.479,0.676,36.62,197.94,97.29,-0.48,-0.73,0.33,Aufheben
0.491,0.676,26.92,186.22,102.72,-0.87,-0.82,0.38,Aufheben
0.503,0.676,80.51,29.30,82.89,-1.43,-0.61,0.42,Aufheben
0.515,0.676,55.42,-109.25,69.40,-0.37,-0.57,-0.32,Aufheben
0.527,0.676,23.74,-87.59,102.91,0.36,-0.64,1.13,Aufheben
0.539,0.676,17.94,70.13,59.51,0.36,-0.55,-0.01,Aufheben
0.551,0.676,22.58,230.47,36.93,-0.49,-0.56,0.37,Aufheben
0.563,0.676,33.02,236.45,63.90,-0.81,-0.32,0.25,Aufheben
0.575,0.676,11.66,150.21,7.26,-0.79,-0.34,0.23,Aufheben
0.587,0.676,-18.80,77.76,29.42,-1.01,-0.40,0.32,Aufheben
0.599,0.691,2.44,28.69,-3.42,-0.89,-0.49,0.16,Aufheben
0.611,0.706,-9.40,13.18,-7.51,-0.61,-0.56,0.18,Aufheben
0.623,0.706,13.12,18.55,-9.40,-0.69,-0.52,0.18,Aufheben
0.635,0.713,12.63,9.28,-16.36,-0.76,-0.52,0.10,Aufheben
0.647,0.735,12.21,-2.50,-16.97,-0.54,-0.60,0.17,Aufheben
0.659,0.741,18.07,-1.89,-16.48,-0.56,-0.51,0.16,Aufheben
0.671,0.961,11.05,13.12,-21.12,-0.58,-0.65,0.21,Aufheben
0.683,0.961,12.33,18.37,-26.55,-0.62,-0.61,0.20,Aufheben
0.695,0.961,16.60,26.61,-11.11,-0.68,-0.61,0.20,Aufheben
0.707,0.961,10.80,26.49,-10.07,-0.73,-0.71,0.12,Aufheben
0.719,0.961,7.20,87.34,-35.58,0.59,-1.16,0.78,Aufheben
0.731,0.961,123.60,144.23,154.97,-1.03,-0.03,-0.35,Aufheben
0.743,0.961,-19.10,228.21,73.06,-0.76,-0.59,0.57,Aufheben
