time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.097,-6.16,-2.01,7.14,0.33,-0.92,-0.14,Aufheben
0.022,0.115,-4.03,-2.56,7.69,0.34,-0.91,-0.17,Aufheben
0.034,0.123,-1.95,-5.07,6.04,0.31,-0.91,-0.16,Aufheben
0.046,0.13,-2.93,-3.23,6.53,0.33,-0.91,-0.15,Aufheben
0.058,0.141,-1.71,-1.04,5.07,0.29,-0.92,-0.15,Aufheben
0.07,0.162,-0.49,-7.39,5.19,0.29,-0.91,-0.14,Aufheben
0.082,0.17,-0.85,-6.59,6.23,0.28,-0.90,-0.16,Aufheben
0.094,0.182,1.59,-12.21,5.55,0.27,-0.91,-0.15,Aufheben
0.106,0.19,1.40,-12.51,4.64,0.28,-0.91,-0.11,Aufheben
0.118,0.202,4.33,-14.89,5.25,0.24,-0.93,-0.14,Aufheben
0.13,0.214,5.86,-18.19,5.49,0.28,-0.90,-0.14,Aufheben
0.142,0.227,6.41,-21.00,6.53,0.24,-0.92,-0.16,Aufheben
0.154,0.259,7.69,-25.02,5.25,0.28,-0.92,-0.12,Aufheben
0.166,0.266,8.24,-24.66,5.25,0.28,-0.93,-0.14,Aufheben
0.178,0.266,9.89,-25.33,6.41,0.26,-0.94,-0.14,Aufheben
0.19,0.273,11.96,-27.59,6.71,0.28,-0.95,-0.15,Aufheben
0.203,0.291,12.15,-27.16,7.32,0.27,-0.97,-0.14,Aufheben
0.215,0.301,13.67,-28.44,8.36,0.28,-0.99,-0.16,Aufheben
0.227,0.31,16.78,-30.46,10.07,0.29,-1.00,-0.17,Aufheben
0.239,0.324,17.94,-33.39,9.58,0.28,-1.00,-0.17,Aufheben
0.251,0.334,17.64,-36.44,9.28,0.29,-1.00,-0.18,Aufheben
0.263,0.352,17.64,-38.27,9.34,0.29,-0.98,-0.17,Aufheben
0.275,0.363,18.80,-44.86,8.73,0.28,-0.98,-0.18,Aufheben
0.287,0.371,15.32,-44.68,6.84,0.30,-0.94,-0.17,Aufheben
0.299,0.387,12.88,-38.27,7.69,0.31,-0.94,-0.15,Aufheben
0.311,0.394,13.18,-31.80,5.98,0.33,-0.93,-0.13,Aufheben
0.323,0.406,12.63,-23.44,5.31,0.31,-0.92,-0.13,Aufheben
0.335,0.422,10.13,-16.24,4.03,0.27,-0.92,-0.11,Aufheben
0.347,0.437,7.69,-9.03,1.40,0.24,-0.94,-0.09,Aufheben
0.359,0.444,5.98,2.26,1.10,0.22,-0.95,-0.08,Aufheben
0.371,0.455,8.61,7.08,3.05,0.16,-0.96,-0.08,Aufheben
0.383,0.467,12.21,17.21,1.59,0.27,-0.96,-0.05,Aufheben
0.395,0.478,8.85,53.10,1.53,0.27,-0.99,-0.02,Aufheben
0.407,0.494,6.23,44.68,14.89,0.02,-0.93,-0.08,Aufheben
0.419,0.502,8.48,21.67,3.36,0.05,-0.94,0.05,Aufheben
0.431,0.521,8.97,15.63,6.35,0.09,-0.90,0.00,Aufheben
0.443,0.535,2.01,26.73,7.08,0.20,-0.89,-0.06,Aufheben
0.455,0.542,1.34,35.03,5.74,0.00,-0.93,-0.00,Aufheben
0.467,0.55,7.57,27.83,2.44,-0.06,-0.93,-0.00,Aufheben
0.479,1.768,12.51,5.07,2.08,-0.11,-0.91,0.08,Aufheben
