time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.097,9.40,21.61,-0.18,-0.25,-0.93,0.29,Aufheben
0.022,0.105,10.07,26.61,-1.59,-0.26,-0.91,0.30,Aufheben
0.034,0.116,9.22,28.32,-0.49,-0.29,-0.91,0.31,Aufheben
0.046,0.134,7.93,27.77,-1.16,-0.30,-0.89,0.29,Aufheben
0.058,0.148,6.29,25.76,-1.53,-0.32,-0.91,0.29,Aufheben
0.07,0.163,6.10,22.03,-3.05,-0.32,-0.89,0.25,Aufheben
0.082,0.17,3.78,16.11,-4.33,-0.34,-0.88,0.27,Aufheben
0.094,0.177,2.08,9.46,-5.37,-0.35,-0.87,0.25,Aufheben
0.106,0.19,-0.24,2.69,-7.26,-0.33,-0.85,0.25,Aufheben
0.118,0.2,-2.44,-2.99,-8.24,-0.34,-0.83,0.23,Aufheben
0.13,0.216,-4.27,-8.30,-9.16,-0.32,-0.84,0.23,Aufheben
0.142,0.225,-7.51,-11.66,-9.34,-0.28,-0.84,0.26,Aufheben
0.154,0.265,-10.31,-13.31,-10.31,-0.26,-0.86,0.27,Aufheben
0.166,0.265,-11.66,-14.83,-11.84,-0.25,-0.89,0.26,Aufheben
0.178,0.265,-11.90,-14.59,-14.16,-0.25,-0.88,0.24,Aufheben
0.19,0.273,-14.22,-13.67,-15.81,-0.24,-0.90,0.21,Aufheben
0.202,0.289,-17.33,-10.31,-16.78,-0.25,-0.93,0.20,Aufheben
0.214,0.3,-20.20,-5.62,-16.36,-0.26,-0.94,0.19,Aufheben
0.226,0.322,-19.47,-0.92,-13.98,-0.31,-0.98,0.21,Aufheben
0.238,0.33,-19.04,1.65,-13.49,-0.31,-0.98,0.20,Aufheben
0.25,0.339,-19.17,5.25,-11.84,-0.32,-0.98,0.21,Aufheben
0.262,0.345,-18.43,5.92,-10.86,-0.31,-0.96,0.18,Aufheben
0.275,0.367,-17.94,5.49,-8.54,-0.32,-0.94,0.17,Aufheben
0.287,0.374,-18.80,1.83,-7.93,-0.35,-0.93,0.16,Aufheben
0.299,0.382,-18.92,-5.37,-6.47,-0.35,-0.93,0.14,Aufheben
0.311,0.393,-17.21,-13.18,-4.39,-0.33,-0.88,0.11,Aufheben
0.323,0.406,-18.92,-18.62,-4.21,-0.33,-0.88,0.10,Aufheben
0.336,0.423,-22.22,-22.16,-4.15,-0.31,-0.89,0.08,Aufheben
0.348,0.43,-22.64,-21.79,-3.36,-0.32,-0.93,0.07,Aufheben
0.36,0.443,-21.42,-22.34,-3.85,-0.32,-0.92,0.08,Aufheben
0.372,0.454,-21.24,-20.81,-4.33,-0.31,-0.92,0.06,Aufheben
0.384,0.473,-21.24,-16.78,-4.27,-0.32,-0.93,0.04,Aufheben
0.396,0.481,-19.59,-13.61,-4.94,-0.35,-0.93,0.05,Aufheben
0.408,0.489,-16.42,-15.87,-6.10,-0.36,-0.93,0.05,Aufheben
0.42,0.502,-14.77,-18.68,-6.90,-0.32,-0.91,0.06,Aufheben
0.432,0.515,-13.61,-18.80,-7.32,-0.30,-0.89,0.08,Aufheben
0.445,1.052,-13.06,-17.03,-6.84,-0.32,-0.93,0.08,Aufheben
0.457,1.052,-10.99,-16.17,-6.65,-0.30,-0.94,0.09,Aufheben
0.469,1.052,-9.64,-12.88,-5.98,-0.31,-0.94,0.08,Aufheben
0.481,1.052,-7.63,-10.68,-6.04,-0.33,-0.92,0.05,Aufheben
0.493,1.052,-6.29,-8.48,-5.80,-0.34,-0.91,0.04,Aufheben
0.505,1.052,-5.19,-7.93,-5.92,-0.35,-0.91,0.01,Aufheben
0.517,1.052,-3.23,-7.75,-6.65,-0.36,-0.92,0.00,Aufheben
0.529,1.052,-1.22,-8.18,-6.84,-0.35,-0.89,0.01,Aufheben
0.541,1.052,-0.61,-9.70,-6.35,-0.35,-0.90,0.01,Aufheben
0.553,1.052,1.34,-11.23,-6.71,-0.34,-0.88,0.02,Aufheben
0.565,1.052,1.53,-13.43,-6.96,-0.32,-0.87,0.03,Aufheben
0.577,1.052,1.53,-13.92,-6.41,-0.33,-0.86,0.03,Aufheben
0.589,1.052,0.67,-13.49,-5.68,-0.32,-0.85,0.04,Aufheben
0.601,1.052,0.67,-12.21,-4.15,-0.32,-0.88,0.02,Aufheben
0.613,1.052,2.87,-8.18,-2.93,-0.29,-0.86,0.01,Aufheben
0.625,1.052,3.85,-4.27,-0.98,-0.31,-0.83,0.00,Aufheben
0.637,1.052,4.46,-2.44,1.65,-0.29,-0.83,-0.02,Aufheben
