time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.011,0.098,11.84,-5.43,-12.45,0.30,-0.89,0.09,Aufheben
0.023,0.116,13.00,-7.69,-10.56,0.32,-0.89,0.07,Aufheben
0.035,0.125,11.78,-6.71,-6.96,0.32,-0.93,0.08,Aufheben
0.047,0.134,8.85,-4.09,-2.62,0.33,-0.98,0.06,Aufheben
0.059,0.167,5.68,-3.30,1.40,0.34,-1.01,0.04,Aufheben
0.071,0.176,4.39,0.24,6.16,0.36,-1.04,0.01,Aufheben
0.083,0.176,6.29,3.60,11.29,0.34,-1.04,0.01,Aufheben
0.095,0.184,10.38,2.50,16.66,0.32,-1.00,-0.01,Aufheben
0.107,0.191,8.06,-3.66,18.37,0.31,-0.97,-0.02,Aufheben
0.119,0.206,6.35,-12.57,16.54,0.32,-0.97,-0.02,Aufheben
0.131,0.22,6.10,-17.27,14.65,0.34,-0.97,-0.03,Aufheben
0.143,0.228,7.87,-21.30,12.51,0.34,-0.97,-0.03,Aufheben
0.155,0.262,9.83,-26.79,9.64,0.33,-0.96,-0.03,Aufheben
0.167,0.273,10.31,-29.60,5.98,0.32,-0.94,-0.02,Aufheben
0.179,0.274,12.15,-32.90,3.72,0.33,-0.92,-0.00,Aufheben
0.191,0.284,12.82,-34.97,0.49,0.34,-0.90,-0.01,Aufheben
0.203,0.29,11.41,-35.64,-2.38,0.32,-0.88,-0.03,Aufheben
0.215,0.297,9.77,-35.89,-5.37,0.33,-0.87,-0.02,Aufheben
0.227,0.311,8.06,-32.17,-7.02,0.33,-0.88,0.00,Aufheben
0.239,0.323,7.63,-27.59,-9.52,0.31,-0.93,0.04,Aufheben
0.251,0.336,9.83,-25.94,-10.50,0.28,-0.96,0.03,Aufheben
0.263,0.354,12.57,-30.88,-13.49,0.27,-0.99,0.02,Aufheben
0.275,0.366,18.01,-39.55,-17.21,0.31,-0.97,-0.01,Aufheben
0.287,0.373,24.11,-47.91,-20.08,0.32,-0.97,-0.00,Aufheben
0.299,0.384,31.80,-56.15,-22.71,0.34,-0.95,0.03,Aufheben
0.311,0.397,39.98,-68.18,-26.25,0.40,-0.97,0.14,Aufheben
0.323,0.41,47.24,-83.68,-33.26,0.48,-1.01,0.27,Aufheben
0.335,0.428,54.14,-97.60,-42.85,0.50,-1.03,0.35,Aufheben
0.347,0.435,66.04,-117.13,-51.70,0.52,-1.04,0.36,Aufheben
0.359,0.442,74.71,-134.09,-59.75,0.52,-1.00,0.34,Aufheben
0.371,0.469,80.26,-153.02,-67.32,0.53,-0.96,0.30,Aufheben
0.383,0.469,83.62,-170.78,-75.56,0.58,-0.97,0.28,Aufheben
0.395,0.479,84.41,-183.17,-83.50,0.67,-0.98,0.24,Aufheben
0.407,0.494,81.73,-184.63,-89.54,0.68,-1.00,0.23,Aufheben
0.419,0.502,78.19,-178.22,-94.36,0.69,-0.99,0.20,Aufheben
0.431,0.517,69.09,-158.94,-95.40,0.73,-0.99,0.19,Aufheben
0.443,0.526,61.10,-128.36,-96.50,0.74,-1.00,0.15,Aufheben
0.455,0.538,56.40,-92.53,-91.80,0.74,-0.96,0.09,Aufheben
0.467,0.558,50.54,-60.61,-87.83,0.70,-0.93,0.03,Aufheben
0.479,0.569,45.90,-37.23,-82.58,0.68,-0.91,0.04,Aufheben
0.491,0.577,41.08,-24.60,-82.21,0.66,-0.89,0.05,Aufheben
0.503,0.588,35.34,-16.72,-82.40,0.66,-0.87,0.07,Aufheben
0.515,0.601,34.24,-8.06,-84.90,0.64,-0.84,0.04,Aufheben
0.527,0.611,35.16,0.55,-83.80,0.61,-0.83,0.02,Aufheben
0.539,0.627,37.05,5.37,-83.74,0.56,-0.82,0.02,Aufheben
0.551,0.635,39.43,8.00,-82.03,0.52,-0.80,0.04,Aufheben
0.563,0.653,38.57,5.68,-80.57,0.49,-0.78,0.04,Aufheben
0.575,0.672,34.67,7.20,-78.86,0.49,-0.78,0.02,Aufheben
0.587,0.68,31.43,12.21,-74.52,0.49,-0.79,0.01,Aufheben
0.599,0.685,28.99,21.85,-70.31,0.51,-0.85,0.04,Aufheben
0.611,0.694,28.32,36.56,-65.61,0.49,-0.86,0.04,Aufheben
0.623,0.71,25.51,43.03,-60.85,0.44,-0.86,0.04,Aufheben
0.635,0.721,22.71,43.82,-54.26,0.40,-0.85,0.04,Aufheben
0.647,0.73,18.25,43.15,-50.48,0.38,-0.81,0.01,Aufheben
0.659,0.751,12.76,49.62,-43.88,0.37,-0.78,0.01,Aufheben
0.671,0.775,9.58,59.08,-36.80,0.34,-0.77,0.03,Aufheben
0.683,0.775,7.20,70.37,-31.68,0.31,-0.74,-0.01,Aufheben
0.695,0.783,6.41,78.86,-27.53,0.36,-0.74,-0.01,Aufheben
0.707,0.793,7.81,96.86,-19.29,0.39,-0.77,0.06,Aufheben
0.719,0.806,11.60,120.97,-9.89,0.35,-0.79,0.16,Aufheben
0.731,0.814,11.17,129.33,1.28,0.26,-0.77,0.21,Aufheben
0.743,0.836,8.30,123.29,10.99,0.15,-0.74,0.25,Aufheben
0.755,0.849,3.60,105.53,16.85,0.06,-0.72,0.27,Aufheben
0.767,0.876,-9.77,96.01,19.23,0.07,-0.73,0.23,Aufheben
0.779,0.876,-24.84,59.57,21.36,0.13,-0.75,0.21,Aufheben
0.791,0.882,-24.78,33.57,26.43,0.19,-0.79,0.20,Aufheben
0.803,0.888,-16.66,19.41,30.52,0.22,-0.81,0.26,Aufheben
0.815,0.898,-16.11,16.36,36.93,0.23,-0.81,0.24,Aufheben
0.827,0.918,-16.30,5.74,38.57,0.20,-0.85,0.27,Aufheben
0.839,0.926,-15.32,-14.10,40.22,0.18,-0.86,0.27,Aufheben
0.851,0.935,-16.11,-41.26,37.11,0.24,-0.86,0.22,Aufheben
0.863,0.986,-16.48,-57.31,29.91,0.32,-0.89,0.18,Aufheben
0.875,0.986,-12.82,-47.97,29.24,0.37,-0.89,0.22,Aufheben
0.887,0.986,3.36,-25.02,36.50,0.47,-0.98,0.33,Aufheben
0.899,0.986,23.32,13.00,40.83,0.41,-1.00,0.51,Aufheben
0.911,1.122,40.41,38.51,41.63,0.31,-0.90,0.57,Aufheben
0.923,1.194,35.58,30.27,43.33,0.24,-0.79,0.55,Aufheben
0.935,1.194,16.30,5.37,41.93,0.24,-0.82,0.48,Aufheben
0.947,1.194,-1.28,-30.58,36.87,0.28,-0.93,0.43,Aufheben
0.959,1.194,-0.98,-63.66,26.61,0.32,-1.00,0.43,Aufheben
0.971,1.194,7.87,-87.10,18.80,0.37,-0.97,0.42,Aufheben
0.983,1.194,6.47,-92.04,16.78,0.42,-0.91,0.42,Aufheben
0.995,1.194,-2.75,-80.69,14.59,0.48,-0.93,0.42,Aufheben
1.007,1.194,-7.81,-60.30,13.43,0.50,-0.94,0.37,Aufheben
1.04,1.194,-25.21,-25.76,15.01,0.31,-0.99,0.15,Aufheben
1.052,1.194,-0.31,-37.23,1.71,0.29,-1.19,0.40,Aufheben
1.064,1.194,30.64,-54.50,3.91,0.38,-1.02,0.44,Aufheben
1.076,1.194,22.09,-59.02,-3.36,0.69,-0.74,0.28,Aufheben
1.088,1.194,-5.55,-39.98,-4.33,0.67,-0.77,0.22,Aufheben
1.1,1.194,-7.39,-17.94,2.32,0.60,-0.97,0.25,Aufheben
1.112,1.228,3.85,-20.39,-5.86,0.42,-1.01,0.18,Aufheben
1.124,1.228,6.35,-49.68,-6.29,0.43,-1.01,0.17,Aufheben
1.136,1.228,7.45,-72.33,-11.41,0.43,-0.97,0.18,Aufheben
1.148,1.238,10.74,-75.93,-9.64,0.39,-0.95,0.19,Aufheben
1.16,1.248,16.30,-71.11,-10.01,0.29,-0.94,0.18,Aufheben
1.172,1.262,17.15,-70.80,-9.22,0.23,-0.89,0.19,Aufheben
1.184,1.279,15.69,-67.32,-7.45,0.28,-0.89,0.21,Aufheben
1.196,1.297,14.47,-57.07,-4.70,0.37,-0.93,0.24,Aufheben
1.208,1.304,13.79,-40.59,-2.50,0.40,-0.98,0.29,Aufheben
1.22,1.318,17.82,-35.10,-0.92,0.36,-0.99,0.31,Aufheben
1.233,1.33,23.32,-43.40,-4.33,0.34,-0.99,0.34,Aufheben
1.245,1.339,21.24,-49.44,-6.71,0.35,-0.99,0.34,Aufheben
1.257,1.346,19.17,-51.27,-11.29,0.37,-1.03,0.35,Aufheben
1.269,1.354,19.29,-48.95,-13.37,0.37,-1.06,0.34,Aufheben
1.281,1.365,25.63,-47.36,-15.20,0.36,-1.04,0.34,Aufheben
1.293,1.387,30.40,-47.91,-17.09,0.38,-1.00,0.35,Aufheben
