time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.097,10.62,7.20,-6.90,-0.29,-0.95,0.23,Aufheben
0.022,0.115,7.87,10.31,-7.32,-0.28,-0.97,0.22,Aufheben
0.034,0.122,7.20,14.71,-8.00,-0.30,-1.01,0.22,Aufheben
0.046,0.131,7.51,19.29,-9.34,-0.31,-1.04,0.24,Aufheben
0.058,0.145,7.93,21.12,-10.07,-0.33,-1.05,0.28,Aufheben
0.07,0.161,8.54,21.48,-10.93,-0.33,-1.03,0.29,Aufheben
0.082,0.171,9.83,22.58,-12.33,-0.31,-1.03,0.35,Aufheben
0.094,0.18,11.96,24.23,-12.27,-0.33,-0.95,0.38,Aufheben
0.106,0.189,12.08,24.23,-12.51,-0.34,-0.96,0.38,Aufheben
0.118,0.206,13.61,25.27,-12.51,-0.35,-0.96,0.40,Aufheben
0.13,0.22,15.01,26.86,-10.68,-0.35,-0.92,0.40,Aufheben
0.142,0.228,16.66,26.98,-11.29,-0.38,-0.90,0.40,Aufheben
0.154,0.238,16.48,24.41,-12.08,-0.39,-0.90,0.42,Aufheben
0.166,0.262,16.85,19.90,-13.24,-0.40,-0.91,0.39,Aufheben
0.178,0.274,17.27,14.40,-15.44,-0.41,-0.89,0.38,Aufheben
0.19,0.282,16.54,8.36,-17.40,-0.41,-0.87,0.36,Aufheben
0.202,0.29,15.99,3.60,-17.88,-0.39,-0.85,0.33,Aufheben
0.214,0.298,13.49,-0.06,-18.62,-0.37,-0.85,0.34,Aufheben
0.227,0.311,10.01,-1.83,-19.71,-0.38,-0.88,0.34,Aufheben
0.239,0.323,9.22,-1.10,-18.01,-0.38,-0.90,0.32,Aufheben
0.251,0.337,10.19,0.24,-15.69,-0.41,-0.92,0.33,Aufheben
0.263,0.35,12.51,3.11,-12.21,-0.42,-0.92,0.38,Aufheben
0.275,0.366,15.69,6.53,-7.45,-0.45,-0.91,0.40,Aufheben
0.287,0.373,17.03,8.18,-1.83,-0.48,-0.91,0.41,Aufheben
0.299,0.384,18.31,9.70,4.94,-0.48,-0.91,0.44,Aufheben
0.311,0.397,22.64,15.26,13.43,-0.46,-0.92,0.45,Aufheben
0.323,0.412,29.48,22.64,21.61,-0.49,-0.92,0.47,Aufheben
0.335,0.424,36.93,29.24,28.50,-0.55,-0.89,0.49,Aufheben
0.347,0.431,40.59,27.04,35.52,-0.55,-0.86,0.52,Aufheben
0.359,0.442,42.60,28.44,40.77,-0.55,-0.85,0.52,Aufheben
0.371,0.468,43.88,32.41,45.84,-0.54,-0.84,0.50,Aufheben
0.383,0.468,45.17,35.22,49.87,-0.57,-0.82,0.48,Aufheben
0.395,0.478,44.01,32.96,53.89,-0.58,-0.81,0.46,Aufheben
0.407,0.495,41.75,27.16,55.73,-0.58,-0.82,0.46,Aufheben
