time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.149,9.70,-21.73,-2.01,0.28,-0.95,-0.04,Aufheben
0.022,0.159,8.30,-19.59,-1.95,0.29,-0.94,-0.03,Aufheben
0.034,0.169,8.61,-20.69,-1.83,0.28,-0.93,-0.03,Aufheben
0.046,0.176,7.51,-18.49,-0.85,0.29,-0.93,-0.03,Aufheben
0.058,0.198,7.87,-19.04,-0.37,0.28,-0.93,-0.04,Aufheben
0.07,0.21,6.35,-17.46,1.28,0.28,-0.94,-0.03,Aufheben
0.082,0.218,6.29,-16.42,2.26,0.28,-0.93,-0.02,Aufheben
0.094,0.225,6.53,-18.62,2.87,0.30,-0.92,-0.03,Aufheben
0.106,0.234,6.59,-19.04,3.85,0.30,-0.91,-0.03,Aufheben
0.118,0.25,7.02,-18.92,3.97,0.30,-0.91,-0.03,Aufheben
0.13,0.261,6.41,-18.19,5.25,0.29,-0.92,-0.03,Aufheben
0.142,0.277,6.65,-17.94,5.55,0.29,-0.92,-0.04,Aufheben
0.154,0.285,5.49,-18.37,5.80,0.30,-0.92,-0.04,Aufheben
0.166,0.302,5.68,-17.27,6.10,0.30,-0.94,-0.03,Aufheben
0.178,0.318,5.86,-17.76,5.86,0.29,-0.94,-0.04,Aufheben
0.19,0.327,4.64,-18.13,5.80,0.29,-0.93,-0.05,Aufheben
0.202,0.334,5.13,-18.55,5.31,0.31,-0.94,-0.04,Aufheben
0.214,0.343,5.37,-18.86,5.86,0.31,-0.93,-0.06,Aufheben
0.226,0.358,5.31,-17.70,6.90,0.29,-0.93,-0.04,Aufheben
0.238,0.369,5.07,-16.66,5.68,0.29,-0.92,-0.06,Aufheben
0.25,0.382,4.94,-16.36,5.80,0.29,-0.92,-0.05,Aufheben
0.262,0.391,2.32,-15.14,6.41,0.29,-0.93,-0.04,Aufheben
0.274,0.412,3.42,-14.59,6.41,0.28,-0.93,-0.04,Aufheben
0.286,0.42,1.53,-14.95,6.59,0.28,-0.94,-0.05,Aufheben
0.298,0.427,2.50,-15.81,6.16,0.28,-0.93,-0.06,Aufheben
0.311,0.44,2.62,-16.78,5.55,0.28,-0.92,-0.06,Aufheben
0.324,0.461,2.69,-18.55,5.55,0.27,-0.92,-0.07,Aufheben
0.336,0.471,2.26,-19.41,5.07,0.27,-0.93,-0.07,Aufheben
0.348,0.477,2.26,-18.31,5.92,0.28,-0.92,-0.06,Aufheben
0.36,0.49,0.55,-16.24,6.41,0.28,-0.91,-0.06,Aufheben
0.372,0.505,0.49,-14.40,6.77,0.27,-0.92,-0.07,Aufheben
0.384,0.515,0.18,-13.67,5.68,0.27,-0.92,-0.07,Aufheben
0.396,0.534,-0.37,-13.92,5.55,0.27,-0.92,-0.08,Aufheben
0.408,0.542,-0.73,-14.34,5.92,0.27,-0.91,-0.08,Aufheben
0.42,0.551,-3.36,-9.52,6.41,0.26,-0.91,-0.07,Aufheben
0.432,0.568,-3.17,-10.86,5.62,0.29,-0.91,-0.08,Aufheben
0.444,0.576,-4.52,-7.93,5.19,0.28,-0.91,-0.09,Aufheben
0.456,0.584,-3.85,-9.58,4.52,0.28,-0.90,-0.08,Aufheben
0.468,0.608,-4.58,-7.45,3.85,0.28,-0.89,-0.08,Aufheben
0.48,0.619,-5.62,-6.71,3.36,0.28,-0.88,-0.09,Aufheben
0.492,0.626,-6.23,-6.35,0.92,0.26,-0.90,-0.08,Aufheben
0.504,0.638,-7.45,-5.74,-0.67,0.27,-0.90,-0.09,Aufheben
0.516,0.652,-6.90,-5.68,-2.62,0.30,-0.92,-0.11,Aufheben
0.528,0.662,-7.08,-3.72,-3.72,0.29,-0.91,-0.12,Aufheben
0.54,0.67,-5.98,-2.75,-6.10,0.32,-0.91,-0.12,Aufheben
0.552,0.68,-6.47,-2.50,-8.85,0.31,-0.91,-0.13,Aufheben
0.564,0.694,-7.26,-2.32,-13.12,0.32,-0.89,-0.12,Aufheben
0.576,0.716,-5.07,-2.69,-16.66,0.33,-0.89,-0.12,Aufheben
0.588,0.722,-5.62,-0.73,-19.59,0.32,-0.88,-0.12,Aufheben
0.6,0.728,-8.00,2.81,-21.79,0.32,-0.88,-0.12,Aufheben
0.612,0.743,-8.61,3.97,-24.41,0.31,-0.89,-0.11,Aufheben
0.624,0.753,-8.79,4.09,-27.22,0.32,-0.89,-0.14,Aufheben
0.636,0.768,-7.81,3.91,-30.27,0.31,-0.88,-0.15,Aufheben
0.648,0.778,-8.06,3.17,-32.59,0.30,-0.85,-0.17,Aufheben
0.66,0.795,-8.73,-2.56,-36.07,0.29,-0.84,-0.16,Aufheben
0.672,0.821,-10.68,-5.68,-38.39,0.29,-0.81,-0.16,Aufheben
0.684,0.827,-12.82,-9.46,-40.65,0.31,-0.80,-0.15,Aufheben
0.696,0.827,-14.89,-10.68,-42.24,0.32,-0.79,-0.17,Aufheben
0.708,0.84,-17.21,-8.36,-44.25,0.33,-0.80,-0.17,Aufheben
0.72,0.854,-18.07,-7.14,-43.64,0.32,-0.79,-0.17,Aufheben
0.732,0.86,-18.25,-6.41,-45.84,0.32,-0.78,-0.17,Aufheben
0.744,0.877,-19.23,-6.96,-46.45,0.31,-0.75,-0.17,Aufheben
0.756,0.885,-21.06,-4.94,-47.24,0.29,-0.72,-0.17,Aufheben
0.768,0.898,-22.34,-5.37,-47.61,0.31,-0.72,-0.18,Aufheben
0.78,0.923,-25.39,-4.39,-47.12,0.30,-0.71,-0.18,Aufheben
0.792,0.929,-28.44,-2.93,-45.10,0.31,-0.74,-0.20,Aufheben
0.804,0.936,-27.47,-5.55,-44.86,0.30,-0.75,-0.21,Aufheben
0.816,0.944,-27.53,-8.18,-43.52,0.29,-0.74,-0.21,Aufheben
0.828,0.958,-28.44,-10.80,-41.87,0.28,-0.72,-0.20,Aufheben
0.84,0.968,-27.89,-17.21,-41.44,0.28,-0.71,-0.20,Aufheben
0.852,0.988,-30.40,-17.64,-39.61,0.28,-0.70,-0.22,Aufheben
0.864,0.994,-31.19,-19.90,-38.15,0.28,-0.71,-0.23,Aufheben
0.876,1.005,-29.48,-22.89,-36.62,0.27,-0.71,-0.22,Aufheben
0.888,1.027,-29.17,-24.05,-34.12,0.27,-0.71,-0.22,Aufheben
0.9,1.036,-29.17,-25.15,-30.46,0.29,-0.69,-0.23,Aufheben
0.912,1.043,-30.46,-25.09,-28.02,0.29,-0.70,-0.22,Aufheben
0.924,1.054,-31.43,-25.51,-24.54,0.30,-0.70,-0.21,Aufheben
0.936,1.067,-29.72,-27.77,-22.09,0.30,-0.68,-0.21,Aufheben
0.948,1.078,-28.69,-29.66,-17.94,0.31,-0.69,-0.21,Aufheben
0.96,1.093,-29.24,-29.54,-16.66,0.33,-0.68,-0.22,Aufheben
0.972,1.1,-30.58,-27.71,-12.33,0.31,-0.71,-0.21,Aufheben
0.984,1.137,-29.66,-25.63,-9.46,0.32,-0.74,-0.22,Aufheben
0.996,1.137,-29.54,-25.09,-8.85,0.32,-0.72,-0.20,Aufheben
1.008,1.145,-25.57,-27.59,-7.51,0.31,-0.68,-0.22,Aufheben
1.041,1.169,-27.40,-28.02,-2.38,0.30,-0.68,-0.23,Aufheben
1.053,1.183,-29.42,-28.32,-1.22,0.31,-0.72,-0.23,Aufheben
1.065,1.193,-27.28,-32.10,-1.28,0.30,-0.75,-0.24,Aufheben
1.077,1.206,-25.70,-31.98,0.61,0.29,-0.76,-0.25,Aufheben
1.089,1.236,-22.89,-35.71,-0.98,0.33,-0.75,-0.28,Aufheben
1.101,1.236,-26.86,-27.53,-0.12,0.36,-0.77,-0.31,Aufheben
1.113,1.242,-26.98,-22.28,1.34,0.36,-0.78,-0.34,Aufheben
1.125,1.253,-26.43,-20.87,0.73,0.37,-0.83,-0.40,Aufheben
1.137,1.267,-25.02,-20.14,0.37,0.35,-0.86,-0.45,Aufheben
1.15,1.282,-24.35,-20.94,-0.18,0.33,-0.91,-0.49,Aufheben
1.162,1.291,-21.73,-25.82,-3.85,0.30,-0.90,-0.53,Aufheben
1.174,1.305,-20.14,-27.40,-5.25,0.29,-0.89,-0.53,Aufheben
1.186,1.316,-19.78,-28.20,-5.43,0.31,-0.87,-0.51,Aufheben
1.198,1.338,-21.67,-26.37,-4.52,0.32,-0.84,-0.48,Aufheben
1.21,1.345,-22.52,-24.60,-2.99,0.33,-0.82,-0.44,Aufheben
1.222,1.355,-22.95,-22.89,0.00,0.33,-0.79,-0.42,Aufheben
1.234,1.362,-24.60,-19.65,2.01,0.33,-0.73,-0.37,Aufheben
1.246,1.375,-25.33,-15.87,6.65,0.36,-0.70,-0.34,Aufheben
1.258,1.389,-28.75,-10.56,9.70,0.37,-0.66,-0.30,Aufheben
1.27,1.426,-30.52,-6.04,13.18,0.40,-0.63,-0.28,Aufheben
1.282,1.437,-30.58,-5.37,13.73,0.41,-0.62,-0.23,Aufheben
1.294,1.437,-30.15,-12.45,13.31,0.40,-0.62,-0.19,Aufheben
1.306,1.437,-27.95,-28.26,8.73,0.35,-0.66,-0.16,Aufheben
1.318,1.446,-18.98,-47.42,0.92,0.37,-0.67,-0.20,Aufheben
1.33,1.471,-8.85,-63.90,-5.98,0.41,-0.63,-0.19,Aufheben
1.342,1.472,0.37,-74.10,-9.22,0.41,-0.59,-0.20,Aufheben
1.354,1.581,8.24,-86.55,-14.47,0.38,-0.57,-0.22,Aufheben
1.366,1.612,14.28,-105.90,-17.70,0.40,-0.59,-0.24,Aufheben
1.378,1.612,24.90,-125.37,-21.79,0.46,-0.58,-0.27,Aufheben
1.39,1.612,37.29,-136.17,-22.58,0.48,-0.55,-0.28,Aufheben
1.402,1.612,47.55,-142.09,-21.73,0.42,-0.50,-0.32,Aufheben
1.414,1.612,53.71,-154.66,-23.07,0.35,-0.53,-0.32,Aufheben
