time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.149,1.89,1.71,-3.78,-0.32,-0.96,0.16,Aufheben
0.022,0.159,1.95,1.65,-4.03,-0.32,-0.96,0.16,Aufheben
0.034,0.169,1.46,1.83,-4.76,-0.31,-0.96,0.17,Aufheben
0.046,0.178,1.65,1.65,-4.64,-0.32,-0.96,0.16,Aufheben
0.058,0.207,1.04,2.38,-4.70,-0.31,-0.96,0.15,Aufheben
0.07,0.216,0.55,2.32,-4.88,-0.32,-0.95,0.16,Aufheben
0.082,0.216,0.92,1.71,-5.68,-0.32,-0.94,0.15,Aufheben
0.094,0.225,0.92,2.32,-5.68,-0.32,-0.95,0.15,Aufheben
0.106,0.238,0.55,1.65,-5.98,-0.32,-0.93,0.15,Aufheben
0.118,0.248,0.12,1.77,-6.16,-0.31,-0.95,0.16,Aufheben
0.13,0.263,-0.49,1.83,-6.77,-0.31,-0.95,0.16,Aufheben
0.142,0.272,-0.49,2.08,-6.90,-0.31,-0.96,0.16,Aufheben
0.154,0.285,-0.37,2.50,-6.96,-0.30,-0.95,0.16,Aufheben
0.166,0.646,-0.43,3.48,-7.14,-0.32,-0.96,0.15,Aufheben
0.178,0.646,-0.31,5.13,-7.39,-0.31,-0.96,0.14,Aufheben
0.19,0.646,-0.79,7.08,-6.65,-0.32,-0.97,0.16,Aufheben
0.202,0.646,-0.98,9.09,-6.84,-0.34,-0.96,0.15,Aufheben
0.214,0.646,-1.22,9.95,-6.23,-0.34,-0.96,0.14,Aufheben
0.226,0.646,-2.20,9.09,-5.80,-0.35,-0.97,0.14,Aufheben
0.238,0.646,-1.16,7.81,-4.88,-0.36,-0.95,0.15,Aufheben
0.25,0.646,-0.79,5.49,-2.75,-0.36,-0.95,0.15,Aufheben
0.262,0.646,-1.71,3.60,-1.04,-0.37,-0.94,0.16,Aufheben
0.274,0.646,-1.65,2.38,0.43,-0.37,-0.94,0.14,Aufheben
0.286,0.646,-2.01,-0.61,1.22,-0.36,-0.94,0.14,Aufheben
0.298,0.646,-2.32,-2.20,1.53,-0.35,-0.92,0.16,Aufheben
0.31,0.646,-2.62,-2.14,2.44,-0.37,-0.90,0.16,Aufheben
0.322,0.646,-4.21,-1.83,2.38,-0.39,-0.90,0.17,Aufheben
0.334,0.646,-4.64,-2.20,2.81,-0.39,-0.90,0.16,Aufheben
0.346,0.646,-5.68,-3.11,3.91,-0.39,-0.91,0.15,Aufheben
0.358,0.646,-5.80,-2.56,5.74,-0.38,-0.91,0.16,Aufheben
0.37,0.646,-5.25,-1.83,7.51,-0.40,-0.91,0.16,Aufheben
0.382,0.646,-5.55,-2.14,9.16,-0.40,-0.89,0.16,Aufheben
0.394,0.646,-6.16,-4.15,10.31,-0.41,-0.88,0.15,Aufheben
0.406,0.646,-7.02,-6.04,11.35,-0.39,-0.87,0.14,Aufheben
0.418,0.647,-7.93,-7.26,11.05,-0.38,-0.85,0.13,Aufheben
0.43,0.647,-8.91,-9.16,10.93,-0.39,-0.84,0.13,Aufheben
0.442,0.647,-9.16,-12.45,10.19,-0.40,-0.83,0.13,Aufheben
0.454,0.647,-10.74,-15.20,8.91,-0.38,-0.81,0.13,Aufheben
0.466,0.647,-12.70,-16.78,8.30,-0.35,-0.82,0.13,Aufheben
