time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.118,18.62,-49.32,-128.17,0.59,-0.67,-0.08,Aufheben
0.022,0.464,13.73,-61.10,-127.08,0.57,-0.65,-0.08,Aufheben
0.034,0.464,7.45,-70.62,-124.88,0.53,-0.63,-0.12,Aufheben
0.046,0.464,4.33,-81.24,-122.99,0.52,-0.58,-0.13,Aufheben
0.058,0.464,1.16,-97.41,-119.63,0.57,-0.56,-0.12,Aufheben
0.07,0.464,-2.93,-107.06,-116.21,0.67,-0.54,-0.11,Aufheben
0.082,0.464,-5.43,-92.96,-106.14,0.68,-0.52,-0.13,Aufheben
0.094,0.464,-6.77,-63.35,-88.87,0.58,-0.52,-0.09,Aufheben
0.106,0.464,-8.30,-63.17,-82.28,0.46,-0.53,-0.09,Aufheben
0.118,0.464,-9.83,-73.61,-76.84,0.47,-0.52,-0.09,Aufheben
0.13,0.464,-11.60,-83.01,-70.80,0.51,-0.53,-0.10,Aufheben
0.142,0.464,-12.76,-83.07,-61.77,0.51,-0.54,-0.10,Aufheben
0.154,0.464,-11.41,-87.95,-52.49,0.46,-0.55,-0.11,Aufheben
0.166,0.464,-12.39,-94.12,-44.98,0.46,-0.55,-0.12,Aufheben
0.178,0.464,-10.31,-93.87,-34.24,0.50,-0.56,-0.13,Aufheben
0.19,0.465,-10.25,-82.03,-22.03,0.50,-0.60,-0.11,Aufheben
0.202,0.465,-4.27,-76.78,-12.45,0.47,-0.63,-0.14,Aufheben
0.214,0.465,0.00,-79.04,-6.53,0.48,-0.63,-0.16,Aufheben
0.226,0.465,3.48,-83.01,0.18,0.53,-0.64,-0.16,Aufheben
0.238,0.465,7.69,-85.94,4.64,0.52,-0.67,-0.18,Aufheben
0.25,0.465,10.99,-94.24,9.64,0.51,-0.69,-0.19,Aufheben
0.262,0.465,14.83,-101.56,13.61,0.55,-0.70,-0.23,Aufheben
0.274,0.465,17.33,-99.06,19.17,0.59,-0.70,-0.20,Aufheben
0.286,0.465,17.82,-82.76,26.86,0.60,-0.71,-0.14,Aufheben
0.298,0.465,17.88,-68.24,31.68,0.51,-0.75,-0.10,Aufheben
0.31,0.465,17.33,-62.01,32.96,0.41,-0.75,-0.11,Aufheben
0.322,0.465,14.53,-68.79,31.43,0.40,-0.74,-0.15,Aufheben
0.334,0.465,10.93,-72.94,27.65,0.46,-0.70,-0.18,Aufheben
0.346,0.465,8.61,-74.95,27.95,0.51,-0.70,-0.19,Aufheben
0.358,0.47,6.96,-73.55,28.81,0.52,-0.73,-0.18,Aufheben
0.37,0.489,4.39,-77.58,30.09,0.51,-0.75,-0.18,Aufheben
0.382,0.497,0.79,-88.99,27.65,0.51,-0.80,-0.18,Aufheben
0.394,0.504,-0.79,-100.77,25.63,0.55,-0.82,-0.23,Aufheben
0.406,0.513,1.16,-104.06,23.99,0.58,-0.80,-0.25,Aufheben
0.418,0.523,1.16,-100.16,23.74,0.53,-0.79,-0.24,Aufheben
0.43,0.537,4.46,-96.92,23.56,0.49,-0.80,-0.26,Aufheben
0.442,0.549,8.97,-91.61,23.13,0.49,-0.77,-0.35,Aufheben
0.454,0.565,10.25,-81.12,22.22,0.53,-0.74,-0.39,Aufheben
0.466,0.571,11.23,-71.59,22.16,0.55,-0.76,-0.41,Aufheben
0.479,0.593,13.00,-65.25,21.24,0.58,-0.81,-0.36,Aufheben
0.491,0.6,18.07,-63.42,19.71,0.54,-0.82,-0.32,Aufheben
0.503,0.608,21.18,-68.36,16.42,0.49,-0.80,-0.31,Aufheben
0.515,0.646,21.79,-87.77,8.67,0.47,-0.80,-0.33,Aufheben
0.527,0.646,20.81,-104.68,2.81,0.52,-0.77,-0.37,Aufheben
0.539,0.654,18.68,-105.04,0.73,0.57,-0.76,-0.41,Aufheben
0.551,0.66,18.80,-93.99,0.85,0.59,-0.77,-0.42,Aufheben
0.563,0.669,21.00,-81.48,0.55,0.56,-0.73,-0.42,Aufheben
0.575,0.686,20.26,-69.40,0.00,0.51,-0.73,-0.39,Aufheben
0.587,0.699,19.65,-57.50,1.22,0.50,-0.76,-0.35,Aufheben
0.599,0.706,20.75,-48.34,1.28,0.49,-0.79,-0.35,Aufheben
0.611,0.716,23.13,-52.73,-1.28,0.44,-0.78,-0.34,Aufheben
0.623,0.732,23.13,-66.59,-4.03,0.47,-0.77,-0.39,Aufheben
0.635,0.744,23.07,-72.57,-6.35,0.51,-0.74,-0.41,Aufheben
0.647,0.758,21.48,-75.38,-7.63,0.47,-0.73,-0.42,Aufheben
0.659,0.764,19.23,-78.74,-10.31,0.47,-0.72,-0.46,Aufheben
0.672,0.777,16.54,-79.41,-13.85,0.53,-0.71,-0.50,Aufheben
0.684,0.801,15.32,-65.55,-15.99,0.60,-0.71,-0.55,Aufheben
0.696,0.813,15.01,-43.03,-13.67,0.62,-0.73,-0.49,Aufheben
0.708,0.821,19.96,-15.50,-10.13,0.59,-0.73,-0.47,Aufheben
0.72,0.829,23.01,-0.12,-7.32,0.49,-0.72,-0.44,Aufheben
0.732,0.838,21.61,-1.71,-11.23,0.41,-0.72,-0.42,Aufheben
0.744,0.859,21.61,-15.81,-11.66,0.44,-0.77,-0.40,Aufheben
0.756,0.866,20.14,-17.46,-10.93,0.49,-0.80,-0.42,Aufheben
0.768,0.873,16.05,-16.72,-6.84,0.38,-0.84,-0.41,Aufheben
0.78,0.89,16.72,-34.85,-7.08,0.35,-0.86,-0.44,Aufheben
0.792,0.903,18.92,-42.05,-8.30,0.50,-0.84,-0.46,Aufheben
0.804,0.911,21.91,-28.38,-7.81,0.47,-0.77,-0.43,Aufheben
0.816,0.921,19.35,-23.68,-10.25,0.36,-0.76,-0.41,Aufheben
0.828,0.936,17.64,-33.26,-14.53,0.35,-0.79,-0.41,Aufheben
0.84,0.955,19.10,-42.05,-17.76,0.38,-0.80,-0.41,Aufheben
0.852,0.963,17.52,-45.72,-17.21,0.37,-0.79,-0.42,Aufheben
0.864,0.969,15.93,-47.06,-18.25,0.40,-0.79,-0.46,Aufheben
0.876,0.982,16.97,-46.14,-23.86,0.50,-0.78,-0.51,Aufheben
0.889,1.006,21.73,-37.23,-28.14,0.54,-0.78,-0.46,Aufheben
0.901,1.018,22.16,-32.53,-28.99,0.53,-0.74,-0.42,Aufheben
0.913,1.025,14.59,-44.56,-31.62,0.42,-0.77,-0.41,Aufheben
0.925,1.038,15.32,-62.81,-32.59,0.38,-0.81,-0.41,Aufheben
0.937,1.045,21.18,-70.43,-32.04,0.46,-0.76,-0.40,Aufheben
0.949,1.056,24.54,-64.39,-31.07,0.46,-0.73,-0.37,Aufheben
