time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.075,3.05,3.97,-2.99,-0.28,-0.95,0.23,Aufheben
0.022,0.094,3.36,4.76,-2.99,-0.26,-0.95,0.22,Aufheben
0.034,0.104,3.23,5.07,-2.69,-0.29,-0.95,0.23,Aufheben
0.046,0.111,3.23,5.19,-3.11,-0.28,-0.95,0.23,Aufheben
0.058,0.121,2.62,4.39,-3.05,-0.28,-0.94,0.24,Aufheben
0.07,0.139,2.01,4.70,-2.93,-0.27,-0.94,0.22,Aufheben
0.082,0.154,1.53,3.30,-3.72,-0.28,-0.95,0.23,Aufheben
0.094,0.165,1.46,3.11,-3.66,-0.27,-0.96,0.25,Aufheben
0.106,0.197,1.34,2.81,-3.97,-0.27,-0.94,0.22,Aufheben
0.118,0.197,1.53,3.91,-4.33,-0.28,-0.94,0.23,Aufheben
0.13,0.197,1.46,4.33,-3.78,-0.29,-0.96,0.25,Aufheben
0.142,0.205,1.83,4.76,-3.91,-0.29,-0.96,0.24,Aufheben
0.154,0.225,1.89,4.76,-3.85,-0.28,-0.96,0.25,Aufheben
0.166,0.236,2.26,4.88,-3.66,-0.29,-0.96,0.24,Aufheben
0.178,0.244,1.89,4.76,-3.91,-0.28,-0.95,0.23,Aufheben
0.19,0.252,1.40,4.39,-4.52,-0.29,-0.95,0.24,Aufheben
0.202,0.312,1.40,4.33,-4.46,-0.29,-0.95,0.24,Aufheben
0.214,0.312,1.46,4.33,-4.46,-0.27,-0.95,0.22,Aufheben
0.226,0.312,1.95,4.33,-4.52,-0.30,-0.96,0.23,Aufheben
0.238,0.335,1.28,3.78,-3.54,-0.29,-0.94,0.23,Aufheben
0.25,0.335,0.55,3.60,-3.42,-0.28,-0.96,0.25,Aufheben
0.262,0.335,0.18,3.97,-3.48,-0.28,-0.96,0.22,Aufheben
0.274,0.344,-0.37,4.15,-3.97,-0.29,-0.96,0.23,Aufheben
0.286,0.386,-0.49,3.85,-4.39,-0.29,-0.96,0.23,Aufheben
0.298,0.445,-0.85,4.27,-4.58,-0.30,-0.97,0.22,Aufheben
0.31,0.445,-1.77,3.42,-3.97,-0.27,-0.97,0.24,Aufheben
0.322,0.445,-2.32,2.75,-3.36,-0.26,-0.99,0.26,Aufheben
0.334,0.445,-2.93,1.95,-1.46,-0.26,-1.01,0.32,Aufheben
0.346,0.503,-3.78,0.31,-0.49,-0.27,-1.00,0.32,Aufheben
0.358,0.503,-2.50,-0.61,0.49,-0.24,-0.98,0.33,Aufheben
0.37,0.503,-0.43,0.79,3.48,-0.28,-1.00,0.33,Aufheben
0.382,0.503,2.44,1.89,5.43,-0.29,-1.02,0.35,Aufheben
0.394,0.503,4.46,0.00,7.81,-0.31,-1.03,0.40,Aufheben
0.406,0.55,5.25,-2.50,9.89,-0.30,-1.00,0.43,Aufheben
0.418,0.55,3.97,-6.10,11.90,-0.32,-1.01,0.45,Aufheben
0.43,0.55,4.15,-8.85,12.76,-0.35,-1.03,0.46,Aufheben
0.442,0.55,5.86,-10.99,13.55,-0.35,-1.03,0.44,Aufheben
0.454,0.55,10.99,-11.78,14.22,-0.33,-1.03,0.42,Aufheben
0.466,0.55,16.66,-9.52,15.38,-0.33,-1.00,0.40,Aufheben
0.478,0.679,23.44,-5.31,15.20,-0.34,-0.96,0.38,Aufheben
0.49,0.679,28.08,-2.38,14.16,-0.33,-0.94,0.38,Aufheben
0.502,0.679,30.21,2.26,14.22,-0.33,-0.93,0.39,Aufheben
0.514,0.679,32.96,7.81,13.79,-0.37,-0.91,0.39,Aufheben
0.526,0.679,34.00,10.38,13.06,-0.39,-0.90,0.40,Aufheben
0.538,0.679,31.86,7.81,13.73,-0.41,-0.90,0.44,Aufheben
0.55,0.679,28.50,-1.89,13.12,-0.43,-0.92,0.44,Aufheben
0.562,0.679,26.79,-12.39,11.90,-0.44,-0.91,0.40,Aufheben
0.574,0.679,29.05,-22.34,12.27,-0.41,-0.89,0.38,Aufheben
0.586,0.679,31.43,-28.26,10.68,-0.38,-0.89,0.38,Aufheben
0.598,0.679,33.26,-31.68,10.07,-0.35,-0.87,0.35,Aufheben
0.61,0.679,34.12,-33.08,9.03,-0.33,-0.85,0.34,Aufheben
0.622,0.693,35.22,-32.10,7.45,-0.31,-0.85,0.33,Aufheben
0.634,1.082,35.77,-28.02,5.74,-0.30,-0.86,0.33,Aufheben
0.646,1.082,34.42,-22.52,4.15,-0.30,-0.86,0.32,Aufheben
0.658,1.082,32.53,-17.76,2.38,-0.33,-0.86,0.33,Aufheben
0.67,1.082,30.33,-14.28,0.43,-0.35,-0.85,0.30,Aufheben
0.682,1.082,30.03,-9.89,-1.28,-0.35,-0.83,0.27,Aufheben
0.694,1.082,28.63,-8.30,-2.38,-0.36,-0.81,0.29,Aufheben
0.706,1.082,26.86,-5.92,-3.54,-0.39,-0.82,0.29,Aufheben
0.718,1.082,26.43,-5.00,-4.64,-0.41,-0.81,0.28,Aufheben
0.73,1.082,25.09,-3.60,-3.78,-0.41,-0.80,0.29,Aufheben
0.742,1.082,25.45,-1.28,-1.95,-0.38,-0.77,0.28,Aufheben
0.754,1.082,24.23,2.93,-1.16,-0.40,-0.74,0.26,Aufheben
0.766,1.082,23.62,7.39,0.55,-0.39,-0.75,0.27,Aufheben
0.778,1.082,22.58,10.31,1.22,-0.42,-0.76,0.29,Aufheben
0.79,1.082,20.69,9.64,0.24,-0.45,-0.76,0.30,Aufheben
0.802,1.082,16.48,6.71,-1.46,-0.44,-0.77,0.29,Aufheben
0.814,1.082,12.88,2.50,-2.62,-0.45,-0.82,0.33,Aufheben
0.826,1.082,9.64,-0.98,-2.99,-0.44,-0.82,0.34,Aufheben
0.838,1.082,7.51,-1.04,-2.81,-0.42,-0.84,0.31,Aufheben
0.85,1.082,9.34,4.21,-1.59,-0.39,-0.86,0.28,Aufheben
0.862,1.082,15.08,16.66,1.71,-0.36,-0.88,0.27,Aufheben
