time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.165,7.08,-16.48,-3.17,0.26,-0.94,0.19,Aufheben
0.022,0.178,5.00,-14.77,-2.01,0.27,-0.94,0.18,Aufheben
0.034,0.192,5.49,-14.83,-1.28,0.27,-0.93,0.18,Aufheben
0.046,0.199,5.31,-16.91,-0.79,0.27,-0.94,0.19,Aufheben
0.058,0.215,6.53,-17.09,-0.55,0.26,-0.94,0.18,Aufheben
0.07,0.227,7.51,-19.29,-0.18,0.28,-0.94,0.17,Aufheben
0.082,0.251,6.77,-20.08,0.37,0.28,-0.94,0.17,Aufheben
0.094,0.283,8.24,-20.57,-0.06,0.27,-0.93,0.18,Aufheben
0.106,0.283,8.67,-20.57,0.18,0.27,-0.94,0.18,Aufheben
0.118,0.283,9.03,-20.26,0.43,0.27,-0.92,0.16,Aufheben
0.13,0.299,8.85,-21.24,0.85,0.26,-0.94,0.17,Aufheben
0.142,0.438,7.87,-21.61,2.69,0.23,-0.93,0.17,Aufheben
0.154,0.438,6.53,-22.64,4.76,0.17,-0.92,0.18,Aufheben
0.166,0.438,6.10,-27.83,8.18,0.13,-0.90,0.19,Aufheben
0.178,0.438,2.20,-35.77,10.19,0.08,-0.88,0.18,Aufheben
0.19,0.438,-0.85,-48.34,12.27,0.09,-0.91,0.17,Aufheben
0.202,0.438,-2.38,-58.11,16.11,0.13,-0.94,0.14,Aufheben
0.214,0.438,-2.01,-63.29,20.57,0.17,-0.97,0.14,Aufheben
0.226,0.438,1.16,-62.74,25.09,0.23,-0.98,0.14,Aufheben
0.238,0.438,3.66,-53.22,29.30,0.27,-0.98,0.16,Aufheben
0.25,0.438,6.53,-36.99,33.45,0.28,-1.00,0.19,Aufheben
0.262,0.438,7.32,-21.67,34.73,0.25,-1.01,0.17,Aufheben
0.274,0.438,9.40,-16.78,33.02,0.24,-1.02,0.19,Aufheben
0.286,0.445,11.23,-19.84,29.66,0.22,-1.04,0.19,Aufheben
0.298,0.451,11.54,-30.40,22.40,0.23,-1.07,0.24,Aufheben
0.31,0.465,11.66,-43.27,13.12,0.24,-1.09,0.29,Aufheben
0.322,0.476,11.84,-56.82,3.42,0.26,-1.10,0.28,Aufheben
0.334,0.491,16.17,-69.15,-8.91,0.30,-1.10,0.27,Aufheben
0.346,0.501,20.32,-75.56,-20.20,0.36,-1.09,0.25,Aufheben
0.358,0.51,24.54,-77.39,-29.66,0.44,-1.10,0.28,Aufheben
0.37,0.535,28.26,-72.69,-38.45,0.47,-1.09,0.31,Aufheben
0.382,0.542,31.62,-61.95,-45.47,0.48,-1.07,0.27,Aufheben
0.394,0.549,37.72,-54.20,-50.96,0.45,-1.03,0.25,Aufheben
0.406,0.558,43.46,-47.79,-55.91,0.44,-0.99,0.23,Aufheben
0.418,0.58,48.10,-44.25,-59.45,0.41,-0.95,0.24,Aufheben
0.43,0.588,49.13,-43.52,-58.72,0.39,-0.89,0.24,Aufheben
0.442,0.595,49.62,-41.44,-57.31,0.37,-0.86,0.26,Aufheben
0.454,0.612,49.19,-44.31,-55.18,0.35,-0.82,0.27,Aufheben
0.466,0.62,46.33,-44.56,-50.96,0.37,-0.80,0.25,Aufheben
0.478,0.632,42.18,-48.16,-46.14,0.42,-0.78,0.24,Aufheben
0.49,0.646,38.94,-45.23,-41.99,0.46,-0.80,0.22,Aufheben
0.502,0.654,36.07,-35.83,-37.84,0.53,-0.82,0.24,Aufheben
0.514,0.675,35.28,-21.36,-35.46,0.55,-0.83,0.21,Aufheben
0.526,0.687,32.96,-7.32,-34.91,0.56,-0.85,0.21,Aufheben
0.538,0.693,33.51,4.03,-35.34,0.54,-0.87,0.20,Aufheben
0.55,0.707,35.58,11.23,-38.51,0.51,-0.90,0.20,Aufheben
0.562,0.723,36.99,9.70,-42.72,0.47,-0.89,0.23,Aufheben
0.574,0.734,38.39,0.49,-46.63,0.47,-0.90,0.24,Aufheben
0.586,0.742,38.27,-8.24,-51.76,0.52,-0.92,0.24,Aufheben
0.598,0.75,37.41,-15.56,-55.48,0.54,-0.93,0.24,Aufheben
0.61,0.768,40.89,-17.94,-60.24,0.55,-0.92,0.25,Aufheben
0.622,0.792,40.95,-19.53,-63.72,0.56,-0.89,0.26,Aufheben
0.634,0.792,40.10,-17.52,-68.18,0.54,-0.87,0.25,Aufheben
0.646,0.802,39.55,-17.52,-72.20,0.51,-0.86,0.23,Aufheben
0.658,0.814,41.20,-18.37,-73.24,0.52,-0.85,0.22,Aufheben
0.67,0.825,42.97,-23.25,-75.62,0.49,-0.81,0.19,Aufheben
0.682,0.842,43.58,-26.55,-76.35,0.49,-0.79,0.19,Aufheben
0.694,0.855,44.98,-31.86,-77.33,0.47,-0.76,0.17,Aufheben
0.706,0.861,46.69,-35.52,-77.51,0.48,-0.73,0.15,Aufheben
0.718,0.873,47.00,-35.28,-75.13,0.45,-0.71,0.12,Aufheben
0.73,0.894,48.65,-37.11,-74.40,0.45,-0.69,0.07,Aufheben
0.742,0.899,54.02,-37.41,-71.41,0.45,-0.69,-0.01,Aufheben
0.754,0.91,65.98,-41.69,-69.46,0.42,-0.68,-0.15,Aufheben
0.766,0.926,84.78,-46.75,-69.70,0.45,-0.68,-0.19,Aufheben
0.778,0.953,112.00,-54.81,-65.73,0.47,-0.73,-0.07,Aufheben
0.79,0.953,140.44,-60.12,-56.27,0.49,-0.75,0.12,Aufheben
0.802,0.964,148.68,-48.89,-50.90,0.51,-0.69,0.33,Aufheben
0.814,0.994,128.66,-32.59,-47.55,0.50,-0.62,0.51,Aufheben
0.826,0.994,90.88,-26.79,-41.87,0.33,-0.60,0.53,Aufheben
0.838,0.994,60.55,-53.89,-36.80,0.24,-0.67,0.47,Aufheben
0.85,1.006,42.24,-97.84,-35.34,0.32,-0.70,0.38,Aufheben
0.862,1.027,21.36,-144.71,-35.77,0.36,-0.69,0.28,Aufheben
0.874,1.033,7.14,-184.39,-33.14,0.49,-0.74,0.25,Aufheben
0.886,1.063,4.76,-207.34,-30.03,0.56,-0.76,0.26,Aufheben
0.898,1.063,2.01,-207.82,-27.04,0.60,-0.72,0.31,Aufheben
0.91,1.069,-7.75,-196.11,-24.29,0.65,-0.73,0.33,Aufheben
0.922,1.079,-13.98,-177.06,-20.69,0.63,-0.76,0.26,Aufheben
0.934,1.109,-15.69,-157.90,-19.35,0.59,-0.79,0.18,Aufheben
0.946,1.121,-13.73,-147.16,-20.45,0.53,-0.78,0.21,Aufheben
0.958,1.121,-9.83,-146.00,-23.68,0.56,-0.78,0.28,Aufheben
0.97,1.127,-8.06,-143.49,-21.30,0.67,-0.76,0.26,Aufheben
0.982,1.134,-8.06,-127.14,-12.70,0.72,-0.74,0.23,Aufheben
0.994,1.152,-7.39,-104.80,-8.36,0.64,-0.73,0.17,Aufheben
1.006,1.16,-9.77,-101.14,-7.63,0.49,-0.72,0.22,Aufheben
1.039,1.204,-42.24,-113.95,-2.87,0.74,-0.68,0.15,Aufheben
1.051,1.221,-46.39,-86.36,5.25,0.72,-0.72,0.10,Aufheben
1.063,1.228,-44.19,-59.20,14.83,0.69,-0.70,0.15,Aufheben
1.075,1.228,-53.41,-45.90,22.95,0.63,-0.58,0.09,Aufheben
1.087,1.251,-82.70,-36.93,24.60,0.62,-0.59,0.03,Aufheben
1.099,1.26,-109.31,-38.15,22.09,0.54,-0.59,-0.07,Aufheben
1.111,1.269,-127.26,-48.46,24.41,0.59,-0.64,-0.17,Aufheben
1.123,1.276,-140.01,-52.55,23.13,0.75,-0.63,-0.38,Aufheben
1.136,1.296,-141.05,-30.82,26.37,0.83,-0.73,-0.43,Aufheben
1.148,1.305,-121.46,-1.28,38.33,0.74,-0.85,-0.40,Aufheben
1.16,1.313,-66.83,7.87,32.78,0.40,-1.44,0.04,Aufheben
1.172,1.33,81.91,-34.97,36.25,0.40,-2.17,0.74,Aufheben
1.184,1.341,213.56,-19.84,38.94,1.08,-0.69,0.51,Aufheben
1.196,1.35,127.44,2.08,13.06,0.70,-0.02,0.63,Aufheben
1.208,1.363,-11.17,4.15,-13.18,0.61,-0.11,-0.11,Aufheben
1.22,1.481,-70.31,-36.68,-56.34,0.78,-1.54,-0.12,Aufheben
1.232,1.489,28.87,-35.58,-13.73,0.84,-1.47,-0.04,Aufheben
1.244,1.489,74.71,-33.75,-5.31,0.56,-0.40,0.22,Aufheben
1.256,1.489,-9.95,-56.03,-20.81,0.74,-0.33,0.29,Aufheben
1.268,1.489,-59.63,-43.70,-28.50,0.73,-0.79,0.08,Aufheben
1.28,1.489,-36.56,-39.00,-17.40,0.64,-0.83,-0.07,Aufheben
1.292,1.489,-14.95,-34.24,-9.83,0.73,-0.63,-0.13,Aufheben
1.304,1.489,-22.64,-17.21,-9.28,0.85,-0.60,-0.20,Aufheben
1.316,1.489,-21.67,13.49,-9.03,0.79,-0.69,-0.30,Aufheben
1.328,1.489,-8.00,23.32,-4.15,0.72,-0.74,-0.33,Aufheben
1.34,1.532,10.01,18.13,-1.04,0.75,-0.75,-0.25,Aufheben
1.352,1.666,22.09,9.95,1.04,0.76,-0.74,-0.18,Aufheben
1.364,1.666,23.74,1.83,0.67,0.75,-0.72,-0.10,Aufheben
1.376,1.666,20.57,-10.86,-0.67,0.65,-0.74,0.01,Aufheben
1.388,1.666,15.75,-22.64,-1.95,0.65,-0.71,0.04,Aufheben
1.4,1.666,7.32,-28.14,-4.82,0.63,-0.73,0.03,Aufheben
1.412,1.666,2.50,-34.18,-5.55,0.73,-0.76,-0.03,Aufheben
1.424,1.666,5.13,-27.53,-1.95,0.90,-0.79,-0.03,Aufheben
1.436,1.666,13.79,-12.15,3.54,0.78,-0.76,-0.03,Aufheben
1.448,1.666,14.22,-15.32,4.33,0.69,-0.79,0.04,Aufheben
1.46,1.666,12.08,-30.76,3.54,0.66,-0.77,0.04,Aufheben
1.472,1.666,6.84,-53.53,-0.24,0.79,-0.87,0.04,Aufheben
1.484,1.666,10.50,-23.13,0.37,0.92,-0.99,-0.07,Aufheben
1.496,1.666,13.06,-23.86,-2.62,0.90,-1.14,-0.09,Aufheben
1.508,1.666,21.67,-30.33,-6.90,1.02,-1.10,-0.08,Aufheben
1.52,1.672,23.13,-10.93,-15.56,1.00,-0.97,-0.04,Aufheben
1.532,1.689,11.47,4.33,-29.79,0.96,-0.98,-0.03,Aufheben
1.544,1.714,6.41,4.15,-44.31,0.94,-0.97,0.02,Aufheben
1.556,1.714,4.52,8.06,-53.83,0.90,-0.86,0.08,Aufheben
1.568,1.721,-7.75,3.30,-62.26,0.81,-0.77,0.07,Aufheben
1.58,1.734,-20.39,-17.09,-71.66,0.84,-0.76,-0.01,Aufheben
1.592,1.746,-29.48,-28.38,-77.33,0.88,-0.76,-0.09,Aufheben
1.604,1.756,-32.35,-25.21,-82.52,0.95,-0.72,-0.17,Aufheben
1.616,1.775,-34.61,-17.88,-86.12,0.94,-0.75,-0.24,Aufheben
1.628,1.781,-33.87,-14.65,-88.20,0.94,-0.74,-0.27,Aufheben
1.64,1.795,-35.52,-9.58,-90.70,0.92,-0.66,-0.27,Aufheben
1.652,1.813,-43.46,-0.49,-97.47,0.85,-0.61,-0.30,Aufheben
1.664,1.819,-52.67,8.97,-105.96,0.83,-0.60,-0.36,Aufheben
1.676,1.83,-60.61,21.97,-113.89,0.87,-0.64,-0.42,Aufheben
1.688,1.844,-56.82,32.59,-119.63,0.81,-0.73,-0.35,Aufheben
1.7,1.859,-50.78,30.70,-112.49,0.74,-0.71,-0.31,Aufheben
1.712,1.873,-61.10,10.62,-140.20,0.48,-0.57,-0.28,Aufheben
