time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.166,-0.12,1.28,-2.50,-0.30,-0.94,0.29,Aufheben
0.022,0.184,0.12,0.67,-3.17,-0.29,-0.94,0.27,Aufheben
0.034,0.194,0.31,0.85,-2.99,-0.29,-0.94,0.28,Aufheben
0.046,0.202,0.98,1.34,-2.75,-0.28,-0.95,0.28,Aufheben
0.058,0.213,1.28,1.95,-2.75,-0.30,-0.95,0.28,Aufheben
0.07,0.23,2.01,2.08,-3.23,-0.28,-0.94,0.29,Aufheben
0.082,0.24,2.26,2.75,-3.05,-0.29,-0.95,0.29,Aufheben
0.094,0.279,2.01,2.44,-2.99,-0.30,-0.96,0.29,Aufheben
0.106,0.299,3.17,2.87,-2.81,-0.31,-0.93,0.27,Aufheben
0.118,0.299,2.56,2.08,-2.75,-0.29,-0.93,0.27,Aufheben
0.13,0.299,3.05,1.71,-2.20,-0.30,-0.93,0.27,Aufheben
0.142,0.438,3.78,1.65,-2.32,-0.29,-0.93,0.27,Aufheben
0.154,0.438,3.66,1.40,-1.59,-0.30,-0.93,0.27,Aufheben
0.166,0.438,4.09,1.83,-1.89,-0.30,-0.93,0.27,Aufheben
0.178,0.438,3.48,1.46,-1.71,-0.30,-0.93,0.27,Aufheben
0.19,0.438,2.38,1.28,-1.59,-0.30,-0.93,0.27,Aufheben
0.202,0.438,3.05,2.69,-1.46,-0.31,-0.94,0.26,Aufheben
0.214,0.438,3.66,2.08,-0.98,-0.29,-0.94,0.25,Aufheben
0.226,0.438,4.94,2.93,-0.67,-0.31,-0.96,0.27,Aufheben
0.238,0.438,5.31,4.09,0.31,-0.30,-0.96,0.27,Aufheben
0.25,0.438,5.92,5.43,1.59,-0.30,-0.95,0.27,Aufheben
0.262,0.438,5.68,6.96,2.14,-0.28,-0.94,0.27,Aufheben
0.274,0.438,5.37,8.12,3.30,-0.29,-0.95,0.31,Aufheben
0.286,0.443,4.52,9.09,4.52,-0.29,-0.94,0.33,Aufheben
0.298,0.451,4.09,9.95,4.88,-0.27,-0.97,0.34,Aufheben
0.31,0.465,4.88,9.83,6.47,-0.31,-1.00,0.40,Aufheben
0.322,0.476,6.41,8.18,9.77,-0.29,-1.01,0.45,Aufheben
