time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.103,-40.04,-0.85,-10.99,0.22,-0.68,0.09,Aufheben
0.022,0.109,-40.16,-1.04,-11.35,0.24,-0.67,0.09,Aufheben
0.034,0.116,-42.48,6.23,-10.74,0.25,-0.66,0.09,Aufheben
0.046,0.128,-43.03,11.60,-10.74,0.25,-0.63,0.10,Aufheben
0.058,0.141,-44.68,17.52,-10.80,0.24,-0.61,0.09,Aufheben
0.07,0.161,-46.39,21.85,-9.64,0.24,-0.59,0.06,Aufheben
0.082,0.168,-47.24,25.76,-9.16,0.23,-0.59,0.05,Aufheben
0.094,0.179,-48.22,29.85,-7.75,0.23,-0.62,0.06,Aufheben
0.106,0.187,-50.42,33.75,-6.16,0.23,-0.65,0.07,Aufheben
0.118,0.207,-52.19,36.56,-3.91,0.23,-0.71,0.08,Aufheben
0.13,0.215,-54.57,41.20,-0.49,0.25,-0.76,0.08,Aufheben
0.142,0.225,-52.92,47.18,2.50,0.28,-0.79,0.09,Aufheben
0.154,0.24,-51.21,58.23,5.68,0.27,-0.80,0.08,Aufheben
0.166,0.252,-50.60,65.61,9.09,0.26,-0.81,0.04,Aufheben
0.178,0.262,-45.84,69.76,10.38,0.23,-0.84,0.03,Aufheben
0.19,0.271,-37.96,65.43,7.87,0.19,-0.86,0.02,Aufheben
0.202,0.288,-29.91,55.42,6.41,0.16,-0.87,-0.00,Aufheben
0.214,0.297,-23.19,42.42,1.95,0.15,-0.88,-0.03,Aufheben
0.226,0.317,-17.09,25.94,-1.77,0.13,-0.89,-0.02,Aufheben
0.238,0.323,-11.84,9.22,-5.00,0.16,-0.92,-0.03,Aufheben
0.25,0.332,-8.30,-2.87,-8.12,0.20,-0.92,-0.02,Aufheben
0.262,0.369,-5.00,-9.09,-8.61,0.23,-0.90,-0.02,Aufheben
0.274,0.369,-1.95,-10.25,-9.89,0.26,-0.87,-0.03,Aufheben
0.286,0.384,-2.50,-8.79,-10.01,0.27,-0.84,-0.04,Aufheben
0.298,0.384,-1.65,-6.04,-12.08,0.26,-0.84,-0.06,Aufheben
0.31,0.391,-0.12,-3.85,-13.12,0.25,-0.85,-0.10,Aufheben
0.322,0.458,3.17,-3.91,-14.89,0.23,-0.90,-0.10,Aufheben
0.334,0.476,8.36,-7.69,-15.69,0.21,-0.90,-0.12,Aufheben
0.346,0.476,12.57,-11.17,-16.17,0.20,-0.91,-0.12,Aufheben
0.358,0.476,15.44,-17.09,-15.99,0.21,-0.91,-0.14,Aufheben
0.37,0.476,16.91,-17.82,-14.77,0.23,-0.90,-0.13,Aufheben
0.382,0.476,19.53,-16.60,-13.85,0.24,-0.90,-0.15,Aufheben
0.394,0.483,21.85,-14.22,-12.27,0.22,-0.89,-0.13,Aufheben
0.406,0.502,23.32,-14.22,-10.80,0.24,-0.85,-0.17,Aufheben
0.418,0.524,20.75,-11.11,-9.16,0.24,-0.84,-0.17,Aufheben
0.43,0.524,20.32,-7.81,-7.02,0.24,-0.85,-0.18,Aufheben
0.442,0.532,18.49,-4.52,-6.10,0.26,-0.86,-0.19,Aufheben
0.454,0.546,18.68,0.12,-4.70,0.26,-0.88,-0.17,Aufheben
0.466,0.555,18.74,5.31,-2.38,0.26,-0.88,-0.17,Aufheben
0.478,0.568,16.42,10.13,-0.12,0.27,-0.89,-0.16,Aufheben
0.49,0.592,12.76,18.31,2.20,0.28,-0.91,-0.13,Aufheben
0.502,0.618,10.31,25.21,6.47,0.28,-0.94,-0.13,Aufheben
0.514,0.619,8.24,34.79,9.89,0.28,-0.95,-0.13,Aufheben
0.526,0.619,6.41,39.18,13.49,0.26,-0.97,-0.10,Aufheben
0.538,0.634,3.85,40.04,16.05,0.24,-0.98,-0.09,Aufheben
0.55,0.634,4.76,35.64,18.43,0.23,-1.00,-0.10,Aufheben
0.562,0.707,7.63,31.25,20.45,0.25,-1.03,-0.11,Aufheben
0.574,0.912,12.21,23.80,22.46,0.25,-1.06,-0.11,Aufheben
0.586,0.912,15.38,17.76,23.44,0.25,-1.09,-0.13,Aufheben
0.598,0.912,21.55,10.99,23.25,0.24,-1.12,-0.15,Aufheben
0.61,0.912,27.83,3.42,21.55,0.25,-1.13,-0.14,Aufheben
0.622,0.912,33.57,-1.95,18.68,0.24,-1.13,-0.12,Aufheben
0.634,0.912,34.00,-9.40,15.99,0.26,-1.16,-0.13,Aufheben
0.646,0.912,37.17,-16.42,14.77,0.23,-1.15,-0.18,Aufheben
0.658,1.074,42.72,-18.92,13.98,0.25,-1.17,-0.18,Aufheben
0.671,1.074,54.57,-22.16,12.63,0.30,-1.16,-0.16,Aufheben
0.683,1.074,60.06,-31.68,20.57,0.27,-1.17,-0.21,Aufheben
0.695,1.074,69.52,-32.65,23.25,0.22,-1.18,-0.19,Aufheben
0.707,1.074,78.98,-37.11,21.67,0.15,-1.17,-0.09,Aufheben
0.719,1.074,82.28,-50.05,18.74,0.09,-1.14,-0.01,Aufheben
0.731,1.074,74.95,-74.58,8.30,0.07,-1.13,0.01,Aufheben
