time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.101,2.69,-7.39,-8.24,0.24,-0.94,0.21,Aufheben
0.022,0.118,4.15,-10.25,-8.67,0.24,-0.93,0.20,Aufheben
0.034,0.131,4.33,-11.41,-8.42,0.24,-0.93,0.19,Aufheben
0.046,0.178,5.13,-11.29,-7.93,0.25,-0.94,0.21,Aufheben
0.058,0.178,4.46,-9.34,-7.69,0.27,-0.96,0.27,Aufheben
0.07,0.178,2.87,-9.58,-7.93,0.28,-1.01,0.33,Aufheben
0.082,0.178,-0.37,-6.84,-8.48,0.29,-1.04,0.38,Aufheben
0.094,0.184,1.46,-2.69,-10.56,0.38,-1.09,0.37,Aufheben
0.106,0.206,7.57,-0.37,-12.45,0.43,-1.12,0.38,Aufheben
0.118,0.215,15.08,-2.38,-17.52,0.46,-1.15,0.41,Aufheben
0.13,0.221,22.89,-3.36,-26.79,0.49,-1.16,0.45,Aufheben
0.142,0.23,29.05,-1.22,-35.34,0.48,-1.17,0.46,Aufheben
0.154,0.244,40.22,3.30,-39.73,0.49,-1.18,0.43,Aufheben
0.166,0.28,56.52,8.18,-44.68,0.48,-1.17,0.40,Aufheben
0.178,0.286,72.20,15.14,-49.19,0.45,-1.13,0.38,Aufheben
0.19,0.286,86.91,19.78,-54.38,0.39,-1.07,0.35,Aufheben
0.202,0.297,103.64,18.31,-61.65,0.36,-1.03,0.33,Aufheben
0.214,0.308,123.47,10.31,-62.68,0.29,-1.00,0.35,Aufheben
0.226,0.321,138.98,-0.73,-65.86,0.31,-0.91,0.42,Aufheben
0.238,0.334,150.88,-9.46,-66.65,0.32,-0.84,0.48,Aufheben
0.25,0.34,156.37,-13.85,-64.64,0.31,-0.77,0.53,Aufheben
0.262,0.365,155.82,-16.85,-60.91,0.30,-0.70,0.54,Aufheben
0.274,0.38,144.29,-22.52,-56.70,0.31,-0.63,0.52,Aufheben
0.286,0.38,125.73,-26.43,-52.98,0.34,-0.60,0.51,Aufheben
0.298,0.388,105.47,-30.27,-49.80,0.37,-0.59,0.48,Aufheben
0.31,0.4,90.52,-36.19,-48.28,0.43,-0.61,0.45,Aufheben
0.322,0.416,80.44,-36.87,-47.49,0.46,-0.62,0.44,Aufheben
0.334,0.425,73.49,-27.53,-47.97,0.50,-0.63,0.44,Aufheben
0.346,0.437,68.91,-15.32,-46.45,0.50,-0.63,0.45,Aufheben
0.358,0.449,67.08,-4.82,-43.82,0.50,-0.62,0.44,Aufheben
0.37,0.459,65.61,0.98,-43.21,0.47,-0.61,0.45,Aufheben
0.382,0.485,61.83,4.15,-44.49,0.46,-0.58,0.49,Aufheben
0.394,0.485,55.42,6.04,-42.42,0.46,-0.57,0.46,Aufheben
0.407,0.497,49.80,4.76,-39.73,0.47,-0.61,0.46,Aufheben
0.419,0.517,48.16,-1.28,-35.95,0.46,-0.61,0.43,Aufheben
0.431,0.524,47.42,-6.47,-32.96,0.47,-0.59,0.43,Aufheben
0.443,0.542,42.85,-10.38,-32.29,0.44,-0.58,0.46,Aufheben
0.455,0.551,34.42,-12.88,-31.98,0.44,-0.57,0.50,Aufheben
0.467,0.563,24.90,-16.36,-31.80,0.44,-0.57,0.48,Aufheben
0.479,0.572,14.40,-16.11,-31.74,0.42,-0.59,0.46,Aufheben
0.492,0.588,7.93,-17.21,-30.70,0.43,-0.61,0.41,Aufheben
0.504,0.594,4.27,-20.02,-27.89,0.44,-0.61,0.37,Aufheben
0.517,0.615,3.78,-21.55,-23.93,0.43,-0.63,0.38,Aufheben
0.529,0.622,3.91,-20.57,-18.86,0.41,-0.63,0.43,Aufheben
0.541,0.63,0.61,-18.01,-13.79,0.39,-0.62,0.43,Aufheben
0.553,0.644,-6.10,-14.16,-9.22,0.31,-0.64,0.42,Aufheben
0.565,0.654,-14.40,-13.06,-4.09,0.34,-0.65,0.40,Aufheben
0.577,0.672,-18.80,-18.31,0.61,0.33,-0.67,0.35,Aufheben
0.59,0.699,-25.45,-31.13,4.27,0.29,-0.68,0.34,Aufheben
0.602,0.699,-29.36,-39.79,8.24,0.27,-0.69,0.34,Aufheben
0.614,0.707,-37.66,-43.27,12.33,0.32,-0.73,0.32,Aufheben
0.626,0.721,-43.21,-41.38,17.76,0.40,-0.79,0.30,Aufheben
0.638,0.743,-49.62,-32.71,25.33,0.38,-0.80,0.27,Aufheben
0.65,0.743,-58.59,-28.20,30.27,0.31,-0.85,0.27,Aufheben
0.662,0.751,-68.12,-25.02,35.28,0.36,-0.90,0.35,Aufheben
0.674,0.763,-81.24,-22.34,39.86,0.38,-0.92,0.35,Aufheben
0.686,0.79,-90.52,-21.36,44.25,0.38,-0.99,0.33,Aufheben
0.698,0.795,-87.04,-20.32,46.39,0.40,-1.05,0.29,Aufheben
0.71,0.808,-76.78,-20.57,46.33,0.37,-1.05,0.26,Aufheben
0.722,0.818,-58.90,-21.61,46.63,0.34,-1.11,0.24,Aufheben
0.734,0.825,-31.74,-24.78,47.36,0.34,-1.11,0.28,Aufheben
0.746,0.836,-8.61,-29.72,44.98,0.33,-1.07,0.36,Aufheben
0.758,0.851,2.56,-40.83,40.89,0.31,-1.02,0.39,Aufheben
0.77,0.863,8.24,-54.87,38.64,0.28,-1.03,0.37,Aufheben
0.782,0.88,17.52,-68.42,34.12,0.27,-1.01,0.39,Aufheben
0.794,0.894,18.43,-83.50,27.83,0.31,-0.94,0.38,Aufheben
0.806,0.901,11.29,-93.87,20.81,0.30,-0.95,0.40,Aufheben
0.818,0.91,10.44,-102.84,14.89,0.33,-1.02,0.42,Aufheben
0.83,0.926,16.05,-114.07,8.06,0.34,-1.03,0.40,Aufheben
0.842,0.935,23.74,-124.21,0.24,0.37,-1.01,0.40,Aufheben
0.854,0.945,32.23,-122.92,-7.81,0.57,-0.97,0.39,Aufheben
0.866,0.959,30.76,-97.47,-14.04,0.67,-0.91,0.39,Aufheben
0.878,0.967,25.51,-82.46,-18.07,0.56,-0.98,0.41,Aufheben
0.89,0.987,28.50,-81.97,-18.98,0.49,-0.95,0.41,Aufheben
0.902,1.0,28.20,-81.85,-16.78,0.63,-0.98,0.44,Aufheben
0.914,1.007,34.61,-60.18,-4.03,0.77,-1.06,0.52,Aufheben
0.926,1.066,39.12,-5.80,-7.02,0.42,-0.73,0.58,Aufheben
0.938,1.119,19.53,-0.31,-7.51,0.29,-0.85,0.56,Aufheben
0.95,1.119,19.10,-19.41,-8.48,0.28,-0.84,0.50,Aufheben
0.962,1.119,9.28,-46.39,-8.91,0.27,-0.84,0.43,Aufheben
0.974,1.119,8.18,-62.01,-8.24,0.38,-0.91,0.38,Aufheben
0.986,1.119,10.62,-60.24,-11.29,0.42,-0.87,0.37,Aufheben
0.998,1.119,8.00,-53.71,-14.16,0.46,-0.90,0.39,Aufheben
1.031,1.138,-2.01,-46.75,-8.73,0.43,-1.01,0.31,Aufheben
1.043,1.138,7.45,-44.31,-7.32,0.48,-1.12,0.32,Aufheben
1.055,1.145,23.93,-34.24,-5.00,0.40,-1.04,0.37,Aufheben
1.067,1.16,25.70,-25.33,-6.29,0.44,-1.03,0.39,Aufheben
1.079,1.17,24.05,-13.85,-6.96,0.40,-1.04,0.39,Aufheben
1.091,1.182,22.40,-13.06,-9.03,0.33,-1.03,0.35,Aufheben
1.103,1.193,22.58,-22.64,-9.34,0.31,-1.03,0.34,Aufheben
1.115,1.206,23.32,-36.32,-13.00,0.30,-1.03,0.35,Aufheben
1.127,1.22,25.82,-52.06,-18.31,0.30,-1.03,0.35,Aufheben
1.139,1.252,26.25,-61.28,-26.92,0.34,-1.00,0.36,Aufheben
1.151,1.252,27.53,-64.58,-32.84,0.33,-0.99,0.39,Aufheben
1.163,1.359,27.47,-71.96,-37.35,0.32,-0.99,0.41,Aufheben
1.175,1.359,26.98,-78.06,-41.50,0.37,-1.00,0.40,Aufheben
1.187,1.436,27.40,-80.57,-44.31,0.41,-0.98,0.38,Aufheben
