time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.011,0.114,-1.40,6.53,-1.89,-0.24,-0.95,0.28,Aufheben
0.023,0.162,-0.67,7.93,-1.34,-0.24,-0.96,0.28,Aufheben
0.035,0.178,-1.04,8.42,-0.85,-0.24,-0.96,0.28,Aufheben
0.047,0.178,0.06,8.48,-0.67,-0.23,-0.97,0.28,Aufheben
0.059,0.178,1.04,9.46,-1.89,-0.24,-0.97,0.29,Aufheben
0.071,0.178,0.73,8.48,-2.62,-0.24,-0.99,0.29,Aufheben
0.083,0.184,1.34,8.97,-2.99,-0.24,-0.99,0.28,Aufheben
0.095,0.195,2.01,10.01,-3.48,-0.23,-1.00,0.30,Aufheben
0.107,0.213,2.14,12.02,-3.36,-0.21,-1.00,0.29,Aufheben
0.119,0.221,4.21,14.53,-3.30,-0.21,-0.99,0.29,Aufheben
0.132,0.237,5.31,17.76,-3.66,-0.23,-1.01,0.30,Aufheben
0.144,0.244,6.84,20.94,-4.21,-0.22,-1.00,0.30,Aufheben
0.156,0.257,8.67,22.95,-3.78,-0.21,-0.99,0.28,Aufheben
0.168,0.284,9.83,24.17,-3.78,-0.23,-0.99,0.27,Aufheben
0.18,0.284,9.95,24.05,-2.93,-0.23,-0.98,0.28,Aufheben
0.192,0.296,11.41,25.33,-3.05,-0.23,-0.97,0.27,Aufheben
0.204,0.321,11.72,25.63,-3.36,-0.21,-0.96,0.27,Aufheben
0.216,0.334,11.60,27.22,-3.85,-0.22,-0.95,0.25,Aufheben
0.228,0.334,12.21,28.32,-5.13,-0.23,-0.95,0.25,Aufheben
0.24,0.34,11.54,27.95,-5.80,-0.22,-0.94,0.24,Aufheben
0.252,0.365,10.25,26.92,-7.26,-0.23,-0.96,0.24,Aufheben
0.264,0.387,8.97,26.55,-10.07,-0.23,-0.95,0.23,Aufheben
0.276,0.387,7.57,26.12,-11.47,-0.23,-0.95,0.25,Aufheben
0.288,0.4,6.23,25.33,-13.31,-0.24,-0.97,0.24,Aufheben
0.3,0.41,4.46,25.51,-15.38,-0.23,-0.96,0.24,Aufheben
0.312,0.416,3.36,25.76,-16.91,-0.25,-0.95,0.25,Aufheben
0.324,0.424,2.32,26.12,-17.94,-0.24,-0.97,0.23,Aufheben
0.336,0.436,1.34,25.57,-17.94,-0.24,-0.99,0.24,Aufheben
0.348,0.449,1.10,26.37,-18.25,-0.25,-0.98,0.25,Aufheben
0.361,0.484,2.32,28.20,-17.88,-0.24,-0.99,0.26,Aufheben
0.373,0.49,3.42,30.33,-18.01,-0.24,-1.00,0.24,Aufheben
0.385,0.49,5.55,32.96,-17.52,-0.23,-1.01,0.25,Aufheben
0.397,0.5,6.96,34.97,-17.58,-0.25,-1.01,0.25,Aufheben
0.409,0.516,8.42,36.99,-17.64,-0.24,-1.00,0.25,Aufheben
0.421,0.524,9.58,38.94,-17.40,-0.22,-1.00,0.25,Aufheben
0.433,0.54,9.83,41.14,-17.09,-0.24,-1.01,0.25,Aufheben
0.445,0.551,11.60,44.19,-17.94,-0.21,-1.01,0.23,Aufheben
0.457,0.562,12.08,46.39,-18.37,-0.22,-1.01,0.22,Aufheben
0.469,0.572,12.94,49.68,-18.74,-0.23,-0.99,0.23,Aufheben
0.481,0.588,14.22,52.12,-19.23,-0.24,-0.99,0.22,Aufheben
0.493,0.594,14.28,53.89,-20.02,-0.24,-0.99,0.21,Aufheben
0.505,0.605,14.77,54.99,-20.87,-0.22,-0.97,0.22,Aufheben
0.517,0.618,13.73,54.14,-21.06,-0.24,-0.96,0.23,Aufheben
0.529,0.629,12.45,53.04,-21.00,-0.24,-0.95,0.21,Aufheben
0.541,0.643,11.17,52.06,-21.91,-0.24,-0.95,0.21,Aufheben
0.553,0.653,9.58,50.23,-22.16,-0.25,-0.95,0.22,Aufheben
0.565,0.669,8.12,47.97,-22.09,-0.24,-0.96,0.21,Aufheben
0.577,0.683,6.90,46.08,-22.52,-0.23,-0.95,0.24,Aufheben
0.59,0.692,6.10,46.08,-22.83,-0.23,-0.96,0.23,Aufheben
