time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.193,8.24,-15.08,-5.07,0.30,-0.91,0.19,Aufheben
0.022,0.209,8.67,-15.87,-5.25,0.30,-0.92,0.19,Aufheben
0.034,0.215,8.73,-15.69,-5.07,0.30,-0.92,0.20,Aufheben
0.047,0.234,7.39,-14.34,-4.15,0.30,-0.92,0.18,Aufheben
0.059,0.246,6.77,-13.67,-3.60,0.30,-0.93,0.18,Aufheben
0.071,0.261,7.26,-14.83,-3.66,0.29,-0.94,0.17,Aufheben
0.083,0.267,7.69,-14.89,-3.23,0.29,-0.95,0.17,Aufheben
0.095,0.311,7.39,-14.40,-2.50,0.30,-0.95,0.17,Aufheben
0.107,0.312,8.61,-16.30,-3.48,0.29,-0.95,0.18,Aufheben
0.119,0.324,8.42,-17.21,-2.75,0.28,-0.95,0.17,Aufheben
0.131,0.324,8.48,-18.07,-3.36,0.28,-0.95,0.17,Aufheben
0.143,0.341,8.30,-19.35,-3.78,0.29,-0.94,0.16,Aufheben
0.155,0.36,8.67,-20.57,-3.23,0.27,-0.94,0.15,Aufheben
0.168,0.366,9.52,-23.56,-2.93,0.27,-0.95,0.15,Aufheben
0.18,0.367,10.38,-25.39,-3.48,0.27,-0.96,0.14,Aufheben
0.192,0.381,9.95,-27.28,-3.60,0.27,-0.94,0.14,Aufheben
0.204,0.398,9.34,-28.26,-2.62,0.28,-0.93,0.13,Aufheben
0.216,0.433,8.85,-29.11,-2.14,0.27,-0.93,0.13,Aufheben
0.228,0.442,7.08,-29.48,-1.40,0.27,-0.92,0.12,Aufheben
0.24,0.442,5.86,-29.66,-1.16,0.27,-0.91,0.12,Aufheben
0.252,0.442,4.33,-28.50,0.49,0.28,-0.92,0.12,Aufheben
0.264,0.464,3.23,-28.63,1.10,0.27,-0.94,0.12,Aufheben
0.276,0.509,3.23,-29.72,2.01,0.26,-0.94,0.12,Aufheben
0.288,0.509,2.38,-27.89,4.03,0.25,-0.93,0.11,Aufheben
0.3,0.509,2.99,-30.52,3.97,0.24,-0.93,0.10,Aufheben
0.312,0.509,3.54,-32.84,5.49,0.24,-0.92,0.09,Aufheben
0.324,0.524,4.70,-37.29,5.55,0.24,-0.92,0.11,Aufheben
0.336,0.524,5.55,-41.02,6.65,0.25,-0.91,0.08,Aufheben
0.348,0.541,5.86,-45.84,7.32,0.26,-0.91,0.09,Aufheben
0.36,0.568,4.94,-46.63,8.61,0.28,-0.91,0.09,Aufheben
0.372,0.576,4.39,-46.51,10.38,0.29,-0.90,0.08,Aufheben
0.384,0.576,0.73,-41.69,13.12,0.30,-0.93,0.10,Aufheben
0.396,0.596,-1.34,-38.09,14.10,0.34,-0.94,0.14,Aufheben
0.408,0.609,-5.13,-29.48,16.48,0.36,-0.93,0.13,Aufheben
0.42,0.609,-8.97,-26.67,14.83,0.35,-0.91,0.13,Aufheben
0.432,0.615,-14.77,-22.22,12.57,0.32,-0.91,0.11,Aufheben
0.444,0.625,-16.11,-22.52,11.05,0.31,-0.91,0.09,Aufheben
0.456,0.643,-18.07,-22.28,6.41,0.29,-0.93,0.10,Aufheben
0.468,0.654,-19.17,-20.20,3.36,0.28,-0.92,0.09,Aufheben
0.48,0.673,-16.66,-18.68,0.31,0.28,-0.92,0.10,Aufheben
0.492,0.68,-15.81,-15.26,-4.70,0.29,-0.91,0.13,Aufheben
