time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.102,1.71,3.11,-5.80,-0.28,-0.95,0.26,Aufheben
0.022,0.111,1.83,3.48,-4.58,-0.28,-0.94,0.27,Aufheben
0.034,0.157,1.59,2.99,-4.46,-0.30,-0.95,0.27,Aufheben
0.046,0.157,0.79,2.38,-3.91,-0.28,-0.93,0.27,Aufheben
0.058,0.157,0.49,2.01,-2.81,-0.29,-0.95,0.27,Aufheben
0.07,0.166,0.85,1.22,-2.20,-0.29,-0.94,0.26,Aufheben
0.082,0.172,0.61,0.55,-1.71,-0.27,-0.95,0.27,Aufheben
0.094,0.18,1.77,1.53,-1.34,-0.27,-0.94,0.27,Aufheben
0.106,0.197,3.05,2.75,-0.18,-0.27,-0.95,0.28,Aufheben
0.118,0.204,4.58,3.60,0.00,-0.27,-0.94,0.28,Aufheben
0.13,0.216,4.58,5.19,1.22,-0.26,-0.94,0.25,Aufheben
0.142,0.234,4.76,5.86,1.34,-0.28,-0.93,0.25,Aufheben
0.154,0.243,4.76,6.29,2.01,-0.27,-0.93,0.23,Aufheben
0.166,0.257,3.78,5.31,2.20,-0.29,-0.93,0.24,Aufheben
0.178,0.27,2.50,4.09,2.56,-0.27,-0.95,0.23,Aufheben
0.19,0.312,0.67,2.20,2.32,-0.27,-0.95,0.22,Aufheben
0.202,0.312,-1.46,0.92,2.38,-0.27,-0.94,0.22,Aufheben
0.214,0.312,-3.42,0.00,2.75,-0.27,-0.93,0.21,Aufheben
0.226,0.324,-5.19,-1.59,2.50,-0.27,-0.94,0.23,Aufheben
0.238,0.338,-6.35,-2.75,2.50,-0.26,-0.94,0.22,Aufheben
0.25,0.343,-7.75,-4.15,2.08,-0.27,-0.93,0.23,Aufheben
0.263,0.367,-8.48,-5.07,2.50,-0.27,-0.93,0.23,Aufheben
0.275,0.43,-10.38,-6.96,3.66,-0.27,-0.91,0.22,Aufheben
0.287,0.43,-12.51,-7.93,3.60,-0.26,-0.97,0.20,Aufheben
0.299,0.439,-11.72,-9.46,3.85,-0.29,-0.95,0.21,Aufheben
0.311,0.439,-13.61,-12.82,3.91,-0.26,-0.92,0.21,Aufheben
0.323,0.439,-18.13,-14.10,3.42,-0.24,-0.95,0.21,Aufheben
0.335,0.439,-19.78,-14.77,2.99,-0.25,-0.97,0.20,Aufheben
0.347,0.439,-20.75,-15.75,2.56,-0.23,-0.96,0.22,Aufheben
0.359,0.464,-23.19,-15.20,0.98,-0.25,-0.96,0.22,Aufheben
0.371,0.505,-23.25,-14.65,-1.10,-0.25,-0.95,0.20,Aufheben
0.383,0.505,-23.38,-15.38,-1.95,-0.26,-0.94,0.21,Aufheben
0.395,0.505,-24.41,-18.55,-2.62,-0.28,-0.91,0.23,Aufheben
0.407,0.505,-27.04,-24.60,-2.01,-0.30,-0.89,0.22,Aufheben
0.419,0.524,-32.10,-31.80,-2.32,-0.30,-0.86,0.23,Aufheben
0.431,0.541,-38.15,-39.49,-2.14,-0.30,-0.86,0.23,Aufheben
0.443,0.541,-41.93,-47.18,-2.32,-0.29,-0.86,0.24,Aufheben
0.455,0.568,-44.80,-54.26,-3.17,-0.29,-0.86,0.23,Aufheben
0.467,0.575,-46.33,-57.56,-4.09,-0.26,-0.88,0.24,Aufheben
0.479,0.575,-46.33,-58.59,-5.19,-0.24,-0.87,0.23,Aufheben
0.491,0.589,-45.78,-56.95,-4.76,-0.23,-0.87,0.23,Aufheben
0.503,0.602,-44.92,-51.88,-4.21,-0.22,-0.87,0.23,Aufheben
0.515,0.615,-42.54,-44.19,-2.87,-0.20,-0.86,0.23,Aufheben
0.527,0.615,-39.92,-35.64,-1.34,-0.20,-0.84,0.21,Aufheben
0.539,0.632,-37.35,-26.43,1.59,-0.22,-0.81,0.20,Aufheben
0.551,0.637,-35.34,-18.80,3.97,-0.22,-0.79,0.18,Aufheben
0.563,0.649,-32.53,-11.17,5.86,-0.23,-0.78,0.17,Aufheben
0.575,0.673,-30.03,-4.88,8.73,-0.25,-0.75,0.17,Aufheben
0.587,0.673,-29.24,-0.31,10.68,-0.25,-0.73,0.15,Aufheben
0.6,0.689,-27.71,3.60,13.43,-0.25,-0.73,0.14,Aufheben
0.612,0.711,-25.63,6.71,15.14,-0.28,-0.70,0.13,Aufheben
0.624,0.719,-24.48,7.87,17.21,-0.27,-0.68,0.13,Aufheben
0.636,0.725,-24.90,7.39,18.74,-0.28,-0.66,0.11,Aufheben
0.648,0.734,-24.05,6.65,20.08,-0.28,-0.68,0.09,Aufheben
0.66,0.746,-22.16,7.02,20.69,-0.26,-0.70,0.09,Aufheben
0.672,0.761,-22.22,4.76,22.77,-0.29,-0.70,0.09,Aufheben
0.684,0.77,-22.64,1.53,21.24,-0.28,-0.72,0.09,Aufheben
0.696,0.786,-23.68,0.12,21.00,-0.29,-0.74,0.08,Aufheben
0.708,0.802,-25.21,-5.07,19.17,-0.30,-0.74,0.07,Aufheben
0.72,0.811,-27.04,-11.66,16.54,-0.30,-0.77,0.06,Aufheben
0.732,0.82,-29.11,-17.46,14.04,-0.31,-0.79,0.05,Aufheben
0.744,0.832,-30.15,-22.03,11.17,-0.30,-0.81,0.05,Aufheben
0.756,0.842,-31.74,-25.63,8.48,-0.29,-0.83,0.06,Aufheben
0.768,0.856,-32.84,-27.34,7.26,-0.28,-0.84,0.07,Aufheben
0.78,0.872,-32.59,-26.49,5.25,-0.28,-0.84,0.05,Aufheben
0.792,0.879,-31.37,-23.01,5.13,-0.27,-0.84,0.05,Aufheben
0.804,0.895,-29.54,-17.82,5.68,-0.26,-0.83,0.05,Aufheben
0.816,0.904,-27.77,-12.33,6.90,-0.28,-0.85,0.06,Aufheben
0.828,0.915,-24.60,-8.54,7.87,-0.29,-0.83,0.07,Aufheben
0.84,0.929,-22.71,-7.39,9.70,-0.29,-0.82,0.07,Aufheben
0.852,0.939,-20.75,-7.81,10.99,-0.29,-0.80,0.11,Aufheben
0.864,0.95,-19.96,-8.48,12.51,-0.25,-0.77,0.11,Aufheben
0.877,0.976,-17.70,-7.93,12.02,-0.24,-0.80,0.11,Aufheben
0.889,0.976,-13.18,-4.94,11.23,-0.24,-0.82,0.12,Aufheben
0.901,0.99,-7.26,-3.30,9.34,-0.25,-0.80,0.12,Aufheben
0.913,0.999,-1.65,-3.11,7.26,-0.22,-0.79,0.10,Aufheben
0.925,1.016,3.54,-1.83,5.19,-0.24,-0.80,0.11,Aufheben
0.937,1.026,8.54,-0.98,3.36,-0.26,-0.80,0.11,Aufheben
0.949,1.04,12.08,1.04,2.08,-0.21,-0.81,0.11,Aufheben
0.961,1.058,15.14,7.26,0.49,-0.20,-0.83,0.13,Aufheben
0.973,1.078,17.88,14.47,-1.28,-0.22,-0.85,0.13,Aufheben
0.985,1.091,19.35,19.35,-4.21,-0.24,-0.87,0.11,Aufheben
0.997,1.091,21.24,22.58,-7.69,-0.27,-0.88,0.09,Aufheben
1.009,1.097,24.96,24.17,-12.57,-0.30,-0.92,0.08,Aufheben
1.042,1.128,26.79,13.49,-19.59,-0.34,-0.94,0.14,Aufheben
1.054,1.143,23.86,8.61,-23.07,-0.34,-0.99,0.10,Aufheben
1.066,1.16,26.06,6.90,-25.63,-0.30,-1.04,0.08,Aufheben
1.078,1.182,32.10,8.79,-27.28,-0.30,-1.04,0.06,Aufheben
1.09,1.189,38.57,14.22,-28.02,-0.25,-1.03,0.04,Aufheben
1.102,1.189,42.36,24.35,-28.81,-0.23,-1.00,0.02,Aufheben
1.115,1.209,44.01,37.66,-28.38,-0.13,-1.00,0.03,Aufheben
1.127,1.223,44.07,51.45,-28.93,-0.07,-1.01,0.01,Aufheben
1.139,1.236,43.33,66.83,-31.92,-0.07,-1.03,-0.05,Aufheben
1.151,1.245,41.87,86.06,-37.84,-0.08,-1.08,-0.13,Aufheben
1.163,1.258,45.84,103.76,-43.27,-0.21,-1.14,-0.18,Aufheben
1.175,1.266,59.20,106.51,-50.78,-0.34,-1.19,-0.10,Aufheben
1.187,1.28,78.74,91.55,-58.47,-0.32,-1.09,-0.02,Aufheben
1.199,1.289,80.08,75.87,-64.21,-0.28,-1.09,-0.00,Aufheben
1.211,1.297,74.04,72.88,-66.47,-0.22,-1.17,-0.01,Aufheben
1.223,1.319,75.87,83.86,-59.33,-0.23,-1.17,-0.04,Aufheben
1.235,1.326,75.68,97.11,-49.56,-0.23,-1.17,-0.02,Aufheben
1.247,1.333,68.48,108.89,-38.82,-0.19,-1.22,-0.05,Aufheben
1.259,1.353,63.78,120.30,-25.88,-0.23,-1.24,-0.06,Aufheben
1.271,1.359,63.42,122.62,-15.20,-0.31,-1.25,-0.03,Aufheben
1.283,1.443,60.24,114.81,-10.62,-0.29,-1.26,-0.04,Aufheben
1.295,1.453,55.48,107.91,-5.62,-0.30,-1.24,-0.04,Aufheben
1.307,1.453,52.12,99.43,-4.09,-0.32,-1.24,0.01,Aufheben
1.319,1.453,45.84,90.33,1.34,-0.34,-1.21,0.00,Aufheben
1.331,1.453,37.17,78.80,-3.97,-0.34,-1.22,0.01,Aufheben
1.343,1.453,30.21,73.79,0.79,-0.33,-1.24,0.03,Aufheben
1.355,1.453,29.60,67.20,10.56,-0.21,-1.21,0.05,Aufheben
1.367,1.458,33.08,64.64,8.67,-0.20,-1.16,0.08,Aufheben
1.379,1.467,29.36,71.53,12.70,-0.22,-1.13,0.06,Aufheben
1.391,1.485,23.99,69.82,9.64,-0.29,-1.16,0.03,Aufheben
1.403,1.49,22.09,68.12,11.35,-0.30,-1.18,0.01,Aufheben
1.415,1.501,23.32,63.11,9.34,-0.29,-1.16,0.02,Aufheben
1.427,1.517,20.45,54.93,5.55,-0.32,-1.15,0.06,Aufheben
1.439,1.533,13.61,45.72,2.69,-0.30,-1.13,0.08,Aufheben
1.451,1.54,6.47,39.67,1.16,-0.27,-1.12,0.08,Aufheben
1.463,1.553,1.10,39.31,1.04,-0.18,-1.09,0.14,Aufheben
1.475,1.566,-6.16,44.68,1.59,-0.19,-1.09,0.14,Aufheben
1.487,1.573,-9.46,49.01,2.26,-0.22,-1.12,0.09,Aufheben
