time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.158,-3.23,-13.92,4.58,-0.24,-1.07,0.38,Aufheben
0.022,0.168,-0.79,-14.95,4.46,-0.26,-1.11,0.37,Aufheben
0.034,0.168,10.56,-13.67,4.88,-0.30,-1.12,0.39,Aufheben
0.046,0.168,24.72,-8.00,7.20,-0.28,-1.07,0.41,Aufheben
0.058,0.168,31.37,0.24,6.47,-0.24,-1.01,0.39,Aufheben
0.07,0.168,35.16,5.80,7.93,-0.30,-1.03,0.42,Aufheben
0.082,0.168,38.39,6.04,11.90,-0.37,-1.06,0.48,Aufheben
0.094,0.185,38.88,0.98,15.01,-0.43,-1.04,0.50,Aufheben
0.106,0.196,35.95,-8.24,16.48,-0.44,-1.00,0.47,Aufheben
0.118,0.196,35.34,-18.19,18.31,-0.39,-1.00,0.48,Aufheben
0.13,0.202,37.11,-22.77,21.91,-0.36,-1.00,0.48,Aufheben
0.142,0.214,39.86,-24.48,26.18,-0.35,-1.01,0.50,Aufheben
0.154,0.228,41.93,-25.15,27.83,-0.35,-0.99,0.49,Aufheben
0.166,0.239,45.47,-22.58,29.11,-0.36,-0.97,0.50,Aufheben
0.178,0.254,49.87,-19.90,28.14,-0.36,-0.94,0.49,Aufheben
0.19,0.26,54.14,-16.97,26.43,-0.38,-0.93,0.46,Aufheben
0.202,0.272,56.82,-15.56,25.57,-0.44,-0.94,0.50,Aufheben
0.214,0.292,60.12,-17.76,26.86,-0.41,-0.94,0.56,Aufheben
0.226,0.3,60.97,-19.23,27.04,-0.40,-0.94,0.54,Aufheben
0.238,0.309,61.71,-19.17,27.40,-0.38,-0.92,0.52,Aufheben
0.25,0.327,64.33,-16.24,29.54,-0.37,-0.89,0.51,Aufheben
0.262,0.335,68.05,-10.93,32.65,-0.38,-0.87,0.50,Aufheben
0.274,0.352,71.96,-5.37,35.46,-0.41,-0.86,0.52,Aufheben
0.286,0.358,74.10,-0.12,37.41,-0.43,-0.85,0.55,Aufheben
0.298,0.368,74.46,1.83,38.27,-0.43,-0.84,0.55,Aufheben
0.31,0.385,75.44,2.81,36.80,-0.43,-0.80,0.53,Aufheben
0.322,0.398,75.68,2.32,36.32,-0.41,-0.77,0.49,Aufheben
0.334,0.409,76.05,3.05,35.22,-0.42,-0.73,0.48,Aufheben
0.346,0.422,73.97,0.92,36.13,-0.45,-0.73,0.47,Aufheben
0.358,0.445,73.00,-3.72,36.19,-0.44,-0.71,0.50,Aufheben
