time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.115,-1.77,-15.26,8.97,0.23,-0.96,-0.03,Aufheben
0.022,0.127,-1.77,-17.03,9.40,0.24,-0.95,-0.03,Aufheben
0.034,0.14,-3.05,-18.55,9.89,0.25,-0.95,-0.02,Aufheben
0.046,0.161,-3.23,-17.94,10.50,0.28,-0.95,-0.02,Aufheben
0.058,0.168,-3.42,-19.59,10.25,0.28,-0.96,-0.03,Aufheben
0.07,0.185,-3.11,-20.51,11.47,0.30,-0.97,-0.00,Aufheben
0.082,0.201,-0.49,-23.93,12.82,0.30,-0.97,-0.05,Aufheben
0.094,0.207,2.01,-32.84,10.38,0.32,-0.95,-0.04,Aufheben
0.106,0.214,3.05,-38.94,8.24,0.33,-0.91,-0.05,Aufheben
0.118,0.224,3.54,-45.96,5.86,0.31,-0.89,-0.03,Aufheben
0.13,0.236,2.20,-53.71,2.69,0.35,-0.89,-0.06,Aufheben
0.142,0.25,0.55,-54.81,-0.61,0.39,-0.88,-0.04,Aufheben
0.154,0.258,1.65,-45.23,-4.33,0.42,-0.86,-0.05,Aufheben
0.166,0.308,1.83,-29.66,-6.77,0.44,-0.85,-0.04,Aufheben
0.178,0.308,2.14,-12.33,-7.14,0.43,-0.85,-0.01,Aufheben
0.19,0.308,2.26,1.34,-8.67,0.37,-0.84,-0.01,Aufheben
0.202,0.315,1.95,8.73,-10.25,0.34,-0.85,0.02,Aufheben
0.214,0.322,1.10,12.39,-12.02,0.31,-0.84,0.00,Aufheben
0.226,0.347,-2.38,12.70,-13.98,0.28,-0.82,0.00,Aufheben
0.238,0.347,-4.03,5.92,-15.26,0.27,-0.81,-0.00,Aufheben
0.25,0.353,-6.59,0.18,-17.33,0.26,-0.78,-0.01,Aufheben
0.262,0.366,-8.24,-6.84,-19.35,0.27,-0.76,-0.01,Aufheben
0.274,0.394,-12.08,-8.97,-18.55,0.28,-0.72,-0.01,Aufheben
0.286,0.394,-14.16,-10.13,-18.98,0.28,-0.70,-0.01,Aufheben
0.298,0.407,-16.30,-10.93,-18.25,0.26,-0.69,-0.01,Aufheben
0.31,0.415,-18.92,-9.09,-16.66,0.24,-0.66,-0.02,Aufheben
0.322,0.429,-19.90,-9.46,-16.05,0.23,-0.64,-0.04,Aufheben
0.334,0.44,-22.52,-10.01,-15.38,0.24,-0.62,-0.05,Aufheben
0.346,0.46,-25.57,-9.40,-14.71,0.25,-0.59,-0.05,Aufheben
0.358,0.466,-25.39,-8.06,-13.79,0.24,-0.58,-0.06,Aufheben
0.37,0.475,-25.45,-5.98,-13.24,0.23,-0.57,-0.05,Aufheben
0.382,0.509,-25.45,-4.27,-10.74,0.21,-0.56,-0.04,Aufheben
0.394,0.509,-27.34,-1.89,-8.67,0.20,-0.59,-0.03,Aufheben
0.406,0.515,-27.95,-0.37,-6.29,0.20,-0.62,-0.03,Aufheben
0.418,0.523,-26.49,0.85,-3.23,0.20,-0.62,-0.03,Aufheben
0.43,0.537,-25.45,3.54,-0.18,0.21,-0.61,-0.03,Aufheben
0.442,0.55,-24.41,4.21,3.11,0.20,-0.61,-0.03,Aufheben
0.454,0.583,-23.38,3.30,5.37,0.21,-0.60,-0.05,Aufheben
0.466,0.583,-22.28,-1.40,6.77,0.19,-0.60,-0.06,Aufheben
0.478,0.598,-20.81,-3.91,8.42,0.19,-0.63,-0.08,Aufheben
0.49,0.598,-18.25,-4.09,8.85,0.19,-0.63,-0.08,Aufheben
0.502,0.624,-15.69,-2.50,9.46,0.18,-0.64,-0.07,Aufheben
0.514,0.646,-12.88,-3.60,7.81,0.16,-0.63,-0.05,Aufheben
0.526,0.646,-10.93,-7.20,6.29,0.10,-0.60,-0.06,Aufheben
0.538,0.646,-9.95,-18.62,1.95,0.08,-0.59,-0.07,Aufheben
0.55,0.656,-10.01,-29.85,-1.71,0.08,-0.56,-0.09,Aufheben
0.562,0.686,-11.11,-36.19,-1.28,0.11,-0.58,-0.12,Aufheben
0.574,0.728,-10.99,-41.14,-1.04,0.13,-0.61,-0.11,Aufheben
0.586,0.728,-9.95,-41.02,1.89,0.14,-0.64,-0.14,Aufheben
0.598,0.753,-8.24,-38.45,7.02,0.15,-0.70,-0.13,Aufheben
0.61,0.753,-5.98,-35.71,13.79,0.13,-0.75,-0.15,Aufheben
0.622,0.753,-4.09,-38.27,17.58,0.12,-0.84,-0.18,Aufheben
0.634,0.77,-0.85,-41.32,22.64,0.13,-0.89,-0.20,Aufheben
0.646,0.77,3.11,-46.63,25.70,0.12,-0.91,-0.23,Aufheben
0.658,0.77,6.41,-53.71,28.02,0.07,-0.94,-0.26,Aufheben
0.67,0.79,6.84,-62.56,28.56,0.07,-0.96,-0.29,Aufheben
0.682,0.812,7.63,-68.48,27.95,0.11,-0.96,-0.29,Aufheben
0.694,0.812,9.95,-68.54,28.63,0.14,-0.97,-0.28,Aufheben
0.706,0.844,9.46,-64.03,26.67,0.14,-0.99,-0.27,Aufheben
0.718,0.844,10.44,-59.69,24.48,0.14,-1.00,-0.26,Aufheben
0.73,0.852,11.60,-55.18,21.55,0.13,-0.99,-0.28,Aufheben
0.743,0.852,9.89,-51.45,16.54,0.10,-0.99,-0.28,Aufheben
0.755,0.875,7.57,-49.56,10.68,0.10,-1.01,-0.30,Aufheben
0.767,0.875,3.60,-42.85,4.64,0.12,-1.02,-0.31,Aufheben
0.779,0.886,0.73,-30.94,0.73,0.12,-1.05,-0.31,Aufheben
0.791,0.902,2.32,-20.26,-3.48,0.08,-1.09,-0.31,Aufheben
0.803,0.914,4.03,-15.63,-7.93,0.06,-1.07,-0.32,Aufheben
0.815,0.923,4.27,-17.64,-11.66,0.05,-1.08,-0.32,Aufheben
0.827,0.943,1.40,-16.24,-14.77,0.06,-1.10,-0.32,Aufheben
0.839,0.949,2.69,-10.44,-14.47,0.05,-1.12,-0.34,Aufheben
0.851,0.959,3.60,-3.30,-13.49,0.05,-1.13,-0.34,Aufheben
0.864,1.006,7.51,3.66,-11.66,0.06,-1.09,-0.36,Aufheben
0.876,1.006,12.94,10.13,-7.02,0.11,-1.03,-0.38,Aufheben
0.888,1.006,15.69,18.55,-1.34,0.14,-0.99,-0.35,Aufheben
0.9,1.006,19.04,23.01,3.78,0.14,-0.98,-0.35,Aufheben
0.912,1.024,20.94,24.17,7.39,0.17,-0.96,-0.31,Aufheben
0.924,1.029,20.57,24.60,10.38,0.19,-0.97,-0.25,Aufheben
0.936,1.04,19.53,23.86,9.89,0.20,-0.98,-0.20,Aufheben
0.948,1.062,18.98,23.62,9.70,0.19,-1.04,-0.18,Aufheben
0.96,1.068,18.86,22.03,5.62,0.21,-1.13,-0.19,Aufheben
0.972,1.076,19.84,16.60,2.93,0.19,-1.18,-0.23,Aufheben
0.984,1.089,24.29,6.59,-2.69,0.20,-1.20,-0.27,Aufheben
0.996,1.126,24.96,-2.50,-8.85,0.21,-1.22,-0.31,Aufheben
1.008,1.126,28.50,-12.63,-14.28,0.19,-1.21,-0.32,Aufheben
1.041,1.145,27.16,-43.70,-25.88,0.22,-1.16,-0.28,Aufheben
1.053,1.183,24.78,-40.16,-26.00,0.27,-1.15,-0.26,Aufheben
1.065,1.183,26.43,-36.38,-24.48,0.26,-1.16,-0.24,Aufheben
1.077,1.183,28.02,-31.80,-23.44,0.21,-1.17,-0.22,Aufheben
1.089,1.238,31.07,-27.16,-23.56,0.27,-1.17,-0.20,Aufheben
1.101,1.238,30.46,-14.59,-23.99,0.30,-1.18,-0.21,Aufheben
1.113,1.238,27.89,-2.20,-22.89,0.25,-1.19,-0.22,Aufheben
1.125,1.238,27.16,2.75,-23.07,0.24,-1.20,-0.22,Aufheben
1.137,1.244,24.05,5.19,-22.71,0.30,-1.20,-0.26,Aufheben
1.149,1.253,24.41,10.19,-23.19,0.34,-1.20,-0.27,Aufheben
1.161,1.269,26.92,19.47,-24.84,0.36,-1.18,-0.32,Aufheben
1.173,1.294,28.93,21.97,-26.37,0.36,-1.17,-0.30,Aufheben
1.185,1.294,24.05,24.23,-25.76,0.31,-1.17,-0.27,Aufheben
1.197,1.311,23.01,12.82,-28.08,0.29,-1.18,-0.22,Aufheben
1.209,1.327,21.06,-3.42,-28.44,0.23,-1.18,-0.20,Aufheben
1.221,1.362,15.99,-27.04,-28.87,-0.01,-1.20,-0.32,Aufheben
1.233,1.362,23.68,-81.91,-27.53,0.03,-1.33,-0.27,Aufheben
1.245,1.362,45.90,-94.85,-16.17,0.34,-1.23,-0.05,Aufheben
1.257,1.371,43.21,-70.68,-0.43,0.18,-1.12,0.04,Aufheben
1.269,1.377,34.67,-49.56,1.10,0.07,-1.08,-0.10,Aufheben
1.281,1.387,22.58,-23.99,5.74,0.04,-1.18,-0.23,Aufheben
1.293,1.397,27.28,-3.23,16.42,0.04,-1.21,-0.27,Aufheben
1.305,1.418,24.11,54.20,6.65,0.33,-1.04,-0.36,Aufheben
1.317,1.43,10.74,91.67,6.29,0.30,-1.23,-0.19,Aufheben
1.329,1.437,27.22,45.47,5.43,-0.04,-1.26,0.17,Aufheben
1.341,1.445,23.01,-27.28,-1.40,-0.08,-1.02,0.14,Aufheben
1.353,1.459,2.93,-66.77,-9.70,0.41,-1.17,0.06,Aufheben
1.366,1.474,15.38,-40.95,-11.23,0.45,-1.08,0.04,Aufheben
1.378,1.482,9.16,-13.00,-7.39,0.24,-1.02,-0.03,Aufheben
1.39,1.505,1.71,-10.50,-6.59,0.17,-1.08,-0.12,Aufheben
1.402,1.518,-0.18,-10.13,-4.09,0.22,-1.09,-0.25,Aufheben
1.414,1.54,5.62,7.32,-2.44,0.30,-1.21,-0.19,Aufheben
1.426,1.54,8.85,41.38,-0.98,0.33,-1.22,-0.16,Aufheben
1.438,1.546,12.94,55.73,-4.03,0.18,-1.21,-0.21,Aufheben
1.45,1.555,11.72,47.12,-4.52,0.27,-1.31,-0.21,Aufheben
1.462,1.57,11.96,41.50,-5.43,0.30,-1.32,-0.28,Aufheben
1.474,1.58,11.23,32.78,-5.92,0.23,-1.36,-0.28,Aufheben
1.486,1.6,9.16,20.20,-6.65,0.29,-1.37,-0.29,Aufheben
1.498,1.618,6.90,10.62,-8.00,0.30,-1.37,-0.29,Aufheben
1.51,1.628,5.25,-0.12,-8.85,0.29,-1.35,-0.28,Aufheben
1.522,1.64,2.20,-15.50,-13.37,0.28,-1.32,-0.25,Aufheben
1.534,1.661,-2.26,-26.18,-14.89,0.28,-1.28,-0.23,Aufheben
1.546,1.661,-6.41,-31.62,-18.43,0.25,-1.25,-0.21,Aufheben
1.558,1.683,-8.12,-31.25,-19.65,0.24,-1.24,-0.20,Aufheben
1.57,1.683,-8.54,-27.40,-20.57,0.23,-1.21,-0.19,Aufheben
1.582,1.689,-9.64,-18.31,-20.02,0.22,-1.22,-0.19,Aufheben
1.594,1.699,-9.70,-10.56,-19.53,0.21,-1.20,-0.18,Aufheben
1.606,1.723,-11.60,-4.88,-19.23,0.24,-1.19,-0.19,Aufheben
1.618,1.731,-12.02,1.22,-18.31,0.22,-1.18,-0.20,Aufheben
1.63,1.739,-14.83,-1.04,-19.04,0.23,-1.17,-0.18,Aufheben
1.642,1.747,-15.87,-10.31,-20.45,0.24,-1.17,-0.18,Aufheben
1.654,1.781,-15.63,-19.17,-22.71,0.23,-1.17,-0.19,Aufheben
1.666,1.781,-15.50,-26.00,-22.71,0.26,-1.14,-0.17,Aufheben
1.678,1.787,-18.25,-26.67,-23.93,0.27,-1.13,-0.13,Aufheben
1.69,1.793,-20.69,-25.51,-24.96,0.33,-1.14,-0.09,Aufheben
1.702,1.808,-17.64,-24.29,-27.95,0.36,-1.15,-0.06,Aufheben
1.714,1.852,-13.55,-17.70,-31.19,0.38,-1.12,-0.06,Aufheben
1.726,1.852,-7.69,-12.33,-34.06,0.37,-1.11,-0.06,Aufheben
1.738,1.864,-1.95,-3.60,-34.55,0.37,-1.07,-0.08,Aufheben
1.75,1.864,5.49,3.78,-34.36,0.35,-1.02,-0.07,Aufheben
1.762,1.874,5.49,13.67,-36.07,0.37,-0.97,-0.09,Aufheben
1.774,1.883,6.29,19.47,-36.19,0.44,-0.94,-0.07,Aufheben
1.786,2.075,5.49,33.57,-33.87,0.42,-0.93,-0.06,Aufheben
1.798,2.075,4.33,33.94,-34.00,0.35,-0.94,-0.05,Aufheben
1.81,2.075,2.99,13.43,-36.74,0.30,-0.93,-0.06,Aufheben
1.822,2.075,6.29,-11.47,-42.30,0.32,-0.93,-0.10,Aufheben
1.834,2.147,7.08,-30.33,-46.02,0.32,-0.89,-0.18,Aufheben
1.846,2.147,7.87,-48.03,-49.50,0.23,-0.86,-0.19,Aufheben
1.858,2.147,3.72,-54.44,-55.30,0.40,-0.90,-0.22,Aufheben
1.87,2.148,6.41,-37.17,-53.59,0.47,-0.94,-0.21,Aufheben
1.882,2.148,17.58,-15.87,-47.79,0.33,-0.92,-0.22,Aufheben
1.894,2.148,22.09,-13.31,-47.18,0.26,-0.84,-0.24,Aufheben
1.906,2.148,18.07,-19.35,-46.33,0.25,-0.83,-0.23,Aufheben
1.918,2.148,19.10,-23.56,-43.70,0.28,-0.82,-0.23,Aufheben
1.93,2.148,22.34,-24.60,-41.81,0.29,-0.83,-0.26,Aufheben
1.942,2.148,24.72,-28.20,-40.41,0.27,-0.81,-0.27,Aufheben
1.954,2.148,29.54,-32.90,-37.35,0.24,-0.78,-0.29,Aufheben
1.966,2.148,31.68,-37.23,-34.12,0.27,-0.74,-0.28,Aufheben
1.978,2.148,33.14,-38.15,-29.48,0.26,-0.74,-0.29,Aufheben
1.99,2.148,36.44,-36.38,-24.60,0.26,-0.74,-0.28,Aufheben
2.002,2.148,41.14,-36.93,-19.04,0.25,-0.75,-0.27,Aufheben
2.014,2.148,46.08,-42.66,-17.21,0.25,-0.75,-0.27,Aufheben
2.026,2.148,49.38,-50.42,-15.63,0.26,-0.73,-0.26,Aufheben
2.038,2.169,53.22,-59.75,-16.05,0.27,-0.70,-0.24,Aufheben
2.071,2.181,60.61,-83.44,-15.93,0.26,-0.70,-0.24,Aufheben
2.083,2.223,64.27,-93.14,-16.91,0.24,-0.72,-0.26,Aufheben
2.095,2.223,66.83,-100.28,-18.62,0.27,-0.73,-0.27,Aufheben
2.107,2.234,67.81,-96.44,-18.74,0.32,-0.75,-0.26,Aufheben
2.119,2.234,73.97,-93.63,-19.47,0.32,-0.80,-0.24,Aufheben
2.131,2.263,80.20,-94.30,-19.23,0.28,-0.79,-0.19,Aufheben
2.143,2.263,83.98,-104.13,-20.57,0.26,-0.78,-0.17,Aufheben
2.155,2.263,84.84,-112.18,-22.71,0.30,-0.78,-0.15,Aufheben
2.167,2.271,85.57,-116.88,-23.86,0.34,-0.79,-0.16,Aufheben
2.179,2.292,86.12,-116.94,-24.17,0.36,-0.81,-0.15,Aufheben
2.191,2.299,89.36,-121.15,-26.43,0.37,-0.80,-0.15,Aufheben
2.203,2.32,90.76,-118.35,-26.49,0.40,-0.77,-0.13,Aufheben
2.215,2.32,89.29,-112.67,-26.92,0.47,-0.75,-0.14,Aufheben
2.227,2.342,87.34,-105.65,-27.22,0.49,-0.75,-0.16,Aufheben
2.239,2.354,87.34,-102.84,-29.17,0.48,-0.77,-0.17,Aufheben
2.251,2.361,88.93,-104.13,-31.25,0.46,-0.75,-0.17,Aufheben
2.263,2.368,91.37,-109.25,-33.45,0.45,-0.72,-0.15,Aufheben
2.275,2.39,91.19,-111.51,-34.06,0.46,-0.70,-0.11,Aufheben
2.287,2.397,91.37,-114.20,-33.94,0.45,-0.71,-0.07,Aufheben
2.299,2.406,92.47,-112.55,-35.10,0.43,-0.71,-0.02,Aufheben
2.311,2.42,93.20,-113.28,-35.58,0.41,-0.71,0.02,Aufheben
2.323,2.435,92.53,-116.03,-36.56,0.39,-0.73,0.05,Aufheben
2.335,2.449,93.69,-117.98,-36.99,0.39,-0.72,0.05,Aufheben
2.347,2.458,93.20,-116.46,-38.21,0.42,-0.73,0.05,Aufheben
2.359,2.465,94.79,-111.51,-37.05,0.40,-0.74,0.06,Aufheben
2.371,2.476,95.15,-107.12,-36.62,0.40,-0.74,0.07,Aufheben
2.383,2.496,96.31,-101.50,-35.58,0.39,-0.73,0.05,Aufheben
2.395,2.502,97.41,-98.75,-34.97,0.39,-0.73,0.05,Aufheben
2.407,2.512,99.67,-102.91,-34.97,0.37,-0.73,0.04,Aufheben
2.419,2.525,100.95,-103.70,-34.85,0.40,-0.73,0.04,Aufheben
2.431,2.554,100.83,-103.39,-34.55,0.39,-0.74,0.02,Aufheben
2.443,2.554,101.68,-102.42,-33.14,0.41,-0.73,0.01,Aufheben
2.455,2.562,101.75,-102.78,-31.56,0.37,-0.75,0.04,Aufheben
2.467,2.572,101.38,-104.80,-30.21,0.35,-0.79,0.02,Aufheben
