time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.219,-11.29,-18.68,-13.06,-0.30,-0.93,0.21,Aufheben
0.022,0.233,-9.28,-20.20,-12.39,-0.34,-0.93,0.26,Aufheben
0.035,0.25,-14.40,-25.94,-14.77,-0.31,-0.89,0.23,Aufheben
0.047,0.257,-16.17,-23.44,-11.96,-0.33,-0.89,0.22,Aufheben
0.059,0.308,-24.84,-39.18,-10.56,-0.33,-0.89,0.21,Aufheben
0.071,0.308,-48.65,-52.98,8.42,-0.30,-0.90,0.22,Aufheben
0.083,0.308,-7.08,-47.73,-29.85,-0.31,-0.89,0.30,Aufheben
0.095,0.314,-6.65,-50.78,-4.46,-0.35,-0.70,0.21,Aufheben
0.107,0.321,-36.68,-62.44,-9.77,-0.44,-0.90,0.15,Aufheben
0.119,0.347,-23.99,-78.61,-5.80,-0.27,-0.94,0.19,Aufheben
0.131,0.347,-8.73,-28.87,-33.69,0.33,-0.84,0.32,Aufheben
0.143,0.353,-3.36,45.17,14.53,-0.68,-0.58,0.30,Aufheben
0.156,0.366,-56.82,-2.87,-8.67,-0.67,-0.87,0.14,Aufheben
0.168,0.393,-18.55,-36.01,-0.55,-0.22,-0.91,0.15,Aufheben
0.18,0.393,-12.94,-13.79,0.92,-0.18,-0.70,0.14,Aufheben
0.192,0.405,-31.37,5.31,4.27,-0.34,-0.71,0.11,Aufheben
0.205,0.419,-28.50,-3.17,6.29,-0.41,-0.76,0.11,Aufheben
0.217,0.427,-25.88,-15.81,5.43,-0.35,-0.75,0.11,Aufheben
0.229,0.441,-26.43,-21.06,6.77,-0.31,-0.69,0.10,Aufheben
0.241,0.454,-25.39,-22.22,8.97,-0.30,-0.64,0.10,Aufheben
0.253,0.466,-27.34,-21.73,10.74,-0.27,-0.62,0.07,Aufheben
0.265,0.475,-28.20,-20.63,12.51,-0.28,-0.61,0.09,Aufheben
0.277,0.509,-29.91,-20.81,14.47,-0.29,-0.62,0.08,Aufheben
0.289,0.509,-32.71,-21.73,15.32,-0.28,-0.60,0.06,Aufheben
0.301,0.515,-34.61,-24.54,16.11,-0.28,-0.61,0.05,Aufheben
0.313,0.523,-36.32,-28.75,16.11,-0.29,-0.59,0.06,Aufheben
0.325,0.537,-36.93,-32.35,16.91,-0.29,-0.58,0.08,Aufheben
0.337,0.583,-38.51,-35.95,16.54,-0.28,-0.55,0.06,Aufheben
0.349,0.583,-39.79,-40.04,17.88,-0.28,-0.55,0.04,Aufheben
0.361,0.583,-40.71,-45.10,17.76,-0.27,-0.54,0.05,Aufheben
0.373,0.598,-42.11,-50.54,16.85,-0.29,-0.57,0.05,Aufheben
0.385,0.609,-41.99,-56.58,15.81,-0.28,-0.59,0.07,Aufheben
0.397,0.626,-41.20,-61.65,14.71,-0.24,-0.56,0.05,Aufheben
0.409,0.626,-39.00,-63.29,13.49,-0.17,-0.55,0.05,Aufheben
0.421,0.642,-38.51,-60.67,9.09,-0.04,-0.56,0.02,Aufheben
0.433,0.653,-35.16,-55.05,1.59,-0.01,-0.59,-0.05,Aufheben
0.445,0.66,-28.20,-46.14,-4.33,0.03,-0.57,-0.15,Aufheben
0.457,0.726,-24.84,-36.13,-10.86,0.08,-0.53,-0.17,Aufheben
0.469,0.726,-31.43,-26.00,-16.78,-0.01,-0.59,-0.15,Aufheben
0.481,0.726,-41.32,-22.77,-20.75,-0.15,-0.73,-0.07,Aufheben
0.493,0.78,-45.35,-25.51,-26.49,-0.18,-0.89,0.00,Aufheben
0.505,0.78,-37.78,-22.71,-32.04,-0.10,-0.95,0.02,Aufheben
0.517,0.78,-29.30,-11.41,-35.95,-0.08,-0.96,-0.02,Aufheben
0.529,0.794,-25.51,5.74,-38.82,-0.12,-0.97,-0.07,Aufheben
0.541,0.794,-23.19,21.18,-39.18,-0.20,-1.06,-0.11,Aufheben
0.553,0.794,-17.82,31.49,-37.96,-0.27,-1.12,-0.11,Aufheben
0.565,0.794,-11.23,40.41,-33.69,-0.28,-1.14,-0.07,Aufheben
0.577,0.844,-9.52,51.39,-26.49,-0.32,-1.16,-0.03,Aufheben
0.589,0.844,-8.54,57.25,-18.31,-0.36,-1.19,-0.04,Aufheben
0.601,0.844,-2.87,55.66,-9.34,-0.39,-1.20,-0.05,Aufheben
0.613,0.844,5.37,48.89,-2.01,-0.36,-1.18,-0.04,Aufheben
0.625,0.852,8.06,35.28,3.66,-0.38,-1.11,-0.10,Aufheben
0.637,0.852,7.45,16.72,7.69,-0.38,-1.08,-0.15,Aufheben
0.649,0.874,9.28,-3.17,10.19,-0.33,-1.09,-0.16,Aufheben
0.661,0.874,9.58,-18.80,10.93,-0.27,-1.12,-0.14,Aufheben
0.673,0.884,9.70,-23.13,11.60,-0.18,-1.16,-0.07,Aufheben
0.685,0.921,8.73,-15.99,12.63,-0.14,-1.16,-0.03,Aufheben
0.697,0.921,5.86,-5.55,11.84,-0.18,-1.21,-0.05,Aufheben
0.709,0.943,5.00,2.81,8.79,-0.26,-1.20,-0.08,Aufheben
0.721,0.943,5.86,3.78,5.55,-0.30,-1.18,-0.10,Aufheben
0.733,0.949,3.66,0.98,3.23,-0.29,-1.11,-0.08,Aufheben
0.745,0.957,0.06,-3.11,0.12,-0.29,-1.11,-0.04,Aufheben
0.757,1.006,0.85,-9.95,-2.14,-0.29,-1.09,0.01,Aufheben
0.769,1.006,5.49,-13.79,-3.60,-0.27,-1.05,0.02,Aufheben
0.781,1.006,10.25,-14.53,-3.36,-0.28,-1.00,-0.01,Aufheben
0.793,1.006,12.45,-14.83,-3.17,-0.30,-0.96,-0.04,Aufheben
0.805,1.023,14.28,-19.59,-2.81,-0.34,-0.92,-0.05,Aufheben
0.817,1.03,14.10,-28.81,-3.66,-0.34,-0.91,-0.05,Aufheben
0.829,1.039,13.24,-37.17,-3.42,-0.35,-0.95,-0.03,Aufheben
0.841,1.062,13.79,-44.68,-2.81,-0.35,-1.04,0.01,Aufheben
0.853,1.068,15.93,-45.65,-1.89,-0.31,-1.09,0.05,Aufheben
0.865,1.075,18.86,-38.39,0.18,-0.30,-1.13,0.02,Aufheben
0.877,1.089,21.48,-29.85,1.10,-0.33,-1.12,-0.03,Aufheben
0.89,1.126,24.35,-20.69,3.85,-0.31,-1.12,-0.09,Aufheben
0.902,1.126,23.44,-14.10,4.94,-0.36,-1.14,-0.12,Aufheben
0.914,1.132,23.07,-12.63,4.70,-0.36,-1.16,-0.12,Aufheben
0.926,1.14,21.18,-11.72,4.70,-0.33,-1.17,-0.08,Aufheben
0.938,1.147,18.55,-10.01,4.88,-0.34,-1.21,-0.10,Aufheben
0.95,1.183,16.72,-10.68,4.46,-0.36,-1.22,-0.09,Aufheben
0.962,1.183,15.08,-13.61,4.94,-0.35,-1.22,-0.11,Aufheben
0.974,1.205,13.31,-14.95,4.39,-0.35,-1.24,-0.13,Aufheben
0.986,1.218,11.78,-16.48,4.52,-0.38,-1.22,-0.15,Aufheben
0.998,1.218,8.48,-19.71,4.09,-0.37,-1.25,-0.12,Aufheben
1.031,1.243,4.09,-19.53,5.37,-0.36,-1.27,-0.09,Aufheben
1.043,1.26,3.66,-16.17,5.68,-0.35,-1.24,-0.11,Aufheben
1.055,1.268,2.38,-13.43,5.55,-0.35,-1.22,-0.14,Aufheben
1.067,1.295,1.28,-9.95,6.65,-0.37,-1.19,-0.14,Aufheben
