time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.098,1.65,4.64,-6.84,-0.31,-0.97,0.19,Aufheben
0.022,0.109,1.89,4.03,-5.86,-0.31,-0.96,0.18,Aufheben
0.034,0.119,1.95,2.87,-5.74,-0.31,-0.96,0.19,Aufheben
0.046,0.133,2.75,1.77,-5.68,-0.30,-0.97,0.19,Aufheben
0.058,0.143,2.32,2.99,-5.43,-0.30,-0.95,0.18,Aufheben
0.07,0.163,1.89,1.77,-5.07,-0.30,-0.96,0.19,Aufheben
0.082,0.169,0.67,0.55,-4.88,-0.29,-0.95,0.19,Aufheben
0.094,0.179,0.37,2.01,-4.09,-0.28,-0.95,0.19,Aufheben
0.106,0.204,0.61,3.72,-4.21,-0.31,-0.94,0.19,Aufheben
0.118,0.204,0.73,3.30,-4.94,-0.29,-0.96,0.19,Aufheben
0.13,0.217,0.49,3.05,-4.94,-0.29,-0.96,0.19,Aufheben
0.142,0.227,-0.12,2.62,-4.64,-0.30,-0.96,0.20,Aufheben
0.154,0.243,0.73,0.92,-4.58,-0.32,-0.96,0.18,Aufheben
0.166,0.25,1.53,-0.37,-4.58,-0.31,-0.95,0.19,Aufheben
0.178,0.273,0.85,-2.87,-4.03,-0.30,-0.96,0.17,Aufheben
0.19,0.279,0.79,-2.01,-4.03,-0.28,-0.95,0.17,Aufheben
0.202,0.288,0.12,-2.56,-4.15,-0.30,-0.96,0.18,Aufheben
0.214,0.636,-0.49,-4.27,-4.39,-0.30,-0.96,0.18,Aufheben
0.226,0.636,-1.40,-2.93,-4.76,-0.25,-0.95,0.19,Aufheben
0.238,0.636,-2.44,-1.22,-4.88,-0.31,-0.94,0.19,Aufheben
0.25,0.636,-3.05,-5.74,-6.29,-0.28,-0.95,0.22,Aufheben
0.262,0.636,-3.42,-3.97,-7.63,-0.28,-0.95,0.19,Aufheben
0.274,0.636,-4.52,-5.00,-8.24,-0.27,-0.95,0.20,Aufheben
0.286,0.636,-4.27,-2.26,-10.31,-0.30,-0.95,0.19,Aufheben
0.298,0.636,-5.13,-0.31,-10.13,-0.31,-0.95,0.20,Aufheben
0.31,0.636,-4.94,-1.89,-10.38,-0.31,-0.97,0.19,Aufheben
0.322,0.636,-3.72,-1.04,-11.90,-0.29,-0.97,0.20,Aufheben
0.334,0.636,-3.97,2.14,-12.45,-0.30,-0.96,0.21,Aufheben
0.346,0.636,-4.76,2.01,-12.45,-0.31,-0.95,0.18,Aufheben
0.358,0.636,-4.94,-1.40,-13.49,-0.31,-0.94,0.17,Aufheben
0.37,0.636,-5.00,-2.75,-13.06,-0.26,-0.93,0.16,Aufheben
0.382,0.636,-6.59,-2.32,-14.34,-0.30,-0.93,0.15,Aufheben
0.394,0.636,-8.00,-6.77,-14.59,-0.29,-0.91,0.13,Aufheben
0.406,0.636,-8.48,-11.11,-15.81,-0.27,-0.90,0.16,Aufheben
0.418,0.636,-24.41,-24.84,-6.16,-0.43,-0.89,0.18,Aufheben
0.43,0.636,-20.87,-49.07,-28.99,-0.10,-0.99,0.19,Aufheben
0.442,0.636,22.03,-17.09,-23.56,0.24,-0.81,0.26,Aufheben
0.454,0.637,-19.10,28.38,-7.08,-0.43,-0.79,0.13,Aufheben
0.466,0.637,-32.90,-3.11,-24.41,-0.42,-1.00,0.10,Aufheben
0.478,0.637,-1.16,-17.58,-16.72,-0.16,-0.89,0.10,Aufheben
0.49,0.637,-11.90,-2.20,-18.55,-0.20,-0.80,0.13,Aufheben
0.502,0.637,-22.46,2.50,-17.15,-0.32,-0.84,0.12,Aufheben
0.514,0.637,-18.31,-4.82,-16.05,-0.31,-0.87,0.12,Aufheben
0.526,0.637,-18.01,-6.71,-15.44,-0.26,-0.84,0.11,Aufheben
0.538,0.637,-19.10,-8.79,-13.37,-0.36,-0.78,0.12,Aufheben
0.55,0.644,-22.64,-18.31,-13.61,-0.36,-0.78,0.12,Aufheben
0.562,0.651,-25.33,-31.49,-14.77,-0.33,-0.79,0.13,Aufheben
0.574,0.66,-25.82,-40.16,-16.05,-0.27,-0.77,0.11,Aufheben
0.586,0.683,-26.92,-43.33,-15.87,-0.23,-0.75,0.11,Aufheben
0.598,0.691,-28.08,-42.42,-13.67,-0.23,-0.72,0.10,Aufheben
0.61,0.701,-31.80,-38.45,-11.11,-0.25,-0.74,0.11,Aufheben
0.622,0.709,-33.33,-33.75,-9.58,-0.25,-0.75,0.10,Aufheben
0.635,0.724,-32.04,-29.97,-7.39,-0.27,-0.72,0.10,Aufheben
