time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.107,0.67,0.92,-6.59,-0.35,-0.93,0.20,Aufheben
0.022,0.127,0.92,2.44,-6.23,-0.37,-0.93,0.20,Aufheben
0.034,0.133,1.28,3.36,-5.68,-0.38,-0.93,0.20,Aufheben
0.046,0.143,1.10,4.03,-5.55,-0.38,-0.93,0.22,Aufheben
0.058,0.159,1.95,4.46,-4.39,-0.38,-0.93,0.21,Aufheben
0.07,0.176,1.46,3.11,-4.09,-0.37,-0.92,0.22,Aufheben
0.082,0.182,2.26,2.75,-4.21,-0.36,-0.92,0.22,Aufheben
0.094,0.191,1.59,1.83,-4.46,-0.38,-0.92,0.20,Aufheben
0.106,0.204,1.34,1.16,-3.66,-0.39,-0.93,0.22,Aufheben
0.118,0.229,0.98,1.83,-3.48,-0.37,-0.92,0.21,Aufheben
0.13,0.235,1.10,3.17,-3.60,-0.38,-0.92,0.21,Aufheben
0.142,0.243,0.79,3.97,-2.38,-0.37,-0.92,0.22,Aufheben
0.154,0.251,1.04,4.64,-3.36,-0.37,-0.92,0.19,Aufheben
0.166,0.277,0.67,3.60,-2.87,-0.37,-0.93,0.21,Aufheben
0.178,0.307,0.79,3.54,-3.05,-0.39,-0.93,0.22,Aufheben
0.19,0.307,2.08,2.20,-3.11,-0.38,-0.95,0.22,Aufheben
0.202,0.307,1.65,3.42,-3.60,-0.37,-0.93,0.23,Aufheben
0.214,0.32,1.40,7.26,-3.54,-0.38,-0.93,0.27,Aufheben
0.226,0.397,0.37,12.45,-2.56,-0.41,-0.93,0.28,Aufheben
0.238,0.417,0.06,16.42,-1.83,-0.44,-0.95,0.32,Aufheben
0.25,0.417,-0.49,20.02,-0.37,-0.48,-0.95,0.36,Aufheben
0.262,0.417,0.55,23.01,3.54,-0.53,-0.96,0.43,Aufheben
0.274,0.417,0.79,19.78,5.25,-0.58,-0.95,0.48,Aufheben
0.286,0.417,2.75,10.25,8.85,-0.64,-0.95,0.50,Aufheben
0.298,0.417,5.25,-2.56,11.23,-0.69,-0.98,0.52,Aufheben
0.31,0.437,9.34,-14.10,15.69,-0.74,-0.98,0.50,Aufheben
0.323,0.437,16.91,-21.30,21.30,-0.75,-0.95,0.47,Aufheben
0.335,0.443,22.89,-22.46,27.77,-0.76,-0.92,0.42,Aufheben
0.347,0.456,24.35,-22.89,35.22,-0.74,-0.90,0.40,Aufheben
0.359,0.465,26.55,-23.32,42.85,-0.75,-0.92,0.41,Aufheben
0.371,0.486,31.62,-23.19,49.13,-0.70,-0.94,0.40,Aufheben
0.383,0.497,38.51,-21.61,55.30,-0.68,-0.92,0.41,Aufheben
