time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.071,-0.24,-10.44,-2.32,-0.37,-0.94,0.10,Aufheben
0.022,0.135,0.67,-10.31,-2.75,-0.34,-0.95,0.10,Aufheben
0.034,0.135,0.61,-9.09,-3.17,-0.34,-0.96,0.10,Aufheben
0.046,0.154,1.10,-7.81,-3.11,-0.34,-0.95,0.10,Aufheben
0.058,0.154,1.34,-6.77,-2.87,-0.33,-0.96,0.10,Aufheben
0.07,0.154,1.59,-6.29,-3.05,-0.35,-0.96,0.10,Aufheben
0.082,0.154,2.69,-5.00,-2.87,-0.32,-0.96,0.11,Aufheben
0.094,0.164,2.50,-3.85,-1.89,-0.32,-0.97,0.10,Aufheben
0.106,0.185,3.11,-2.50,-2.69,-0.33,-0.96,0.10,Aufheben
0.118,0.185,3.48,-1.53,-2.56,-0.31,-0.96,0.12,Aufheben
0.13,0.242,3.78,0.67,-2.44,-0.32,-0.96,0.11,Aufheben
0.142,0.242,3.54,2.14,-1.89,-0.32,-0.94,0.13,Aufheben
0.154,0.242,2.69,3.17,-2.14,-0.33,-0.96,0.14,Aufheben
0.166,0.242,2.44,3.05,-2.20,-0.32,-0.95,0.15,Aufheben
0.178,0.242,1.71,2.56,-3.05,-0.33,-0.96,0.15,Aufheben
0.19,0.256,2.32,2.81,-3.85,-0.33,-0.97,0.14,Aufheben
0.202,0.272,2.20,3.72,-3.85,-0.34,-0.95,0.15,Aufheben
0.214,0.288,2.62,3.97,-3.72,-0.35,-0.94,0.14,Aufheben
0.226,0.288,3.11,3.72,-3.97,-0.35,-0.94,0.14,Aufheben
0.238,0.297,3.23,3.66,-3.72,-0.36,-0.93,0.14,Aufheben
0.25,0.306,2.87,2.99,-3.66,-0.35,-0.94,0.14,Aufheben
0.262,0.319,2.87,1.77,-3.85,-0.35,-0.95,0.13,Aufheben
0.274,0.334,2.08,0.49,-4.39,-0.37,-0.96,0.13,Aufheben
0.286,0.348,2.26,-0.18,-4.64,-0.35,-0.94,0.14,Aufheben
0.298,0.356,2.75,-0.61,-4.94,-0.36,-0.94,0.13,Aufheben
0.31,0.371,2.50,-0.61,-5.00,-0.36,-0.93,0.12,Aufheben
0.322,0.378,2.50,-1.04,-4.46,-0.35,-0.94,0.12,Aufheben
0.334,0.39,3.30,0.49,-3.54,-0.34,-0.94,0.12,Aufheben
