time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.072,2.32,-1.16,-5.37,-0.28,-0.98,0.14,Aufheben
0.022,0.083,2.32,-0.67,-5.43,-0.28,-0.99,0.14,Aufheben
0.034,0.094,2.62,-2.50,-6.10,-0.27,-0.99,0.13,Aufheben
0.046,0.119,3.48,-3.60,-6.35,-0.29,-1.02,0.14,Aufheben
0.058,0.119,3.97,-2.75,-7.51,-0.27,-1.02,0.14,Aufheben
0.071,0.141,4.70,-2.44,-6.96,-0.27,-1.03,0.15,Aufheben
0.083,0.148,5.37,-2.56,-6.96,-0.27,-1.03,0.15,Aufheben
0.095,0.156,7.20,-1.16,-6.96,-0.26,-1.01,0.13,Aufheben
0.107,0.171,7.87,-0.98,-5.92,-0.23,-0.99,0.13,Aufheben
0.119,0.18,8.97,-0.24,-5.37,-0.25,-0.97,0.14,Aufheben
0.131,0.193,10.19,1.71,-4.21,-0.23,-0.97,0.12,Aufheben
0.144,0.214,10.56,4.58,-4.88,-0.23,-0.95,0.13,Aufheben
0.156,0.219,10.86,5.31,-5.43,-0.23,-0.96,0.10,Aufheben
0.168,0.234,12.21,6.47,-7.32,-0.23,-0.96,0.10,Aufheben
0.18,0.247,11.90,7.26,-8.54,-0.22,-0.97,0.11,Aufheben
0.192,0.254,11.84,9.83,-10.38,-0.20,-0.96,0.09,Aufheben
0.204,0.264,13.06,13.37,-12.21,-0.21,-0.98,0.08,Aufheben
0.216,0.278,12.88,16.72,-12.02,-0.23,-0.98,0.09,Aufheben
0.228,0.288,13.18,22.22,-12.70,-0.22,-0.97,0.08,Aufheben
0.24,0.305,13.00,25.63,-12.63,-0.21,-1.00,0.09,Aufheben
0.252,0.312,12.82,28.87,-11.78,-0.24,-1.01,0.10,Aufheben
0.264,0.325,12.88,31.62,-11.54,-0.22,-1.01,0.08,Aufheben
0.277,0.347,13.37,34.24,-10.68,-0.23,-1.03,0.08,Aufheben
0.289,0.353,14.22,35.10,-10.13,-0.22,-1.03,0.09,Aufheben
0.301,0.362,14.59,36.99,-9.52,-0.20,-1.01,0.09,Aufheben
0.313,0.378,14.95,38.21,-8.79,-0.23,-1.00,0.09,Aufheben
0.325,0.388,15.56,38.82,-8.91,-0.19,-1.01,0.12,Aufheben
0.337,0.401,14.65,38.45,-8.91,-0.21,-1.01,0.11,Aufheben
0.349,0.413,15.26,38.27,-9.09,-0.20,-1.02,0.12,Aufheben
0.361,0.432,15.75,37.96,-7.93,-0.21,-1.03,0.13,Aufheben
0.373,0.444,16.60,37.96,-8.48,-0.19,-1.04,0.14,Aufheben
0.385,0.451,17.46,37.96,-8.24,-0.18,-1.02,0.13,Aufheben
0.397,0.459,19.23,36.19,-8.67,-0.19,-1.03,0.14,Aufheben
0.409,0.47,18.98,35.10,-8.97,-0.17,-1.01,0.14,Aufheben
0.421,0.483,19.10,34.61,-9.46,-0.17,-1.03,0.15,Aufheben
0.433,0.504,21.18,33.08,-12.15,-0.15,-1.03,0.17,Aufheben
0.445,0.52,22.16,31.80,-13.18,-0.13,-1.03,0.18,Aufheben
0.457,0.526,23.80,30.88,-15.14,-0.12,-1.02,0.21,Aufheben
0.469,0.534,23.99,33.94,-16.24,-0.11,-1.02,0.23,Aufheben
0.481,0.545,27.89,34.79,-19.35,-0.13,-1.03,0.23,Aufheben
0.494,0.562,31.37,37.35,-22.28,-0.10,-1.02,0.26,Aufheben
0.506,0.571,24.17,49.01,-22.83,-0.07,-1.01,0.26,Aufheben
0.518,0.579,21.97,61.89,-23.07,-0.14,-1.05,0.27,Aufheben
0.53,0.593,28.99,64.94,-25.82,-0.15,-1.05,0.26,Aufheben
0.542,0.602,26.00,69.40,-28.32,-0.15,-1.01,0.26,Aufheben
0.554,0.623,24.72,74.34,-30.70,-0.20,-1.00,0.24,Aufheben
0.566,0.63,28.93,75.56,-32.29,-0.23,-0.99,0.22,Aufheben
0.578,0.642,26.49,78.00,-32.17,-0.23,-0.95,0.22,Aufheben
0.59,0.654,27.89,78.49,-33.75,-0.28,-0.93,0.21,Aufheben
0.602,0.666,30.70,75.68,-34.73,-0.27,-0.94,0.21,Aufheben
0.614,0.681,28.93,74.16,-35.28,-0.26,-0.90,0.20,Aufheben
0.626,0.688,28.44,74.22,-34.48,-0.26,-0.91,0.21,Aufheben
0.638,0.699,24.17,76.35,-33.33,-0.26,-0.89,0.22,Aufheben
0.65,0.724,23.19,78.74,-32.59,-0.28,-0.91,0.20,Aufheben
0.662,0.731,24.96,76.97,-32.41,-0.28,-0.89,0.21,Aufheben
0.674,0.738,25.15,75.32,-31.74,-0.26,-0.89,0.23,Aufheben
0.686,0.752,23.50,75.50,-31.37,-0.28,-0.90,0.24,Aufheben
0.698,0.759,22.46,75.01,-30.40,-0.27,-0.86,0.24,Aufheben
0.71,0.803,21.61,75.50,-30.15,-0.28,-0.88,0.24,Aufheben
0.722,0.803,20.20,74.52,-29.66,-0.32,-0.86,0.21,Aufheben
0.734,0.803,-15.38,80.93,-23.86,-0.22,-0.88,0.27,Aufheben
0.746,0.815,15.63,77.58,-29.24,-0.36,-0.95,0.25,Aufheben
0.758,0.823,22.16,68.24,-23.56,-0.28,-0.88,0.26,Aufheben
0.77,0.831,11.72,66.65,-26.61,-0.26,-0.87,0.26,Aufheben
0.782,0.848,10.07,68.05,-22.34,-0.29,-0.89,0.28,Aufheben
0.794,0.86,11.17,67.14,-20.20,-0.28,-0.90,0.29,Aufheben
0.806,0.867,9.95,65.00,-18.13,-0.28,-0.89,0.30,Aufheben
0.818,0.88,9.58,64.88,-16.66,-0.29,-0.88,0.31,Aufheben
0.83,0.891,8.61,64.58,-14.04,-0.29,-0.88,0.30,Aufheben
0.842,0.92,7.02,63.72,-12.63,-0.28,-0.88,0.32,Aufheben
0.854,0.92,5.25,62.56,-11.11,-0.29,-0.88,0.33,Aufheben
0.866,0.927,4.21,61.58,-8.85,-0.31,-0.89,0.33,Aufheben
0.879,0.95,3.66,60.73,-8.06,-0.30,-0.88,0.32,Aufheben
0.891,0.961,1.77,58.90,-6.04,-0.32,-0.90,0.32,Aufheben
0.903,0.968,-0.18,55.97,-5.19,-0.32,-0.91,0.33,Aufheben
0.915,0.976,-0.43,53.59,-4.70,-0.31,-0.90,0.30,Aufheben
0.927,0.988,-1.10,52.25,-2.93,-0.30,-0.89,0.29,Aufheben
