time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.101,3.23,-26.25,0.85,0.25,-0.97,-0.07,Aufheben
0.022,0.111,4.46,-28.14,2.38,0.26,-0.97,-0.07,Aufheben
0.034,0.126,5.07,-26.86,4.33,0.27,-0.95,-0.06,Aufheben
0.046,0.139,3.85,-26.98,4.39,0.27,-0.95,-0.07,Aufheben
0.058,0.147,3.48,-27.47,4.82,0.28,-0.94,-0.07,Aufheben
0.07,0.169,2.62,-26.86,5.86,0.28,-0.95,-0.06,Aufheben
0.082,0.175,1.71,-26.37,6.16,0.28,-0.94,-0.05,Aufheben
0.094,0.182,0.55,-23.93,6.53,0.27,-0.95,-0.06,Aufheben
0.106,0.196,0.61,-24.23,6.23,0.26,-0.95,-0.07,Aufheben
0.118,0.207,1.95,-24.84,7.20,0.25,-0.94,-0.08,Aufheben
0.13,0.222,1.46,-26.98,6.29,0.26,-0.93,-0.08,Aufheben
0.142,0.23,-0.61,-24.66,7.87,0.26,-0.94,-0.08,Aufheben
0.155,0.243,-0.92,-24.17,9.28,0.26,-0.93,-0.07,Aufheben
0.167,0.256,-1.65,-22.03,10.31,0.25,-0.92,-0.08,Aufheben
0.179,0.272,-2.44,-21.91,12.27,0.24,-0.92,-0.09,Aufheben
0.191,0.286,-1.77,-24.05,13.37,0.24,-0.93,-0.09,Aufheben
0.203,0.293,-1.59,-24.60,13.18,0.23,-0.93,-0.12,Aufheben
0.215,0.302,-1.89,-23.07,14.59,0.23,-0.92,-0.13,Aufheben
0.227,0.317,0.55,-24.78,14.22,0.21,-0.92,-0.14,Aufheben
0.239,0.334,1.04,-25.15,14.16,0.21,-0.91,-0.15,Aufheben
0.251,0.342,-0.12,-26.67,13.18,0.21,-0.89,-0.13,Aufheben
0.263,0.351,-1.28,-28.08,13.00,0.21,-0.90,-0.14,Aufheben
0.275,0.374,-1.10,-32.65,12.08,0.20,-0.88,-0.16,Aufheben
0.287,0.382,-3.72,-33.57,11.47,0.18,-0.89,-0.14,Aufheben
0.299,0.389,-6.10,-32.84,8.97,0.16,-0.90,-0.15,Aufheben
0.311,0.399,-8.54,-33.81,8.67,0.18,-0.89,-0.15,Aufheben
0.323,0.418,-10.07,-32.90,7.81,0.22,-0.91,-0.18,Aufheben
0.335,0.431,-12.08,-25.27,9.28,0.22,-0.91,-0.14,Aufheben
0.347,0.443,-15.08,-22.28,8.97,0.24,-0.91,-0.08,Aufheben
0.359,0.556,-21.97,-13.61,10.80,0.23,-0.90,-0.06,Aufheben
0.371,0.684,-29.36,-1.10,10.86,0.20,-0.89,-0.08,Aufheben
0.383,0.684,-36.38,8.48,12.33,0.22,-0.89,-0.18,Aufheben
0.395,0.684,-33.02,23.50,12.94,0.26,-0.86,-0.28,Aufheben
0.407,0.684,-35.52,35.22,17.70,0.18,-0.84,-0.38,Aufheben
0.419,0.684,-37.84,27.34,16.48,0.13,-0.84,-0.37,Aufheben
0.431,0.684,-35.03,12.57,14.89,0.12,-0.82,-0.37,Aufheben
0.443,0.684,-39.18,4.15,13.67,0.14,-0.85,-0.29,Aufheben
0.455,0.684,-39.00,7.93,14.47,0.12,-0.91,-0.27,Aufheben
0.467,0.684,-34.85,14.89,13.18,0.10,-0.91,-0.22,Aufheben
0.479,0.684,-31.01,16.91,11.23,0.15,-0.91,-0.21,Aufheben
0.491,0.684,-28.50,26.55,9.52,0.19,-0.87,-0.18,Aufheben
0.503,0.684,-27.95,41.56,12.82,0.21,-0.91,-0.18,Aufheben
0.515,0.684,-18.31,60.24,16.42,0.15,-0.92,-0.15,Aufheben
