time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.151,1.40,1.71,-3.23,-0.32,-0.95,0.13,Aufheben
0.022,0.175,1.22,0.98,-3.30,-0.32,-0.97,0.13,Aufheben
0.034,0.181,0.37,0.31,-3.05,-0.30,-0.98,0.14,Aufheben
0.046,0.188,1.65,-0.24,-3.60,-0.30,-0.97,0.14,Aufheben
0.058,0.198,0.85,-0.24,-3.66,-0.30,-0.94,0.14,Aufheben
0.07,0.219,1.40,-0.98,-3.66,-0.29,-0.96,0.13,Aufheben
0.082,0.225,1.16,-0.67,-3.97,-0.29,-0.97,0.15,Aufheben
0.094,0.236,0.79,-0.92,-3.97,-0.30,-0.96,0.14,Aufheben
0.106,0.248,1.71,-0.98,-4.64,-0.29,-0.97,0.16,Aufheben
0.118,0.258,1.83,-0.98,-4.27,-0.30,-0.95,0.15,Aufheben
0.13,0.279,1.16,-1.40,-5.37,-0.30,-0.98,0.14,Aufheben
0.142,0.285,0.55,-2.08,-4.88,-0.32,-0.99,0.14,Aufheben
0.154,0.296,0.73,-3.97,-5.31,-0.33,-0.99,0.15,Aufheben
0.166,0.321,0.85,-7.45,-5.68,-0.35,-0.98,0.15,Aufheben
0.178,0.327,-0.18,-11.90,-5.92,-0.34,-0.97,0.17,Aufheben
0.19,0.334,-2.38,-15.87,-6.90,-0.35,-0.98,0.20,Aufheben
0.202,0.343,-3.42,-21.00,-6.96,-0.37,-0.97,0.23,Aufheben
0.214,0.356,-4.15,-27.77,-7.14,-0.39,-0.95,0.25,Aufheben
0.226,0.379,-3.97,-35.22,-7.32,-0.41,-0.92,0.31,Aufheben
0.238,0.385,-5.68,-35.71,-5.31,-0.45,-0.94,0.36,Aufheben
0.25,0.393,-6.65,-35.95,-4.09,-0.52,-0.95,0.39,Aufheben
0.262,0.401,-4.03,-41.14,-3.54,-0.53,-0.96,0.39,Aufheben
0.274,0.424,0.79,-47.79,-1.59,-0.52,-0.96,0.39,Aufheben
0.286,0.43,6.29,-50.42,2.81,-0.54,-0.94,0.41,Aufheben
0.298,0.437,13.73,-53.34,4.88,-0.55,-0.94,0.39,Aufheben
0.31,0.468,22.40,-48.89,7.87,-0.46,-0.93,0.40,Aufheben
