time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.001,0.115,7.02,-16.48,-4.15,0.24,-0.96,0.19,Aufheben
0.013,0.128,7.08,-16.30,-2.87,0.25,-0.94,0.20,Aufheben
0.025,0.142,6.16,-14.77,-3.23,0.25,-0.95,0.19,Aufheben
0.037,0.151,5.98,-14.16,-2.56,0.25,-0.95,0.20,Aufheben
0.049,0.164,6.84,-15.69,-2.75,0.24,-0.95,0.21,Aufheben
0.061,0.181,6.41,-14.83,-2.20,0.26,-0.94,0.20,Aufheben
0.073,0.19,7.51,-16.54,-2.87,0.24,-0.95,0.19,Aufheben
0.085,0.208,8.36,-17.64,-3.66,0.25,-0.95,0.20,Aufheben
0.097,0.221,7.39,-16.97,-3.54,0.24,-0.94,0.20,Aufheben
0.109,0.227,6.53,-16.85,-3.85,0.25,-0.95,0.20,Aufheben
0.121,0.236,8.12,-18.55,-3.60,0.23,-0.94,0.19,Aufheben
0.133,0.251,6.84,-17.52,-2.38,0.24,-0.96,0.20,Aufheben
0.145,0.289,8.54,-21.06,-3.60,0.24,-0.95,0.19,Aufheben
0.157,0.289,8.79,-19.23,-2.50,0.25,-0.95,0.18,Aufheben
0.169,0.305,8.36,-18.74,-3.11,0.24,-0.96,0.18,Aufheben
0.181,0.305,8.61,-13.37,-0.49,0.31,-0.97,0.20,Aufheben
0.193,0.311,11.84,2.32,3.17,0.35,-0.97,0.18,Aufheben
0.205,0.321,11.78,24.48,6.90,0.37,-0.95,0.17,Aufheben
0.217,0.344,11.90,42.54,9.89,0.29,-0.95,0.21,Aufheben
0.229,0.355,12.45,70.62,14.71,0.42,-0.98,0.19,Aufheben
0.241,0.362,17.76,97.72,15.01,0.37,-0.98,0.20,Aufheben
0.253,0.368,24.41,115.17,18.37,0.21,-0.96,0.20,Aufheben
0.266,0.412,30.64,109.19,21.55,0.16,-0.99,0.22,Aufheben
0.278,0.412,38.82,108.52,25.39,0.29,-1.04,0.22,Aufheben
0.29,0.412,52.49,122.62,29.30,0.29,-1.03,0.22,Aufheben
0.302,0.42,65.49,162.54,39.92,0.53,-1.14,0.21,Aufheben
0.314,0.433,92.65,249.45,53.65,0.75,-1.10,0.18,Aufheben
0.326,0.451,85.08,299.13,39.67,0.04,-0.83,0.27,Aufheben
0.338,0.461,78.00,267.76,50.29,0.06,-1.05,0.21,Aufheben
0.35,0.468,76.90,248.90,46.63,-0.29,-0.88,0.43,Aufheben
0.362,0.48,74.10,207.15,37.41,-0.15,-0.90,0.39,Aufheben
0.374,0.497,61.10,164.86,31.80,-0.15,-0.89,0.43,Aufheben
0.386,0.524,54.87,142.46,20.69,0.05,-1.01,0.41,Aufheben
0.398,0.524,59.02,129.58,21.42,-0.04,-0.92,0.48,Aufheben
0.41,0.531,48.89,100.89,23.86,-0.16,-0.85,0.48,Aufheben
0.422,0.539,37.05,70.01,25.02,-0.07,-0.94,0.48,Aufheben
0.434,0.552,35.16,64.15,28.08,-0.04,-0.98,0.43,Aufheben
0.446,0.563,38.27,66.77,22.83,-0.08,-0.92,0.46,Aufheben
0.458,0.585,37.41,57.19,20.57,-0.16,-0.90,0.49,Aufheben
0.47,0.597,33.45,44.98,25.39,-0.19,-0.91,0.45,Aufheben
0.483,0.614,28.81,35.03,30.94,-0.17,-0.92,0.46,Aufheben
0.495,0.614,27.10,30.15,34.79,-0.17,-0.89,0.45,Aufheben
0.507,0.625,29.30,29.91,36.87,-0.17,-0.90,0.43,Aufheben
0.519,0.644,30.09,30.15,39.49,-0.19,-0.85,0.48,Aufheben
0.531,0.652,27.95,28.50,44.43,-0.34,-0.91,0.48,Aufheben
