time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.112,-20.69,-26.06,2.87,-0.38,-0.95,0.13,Aufheben
0.022,0.12,-20.08,-29.24,4.46,-0.35,-0.94,0.11,Aufheben
0.034,0.128,-21.24,-28.56,5.74,-0.33,-0.93,0.13,Aufheben
0.046,0.159,-22.40,-23.13,6.23,-0.32,-0.93,0.11,Aufheben
0.058,0.169,-21.91,-15.81,5.00,-0.32,-0.96,0.10,Aufheben
0.07,0.169,-16.91,-8.67,4.46,-0.29,-0.96,0.09,Aufheben
0.082,0.179,-11.84,-2.56,4.46,-0.30,-0.95,0.09,Aufheben
0.094,0.189,-7.75,2.38,2.93,-0.30,-0.95,0.10,Aufheben
0.106,0.211,-6.16,5.37,1.16,-0.31,-0.94,0.08,Aufheben
0.118,0.227,-4.58,7.81,0.18,-0.32,-0.94,0.09,Aufheben
0.13,0.234,-2.38,10.07,-1.95,-0.30,-0.94,0.08,Aufheben
0.142,0.234,1.04,12.88,-4.21,-0.29,-0.95,0.11,Aufheben
0.154,0.249,3.42,14.22,-5.98,-0.28,-0.96,0.12,Aufheben
0.166,0.277,5.37,15.93,-7.93,-0.29,-0.95,0.14,Aufheben
0.178,0.277,6.04,17.21,-8.30,-0.27,-0.96,0.16,Aufheben
0.19,0.284,9.09,18.13,-9.03,-0.28,-0.98,0.16,Aufheben
0.202,0.297,10.99,18.68,-9.70,-0.30,-0.98,0.17,Aufheben
0.214,0.315,8.48,17.64,-10.07,-0.29,-0.94,0.16,Aufheben
0.226,0.32,3.23,15.87,-11.90,-0.29,-0.94,0.15,Aufheben
0.238,0.338,-0.73,14.59,-12.76,-0.30,-0.96,0.14,Aufheben
0.251,0.43,-4.09,12.63,-13.49,-0.30,-0.95,0.13,Aufheben
0.263,0.586,-9.16,10.13,-13.73,-0.29,-0.94,0.12,Aufheben
0.275,0.586,-13.98,8.73,-14.47,-0.29,-0.94,0.12,Aufheben
0.287,0.586,-18.62,7.32,-14.83,-0.29,-0.95,0.11,Aufheben
0.299,0.586,-22.22,6.71,-14.83,-0.29,-0.95,0.10,Aufheben
0.311,0.586,-24.54,6.47,-15.32,-0.29,-0.95,0.10,Aufheben
0.323,0.586,-27.59,6.29,-15.99,-0.29,-0.95,0.09,Aufheben
0.335,0.586,-29.97,6.04,-16.17,-0.29,-0.94,0.11,Aufheben
0.347,0.586,-32.10,5.37,-16.24,-0.29,-0.93,0.09,Aufheben
0.359,0.586,-33.69,4.33,-16.24,-0.30,-0.95,0.09,Aufheben
0.371,0.586,-33.94,3.72,-15.93,-0.30,-0.93,0.08,Aufheben
0.383,0.586,-34.00,3.78,-16.24,-0.28,-0.93,0.06,Aufheben
0.395,0.673,-34.18,4.21,-15.81,-0.28,-0.92,0.06,Aufheben
0.407,0.673,-34.00,5.37,-15.38,-0.26,-0.89,0.06,Aufheben
0.419,0.673,-33.94,6.84,-15.08,-0.27,-0.88,0.07,Aufheben
0.431,0.673,-35.71,8.67,-15.08,-0.26,-0.87,0.07,Aufheben
0.443,0.673,-37.72,9.64,-14.89,-0.27,-0.90,0.07,Aufheben
0.455,0.673,-38.82,10.93,-15.50,-0.26,-0.90,0.05,Aufheben
0.467,0.673,-37.66,12.21,-14.95,-0.26,-0.87,0.04,Aufheben
0.479,0.673,-36.44,15.08,-14.04,-0.25,-0.85,0.01,Aufheben
0.491,0.673,-33.20,18.13,-12.94,-0.25,-0.82,-0.04,Aufheben
0.503,0.673,-29.72,24.60,-10.68,-0.24,-0.84,-0.05,Aufheben
0.515,0.673,-26.06,34.00,-10.25,-0.21,-0.85,-0.08,Aufheben
0.527,0.673,-24.05,41.32,-10.19,-0.24,-0.90,-0.11,Aufheben
0.539,0.673,-20.75,47.12,-10.19,-0.24,-0.93,-0.14,Aufheben
0.551,0.673,-16.72,51.82,-10.07,-0.30,-0.96,-0.14,Aufheben
0.563,0.673,-14.04,52.86,-9.22,-0.38,-0.96,-0.13,Aufheben
0.575,0.726,-15.56,48.10,-6.96,-0.44,-0.90,-0.14,Aufheben
0.587,0.726,-19.29,40.71,-4.15,-0.40,-0.87,-0.21,Aufheben
0.599,0.726,-19.41,35.16,-0.49,-0.35,-0.89,-0.24,Aufheben
0.611,0.76,-15.93,31.25,5.25,-0.33,-0.90,-0.23,Aufheben
0.623,0.76,-14.28,29.36,11.72,-0.29,-0.91,-0.24,Aufheben
0.635,0.76,-13.92,29.48,16.36,-0.27,-0.92,-0.22,Aufheben
0.647,0.76,-12.39,30.21,19.17,-0.30,-0.99,-0.22,Aufheben
0.659,0.76,-1.34,28.26,17.82,-0.34,-1.10,-0.18,Aufheben
0.671,0.768,18.01,21.42,17.09,-0.33,-1.15,-0.15,Aufheben
0.683,0.803,33.81,13.24,12.39,-0.31,-1.10,-0.09,Aufheben
0.695,0.803,44.68,2.81,7.93,-0.26,-1.04,-0.06,Aufheben
0.707,0.812,48.58,-1.46,3.17,-0.26,-1.03,-0.04,Aufheben
0.719,0.812,53.04,-3.30,-3.30,-0.31,-1.05,-0.09,Aufheben
0.731,0.827,61.95,-10.31,-4.64,-0.34,-1.05,-0.06,Aufheben
0.743,0.835,71.90,-17.76,-5.19,-0.28,-0.96,0.02,Aufheben
