time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.362,141.05,-31.19,-98.57,-0.05,-0.69,0.41,Aufheben
0.022,0.398,142.09,-54.87,-100.65,-0.09,-0.56,0.40,Aufheben
0.034,0.398,133.79,-127.26,-100.83,-0.11,-0.45,0.36,Aufheben
0.046,0.406,122.80,-174.19,-98.88,-0.06,-0.40,0.35,Aufheben
0.058,0.414,115.84,-224.24,-97.60,0.03,-0.36,0.36,Aufheben
0.07,0.423,106.93,-264.71,-96.92,0.07,-0.35,0.38,Aufheben
0.082,0.456,97.90,-299.68,-95.70,0.20,-0.36,0.44,Aufheben
0.094,0.456,84.96,-319.34,-89.54,0.34,-0.35,0.32,Aufheben
0.106,0.464,72.94,-324.04,-83.62,0.43,-0.39,0.34,Aufheben
0.118,0.474,65.92,-320.50,-80.75,0.44,-0.36,0.27,Aufheben
0.13,0.482,55.48,-316.16,-77.21,0.48,-0.36,0.24,Aufheben
0.142,0.502,44.49,-305.05,-73.06,0.56,-0.35,0.18,Aufheben
0.154,0.512,38.70,-297.97,-64.76,0.54,-0.39,0.16,Aufheben
0.166,0.525,35.83,-297.30,-55.73,0.57,-0.46,0.17,Aufheben
0.178,0.534,35.52,-312.01,-48.77,0.53,-0.50,0.11,Aufheben
0.19,0.542,43.27,-333.31,-43.27,0.54,-0.50,0.04,Aufheben
0.202,0.559,44.13,-360.96,-42.24,0.49,-0.51,0.00,Aufheben
0.214,0.581,45.59,-393.13,-39.98,0.52,-0.54,-0.08,Aufheben
0.226,0.581,52.00,-434.45,-38.45,0.60,-0.58,-0.11,Aufheben
0.238,0.592,59.20,-462.65,-35.46,0.60,-0.57,-0.26,Aufheben
0.25,0.604,63.42,-497.31,-39.79,0.65,-0.64,-0.36,Aufheben
0.262,0.614,72.02,-527.59,-48.22,0.78,-0.63,-0.46,Aufheben
0.274,0.634,64.21,-524.23,-63.90,0.90,-0.52,-0.52,Aufheben
0.286,0.64,42.91,-486.45,-69.09,1.00,-0.37,-0.59,Aufheben
0.298,0.65,6.10,-417.18,-78.80,1.22,-0.27,-0.80,Aufheben
0.31,0.7,-20.69,-320.74,-77.51,1.35,-0.40,-0.85,Aufheben
0.322,0.7,-15.26,-217.96,-50.29,1.20,-0.40,-0.85,Aufheben
0.334,0.7,-5.19,-132.39,-25.33,0.90,-0.36,-0.75,Aufheben
0.346,0.711,-3.17,-82.76,-9.89,0.66,-0.42,-0.61,Aufheben
0.358,0.721,-3.23,-75.87,-10.68,0.55,-0.55,-0.55,Aufheben
0.37,0.729,8.00,-77.45,-12.21,0.49,-0.63,-0.47,Aufheben
0.382,0.738,22.09,-93.14,-11.54,0.49,-0.56,-0.37,Aufheben
0.394,0.749,21.67,-99.37,-9.22,0.60,-0.52,-0.29,Aufheben
0.406,0.764,15.93,-90.33,-4.58,0.70,-0.60,-0.31,Aufheben
0.418,0.772,27.40,-71.11,7.32,0.60,-0.65,-0.27,Aufheben
0.43,0.784,41.81,-60.55,16.24,0.59,-0.65,-0.15,Aufheben
0.442,0.806,41.44,-54.44,18.68,0.60,-0.70,-0.11,Aufheben
0.454,0.812,37.90,-54.81,13.55,0.71,-0.83,-0.06,Aufheben
0.466,0.821,42.66,-56.95,12.08,0.80,-0.83,-0.05,Aufheben
0.478,0.832,39.55,-50.78,8.73,0.83,-0.84,-0.03,Aufheben
0.49,0.847,41.99,-48.95,5.86,0.81,-0.81,-0.04,Aufheben
0.502,0.88,46.08,-50.05,-0.12,0.76,-0.76,-0.07,Aufheben
0.514,0.88,51.21,-44.86,-0.55,0.73,-0.72,-0.07,Aufheben
0.526,0.886,50.66,-44.37,1.04,0.54,-0.72,-0.09,Aufheben
0.538,0.893,55.42,-60.24,2.01,0.53,-0.72,-0.24,Aufheben
0.55,0.904,54.99,-61.89,6.04,0.61,-0.67,-0.41,Aufheben
0.562,0.922,53.34,-55.42,11.41,0.52,-0.63,-0.44,Aufheben
0.574,0.942,49.01,-55.73,18.19,0.46,-0.66,-0.51,Aufheben
0.586,0.952,42.30,-54.32,23.62,0.59,-0.69,-0.55,Aufheben
0.598,0.96,36.87,-28.75,23.80,0.71,-0.63,-0.50,Aufheben
0.61,0.973,33.20,0.85,26.12,0.59,-0.66,-0.43,Aufheben
0.622,0.995,39.31,5.98,29.79,0.37,-0.68,-0.33,Aufheben
0.634,0.995,43.33,-8.73,18.55,0.40,-0.63,-0.33,Aufheben
0.646,1.002,38.88,-31.31,11.66,0.67,-0.74,-0.43,Aufheben
0.658,1.01,34.85,-13.85,-2.32,0.93,-0.74,-0.65,Aufheben
0.67,1.024,27.34,25.94,-15.69,0.68,-0.78,-0.61,Aufheben
0.682,1.036,26.86,8.85,-24.41,0.61,-0.77,-0.45,Aufheben
