time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.163,9.70,-13.37,-5.80,0.29,-0.94,0.14,Aufheben
0.022,0.17,9.95,-13.31,-4.88,0.28,-0.96,0.15,Aufheben
0.034,0.184,9.83,-14.59,-5.62,0.27,-0.94,0.14,Aufheben
0.046,0.184,9.77,-16.24,-5.07,0.27,-0.95,0.14,Aufheben
0.058,0.218,9.09,-16.11,-4.76,0.27,-0.95,0.15,Aufheben
0.07,0.242,9.16,-17.03,-4.70,0.27,-0.94,0.14,Aufheben
0.082,0.242,8.91,-17.64,-4.46,0.27,-0.94,0.13,Aufheben
0.094,0.242,9.83,-18.55,-5.25,0.27,-0.94,0.13,Aufheben
0.106,0.245,8.91,-19.59,-3.91,0.27,-0.94,0.12,Aufheben
0.118,0.262,9.83,-21.30,-3.91,0.26,-0.93,0.11,Aufheben
0.13,0.267,9.34,-23.19,-3.30,0.26,-0.94,0.11,Aufheben
0.142,0.277,8.97,-24.48,-4.03,0.27,-0.97,0.12,Aufheben
0.154,0.29,8.79,-23.38,-1.95,0.27,-0.98,0.10,Aufheben
0.167,0.304,8.61,-22.89,-0.98,0.25,-1.00,0.09,Aufheben
0.179,0.319,9.09,-23.56,-0.55,0.26,-0.97,0.10,Aufheben
0.191,0.334,8.67,-24.41,0.18,0.27,-0.99,0.11,Aufheben
0.204,0.349,7.26,-21.91,0.49,0.23,-0.97,0.10,Aufheben
0.216,0.357,5.92,-23.99,-0.31,0.24,-1.00,0.08,Aufheben
0.228,0.365,6.23,-25.27,-0.18,0.26,-0.99,0.10,Aufheben
0.24,0.378,5.49,-24.96,-1.10,0.26,-0.99,0.09,Aufheben
0.252,0.388,5.62,-27.04,-2.26,0.26,-0.98,0.08,Aufheben
0.264,0.403,4.88,-27.89,-1.53,0.25,-0.98,0.08,Aufheben
0.276,0.419,4.03,-25.76,-1.77,0.25,-0.96,0.08,Aufheben
0.288,0.428,3.48,-26.98,-1.95,0.24,-0.96,0.08,Aufheben
0.3,0.437,1.83,-29.54,0.55,0.23,-0.95,0.08,Aufheben
0.312,0.467,0.37,-32.90,0.55,0.27,-0.96,0.07,Aufheben
0.324,0.467,0.00,-31.74,2.20,0.28,-0.97,0.04,Aufheben
0.336,0.473,1.89,-31.62,3.30,0.28,-0.96,0.07,Aufheben
0.348,0.482,5.43,-31.68,3.97,0.29,-0.95,0.07,Aufheben
0.36,0.495,3.66,-26.00,5.98,0.31,-0.95,0.09,Aufheben
0.373,0.509,1.77,-23.32,6.16,0.29,-0.95,0.08,Aufheben
0.385,0.521,-0.79,-22.95,6.04,0.28,-0.93,0.07,Aufheben
0.397,0.539,-8.18,-24.48,6.65,0.28,-0.95,0.08,Aufheben
0.409,0.561,-11.47,-28.02,3.85,0.30,-0.96,0.08,Aufheben
0.421,0.561,-11.90,-28.75,3.78,0.29,-0.97,0.09,Aufheben
0.433,0.569,-10.74,-32.53,1.53,0.28,-0.98,0.11,Aufheben
0.445,0.58,-12.15,-30.27,0.00,0.26,-0.97,0.09,Aufheben
0.457,0.592,-10.99,-28.75,-1.59,0.25,-0.93,0.07,Aufheben
0.469,0.611,-10.07,-28.87,-3.23,0.22,-0.93,0.05,Aufheben
0.481,0.622,-8.18,-28.93,-3.97,0.22,-0.92,0.05,Aufheben
0.493,0.641,-6.53,-32.41,-6.65,0.22,-0.88,0.05,Aufheben
0.506,0.682,-8.00,-33.94,-6.41,0.20,-0.87,0.09,Aufheben
0.518,0.683,-10.19,-37.66,-6.10,0.20,-0.89,0.06,Aufheben
0.53,0.683,-10.50,-42.72,-8.30,0.23,-0.89,0.02,Aufheben
0.542,0.683,-8.67,-46.39,-8.91,0.26,-0.88,0.00,Aufheben
0.554,0.69,-7.02,-48.58,-8.85,0.30,-0.85,0.03,Aufheben
0.566,0.704,-8.91,-49.80,-6.10,0.31,-0.82,0.05,Aufheben
0.578,0.713,-12.76,-44.19,-4.70,0.26,-0.83,0.05,Aufheben
0.59,0.728,-13.18,-36.50,-4.33,0.20,-0.82,0.06,Aufheben
0.602,0.75,-17.58,-44.49,-8.06,0.16,-0.77,0.04,Aufheben
0.614,0.758,-17.40,-47.36,-9.09,0.12,-0.74,0.04,Aufheben
0.626,0.771,-20.81,-51.51,-9.09,0.13,-0.73,0.05,Aufheben
0.638,0.778,-22.89,-58.35,-11.11,0.16,-0.72,-0.00,Aufheben
0.65,0.789,-20.63,-63.23,-11.35,0.23,-0.73,-0.00,Aufheben
0.662,0.806,-18.80,-67.14,-11.72,0.35,-0.78,-0.10,Aufheben
0.675,0.813,-14.04,-59.69,-10.31,0.36,-0.83,-0.07,Aufheben
0.687,0.823,-3.72,-46.69,-8.12,0.26,-0.84,-0.04,Aufheben
0.699,1.209,5.19,-42.54,-8.42,0.22,-0.79,-0.03,Aufheben
0.711,1.209,9.03,-37.35,-10.56,0.17,-0.73,-0.03,Aufheben
0.723,1.209,6.23,-35.58,-9.34,0.15,-0.72,-0.04,Aufheben
0.735,1.209,1.28,-42.11,-8.48,0.23,-0.77,-0.05,Aufheben
0.747,1.209,-3.36,-50.42,-5.13,0.36,-0.84,-0.10,Aufheben
0.759,1.209,-5.86,-36.93,-1.04,0.38,-0.89,-0.06,Aufheben
0.771,1.209,-4.76,-12.51,4.70,0.34,-0.86,-0.02,Aufheben
0.783,1.209,-3.42,0.73,7.57,0.26,-0.86,-0.03,Aufheben
0.795,1.209,-5.92,8.30,12.57,0.15,-0.90,-0.06,Aufheben
0.807,1.209,-5.25,2.75,12.02,0.18,-0.92,-0.05,Aufheben
0.819,1.209,0.06,-13.85,5.68,0.23,-0.94,-0.04,Aufheben
0.831,1.209,5.86,-14.77,4.09,0.30,-0.96,-0.10,Aufheben
0.843,1.209,12.27,5.43,3.54,0.26,-0.98,-0.12,Aufheben
0.855,1.209,23.68,27.53,1.53,0.19,-0.99,-0.09,Aufheben
