time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.158,-3.91,5.37,6.04,0.31,-0.90,0.05,Aufheben
0.022,0.18,-4.33,8.12,7.32,0.32,-0.90,0.04,Aufheben
0.034,0.186,-5.62,11.29,8.61,0.30,-0.89,0.04,Aufheben
0.046,0.2,-6.29,13.67,10.68,0.30,-0.88,0.04,Aufheben
0.059,0.225,-8.67,14.28,12.94,0.29,-0.88,0.04,Aufheben
0.071,0.234,-9.95,14.16,14.40,0.28,-0.87,0.05,Aufheben
0.083,0.234,-9.46,11.72,15.01,0.28,-0.87,0.04,Aufheben
0.095,0.247,-9.64,12.21,17.58,0.27,-0.84,0.02,Aufheben
0.107,0.263,-11.41,13.43,19.71,0.27,-0.83,0.02,Aufheben
0.119,0.277,-9.46,12.39,20.94,0.28,-0.81,0.02,Aufheben
0.131,0.287,-12.15,14.04,23.62,0.28,-0.80,-0.00,Aufheben
0.143,0.314,-11.41,14.77,23.93,0.27,-0.80,0.01,Aufheben
0.155,0.374,-10.68,13.98,25.63,0.25,-0.79,0.03,Aufheben
0.167,0.374,-10.86,11.29,25.51,0.25,-0.76,0.03,Aufheben
0.179,0.374,-12.76,8.85,25.39,0.25,-0.73,0.01,Aufheben
0.191,0.391,-13.92,5.80,25.57,0.24,-0.72,-0.00,Aufheben
0.203,0.391,-15.50,7.93,26.06,0.25,-0.71,-0.01,Aufheben
0.215,0.391,-14.95,6.16,25.94,0.24,-0.70,-0.00,Aufheben
0.227,0.391,-16.72,6.41,25.88,0.23,-0.70,0.00,Aufheben
0.239,0.404,-17.27,4.46,25.45,0.24,-0.72,0.01,Aufheben
0.252,0.414,-17.88,4.21,26.43,0.24,-0.75,0.02,Aufheben
0.264,0.428,-15.87,1.34,26.49,0.24,-0.75,0.02,Aufheben
0.276,0.428,-15.87,5.86,27.77,0.25,-0.72,0.04,Aufheben
0.288,0.435,-14.34,0.98,28.20,0.24,-0.70,0.04,Aufheben
0.3,0.45,-15.32,-2.99,27.16,0.22,-0.69,0.03,Aufheben
0.312,0.458,-13.49,-10.01,23.80,0.19,-0.69,0.01,Aufheben
0.324,0.483,-11.72,-16.66,18.86,0.18,-0.68,-0.03,Aufheben
0.336,0.496,-11.41,-21.18,14.47,0.22,-0.70,-0.03,Aufheben
0.348,0.508,-14.65,-18.37,12.57,0.26,-0.74,-0.02,Aufheben
0.36,0.518,-13.37,-12.82,12.21,0.26,-0.78,-0.01,Aufheben
0.372,0.537,-9.34,-6.04,12.27,0.26,-0.80,0.04,Aufheben
0.384,0.544,-6.71,-3.54,10.07,0.23,-0.80,0.04,Aufheben
0.397,0.544,-3.30,-12.21,6.23,0.21,-0.78,0.01,Aufheben
0.409,0.561,-3.30,-12.33,3.66,0.20,-0.77,-0.03,Aufheben
0.421,0.571,-2.32,-10.93,2.32,0.17,-0.77,-0.07,Aufheben
0.433,0.59,0.00,-15.56,-0.67,0.15,-0.79,-0.08,Aufheben
0.445,0.597,0.18,-15.63,-2.14,0.13,-0.80,-0.08,Aufheben
0.457,0.603,3.23,-18.92,-3.66,0.13,-0.78,-0.08,Aufheben
0.469,0.622,3.11,-16.42,-3.85,0.13,-0.76,-0.08,Aufheben
0.481,0.636,3.60,-15.20,-2.44,0.09,-0.76,-0.07,Aufheben
0.493,0.649,0.12,-12.57,-2.56,0.08,-0.76,-0.07,Aufheben
0.505,0.659,-0.12,-15.50,-1.59,0.07,-0.78,-0.07,Aufheben
0.517,0.667,-1.40,-13.61,-0.49,0.06,-0.80,-0.07,Aufheben
