time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.158,-9.22,-22.16,-12.02,-0.34,-0.90,0.21,Aufheben
0.022,0.18,-10.31,-23.99,-12.27,-0.33,-0.91,0.21,Aufheben
0.034,0.186,-10.93,-24.35,-12.27,-0.32,-0.91,0.20,Aufheben
0.046,0.2,-12.27,-24.11,-12.02,-0.31,-0.90,0.20,Aufheben
0.058,0.225,-12.33,-23.56,-11.41,-0.30,-0.90,0.18,Aufheben
0.07,0.234,-12.82,-22.22,-11.05,-0.31,-0.91,0.18,Aufheben
0.082,0.234,-11.96,-20.14,-10.93,-0.29,-0.89,0.18,Aufheben
0.094,0.242,-12.15,-18.07,-11.35,-0.30,-0.88,0.20,Aufheben
0.107,0.262,-12.51,-15.69,-10.25,-0.28,-0.87,0.19,Aufheben
0.119,0.283,-12.88,-13.92,-9.09,-0.28,-0.86,0.18,Aufheben
0.131,0.291,-13.61,-11.60,-8.36,-0.29,-0.83,0.17,Aufheben
0.143,0.291,-14.16,-10.80,-6.90,-0.30,-0.79,0.16,Aufheben
0.155,1.758,-15.63,-10.44,-6.35,-0.30,-0.79,0.17,Aufheben
0.167,1.758,-17.58,-11.11,-5.80,-0.30,-0.77,0.17,Aufheben
0.179,1.758,-18.49,-13.24,-5.19,-0.29,-0.77,0.19,Aufheben
0.191,1.758,-18.31,-15.93,-4.70,-0.28,-0.76,0.18,Aufheben
0.203,1.758,-18.92,-17.21,-4.52,-0.28,-0.73,0.18,Aufheben
0.215,1.758,-19.04,-16.66,-3.78,-0.27,-0.73,0.17,Aufheben
0.227,1.758,-20.57,-15.87,-2.69,-0.27,-0.74,0.16,Aufheben
0.239,1.758,-21.61,-16.05,-2.08,-0.28,-0.76,0.18,Aufheben
0.251,1.758,-21.79,-16.48,-1.95,-0.27,-0.78,0.18,Aufheben
0.263,1.758,-20.20,-17.76,-2.62,-0.26,-0.78,0.18,Aufheben
0.275,1.758,-19.29,-19.78,-2.20,-0.27,-0.77,0.20,Aufheben
0.287,1.758,-18.49,-19.78,-2.08,-0.26,-0.78,0.16,Aufheben
0.299,1.758,-16.97,-19.35,-1.83,-0.26,-0.78,0.16,Aufheben
0.311,1.758,-16.30,-19.96,0.06,-0.27,-0.76,0.12,Aufheben
0.323,1.758,-14.59,-19.04,0.61,-0.25,-0.76,0.12,Aufheben
0.335,1.758,-15.20,-18.43,2.32,-0.24,-0.75,0.11,Aufheben
0.347,1.759,-15.63,-18.37,3.85,-0.25,-0.76,0.14,Aufheben
0.359,1.759,-15.69,-18.25,4.64,-0.24,-0.77,0.16,Aufheben
0.371,1.759,-17.09,-19.84,5.37,-0.24,-0.79,0.16,Aufheben
0.383,1.759,-15.81,-19.35,5.31,-0.24,-0.79,0.15,Aufheben
0.395,1.759,-15.63,-18.68,6.35,-0.23,-0.80,0.11,Aufheben
0.407,1.759,-14.59,-18.13,6.84,-0.26,-0.81,0.12,Aufheben
0.419,1.759,-13.92,-18.55,6.84,-0.24,-0.82,0.10,Aufheben
0.431,1.759,-13.18,-20.69,6.90,-0.26,-0.81,0.11,Aufheben
0.443,1.759,-11.72,-23.07,5.55,-0.25,-0.83,0.09,Aufheben
0.455,1.759,-11.29,-25.63,5.31,-0.24,-0.83,0.10,Aufheben
0.467,1.759,-10.56,-28.44,5.13,-0.23,-0.84,0.11,Aufheben
0.479,1.759,-8.48,-30.33,3.91,-0.21,-0.83,0.11,Aufheben
0.491,1.759,-7.45,-29.66,3.72,-0.19,-0.80,0.10,Aufheben
0.503,1.759,-8.85,-27.34,3.11,-0.19,-0.80,0.08,Aufheben
0.515,1.787,-10.01,-26.12,2.75,-0.22,-0.83,0.10,Aufheben
0.527,1.787,-9.03,-27.28,0.79,-0.21,-0.85,0.11,Aufheben
0.539,1.787,-7.63,-27.10,-1.28,-0.21,-0.85,0.13,Aufheben
0.551,1.787,-7.20,-26.43,-3.23,-0.20,-0.86,0.13,Aufheben
0.563,1.787,-5.49,-24.41,-5.68,-0.19,-0.86,0.11,Aufheben
0.575,1.787,-3.42,-20.32,-7.08,-0.21,-0.83,0.07,Aufheben
0.587,1.787,-2.20,-18.01,-7.63,-0.21,-0.83,0.06,Aufheben
0.599,1.787,-2.26,-15.99,-7.57,-0.22,-0.82,0.03,Aufheben
0.611,1.787,-3.30,-15.08,-8.42,-0.21,-0.85,0.04,Aufheben
0.623,1.787,-5.19,-17.46,-9.28,-0.25,-0.87,0.10,Aufheben
0.635,1.787,-4.52,-22.09,-10.68,-0.23,-0.91,0.13,Aufheben
0.647,1.787,-2.87,-23.93,-12.21,-0.21,-0.92,0.14,Aufheben
0.659,1.787,-1.95,-21.30,-13.61,-0.20,-0.92,0.10,Aufheben
0.671,1.787,-0.12,-19.23,-15.26,-0.23,-0.90,0.05,Aufheben
0.683,1.787,0.49,-18.37,-17.27,-0.25,-0.90,0.06,Aufheben
0.695,1.787,-0.92,-21.00,-18.55,-0.26,-0.94,0.07,Aufheben
0.707,1.787,-2.14,-25.27,-19.53,-0.26,-0.96,0.08,Aufheben
0.719,1.787,-1.71,-29.42,-20.45,-0.27,-0.98,0.10,Aufheben
0.731,1.787,-0.92,-32.29,-21.30,-0.25,-1.00,0.10,Aufheben
0.743,1.787,-0.67,-32.10,-22.52,-0.26,-1.02,0.07,Aufheben
0.755,1.788,-0.55,-31.01,-22.40,-0.27,-1.04,0.06,Aufheben
0.767,1.788,-0.24,-31.43,-21.61,-0.26,-1.05,0.05,Aufheben
0.779,1.788,-0.55,-31.13,-21.73,-0.26,-1.11,0.07,Aufheben
0.791,1.788,0.06,-30.76,-21.97,-0.26,-1.14,0.09,Aufheben
0.803,1.788,2.26,-32.29,-22.40,-0.26,-1.14,0.07,Aufheben
0.815,1.788,4.58,-36.07,-22.64,-0.23,-1.14,0.10,Aufheben
0.827,1.788,5.19,-39.00,-21.73,-0.21,-1.17,0.13,Aufheben
1.651,1.801,4.27,12.39,-4.09,-0.23,-1.20,0.25,Aufheben
1.663,2.181,4.76,9.70,-4.03,-0.24,-1.19,0.27,Aufheben
1.675,2.181,2.99,7.08,-4.09,-0.22,-1.18,0.29,Aufheben
1.687,2.181,1.53,6.59,-3.54,-0.20,-1.19,0.28,Aufheben
1.699,2.181,1.89,3.48,-4.94,-0.19,-1.17,0.29,Aufheben
1.711,2.181,1.28,1.71,-5.92,-0.18,-1.18,0.26,Aufheben
1.723,2.181,0.31,5.37,-5.37,-0.19,-1.18,0.26,Aufheben
1.735,2.181,0.18,14.16,-4.76,-0.17,-1.19,0.24,Aufheben
1.747,2.181,1.04,20.39,-4.27,-0.20,-1.16,0.22,Aufheben
1.759,2.182,0.43,22.16,-3.72,-0.21,-1.15,0.19,Aufheben
