time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.135,5.74,-13.92,-1.95,0.26,-0.95,-0.03,Aufheben
0.022,0.145,6.04,-10.74,-1.95,0.25,-0.96,-0.04,Aufheben
0.034,0.153,7.14,-13.18,-2.08,0.23,-0.95,-0.01,Aufheben
0.046,0.165,5.62,-13.98,-2.81,0.22,-0.96,-0.02,Aufheben
0.058,0.182,6.04,-14.89,-3.54,0.22,-0.98,-0.02,Aufheben
0.07,0.2,8.54,-15.99,-3.91,0.19,-0.96,-0.01,Aufheben
0.082,0.207,10.01,-18.98,-4.82,0.18,-0.95,-0.01,Aufheben
0.094,0.215,7.45,-21.00,-6.23,0.19,-0.95,-0.01,Aufheben
0.107,0.253,7.45,-21.48,-6.90,0.17,-0.99,-0.01,Aufheben
0.119,0.253,11.23,-23.93,-6.77,0.15,-0.98,-0.01,Aufheben
0.131,0.253,13.06,-27.34,-6.29,0.14,-0.95,0.01,Aufheben
0.143,0.262,10.07,-34.24,-5.86,0.12,-0.98,0.02,Aufheben
0.155,0.285,7.26,-45.23,-7.93,0.11,-1.06,0.02,Aufheben
0.167,0.297,11.47,-56.21,-11.60,0.11,-1.07,0.01,Aufheben
0.179,0.304,18.55,-62.87,-12.33,0.12,-1.02,0.01,Aufheben
0.191,0.312,20.94,-65.19,-12.08,0.15,-0.94,0.01,Aufheben
0.203,0.321,18.31,-63.23,-12.02,0.16,-0.93,0.03,Aufheben
0.215,0.35,16.72,-60.42,-11.72,0.14,-0.96,0.06,Aufheben
0.227,0.363,18.25,-62.81,-12.15,0.13,-0.96,0.07,Aufheben
0.239,0.363,22.40,-66.96,-11.23,0.17,-0.95,0.06,Aufheben
0.251,0.369,23.13,-65.73,-9.83,0.19,-0.95,0.03,Aufheben
0.263,0.386,24.23,-60.85,-8.06,0.20,-0.98,0.01,Aufheben
0.275,0.401,26.06,-57.50,-5.37,0.21,-1.00,0.00,Aufheben
0.287,0.408,29.54,-57.62,-3.11,0.22,-0.98,0.01,Aufheben
0.299,0.421,30.21,-56.70,-2.26,0.24,-0.97,0.02,Aufheben
0.311,0.438,27.77,-54.81,-2.75,0.27,-0.98,0.05,Aufheben
0.323,0.452,30.03,-54.44,-2.26,0.25,-0.97,0.07,Aufheben
0.335,0.461,30.76,-56.34,-3.91,0.25,-0.97,0.06,Aufheben
0.347,0.469,28.99,-54.63,-3.91,0.25,-0.96,0.06,Aufheben
0.359,0.477,29.11,-56.58,-5.55,0.26,-0.97,0.04,Aufheben
0.371,0.501,29.54,-57.13,-6.04,0.28,-0.98,0.04,Aufheben
0.383,0.511,30.27,-54.99,-4.94,0.30,-0.97,0.01,Aufheben
0.395,0.52,32.59,-55.97,-5.19,0.31,-0.96,0.01,Aufheben
0.407,0.527,34.42,-54.63,-4.88,0.33,-0.96,-0.01,Aufheben
0.419,0.542,36.25,-52.49,-4.52,0.36,-0.96,-0.00,Aufheben
0.431,0.557,36.80,-49.62,-4.58,0.35,-0.98,0.02,Aufheben
0.443,0.563,38.70,-51.64,-6.41,0.33,-0.97,0.03,Aufheben
0.455,0.573,37.60,-51.45,-8.79,0.33,-0.96,0.06,Aufheben
0.467,0.592,37.78,-56.03,-12.02,0.32,-0.95,0.06,Aufheben
0.479,0.603,37.17,-58.65,-14.77,0.33,-0.93,0.03,Aufheben
