time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.134,3.78,4.76,-4.46,-0.26,-0.97,0.20,Aufheben
0.022,0.145,3.66,6.04,-4.58,-0.28,-0.97,0.20,Aufheben
0.034,0.153,4.09,8.00,-4.76,-0.26,-0.96,0.20,Aufheben
0.046,0.165,4.52,9.64,-5.25,-0.28,-0.96,0.21,Aufheben
0.059,1.269,5.25,12.15,-5.55,-0.28,-0.96,0.18,Aufheben
0.071,1.269,5.07,12.82,-5.25,-0.28,-0.95,0.19,Aufheben
0.083,1.269,5.31,12.39,-5.13,-0.32,-0.96,0.17,Aufheben
0.095,1.269,4.76,9.22,-4.88,-0.32,-0.96,0.17,Aufheben
0.107,1.269,4.21,7.02,-4.70,-0.29,-0.94,0.20,Aufheben
0.119,1.269,4.21,7.69,-3.97,-0.29,-0.96,0.23,Aufheben
0.131,1.269,5.00,8.97,-3.30,-0.28,-0.95,0.21,Aufheben
0.143,1.269,6.10,10.38,-2.81,-0.28,-0.97,0.23,Aufheben
0.155,1.269,7.51,11.84,-2.99,-0.30,-0.99,0.22,Aufheben
0.167,1.269,8.79,12.76,-2.26,-0.29,-0.99,0.23,Aufheben
0.179,1.269,11.11,14.53,-2.08,-0.28,-0.98,0.26,Aufheben
0.191,1.269,13.49,16.60,-1.89,-0.28,-0.96,0.22,Aufheben
0.203,1.269,14.22,18.43,-0.85,-0.28,-0.96,0.21,Aufheben
0.215,1.269,15.32,19.59,0.00,-0.29,-0.95,0.20,Aufheben
0.227,1.269,15.32,19.41,0.98,-0.28,-0.96,0.21,Aufheben
0.239,1.27,15.75,16.72,1.46,-0.29,-0.96,0.21,Aufheben
0.251,1.27,15.87,13.31,2.26,-0.27,-0.97,0.22,Aufheben
0.263,1.27,15.81,13.06,3.17,-0.25,-0.97,0.25,Aufheben
0.275,1.27,16.78,14.40,3.60,-0.25,-0.98,0.27,Aufheben
0.287,1.27,17.76,16.85,3.85,-0.27,-0.98,0.27,Aufheben
0.299,1.27,19.78,18.37,4.76,-0.27,-0.98,0.23,Aufheben
0.311,1.27,21.06,20.02,4.76,-0.28,-0.96,0.21,Aufheben
0.323,1.27,24.23,20.51,5.98,-0.29,-0.96,0.24,Aufheben
0.335,1.27,26.06,18.25,5.80,-0.32,-0.94,0.28,Aufheben
0.347,1.27,24.23,12.88,5.49,-0.32,-0.96,0.31,Aufheben
0.359,1.27,23.99,7.32,4.70,-0.29,-0.96,0.32,Aufheben
0.371,1.27,25.51,3.91,4.15,-0.28,-0.97,0.33,Aufheben
0.383,1.27,24.84,1.53,3.60,-0.31,-0.96,0.34,Aufheben
0.395,1.27,24.78,-3.66,2.69,-0.31,-0.99,0.36,Aufheben
0.407,1.27,26.67,-2.50,1.77,-0.26,-1.00,0.37,Aufheben
0.419,1.27,29.91,2.56,2.75,-0.28,-1.00,0.37,Aufheben
0.431,1.301,31.62,6.04,3.30,-0.31,-1.00,0.35,Aufheben
0.443,1.301,33.63,6.29,4.76,-0.33,-0.99,0.37,Aufheben
0.455,1.301,36.68,7.57,6.29,-0.33,-0.99,0.39,Aufheben
0.467,1.301,37.54,8.18,7.69,-0.35,-0.96,0.40,Aufheben
0.479,1.301,37.54,7.20,9.64,-0.36,-0.97,0.42,Aufheben
0.491,1.301,37.66,4.76,11.35,-0.37,-0.97,0.42,Aufheben
0.503,1.301,38.39,1.83,12.57,-0.35,-0.98,0.45,Aufheben
0.515,1.301,38.45,1.77,13.92,-0.34,-0.95,0.44,Aufheben
0.527,1.301,36.74,2.32,15.75,-0.38,-0.96,0.42,Aufheben
0.539,1.301,36.62,-0.18,15.87,-0.38,-0.99,0.41,Aufheben
0.551,1.301,37.05,-2.08,17.33,-0.38,-0.99,0.40,Aufheben
0.563,1.301,38.94,-3.30,18.62,-0.39,-0.98,0.42,Aufheben
0.575,1.301,39.73,-5.98,20.02,-0.40,-0.95,0.45,Aufheben
0.587,1.301,40.10,-8.79,21.06,-0.40,-0.92,0.44,Aufheben
0.599,1.301,40.22,-10.86,21.61,-0.38,-0.91,0.44,Aufheben
0.611,1.301,40.10,-12.45,22.71,-0.37,-0.87,0.46,Aufheben
0.623,1.301,39.06,-13.43,22.28,-0.38,-0.85,0.46,Aufheben
0.635,1.301,37.72,-14.40,22.03,-0.35,-0.85,0.47,Aufheben
0.647,1.301,37.11,-12.02,21.42,-0.34,-0.83,0.47,Aufheben
0.659,1.301,37.84,-8.18,20.51,-0.34,-0.83,0.48,Aufheben
0.671,1.301,36.50,-5.55,19.96,-0.37,-0.81,0.47,Aufheben
0.683,1.301,35.89,-6.16,18.25,-0.39,-0.81,0.46,Aufheben
0.695,1.301,36.13,-8.67,17.15,-0.39,-0.83,0.46,Aufheben
0.707,1.301,36.38,-9.58,16.11,-0.37,-0.83,0.47,Aufheben
0.719,1.301,35.34,-10.50,15.75,-0.37,-0.83,0.48,Aufheben
0.731,1.301,35.83,-9.95,16.24,-0.39,-0.82,0.49,Aufheben
0.743,1.301,34.73,-7.32,15.87,-0.38,-0.80,0.48,Aufheben
0.755,1.301,34.00,-5.25,17.58,-0.39,-0.79,0.46,Aufheben
0.767,1.301,33.39,-5.55,17.46,-0.43,-0.79,0.45,Aufheben
