time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.118,-0.06,11.17,-7.93,-0.27,-0.96,0.12,Aufheben
0.022,0.49,-0.37,11.29,-7.45,-0.28,-0.97,0.13,Aufheben
0.034,0.49,-0.37,11.23,-6.84,-0.29,-0.97,0.13,Aufheben
0.046,0.49,-0.67,10.19,-7.20,-0.29,-0.99,0.14,Aufheben
0.058,0.49,-0.85,9.16,-6.90,-0.30,-1.00,0.16,Aufheben
0.07,0.49,0.85,10.44,-6.23,-0.28,-1.02,0.14,Aufheben
0.082,0.49,0.61,10.80,-6.65,-0.27,-1.00,0.14,Aufheben
0.094,0.49,1.71,10.44,-6.41,-0.26,-1.01,0.15,Aufheben
0.106,0.49,2.20,11.11,-5.80,-0.27,-1.00,0.14,Aufheben
0.118,0.49,3.17,10.44,-5.98,-0.25,-0.99,0.16,Aufheben
0.13,0.49,3.72,9.70,-6.35,-0.23,-0.99,0.16,Aufheben
0.142,0.49,3.97,10.62,-6.47,-0.24,-0.99,0.15,Aufheben
0.154,0.49,4.52,11.60,-6.10,-0.24,-0.99,0.15,Aufheben
0.166,0.49,4.64,13.24,-6.90,-0.22,-0.99,0.16,Aufheben
0.178,0.49,5.31,13.61,-6.04,-0.23,-0.99,0.14,Aufheben
0.19,0.49,5.74,13.79,-6.47,-0.22,-1.00,0.14,Aufheben
0.202,0.49,5.68,13.12,-6.53,-0.22,-0.98,0.13,Aufheben
0.214,0.49,6.84,13.37,-6.71,-0.20,-0.98,0.14,Aufheben
0.226,0.49,7.14,14.71,-7.20,-0.22,-0.99,0.14,Aufheben
0.238,0.49,7.26,15.87,-6.84,-0.19,-0.98,0.13,Aufheben
0.25,0.49,7.69,16.91,-7.32,-0.20,-0.99,0.12,Aufheben
0.262,0.49,7.63,18.13,-7.69,-0.22,-0.99,0.13,Aufheben
0.274,0.49,8.06,18.74,-8.18,-0.22,-1.00,0.12,Aufheben
0.286,0.49,9.03,19.47,-9.09,-0.23,-1.00,0.13,Aufheben
0.298,0.49,9.83,20.20,-8.91,-0.22,-1.00,0.12,Aufheben
0.31,0.49,9.34,21.48,-9.22,-0.23,-0.98,0.12,Aufheben
0.322,0.49,10.68,22.34,-9.03,-0.22,-0.99,0.12,Aufheben
0.334,0.49,10.62,23.62,-8.73,-0.22,-0.98,0.12,Aufheben
