time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.071,7.81,-18.31,-3.17,0.30,-0.93,-0.03,Aufheben
0.022,0.088,7.45,-16.42,-3.11,0.31,-0.92,-0.02,Aufheben
0.034,0.097,6.77,-16.36,-3.48,0.31,-0.94,-0.02,Aufheben
0.046,0.111,7.26,-15.63,-3.60,0.31,-0.93,-0.03,Aufheben
0.058,0.119,7.69,-16.30,-3.05,0.30,-0.93,-0.03,Aufheben
0.07,0.134,7.69,-17.52,-2.81,0.30,-0.94,-0.03,Aufheben
0.082,0.152,7.39,-17.82,-3.60,0.31,-0.93,-0.02,Aufheben
0.094,0.162,7.08,-17.58,-2.69,0.31,-0.93,-0.03,Aufheben
0.106,0.172,8.36,-18.25,-3.30,0.31,-0.94,-0.03,Aufheben
0.118,0.18,7.87,-17.58,-3.48,0.30,-0.93,-0.03,Aufheben
0.13,0.206,5.74,-15.50,-2.87,0.30,-0.93,-0.03,Aufheben
0.142,0.206,7.02,-16.97,-2.99,0.29,-0.93,-0.04,Aufheben
0.154,0.213,6.53,-16.05,-2.56,0.29,-0.94,-0.04,Aufheben
0.166,0.248,6.84,-15.32,-2.81,0.30,-0.93,-0.04,Aufheben
0.178,0.256,5.98,-13.92,-1.34,0.30,-0.93,-0.04,Aufheben
0.19,0.256,5.68,-16.05,-1.59,0.29,-0.94,-0.04,Aufheben
0.202,0.27,6.84,-16.85,-1.83,0.29,-0.94,-0.03,Aufheben
0.214,0.278,6.35,-17.21,-1.59,0.28,-0.93,-0.04,Aufheben
0.226,0.286,6.23,-16.54,-1.65,0.28,-0.93,-0.03,Aufheben
0.238,0.321,6.04,-17.33,-1.65,0.28,-0.93,-0.04,Aufheben
0.25,0.321,5.25,-16.85,-0.92,0.28,-0.94,-0.04,Aufheben
0.262,0.331,4.94,-17.82,-0.67,0.28,-0.93,-0.04,Aufheben
0.274,0.354,5.31,-19.47,-1.22,0.28,-0.93,-0.04,Aufheben
0.286,0.354,5.19,-18.92,-0.37,0.29,-0.94,-0.04,Aufheben
0.298,0.365,5.25,-19.41,-0.37,0.29,-0.94,-0.05,Aufheben
0.31,0.374,3.72,-17.82,0.24,0.30,-0.93,-0.06,Aufheben
0.322,0.382,3.23,-18.55,0.43,0.29,-0.95,-0.06,Aufheben
0.334,0.405,2.87,-19.23,0.12,0.29,-0.95,-0.06,Aufheben
0.346,0.405,1.95,-18.86,0.43,0.27,-0.95,-0.07,Aufheben
0.358,0.416,1.28,-18.74,0.92,0.29,-0.94,-0.07,Aufheben
0.37,0.432,0.61,-18.19,1.65,0.30,-0.94,-0.06,Aufheben
0.382,0.448,-0.12,-17.76,2.14,0.28,-0.94,-0.07,Aufheben
0.394,0.459,-1.22,-17.76,3.85,0.27,-0.93,-0.08,Aufheben
0.406,0.467,-3.42,-18.98,3.54,0.27,-0.95,-0.09,Aufheben
0.418,0.481,-3.36,-19.41,4.27,0.26,-0.97,-0.10,Aufheben
0.43,0.497,-0.73,-17.76,4.39,0.26,-0.96,-0.12,Aufheben
0.442,0.505,0.43,-12.57,5.00,0.27,-0.97,-0.11,Aufheben
0.454,0.512,4.09,-10.31,5.19,0.21,-0.96,-0.08,Aufheben
0.466,0.526,4.03,-8.73,6.77,0.20,-0.92,-0.07,Aufheben
0.478,0.536,0.00,-9.28,7.69,0.20,-0.92,-0.08,Aufheben
0.49,0.552,-5.07,-4.94,9.77,0.22,-0.94,-0.08,Aufheben
0.502,0.56,-6.59,-4.76,10.50,0.25,-0.96,-0.09,Aufheben
0.514,0.572,-6.10,-5.80,11.78,0.28,-0.95,-0.07,Aufheben
0.526,0.584,-6.65,-4.94,13.24,0.28,-0.95,-0.06,Aufheben
0.538,0.609,-9.89,-6.71,14.65,0.24,-0.93,-0.06,Aufheben
0.55,0.609,-10.93,-12.63,12.94,0.22,-0.92,-0.06,Aufheben
0.562,0.62,-13.43,-19.23,12.39,0.23,-0.92,-0.05,Aufheben
0.574,0.636,-13.92,-21.67,12.27,0.24,-0.92,-0.07,Aufheben
0.586,0.648,-14.89,-19.35,13.00,0.24,-0.92,-0.09,Aufheben
0.598,0.656,-14.65,-18.62,12.27,0.23,-0.90,-0.06,Aufheben
0.61,0.671,-16.24,-16.11,14.10,0.26,-0.90,-0.08,Aufheben
0.622,0.68,-17.33,-11.47,15.01,0.27,-0.90,-0.10,Aufheben
0.634,0.694,-15.01,-5.68,16.42,0.26,-0.90,-0.11,Aufheben
0.646,0.704,-14.10,-1.59,17.88,0.26,-0.88,-0.13,Aufheben
0.658,0.719,-14.16,2.62,19.41,0.25,-0.87,-0.12,Aufheben
0.67,0.728,-15.50,2.69,19.47,0.24,-0.85,-0.12,Aufheben
0.682,0.752,-14.22,0.98,19.29,0.22,-0.83,-0.13,Aufheben
0.694,0.759,-14.83,-0.98,17.46,0.24,-0.82,-0.12,Aufheben
0.706,0.765,-16.42,-1.46,17.70,0.24,-0.83,-0.12,Aufheben
0.718,0.776,-17.88,-2.14,17.27,0.22,-0.83,-0.12,Aufheben
0.73,0.792,-19.23,-7.39,16.24,0.21,-0.83,-0.13,Aufheben
0.742,0.802,-19.23,-14.53,16.85,0.21,-0.85,-0.15,Aufheben
0.754,0.814,-20.32,-15.63,17.58,0.23,-0.86,-0.16,Aufheben
0.766,0.823,-18.80,-18.92,17.70,0.17,-0.86,-0.16,Aufheben
0.778,0.851,-17.15,-24.17,16.42,0.12,-0.83,-0.17,Aufheben
0.79,0.86,-19.41,-31.13,15.75,0.13,-0.84,-0.16,Aufheben
0.802,0.897,-21.55,-34.18,15.93,0.13,-0.83,-0.23,Aufheben
0.814,0.917,-19.90,-34.55,16.85,0.10,-0.86,-0.24,Aufheben
0.826,0.917,-14.04,-36.50,19.04,0.08,-0.82,-0.26,Aufheben
0.838,0.917,-14.77,-35.52,23.25,0.15,-0.82,-0.21,Aufheben
0.85,0.924,-20.69,-28.08,28.63,0.16,-0.88,-0.16,Aufheben
0.862,0.924,-17.82,-23.62,33.69,0.11,-0.92,-0.16,Aufheben
0.874,0.932,-13.98,-27.34,32.41,0.10,-0.87,-0.16,Aufheben
0.886,0.956,-14.34,-29.30,33.08,0.10,-0.83,-0.15,Aufheben
0.898,0.985,-18.07,-31.68,34.79,0.06,-0.83,-0.17,Aufheben
0.91,0.985,-20.45,-36.32,33.14,0.04,-0.85,-0.18,Aufheben
0.922,0.985,-19.29,-45.10,31.80,0.07,-0.88,-0.17,Aufheben
0.934,0.991,-15.63,-48.52,29.54,0.12,-0.87,-0.18,Aufheben
0.946,1.007,-11.60,-50.72,26.92,0.13,-0.85,-0.19,Aufheben
0.958,1.021,-9.52,-54.14,21.97,0.14,-0.83,-0.18,Aufheben
0.97,1.027,-9.40,-60.18,19.35,0.14,-0.84,-0.16,Aufheben
0.982,1.044,-9.46,-60.00,16.11,0.17,-0.87,-0.17,Aufheben
0.995,1.058,-8.67,-57.62,11.23,0.15,-0.98,-0.20,Aufheben
1.007,1.08,-5.98,-54.93,8.36,0.12,-0.97,-0.22,Aufheben
1.04,1.098,-7.93,-64.76,-7.45,0.01,-0.91,-0.29,Aufheben
1.052,1.121,-8.79,-71.29,-13.98,0.05,-0.89,-0.30,Aufheben
1.064,1.135,-7.57,-65.49,-17.21,0.08,-0.83,-0.36,Aufheben
1.076,1.142,-7.08,-55.05,-18.55,0.10,-0.82,-0.39,Aufheben
1.088,1.151,-12.39,-41.08,-17.27,0.11,-0.87,-0.40,Aufheben
1.1,1.176,-11.96,-33.39,-17.52,0.13,-0.96,-0.39,Aufheben
1.112,1.176,-2.69,-28.99,-11.23,0.21,-0.93,-0.31,Aufheben
1.124,1.185,-0.24,-0.79,-1.71,0.24,-0.85,-0.31,Aufheben
1.136,1.194,-4.03,22.89,3.05,0.09,-0.84,-0.32,Aufheben
1.148,1.221,-8.79,24.66,4.52,0.00,-0.87,-0.34,Aufheben
1.16,1.221,-9.46,12.08,3.54,-0.03,-0.91,-0.40,Aufheben
1.172,1.229,-8.30,0.24,2.50,0.02,-0.91,-0.46,Aufheben
1.184,1.249,-6.84,-3.54,3.11,0.04,-0.93,-0.45,Aufheben
1.196,1.262,-2.44,-6.65,3.48,0.01,-0.96,-0.43,Aufheben
1.208,1.27,-3.36,-7.51,3.91,0.01,-0.93,-0.42,Aufheben
1.22,1.277,-1.46,-12.57,5.74,-0.07,-0.94,-0.40,Aufheben
1.232,1.292,-2.81,-18.25,5.92,0.03,-0.91,-0.43,Aufheben
1.244,1.302,-6.90,-14.22,7.26,0.08,-0.97,-0.43,Aufheben
1.256,1.316,-5.19,-13.67,6.10,0.10,-1.02,-0.43,Aufheben
1.268,1.34,-1.89,-11.23,7.08,0.16,-1.14,-0.40,Aufheben
1.28,1.34,10.80,-0.31,8.73,0.27,-1.21,-0.32,Aufheben
1.292,1.353,26.67,10.68,5.43,0.07,-1.12,-0.21,Aufheben
1.304,1.365,36.44,-1.04,0.67,-0.10,-1.03,-0.09,Aufheben
1.316,1.374,29.48,-23.56,-4.94,-0.06,-0.96,-0.10,Aufheben
1.328,1.388,22.71,-49.87,-10.50,-0.07,-0.95,-0.21,Aufheben
1.34,1.398,24.35,-64.27,-9.34,-0.01,-0.94,-0.32,Aufheben
1.352,1.41,27.22,-59.33,-7.20,0.02,-0.94,-0.39,Aufheben
1.365,1.425,34.85,-39.18,-4.15,0.06,-0.97,-0.35,Aufheben
