time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.071,3.30,4.58,-3.60,-0.34,-0.95,0.16,Aufheben
0.022,0.088,3.48,4.21,-3.48,-0.34,-0.96,0.16,Aufheben
0.034,0.096,2.69,4.09,-3.30,-0.33,-0.95,0.17,Aufheben
0.046,0.106,2.99,3.66,-3.72,-0.34,-0.95,0.17,Aufheben
0.058,0.123,2.93,3.11,-3.66,-0.32,-0.94,0.18,Aufheben
0.07,0.136,2.50,2.44,-3.42,-0.32,-0.94,0.16,Aufheben
0.083,0.152,2.75,2.75,-3.72,-0.31,-0.95,0.18,Aufheben
0.095,0.162,2.44,3.05,-2.75,-0.32,-0.94,0.17,Aufheben
0.107,0.172,2.87,3.54,-3.11,-0.32,-0.93,0.18,Aufheben
0.119,0.18,3.17,3.30,-3.23,-0.33,-0.96,0.18,Aufheben
0.131,0.204,2.87,3.72,-3.17,-0.33,-0.95,0.19,Aufheben
0.143,0.204,3.11,3.91,-3.36,-0.34,-0.95,0.19,Aufheben
0.155,0.213,3.17,4.39,-3.42,-0.31,-0.96,0.17,Aufheben
0.167,0.256,2.99,4.33,-4.03,-0.32,-0.95,0.18,Aufheben
0.179,0.256,3.30,4.94,-3.97,-0.33,-0.95,0.17,Aufheben
0.191,0.256,3.05,5.86,-3.60,-0.32,-0.94,0.17,Aufheben
0.203,0.27,3.17,5.43,-4.03,-0.31,-0.94,0.17,Aufheben
0.215,0.278,2.62,5.13,-3.85,-0.34,-0.94,0.17,Aufheben
0.227,0.286,2.32,4.46,-4.33,-0.33,-0.94,0.18,Aufheben
0.239,0.317,1.16,3.17,-4.88,-0.33,-0.95,0.16,Aufheben
0.251,0.33,1.16,2.75,-5.37,-0.33,-0.93,0.16,Aufheben
0.263,0.33,0.92,1.95,-5.49,-0.34,-0.94,0.17,Aufheben
0.275,0.34,0.37,1.22,-5.55,-0.32,-0.95,0.17,Aufheben
0.287,0.355,0.55,0.61,-6.23,-0.33,-0.94,0.19,Aufheben
0.3,0.364,-0.18,0.18,-6.84,-0.32,-0.93,0.21,Aufheben
0.312,0.374,-1.59,-0.98,-8.00,-0.35,-0.95,0.22,Aufheben
0.325,0.389,-2.56,-2.32,-7.69,-0.38,-0.94,0.22,Aufheben
0.337,0.405,-2.81,-6.04,-7.81,-0.40,-0.94,0.21,Aufheben
0.349,0.412,-2.56,-12.33,-8.85,-0.37,-0.94,0.24,Aufheben
0.361,0.42,-2.32,-17.15,-7.81,-0.37,-0.93,0.23,Aufheben
0.373,0.446,-2.93,-19.29,-6.71,-0.39,-0.91,0.23,Aufheben
0.385,0.456,-3.97,-20.26,-6.23,-0.39,-0.92,0.22,Aufheben
0.397,0.465,-2.81,-21.91,-6.65,-0.40,-0.90,0.21,Aufheben
0.409,0.48,-2.75,-24.23,-7.57,-0.42,-0.91,0.23,Aufheben
0.421,0.489,-1.59,-27.28,-9.89,-0.40,-0.89,0.23,Aufheben
