time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.151,8.67,-16.97,-4.27,0.24,-0.97,-0.05,Aufheben
0.022,0.163,8.61,-16.72,-4.33,0.24,-0.96,-0.03,Aufheben
0.034,0.174,8.67,-16.48,-3.78,0.22,-0.96,-0.04,Aufheben
0.046,0.186,9.40,-17.15,-1.89,0.23,-0.96,-0.04,Aufheben
0.058,0.197,10.25,-18.55,-3.11,0.23,-0.96,-0.03,Aufheben
0.07,0.222,12.27,-19.47,5.80,0.25,-0.96,-0.05,Aufheben
0.082,0.222,14.10,-15.93,-3.23,0.20,-0.96,-0.04,Aufheben
0.094,0.239,7.51,-14.22,-2.20,0.18,-0.94,-0.04,Aufheben
0.106,0.248,10.93,-20.45,-2.26,0.21,-0.96,-0.05,Aufheben
0.118,0.255,10.19,-18.74,-5.25,0.21,-0.97,-0.04,Aufheben
0.13,0.272,10.13,-19.23,-0.37,0.16,-0.96,-0.05,Aufheben
0.142,0.281,12.88,-25.02,1.53,0.21,-0.98,-0.06,Aufheben
0.154,0.294,11.96,-25.94,3.42,0.20,-0.96,-0.06,Aufheben
0.166,0.308,13.79,-24.90,-2.32,0.19,-0.97,-0.06,Aufheben
0.178,0.322,12.76,-25.09,-2.20,0.21,-0.97,-0.06,Aufheben
0.19,0.331,11.11,-23.01,-4.33,0.18,-0.96,-0.06,Aufheben
0.202,0.339,12.33,-26.79,-3.30,0.19,-0.96,-0.06,Aufheben
0.214,0.353,13.92,-32.47,2.50,0.14,-0.96,-0.05,Aufheben
0.227,0.366,15.14,-31.19,-7.14,0.23,-0.98,-0.05,Aufheben
0.239,0.382,11.11,-27.89,-3.48,0.19,-0.94,-0.05,Aufheben
0.251,0.389,12.63,-32.41,-2.14,0.19,-0.94,-0.06,Aufheben
0.263,0.403,12.33,-33.45,-3.17,0.21,-0.95,-0.05,Aufheben
0.275,0.421,11.11,-32.41,-4.88,0.20,-0.94,-0.05,Aufheben
0.287,0.429,11.17,-33.20,-2.62,0.19,-0.94,-0.07,Aufheben
0.299,0.44,10.38,-33.87,-3.66,0.20,-0.95,-0.07,Aufheben
0.311,0.455,10.68,-36.93,-2.01,0.20,-0.94,-0.06,Aufheben
0.323,0.462,10.31,-37.66,-1.83,0.21,-0.94,-0.06,Aufheben
0.336,0.481,10.38,-39.00,-1.71,0.21,-0.95,-0.06,Aufheben
0.348,0.489,9.40,-41.26,-2.81,0.21,-0.96,-0.06,Aufheben
0.36,0.502,8.85,-40.71,-3.48,0.22,-0.96,-0.06,Aufheben
0.372,0.514,10.44,-41.56,-3.85,0.21,-0.94,-0.06,Aufheben
0.384,0.527,10.80,-40.28,-5.19,0.22,-0.95,-0.06,Aufheben
0.396,0.535,10.38,-39.73,-6.35,0.22,-0.94,-0.06,Aufheben
0.408,0.55,10.38,-39.61,-5.74,0.21,-0.94,-0.06,Aufheben
0.42,0.558,8.67,-41.14,-5.98,0.20,-0.93,-0.05,Aufheben
0.432,0.571,8.48,-40.22,-3.66,0.21,-0.94,-0.06,Aufheben
0.444,0.583,7.81,-40.53,-4.70,0.20,-0.95,-0.05,Aufheben
0.456,0.596,7.45,-38.15,-3.23,0.21,-0.96,-0.04,Aufheben
0.468,0.606,8.12,-37.23,-1.65,0.20,-0.96,-0.04,Aufheben
0.48,0.63,13.43,-41.08,-5.13,0.23,-0.94,-0.05,Aufheben
0.492,0.637,3.78,-37.48,-2.20,0.22,-0.92,-0.04,Aufheben
0.504,0.647,6.65,-38.15,-0.37,0.21,-0.95,-0.05,Aufheben
0.516,0.656,9.95,-38.88,-2.44,0.22,-0.96,-0.04,Aufheben
0.528,0.673,7.63,-37.84,-1.59,0.23,-0.94,-0.05,Aufheben
0.54,0.687,8.97,-39.00,-2.32,0.24,-0.95,-0.05,Aufheben
0.552,0.695,7.51,-36.32,-1.22,0.23,-0.96,-0.05,Aufheben
0.564,0.702,6.29,-35.28,-1.65,0.22,-0.95,-0.05,Aufheben
0.576,0.725,7.08,-36.56,-1.71,0.24,-0.96,-0.05,Aufheben
0.588,0.731,7.32,-34.73,-3.05,0.25,-0.95,-0.06,Aufheben
0.6,0.741,7.26,-32.90,-2.69,0.26,-0.96,-0.06,Aufheben
0.613,0.757,7.69,-28.69,-3.30,0.25,-0.96,-0.07,Aufheben
0.625,0.763,7.81,-27.10,-2.69,0.25,-0.96,-0.08,Aufheben
0.637,0.775,11.66,-24.96,0.12,0.24,-0.97,-0.04,Aufheben
0.65,0.8,8.73,-26.00,-4.27,0.22,-0.95,-0.08,Aufheben
