time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.151,2.32,2.20,-2.81,-0.34,-0.95,0.20,Aufheben
0.022,0.163,3.72,1.95,-2.99,-0.36,-0.95,0.21,Aufheben
0.034,0.18,3.72,2.20,-2.87,-0.35,-0.95,0.19,Aufheben
0.046,0.186,3.60,2.38,-1.28,-0.34,-0.93,0.18,Aufheben
0.058,0.197,2.50,1.46,-1.40,-0.36,-0.94,0.20,Aufheben
0.07,0.222,2.32,-0.61,-1.34,-0.35,-0.94,0.20,Aufheben
0.082,0.23,1.77,-2.01,-0.43,-0.35,-0.94,0.19,Aufheben
0.094,0.239,1.10,-3.36,-0.24,-0.36,-0.92,0.20,Aufheben
0.106,0.247,0.55,-4.88,-0.43,-0.36,-0.92,0.20,Aufheben
0.118,0.261,0.18,-5.25,-0.12,-0.36,-0.93,0.23,Aufheben
0.13,0.27,0.98,-4.15,0.12,-0.37,-0.94,0.20,Aufheben
0.142,0.289,2.14,-3.36,0.67,-0.41,-0.93,0.21,Aufheben
0.154,0.295,3.23,-5.43,2.32,-0.45,-0.95,0.21,Aufheben
0.166,0.308,3.11,-8.97,3.72,-0.42,-0.95,0.22,Aufheben
0.178,0.322,4.46,-8.06,6.65,-0.40,-0.96,0.26,Aufheben
0.19,0.329,5.62,-4.88,9.58,-0.40,-0.95,0.24,Aufheben
0.202,0.344,6.35,-5.62,11.72,-0.43,-0.94,0.22,Aufheben
0.214,0.353,7.20,-9.16,13.43,-0.42,-0.94,0.20,Aufheben
0.226,0.366,7.81,-11.05,14.47,-0.42,-0.95,0.21,Aufheben
0.238,0.391,7.81,-11.66,14.95,-0.42,-0.94,0.20,Aufheben
0.25,0.398,6.96,-10.31,14.47,-0.41,-0.94,0.19,Aufheben
0.262,0.412,6.65,-10.93,15.56,-0.44,-0.92,0.19,Aufheben
0.274,0.422,6.16,-18.74,14.83,-0.50,-0.93,0.22,Aufheben
0.286,0.432,6.04,-31.31,14.40,-0.45,-0.95,0.21,Aufheben
0.298,0.44,5.62,-36.19,15.20,-0.30,-0.95,0.14,Aufheben
0.31,0.449,5.86,2.50,29.48,-0.40,-0.97,0.28,Aufheben
0.322,0.464,15.93,-2.69,32.29,-0.57,-0.94,0.24,Aufheben
0.334,0.473,2.93,-3.60,32.59,-0.51,-1.03,0.27,Aufheben
0.346,0.489,17.40,-0.12,40.41,-0.54,-1.01,0.27,Aufheben
0.358,0.497,16.72,-0.98,42.97,-0.53,-0.94,0.24,Aufheben
0.37,0.514,10.80,-6.65,43.76,-0.50,-0.94,0.23,Aufheben
0.382,0.525,12.57,-12.39,45.53,-0.49,-0.95,0.23,Aufheben
0.394,0.535,13.37,-16.97,48.46,-0.47,-0.95,0.23,Aufheben
0.406,0.547,13.18,-19.41,50.29,-0.45,-0.91,0.22,Aufheben
0.418,0.558,12.33,-21.97,53.10,-0.47,-0.90,0.21,Aufheben
0.43,0.571,10.86,-24.84,55.73,-0.50,-0.89,0.21,Aufheben
0.442,0.583,9.64,-26.73,57.56,-0.50,-0.90,0.21,Aufheben
0.454,0.602,9.28,-27.16,58.47,-0.50,-0.90,0.23,Aufheben
0.466,0.613,8.73,-27.71,58.90,-0.49,-0.89,0.24,Aufheben
0.478,0.623,8.79,-27.16,58.47,-0.49,-0.87,0.24,Aufheben
0.49,0.63,8.61,-25.94,57.31,-0.51,-0.85,0.26,Aufheben
0.503,0.645,9.95,-19.53,56.58,-0.48,-0.86,0.23,Aufheben
0.515,0.655,10.80,-9.89,56.64,-0.47,-0.83,0.23,Aufheben
0.527,0.676,11.29,3.97,56.88,-0.47,-0.82,0.21,Aufheben
0.539,0.687,9.58,17.46,57.80,-0.53,-0.81,0.21,Aufheben
0.551,0.693,9.28,25.88,57.07,-0.57,-0.78,0.22,Aufheben
0.563,0.702,9.28,25.76,55.54,-0.55,-0.76,0.22,Aufheben
0.575,0.717,7.02,26.61,53.83,-0.54,-0.74,0.21,Aufheben
0.587,0.73,5.68,27.47,51.51,-0.53,-0.76,0.21,Aufheben
0.599,0.741,5.80,27.95,48.58,-0.53,-0.74,0.22,Aufheben
0.611,0.755,6.29,37.41,46.75,-0.48,-0.73,0.22,Aufheben
0.623,0.762,5.55,54.14,46.51,-0.49,-0.72,0.21,Aufheben
0.635,0.775,2.75,69.95,45.53,-0.55,-0.71,0.21,Aufheben
0.647,0.788,1.71,79.28,43.64,-0.61,-0.69,0.20,Aufheben
0.659,0.806,1.46,77.88,39.61,-0.61,-0.70,0.20,Aufheben
0.671,0.818,1.65,72.45,34.67,-0.58,-0.68,0.19,Aufheben
0.683,0.831,0.98,68.05,31.80,-0.57,-0.68,0.16,Aufheben
0.695,0.839,0.67,63.42,28.08,-0.59,-0.66,0.13,Aufheben
0.707,0.846,-0.12,55.48,23.62,-0.58,-0.66,0.15,Aufheben
0.719,0.863,-0.92,47.67,19.35,-0.60,-0.66,0.16,Aufheben
0.731,0.87,-3.30,39.31,16.48,-0.63,-0.68,0.15,Aufheben
0.743,0.891,-5.25,25.51,11.23,-0.65,-0.68,0.14,Aufheben
0.755,1.255,-8.54,7.20,5.86,-0.67,-0.68,0.11,Aufheben
0.767,1.255,-10.38,-13.55,0.31,-0.63,-0.69,0.11,Aufheben
0.779,1.255,-12.88,-30.09,-5.25,-0.59,-0.73,0.12,Aufheben
0.791,1.255,-14.16,-38.70,-10.56,-0.57,-0.80,0.13,Aufheben
0.803,1.255,-13.06,-38.57,-14.65,-0.55,-0.83,0.13,Aufheben
0.815,1.255,-10.80,-30.46,-16.48,-0.54,-0.83,0.12,Aufheben
0.827,1.255,-10.01,-18.80,-16.78,-0.50,-0.83,0.15,Aufheben
0.839,1.255,-8.61,-5.25,-16.54,-0.51,-0.84,0.15,Aufheben
0.851,1.255,-5.86,18.74,-12.82,-0.51,-0.86,0.19,Aufheben
0.863,1.255,-2.99,43.64,-10.38,-0.53,-0.86,0.16,Aufheben
0.875,1.255,-0.92,61.58,-7.02,-0.55,-0.87,0.12,Aufheben
0.887,1.255,1.53,69.09,-6.10,-0.58,-0.88,0.11,Aufheben
0.899,1.255,3.91,69.52,-5.62,-0.66,-0.86,0.12,Aufheben
0.911,1.255,2.81,60.67,-5.37,-0.73,-0.88,0.12,Aufheben
0.923,1.255,2.87,47.85,-4.21,-0.74,-0.88,0.13,Aufheben
0.935,1.255,5.00,40.16,-3.60,-0.68,-0.84,0.14,Aufheben
0.947,1.255,4.15,42.79,-1.04,-0.63,-0.82,0.14,Aufheben
0.959,1.255,3.36,52.37,1.28,-0.63,-0.82,0.10,Aufheben
0.971,1.255,3.48,60.49,4.52,-0.63,-0.79,0.11,Aufheben
0.983,1.255,1.16,72.33,5.80,-0.59,-0.79,0.12,Aufheben
0.995,1.255,1.89,85.33,7.87,-0.61,-0.80,0.14,Aufheben
1.007,1.255,3.17,95.76,9.89,-0.69,-0.81,0.14,Aufheben
1.04,1.255,6.71,100.59,11.35,-0.62,-0.79,0.09,Aufheben
1.052,1.255,10.07,113.83,13.67,-0.61,-0.80,0.05,Aufheben
1.064,1.255,10.25,131.84,14.95,-0.70,-0.77,0.05,Aufheben
1.076,1.255,10.68,124.39,14.59,-0.70,-0.77,0.03,Aufheben
1.088,1.255,13.06,125.49,14.47,-0.71,-0.76,0.00,Aufheben
1.1,1.255,15.01,129.64,14.71,-0.66,-0.76,0.00,Aufheben
1.112,1.255,15.38,136.35,13.12,-0.56,-0.77,-0.04,Aufheben
1.124,1.268,15.32,145.63,13.79,-0.55,-0.81,-0.09,Aufheben
1.136,1.279,15.32,155.94,11.90,-0.52,-0.85,-0.15,Aufheben
1.148,1.288,16.66,157.29,11.11,-0.55,-0.83,-0.18,Aufheben
1.16,1.313,14.71,146.85,13.49,-0.61,-0.82,-0.21,Aufheben
1.173,1.39,16.11,139.10,17.03,-0.71,-0.84,-0.13,Aufheben
1.185,1.422,18.07,134.64,19.71,-0.70,-0.80,-0.06,Aufheben
1.197,1.422,19.47,142.09,23.44,-0.63,-0.74,-0.07,Aufheben
1.209,1.422,18.43,149.29,27.10,-0.67,-0.72,-0.17,Aufheben
1.221,1.422,17.94,147.16,28.44,-0.74,-0.72,-0.23,Aufheben
1.233,1.422,17.58,132.20,28.81,-0.81,-0.75,-0.18,Aufheben
1.245,1.422,23.68,109.19,21.67,-0.74,-0.76,-0.09,Aufheben
1.257,1.422,26.67,84.72,5.49,-0.77,-0.88,0.05,Aufheben
1.269,1.465,30.94,43.15,11.23,-0.63,-0.75,-0.01,Aufheben
1.281,1.465,27.77,37.60,9.09,-0.50,-0.85,-0.00,Aufheben
1.293,1.465,29.17,57.50,7.57,-0.65,-0.78,-0.19,Aufheben
1.305,1.465,25.57,57.07,7.20,-0.74,-0.73,-0.33,Aufheben
1.317,1.481,22.58,52.86,5.31,-0.63,-0.72,-0.38,Aufheben
1.329,1.481,21.42,56.40,1.95,-0.65,-0.69,-0.38,Aufheben
1.341,1.497,17.15,52.19,-0.61,-0.63,-0.71,-0.36,Aufheben
1.353,1.497,13.79,40.28,-1.22,-0.65,-0.72,-0.36,Aufheben
1.365,1.516,12.02,25.45,-2.38,-0.60,-0.74,-0.34,Aufheben
1.377,1.523,10.74,23.01,-2.32,-0.50,-0.73,-0.28,Aufheben
1.389,1.534,11.17,26.43,-2.20,-0.53,-0.73,-0.23,Aufheben
1.401,1.551,10.80,21.00,-1.22,-0.58,-0.72,-0.23,Aufheben
1.413,1.559,9.70,12.76,-1.59,-0.58,-0.71,-0.18,Aufheben
1.425,1.57,8.36,7.69,-0.98,-0.62,-0.73,-0.16,Aufheben
1.437,1.58,8.06,6.53,-0.18,-0.62,-0.72,-0.18,Aufheben
1.449,1.588,6.59,7.32,0.92,-0.67,-0.74,-0.24,Aufheben
1.461,1.606,5.19,9.22,1.89,-0.63,-0.75,-0.33,Aufheben
1.473,1.619,5.00,13.85,2.99,-0.66,-0.75,-0.33,Aufheben
1.485,1.626,3.91,12.94,3.72,-0.57,-0.76,-0.33,Aufheben
1.497,1.637,3.85,9.52,3.23,-0.57,-0.76,-0.29,Aufheben
1.509,1.671,4.03,7.57,3.48,-0.58,-0.77,-0.24,Aufheben
1.521,1.688,5.92,13.67,1.89,-0.48,-0.74,-0.23,Aufheben
1.533,1.688,7.14,16.24,0.67,-0.60,-0.73,-0.27,Aufheben
1.545,1.699,6.41,8.42,1.04,-0.58,-0.79,-0.31,Aufheben
1.557,1.711,4.33,5.74,2.08,-0.60,-0.80,-0.31,Aufheben
1.569,1.711,1.40,2.62,3.91,-0.61,-0.81,-0.29,Aufheben
