time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.114,2.50,-11.11,1.71,0.26,-0.93,0.17,Aufheben
0.022,0.12,2.01,-11.78,1.65,0.26,-0.93,0.18,Aufheben
0.034,0.136,2.81,-11.60,1.04,0.26,-0.94,0.19,Aufheben
0.046,0.143,1.53,-13.24,1.04,0.26,-0.93,0.19,Aufheben
0.058,0.158,2.26,-14.10,0.92,0.27,-0.94,0.18,Aufheben
0.07,0.169,0.92,-12.02,1.04,0.27,-0.93,0.17,Aufheben
0.082,0.186,1.65,-13.12,0.73,0.27,-0.94,0.16,Aufheben
0.094,0.193,1.53,-11.54,0.37,0.28,-0.94,0.17,Aufheben
0.106,0.205,0.18,-9.16,-0.31,0.27,-0.95,0.18,Aufheben
0.118,0.228,1.10,-11.35,-0.49,0.26,-0.94,0.17,Aufheben
0.131,0.236,-0.49,-10.62,-0.43,0.26,-0.94,0.16,Aufheben
0.143,0.243,-0.49,-12.51,-2.20,0.27,-0.94,0.16,Aufheben
0.155,0.252,-0.61,-11.17,-2.75,0.27,-0.95,0.16,Aufheben
0.167,0.27,-0.18,-12.02,-3.48,0.26,-0.94,0.15,Aufheben
0.179,0.285,0.06,-10.99,-3.78,0.26,-0.94,0.16,Aufheben
0.191,0.293,-1.16,-9.83,-3.36,0.26,-0.95,0.15,Aufheben
0.203,0.307,-2.08,-7.93,-3.85,0.26,-0.94,0.16,Aufheben
0.215,0.32,-1.89,-8.24,-3.42,0.26,-0.94,0.16,Aufheben
0.227,0.33,-2.99,-5.49,-3.48,0.26,-0.94,0.16,Aufheben
0.239,0.339,-3.36,-6.29,-4.39,0.26,-0.93,0.15,Aufheben
0.251,0.353,-4.70,-5.19,-4.58,0.25,-0.93,0.15,Aufheben
0.263,0.369,-5.19,-3.60,-3.60,0.25,-0.93,0.15,Aufheben
0.275,1.474,-6.23,-4.46,-4.09,0.25,-0.95,0.14,Aufheben
0.287,1.474,-8.42,-1.71,-2.50,0.25,-0.96,0.15,Aufheben
0.299,1.474,-6.71,-4.21,-3.11,0.24,-0.95,0.14,Aufheben
0.311,1.474,-8.42,-2.32,-2.62,0.25,-0.96,0.15,Aufheben
0.323,1.474,-9.16,-1.28,-2.69,0.25,-0.95,0.15,Aufheben
0.335,1.474,-9.77,0.12,-1.89,0.25,-0.93,0.15,Aufheben
0.347,1.474,-11.72,0.92,-2.62,0.23,-0.95,0.14,Aufheben
0.359,1.474,-12.88,1.04,-2.44,0.24,-0.96,0.15,Aufheben
0.371,1.474,-13.43,-0.06,-3.30,0.22,-0.94,0.15,Aufheben
0.383,1.474,-13.24,-1.65,-3.85,0.22,-0.95,0.13,Aufheben
0.395,1.474,-11.96,-3.17,-3.60,0.22,-0.95,0.14,Aufheben
0.407,1.474,-12.15,-3.97,-3.72,0.22,-0.93,0.14,Aufheben
0.419,1.474,-13.12,-3.60,-2.81,0.22,-0.92,0.14,Aufheben
0.431,1.474,-12.94,-4.94,-3.85,0.22,-0.91,0.14,Aufheben
0.443,1.474,-13.12,-5.68,-3.54,0.21,-0.91,0.12,Aufheben
0.455,1.474,-12.08,-3.42,-3.66,0.17,-0.91,0.10,Aufheben
0.467,1.474,-9.89,-0.92,-8.06,0.10,-0.86,0.13,Aufheben
0.479,1.474,-7.45,-3.42,-13.12,0.14,-0.80,0.14,Aufheben
0.491,1.474,-12.51,-9.03,-20.26,0.24,-0.75,0.11,Aufheben
0.503,1.474,-21.91,-13.43,-23.38,0.28,-0.76,0.09,Aufheben
0.515,1.474,-28.20,-4.88,-22.64,0.29,-0.76,0.07,Aufheben
0.527,1.475,-28.56,-0.98,-23.19,0.26,-0.77,0.07,Aufheben
0.539,1.475,-25.27,-3.97,-21.42,0.28,-0.76,0.07,Aufheben
0.551,1.475,-26.00,-5.92,-18.80,0.29,-0.77,0.08,Aufheben
0.563,1.475,-27.04,-6.53,-12.15,0.31,-0.78,0.10,Aufheben
0.575,1.475,-27.89,-2.01,-8.36,0.33,-0.76,0.13,Aufheben
0.587,1.475,-29.30,5.25,-2.81,0.33,-0.75,0.13,Aufheben
0.599,1.475,-35.64,13.31,3.30,0.33,-0.73,0.12,Aufheben
0.611,1.475,-43.58,24.48,14.59,0.31,-0.74,0.10,Aufheben
0.623,1.475,-46.02,31.01,19.10,0.30,-0.75,0.12,Aufheben
0.635,1.481,-44.62,35.71,22.95,0.28,-0.73,0.13,Aufheben
0.647,1.481,-44.62,39.43,21.73,0.26,-0.71,0.15,Aufheben
0.659,1.481,-44.01,42.11,20.02,0.25,-0.68,0.15,Aufheben
0.671,1.481,-43.76,42.66,16.85,0.24,-0.66,0.13,Aufheben
0.683,1.481,-41.38,39.55,12.51,0.19,-0.66,0.11,Aufheben
0.695,1.481,-38.27,36.25,6.84,0.16,-0.66,0.08,Aufheben
