time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.126,3.78,-16.36,-3.72,0.29,-0.95,0.18,Aufheben
0.022,0.142,3.85,-16.48,-5.92,0.27,-0.93,0.17,Aufheben
0.034,0.149,2.93,-15.32,-5.07,0.27,-0.94,0.16,Aufheben
0.046,0.161,4.15,-15.81,-5.37,0.26,-0.94,0.16,Aufheben
0.058,0.173,5.13,-17.09,-5.92,0.26,-0.94,0.15,Aufheben
0.07,0.191,4.15,-16.42,-5.55,0.26,-0.94,0.16,Aufheben
0.082,0.199,3.05,-16.78,-5.49,0.27,-0.93,0.15,Aufheben
0.094,0.206,2.26,-15.44,-4.82,0.26,-0.94,0.17,Aufheben
0.106,0.232,0.98,-14.77,-3.48,0.26,-0.93,0.15,Aufheben
0.118,0.244,1.65,-16.60,-2.81,0.27,-0.94,0.14,Aufheben
0.13,0.252,0.61,-15.50,-2.38,0.26,-0.94,0.14,Aufheben
0.142,0.261,0.43,-14.65,-1.22,0.27,-0.96,0.14,Aufheben
0.154,0.268,-0.06,-14.89,-1.22,0.27,-0.95,0.14,Aufheben
0.166,0.284,-0.67,-15.81,-1.34,0.27,-0.95,0.14,Aufheben
0.178,0.293,-1.59,-14.89,-1.65,0.26,-0.94,0.13,Aufheben
0.19,0.303,-2.75,-14.71,-1.59,0.27,-0.94,0.13,Aufheben
0.202,0.324,-3.66,-14.34,-1.46,0.25,-0.93,0.13,Aufheben
0.214,0.332,-4.09,-14.22,-1.53,0.26,-0.95,0.14,Aufheben
0.226,0.344,-2.99,-13.37,-2.50,0.26,-0.94,0.14,Aufheben
0.238,0.364,-1.89,-13.49,-2.14,0.25,-0.94,0.14,Aufheben
0.25,0.372,-0.85,-14.89,-2.08,0.25,-0.94,0.13,Aufheben
0.262,0.377,0.00,-14.04,-1.04,0.24,-0.95,0.13,Aufheben
0.274,0.393,0.43,-13.18,-0.06,0.24,-0.95,0.13,Aufheben
0.286,0.406,1.10,-13.37,0.79,0.23,-0.95,0.12,Aufheben
0.298,0.412,0.55,-13.24,2.75,0.23,-0.94,0.12,Aufheben
0.31,0.423,-0.67,-14.40,3.72,0.23,-0.95,0.13,Aufheben
0.322,0.446,-0.55,-14.47,3.78,0.24,-0.95,0.13,Aufheben
0.334,0.462,-0.98,-14.77,4.76,0.24,-0.94,0.12,Aufheben
0.346,0.473,-3.11,-14.10,5.37,0.24,-0.93,0.12,Aufheben
0.358,0.48,-4.88,-14.53,4.58,0.25,-0.92,0.11,Aufheben
0.37,0.487,-5.80,-14.83,5.62,0.25,-0.93,0.12,Aufheben
0.382,0.496,-6.04,-13.31,5.25,0.26,-0.93,0.11,Aufheben
0.394,0.51,-9.52,-10.07,4.33,0.24,-0.92,0.11,Aufheben
0.406,0.519,-13.06,-9.89,4.27,0.22,-0.91,0.10,Aufheben
0.418,0.541,-16.91,-9.52,2.93,0.24,-0.92,0.10,Aufheben
0.43,0.571,-17.21,-6.96,3.48,0.25,-0.92,0.11,Aufheben
0.442,0.571,-18.07,-2.32,4.27,0.25,-0.91,0.12,Aufheben
0.454,0.571,-19.41,0.12,4.46,0.24,-0.90,0.13,Aufheben
0.466,0.582,-21.79,1.71,4.39,0.23,-0.89,0.14,Aufheben
0.478,0.59,-24.48,4.39,5.68,0.23,-0.88,0.14,Aufheben
0.49,0.605,-25.21,5.62,5.86,0.22,-0.89,0.14,Aufheben
0.502,0.615,-25.45,3.36,4.46,0.21,-0.88,0.13,Aufheben
0.514,0.705,-25.94,2.26,4.21,0.21,-0.89,0.12,Aufheben
0.526,0.705,-26.92,0.49,3.30,0.21,-0.89,0.10,Aufheben
0.538,0.705,-24.78,-4.39,1.16,0.21,-0.89,0.11,Aufheben
0.55,0.705,-23.56,-7.20,1.28,0.22,-0.88,0.09,Aufheben
0.562,0.705,-23.13,-9.28,-0.61,0.23,-0.89,0.10,Aufheben
0.574,0.705,-20.39,-11.72,-0.43,0.24,-0.88,0.10,Aufheben
0.586,0.705,-19.96,-13.00,-0.92,0.24,-0.87,0.11,Aufheben
0.598,0.712,-18.37,-13.92,-1.22,0.24,-0.87,0.10,Aufheben
0.61,0.745,-19.10,-11.23,-0.24,0.24,-0.87,0.11,Aufheben
0.622,0.756,-17.03,-11.72,-0.24,0.25,-0.86,0.11,Aufheben
0.634,0.756,-15.50,-11.35,-2.26,0.25,-0.84,0.12,Aufheben
0.646,0.763,-14.71,-9.89,-2.87,0.25,-0.84,0.11,Aufheben
0.658,0.77,-13.43,-9.95,-4.27,0.24,-0.83,0.10,Aufheben
0.67,0.786,-11.11,-11.54,-6.77,0.24,-0.82,0.07,Aufheben
0.683,0.805,-9.58,-13.98,-6.65,0.24,-0.83,0.09,Aufheben
0.695,0.817,-8.42,-13.18,-7.39,0.25,-0.84,0.08,Aufheben
0.707,0.823,-7.81,-11.23,-8.06,0.27,-0.85,0.09,Aufheben
0.719,0.849,-7.51,-7.02,-7.75,0.27,-0.85,0.09,Aufheben
0.731,0.864,-9.40,-1.10,-8.06,0.27,-0.84,0.09,Aufheben
0.743,0.864,-8.97,2.20,-8.12,0.28,-0.84,0.08,Aufheben
0.755,0.872,-8.06,6.96,-10.01,0.25,-0.84,0.04,Aufheben
0.767,0.879,-6.29,5.07,-10.50,0.23,-0.86,0.01,Aufheben
0.779,0.894,-4.27,3.97,-11.72,0.23,-0.90,0.02,Aufheben
0.791,0.906,-1.95,0.85,-12.33,0.23,-0.92,0.01,Aufheben
0.803,0.92,0.55,-2.75,-12.82,0.25,-0.93,0.02,Aufheben
0.815,0.934,0.43,-0.85,-12.27,0.24,-0.92,0.03,Aufheben
0.827,0.948,0.79,-2.14,-13.06,0.26,-0.92,0.03,Aufheben
0.839,0.963,1.46,-0.43,-14.77,0.25,-0.91,0.02,Aufheben
0.851,0.973,4.52,-2.50,-16.54,0.22,-0.88,-0.02,Aufheben
0.863,0.98,8.91,-8.91,-18.98,0.20,-0.86,-0.04,Aufheben
0.875,0.989,12.45,-15.87,-22.83,0.20,-0.87,-0.05,Aufheben
0.887,1.008,16.30,-25.57,-25.76,0.19,-0.86,-0.03,Aufheben
0.899,1.015,18.86,-32.53,-26.25,0.20,-0.84,-0.02,Aufheben
0.911,1.024,17.15,-35.16,-26.18,0.22,-0.82,-0.02,Aufheben
0.923,1.041,16.54,-38.64,-27.04,0.23,-0.79,-0.02,Aufheben
0.935,1.053,14.34,-35.52,-25.76,0.26,-0.76,-0.02,Aufheben
0.947,1.061,11.72,-34.12,-24.78,0.26,-0.76,-0.02,Aufheben
0.959,1.078,8.73,-30.15,-22.64,0.25,-0.77,0.01,Aufheben
0.971,1.086,5.62,-23.93,-19.53,0.27,-0.79,0.01,Aufheben
0.983,1.097,4.88,-20.51,-18.86,0.25,-0.80,0.00,Aufheben
0.995,1.117,4.46,-14.10,-15.08,0.25,-0.81,-0.00,Aufheben
1.007,1.125,5.37,-10.99,-12.57,0.24,-0.81,-0.01,Aufheben
1.04,1.153,7.02,-5.43,-7.63,0.25,-0.79,-0.00,Aufheben
1.052,1.171,6.29,-3.05,-5.37,0.25,-0.79,0.00,Aufheben
1.064,1.181,5.98,-3.23,-5.19,0.24,-0.81,0.00,Aufheben
1.076,1.189,6.16,-3.85,-4.46,0.26,-0.84,-0.01,Aufheben
1.088,1.207,6.96,-2.38,-3.54,0.28,-0.83,0.03,Aufheben
1.1,1.215,5.92,1.10,-2.81,0.26,-0.83,0.06,Aufheben
1.112,1.225,3.66,3.11,-2.99,0.26,-0.83,0.03,Aufheben
1.124,1.251,6.10,2.99,-3.54,0.26,-0.85,0.03,Aufheben
1.136,1.258,10.31,3.42,-4.33,0.26,-0.84,0.04,Aufheben
1.148,1.266,14.04,0.12,-5.74,0.25,-0.84,0.05,Aufheben
1.16,1.273,15.56,-1.95,-6.10,0.25,-0.83,0.07,Aufheben
1.172,1.289,16.05,-5.31,-8.12,0.25,-0.83,0.06,Aufheben
1.184,1.297,16.11,-6.77,-7.45,0.26,-0.84,0.02,Aufheben
