time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.126,-1.10,0.73,-6.10,-0.28,-0.96,0.20,Aufheben
0.022,0.142,-1.22,0.49,-6.04,-0.28,-0.95,0.21,Aufheben
0.034,0.149,-1.34,0.73,-6.04,-0.28,-0.96,0.20,Aufheben
0.046,0.158,-1.28,0.85,-6.35,-0.28,-0.97,0.20,Aufheben
0.058,0.173,-1.16,0.92,-5.55,-0.29,-0.96,0.20,Aufheben
0.07,0.182,-1.28,0.31,-5.62,-0.28,-0.95,0.19,Aufheben
0.082,0.199,-2.50,0.00,-5.19,-0.29,-0.96,0.18,Aufheben
0.094,0.206,-2.56,-1.22,-5.19,-0.29,-0.95,0.19,Aufheben
0.106,0.226,-3.78,-1.95,-5.07,-0.28,-0.95,0.19,Aufheben
0.118,0.233,-3.30,-1.83,-5.86,-0.28,-0.96,0.20,Aufheben
0.13,0.243,-4.27,-1.95,-6.04,-0.27,-0.95,0.20,Aufheben
0.142,0.262,-4.64,-1.46,-5.37,-0.26,-0.95,0.17,Aufheben
0.154,0.268,-5.37,-1.77,-5.43,-0.28,-0.96,0.17,Aufheben
0.166,0.278,-5.68,-2.08,-5.43,-0.27,-0.95,0.19,Aufheben
0.178,0.3,-5.74,-2.56,-5.07,-0.28,-0.94,0.16,Aufheben
0.19,0.306,-5.37,-2.14,-5.25,-0.28,-0.95,0.16,Aufheben
0.202,0.315,-5.62,-1.83,-4.94,-0.28,-0.95,0.17,Aufheben
0.214,0.343,-5.80,-1.59,-4.15,-0.26,-0.94,0.15,Aufheben
0.226,0.349,-5.92,-1.46,-4.58,-0.28,-0.93,0.17,Aufheben
0.238,0.359,-6.90,-1.40,-3.48,-0.28,-0.95,0.17,Aufheben
0.25,0.368,-7.93,-1.71,-3.66,-0.27,-0.95,0.15,Aufheben
0.262,0.377,-8.42,-1.95,-3.91,-0.29,-0.95,0.15,Aufheben
0.274,0.386,-9.34,-2.75,-3.48,-0.30,-0.95,0.16,Aufheben
0.286,0.4,-10.13,-4.94,-4.64,-0.29,-0.94,0.15,Aufheben
0.298,0.411,-12.27,-7.26,-5.00,-0.29,-0.93,0.14,Aufheben
0.31,0.431,-14.10,-8.67,-4.88,-0.27,-0.94,0.14,Aufheben
0.322,0.445,-15.38,-9.77,-5.00,-0.28,-0.93,0.14,Aufheben
0.334,0.452,-17.27,-9.83,-5.37,-0.27,-0.93,0.14,Aufheben
0.346,0.463,-18.07,-9.40,-5.37,-0.26,-0.92,0.13,Aufheben
0.358,0.473,-19.10,-8.85,-5.13,-0.28,-0.91,0.13,Aufheben
0.37,0.49,-19.41,-8.54,-4.82,-0.29,-0.92,0.13,Aufheben
0.382,0.498,-20.81,-8.91,-4.33,-0.28,-0.91,0.12,Aufheben
0.394,0.506,-21.61,-9.58,-3.97,-0.28,-0.90,0.12,Aufheben
0.406,0.535,-23.07,-10.07,-4.03,-0.28,-0.90,0.10,Aufheben
0.418,0.571,-24.54,-10.31,-4.03,-0.30,-0.91,0.11,Aufheben
0.43,0.571,-26.18,-12.88,-4.09,-0.30,-0.89,0.11,Aufheben
0.442,0.571,-28.81,-15.93,-5.25,-0.31,-0.91,0.12,Aufheben
0.454,0.571,-30.94,-19.04,-5.07,-0.30,-0.90,0.13,Aufheben
0.466,0.581,-32.71,-21.67,-4.94,-0.29,-0.90,0.13,Aufheben
0.478,0.59,-33.08,-22.34,-4.64,-0.30,-0.91,0.13,Aufheben
0.49,0.605,-32.41,-22.03,-3.97,-0.28,-0.93,0.14,Aufheben
0.502,0.614,-31.56,-20.20,-2.56,-0.26,-0.95,0.12,Aufheben
0.514,0.685,-29.48,-17.82,-0.37,-0.29,-0.94,0.12,Aufheben
0.526,0.685,-24.29,-14.59,2.50,-0.29,-0.92,0.14,Aufheben
0.538,0.685,-21.67,-12.51,4.52,-0.27,-0.93,0.12,Aufheben
0.55,0.692,-18.86,-11.05,6.16,-0.27,-0.91,0.12,Aufheben
0.562,0.692,-17.40,-9.64,7.20,-0.27,-0.91,0.12,Aufheben
0.574,0.692,-15.38,-8.06,8.73,-0.27,-0.91,0.12,Aufheben
0.586,0.702,-13.79,-6.77,10.38,-0.27,-0.92,0.10,Aufheben
0.598,0.712,-11.78,-5.25,11.17,-0.26,-0.91,0.09,Aufheben
0.61,0.722,-9.34,-2.32,12.02,-0.27,-0.94,0.08,Aufheben
0.622,0.755,-7.02,0.55,12.63,-0.26,-0.93,0.07,Aufheben
0.634,0.755,-5.62,1.53,13.00,-0.26,-0.93,0.08,Aufheben
0.646,0.761,-4.21,2.62,13.06,-0.26,-0.92,0.07,Aufheben
0.658,0.771,-1.59,5.07,14.59,-0.24,-0.89,0.05,Aufheben
0.671,0.786,0.92,8.36,16.60,-0.25,-0.88,0.03,Aufheben
0.683,0.794,1.89,11.54,16.48,-0.24,-0.88,0.02,Aufheben
0.695,0.816,3.60,14.10,16.05,-0.26,-0.89,0.02,Aufheben
0.707,0.823,4.09,14.53,15.87,-0.25,-0.88,0.02,Aufheben
0.719,0.849,3.11,14.28,14.28,-0.27,-0.84,0.02,Aufheben
0.731,0.862,0.98,12.76,13.55,-0.26,-0.84,0.01,Aufheben
0.743,0.862,-0.43,10.62,11.96,-0.29,-0.83,0.01,Aufheben
0.755,0.872,-2.08,7.20,10.50,-0.29,-0.82,0.00,Aufheben
0.767,0.879,-5.25,2.99,9.16,-0.28,-0.85,-0.01,Aufheben
0.779,0.894,-6.35,1.59,6.59,-0.28,-0.90,-0.00,Aufheben
0.791,0.906,-7.08,0.73,3.97,-0.27,-0.94,0.00,Aufheben
0.803,0.92,-7.20,-0.12,1.46,-0.28,-0.95,0.00,Aufheben
0.815,0.934,-7.08,0.49,-1.46,-0.26,-0.96,-0.03,Aufheben
0.827,0.945,-6.23,3.05,-3.11,-0.26,-0.95,-0.04,Aufheben
0.839,0.957,-4.09,6.23,-2.44,-0.28,-0.94,-0.04,Aufheben
0.851,0.966,-3.05,10.31,-1.65,-0.26,-0.92,-0.06,Aufheben
0.863,0.975,0.00,16.36,0.18,-0.26,-0.94,-0.10,Aufheben
0.875,0.989,1.89,22.77,2.62,-0.28,-0.95,-0.10,Aufheben
0.888,1.003,2.81,26.98,4.76,-0.29,-0.93,-0.10,Aufheben
0.9,1.011,2.01,28.20,6.29,-0.28,-0.90,-0.08,Aufheben
0.912,1.03,-1.59,28.69,7.93,-0.30,-0.90,-0.08,Aufheben
0.924,1.047,-5.19,26.55,10.50,-0.29,-0.90,-0.06,Aufheben
0.936,1.055,-8.91,23.74,12.33,-0.29,-0.88,-0.04,Aufheben
0.948,1.063,-12.76,20.94,14.71,-0.26,-0.88,-0.02,Aufheben
0.96,1.075,-14.53,19.04,14.89,-0.26,-0.89,-0.02,Aufheben
0.972,1.094,-14.10,19.59,14.47,-0.23,-0.90,-0.02,Aufheben
0.984,1.104,-11.29,24.48,12.33,-0.22,-0.90,-0.03,Aufheben
0.996,1.117,-8.36,27.59,9.46,-0.26,-0.89,-0.02,Aufheben
1.008,1.147,-7.32,27.34,6.96,-0.27,-0.85,0.01,Aufheben
1.041,1.155,-8.73,17.33,4.15,-0.33,-0.86,0.03,Aufheben
1.053,1.165,-9.03,14.89,5.19,-0.36,-0.85,0.03,Aufheben
1.065,1.181,-7.69,13.92,6.23,-0.35,-0.89,0.02,Aufheben
1.077,1.189,-6.04,13.79,7.02,-0.36,-0.90,0.03,Aufheben
1.089,1.206,-3.23,13.73,7.69,-0.35,-0.92,0.01,Aufheben
1.101,1.215,-0.73,15.32,8.18,-0.36,-0.94,-0.00,Aufheben
1.113,1.225,4.27,18.31,9.34,-0.41,-0.94,-0.01,Aufheben
1.125,1.251,7.87,18.49,10.01,-0.43,-0.93,0.00,Aufheben
1.137,1.258,10.68,17.46,12.02,-0.43,-0.92,0.00,Aufheben
1.149,1.266,13.06,16.11,14.53,-0.47,-0.94,-0.00,Aufheben
1.161,1.273,14.40,12.15,18.07,-0.46,-0.94,-0.02,Aufheben
1.173,1.289,16.91,7.69,21.61,-0.48,-0.96,-0.03,Aufheben
1.185,1.298,19.65,4.27,25.39,-0.48,-1.00,-0.02,Aufheben
1.197,1.317,23.07,2.56,28.99,-0.49,-1.03,-0.01,Aufheben
1.209,1.324,34.42,2.93,33.20,-0.50,-1.07,-0.00,Aufheben
1.221,1.333,40.47,-2.69,36.13,-0.47,-0.94,-0.01,Aufheben
1.233,1.353,31.56,6.23,38.33,-0.36,-0.99,-0.02,Aufheben
1.245,1.361,39.55,20.39,42.36,-0.43,-1.05,-0.03,Aufheben
1.257,1.371,47.49,21.61,45.35,-0.54,-1.01,0.00,Aufheben
1.269,1.39,44.49,7.63,41.93,-0.60,-0.98,-0.01,Aufheben
1.281,1.399,43.09,-15.32,37.29,-0.63,-1.00,-0.02,Aufheben
1.293,1.405,45.78,-37.11,34.36,-0.58,-0.97,-0.02,Aufheben
1.306,1.428,45.59,-47.55,32.59,-0.50,-0.93,0.01,Aufheben
1.318,1.434,43.46,-40.83,-11.90,-0.79,-0.55,0.26,Aufheben
1.33,1.445,-113.40,-92.96,-43.52,-0.70,-1.46,-0.30,Aufheben
1.342,1.463,60.42,-85.14,-30.21,-0.46,-1.48,-0.14,Aufheben
1.354,1.471,69.52,-73.67,-25.76,-0.39,-0.88,0.19,Aufheben
1.366,1.478,44.62,-33.75,-8.12,-0.16,-0.69,0.24,Aufheben
1.378,1.495,19.35,-4.76,62.26,-0.53,-0.60,-0.02,Aufheben
1.39,1.505,21.73,-25.94,56.88,-0.68,-1.21,-0.10,Aufheben
1.402,1.52,52.06,-52.25,33.94,-0.48,-1.34,-0.09,Aufheben
1.414,1.534,68.60,-52.80,19.84,-0.42,-1.03,0.20,Aufheben
1.426,1.54,75.01,-48.34,30.40,-0.49,-0.77,0.17,Aufheben
1.438,1.55,8.61,-115.66,-22.03,-0.77,-0.99,0.10,Aufheben
1.45,1.566,28.81,-139.83,-29.24,-0.61,-1.57,0.28,Aufheben
1.462,1.576,97.78,-142.52,-39.37,-0.76,-1.16,0.35,Aufheben
1.474,1.587,88.75,-140.99,-46.02,-0.58,-1.05,0.30,Aufheben
1.486,1.601,104.19,-160.77,-33.02,-0.32,-0.87,0.24,Aufheben
1.498,1.61,61.34,-133.00,-36.80,-0.30,-0.90,0.44,Aufheben
1.51,1.625,55.91,-131.35,3.48,-0.48,-0.79,0.03,Aufheben
1.522,1.634,9.95,-132.93,-20.69,-0.43,-1.22,0.41,Aufheben
1.534,1.646,83.01,-122.86,5.49,-0.23,-0.97,-0.12,Aufheben
1.547,1.668,31.01,-109.62,5.37,-0.19,-0.88,0.62,Aufheben
1.559,1.675,52.55,-91.06,-4.33,-0.15,-0.91,0.36,Aufheben
1.571,1.683,20.02,-68.91,-16.72,-0.21,-1.03,0.58,Aufheben
1.583,1.699,54.14,-37.48,-17.27,-0.26,-0.96,0.52,Aufheben
1.595,1.707,45.29,-26.00,-9.09,-0.40,-0.86,0.49,Aufheben
1.607,1.732,37.90,-12.63,-5.68,-0.38,-0.89,0.49,Aufheben
1.619,1.732,32.47,-0.31,-2.62,-0.43,-0.93,0.42,Aufheben
1.632,1.746,34.73,1.46,-4.52,-0.45,-0.92,0.32,Aufheben
1.644,1.756,39.92,-1.53,-3.54,-0.44,-0.91,0.35,Aufheben
1.656,1.777,37.48,-8.12,-5.74,-0.43,-0.87,0.36,Aufheben
1.668,1.786,48.52,-14.40,-1.10,-0.38,-0.89,0.36,Aufheben
1.68,1.795,44.80,-14.65,-5.43,-0.34,-0.86,0.41,Aufheben
1.692,1.804,44.43,-10.25,-4.09,-0.30,-0.86,0.39,Aufheben
1.704,1.819,42.30,-8.24,-3.66,-0.40,-0.81,0.46,Aufheben
