time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.075,7.14,-15.75,-4.52,0.27,-0.94,0.17,Aufheben
0.022,0.094,8.06,-16.54,-3.91,0.28,-0.93,0.17,Aufheben
0.034,0.103,6.84,-16.54,-3.91,0.27,-0.93,0.17,Aufheben
0.046,0.111,6.96,-16.60,-4.03,0.27,-0.94,0.17,Aufheben
0.059,0.126,6.29,-15.26,-4.27,0.28,-0.93,0.17,Aufheben
0.071,0.138,6.77,-15.93,-4.21,0.27,-0.95,0.17,Aufheben
0.083,0.154,7.32,-15.93,-4.21,0.28,-0.95,0.17,Aufheben
0.095,0.165,6.71,-15.69,-3.85,0.27,-0.94,0.17,Aufheben
0.107,0.197,6.53,-15.44,-3.60,0.27,-0.94,0.18,Aufheben
0.119,0.197,8.12,-17.21,-4.27,0.27,-0.95,0.17,Aufheben
0.131,0.197,7.81,-18.49,-4.15,0.27,-0.93,0.17,Aufheben
0.143,0.209,7.08,-17.88,-3.72,0.26,-0.94,0.17,Aufheben
0.155,0.219,7.69,-17.64,-4.27,0.28,-0.93,0.16,Aufheben
0.167,0.243,7.02,-17.58,-3.91,0.27,-0.93,0.16,Aufheben
0.179,0.25,6.84,-17.09,-4.03,0.27,-0.94,0.16,Aufheben
0.191,0.257,6.53,-18.19,-3.11,0.27,-0.93,0.17,Aufheben
0.203,0.291,6.77,-17.40,-3.05,0.27,-0.94,0.16,Aufheben
0.215,0.334,6.65,-17.46,-3.66,0.26,-0.94,0.17,Aufheben
0.227,0.334,6.23,-17.21,-3.54,0.27,-0.94,0.16,Aufheben
0.239,0.334,6.77,-19.53,-4.09,0.27,-0.94,0.16,Aufheben
0.251,0.343,7.14,-18.43,-3.78,0.27,-0.95,0.16,Aufheben
0.263,0.343,6.53,-20.02,-3.23,0.27,-0.94,0.16,Aufheben
0.275,0.343,5.62,-18.49,-2.99,0.27,-0.95,0.17,Aufheben
0.287,0.372,4.46,-17.52,-3.36,0.28,-0.94,0.16,Aufheben
0.299,0.459,4.21,-18.19,-4.33,0.27,-0.95,0.18,Aufheben
0.311,0.459,4.64,-18.43,-4.09,0.25,-0.97,0.20,Aufheben
0.323,0.459,4.21,-17.33,-4.15,0.25,-0.97,0.21,Aufheben
