time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.114,-18.55,45.59,8.61,-0.27,-0.95,0.08,Aufheben
0.022,0.123,-14.40,40.71,9.03,-0.28,-0.96,0.11,Aufheben
0.034,0.123,-13.18,34.48,11.29,-0.27,-0.92,0.13,Aufheben
0.046,0.13,-12.88,27.16,12.82,-0.25,-0.90,0.11,Aufheben
0.058,0.141,-12.02,25.88,13.92,-0.17,-0.87,0.10,Aufheben
0.07,0.177,-10.01,32.71,11.78,-0.15,-0.84,0.06,Aufheben
0.082,0.177,-9.34,40.41,8.54,-0.11,-0.82,0.02,Aufheben
0.094,0.184,-8.06,49.32,6.29,-0.06,-0.84,0.01,Aufheben
0.106,0.195,-7.08,61.22,1.95,-0.03,-0.82,-0.02,Aufheben
0.118,0.215,-10.01,68.30,-2.14,-0.07,-0.84,0.01,Aufheben
0.13,0.225,-14.04,70.74,-8.00,-0.10,-0.87,0.03,Aufheben
0.142,0.233,-18.43,73.00,-13.06,-0.10,-0.89,0.02,Aufheben
0.154,0.24,-20.81,74.28,-18.86,-0.13,-0.93,0.03,Aufheben
0.166,0.249,-23.74,74.83,-23.25,-0.16,-0.95,0.02,Aufheben
0.179,0.261,-26.86,74.65,-24.96,-0.16,-0.96,0.01,Aufheben
0.191,0.271,-29.85,73.97,-25.82,-0.19,-0.96,-0.00,Aufheben
0.203,0.288,-31.92,70.62,-24.11,-0.19,-0.97,-0.02,Aufheben
0.215,0.3,-35.03,67.81,-22.03,-0.22,-0.96,-0.03,Aufheben
0.227,0.636,-37.60,64.21,-20.20,-0.19,-0.95,-0.03,Aufheben
0.239,0.636,-41.63,62.62,-18.31,-0.18,-0.97,-0.04,Aufheben
0.251,0.636,-44.13,60.91,-17.46,-0.20,-1.00,-0.04,Aufheben
0.263,0.636,-45.04,61.28,-18.13,-0.19,-1.00,-0.07,Aufheben
0.275,0.636,-44.74,62.26,-19.59,-0.16,-1.00,-0.11,Aufheben
0.287,0.636,-43.03,63.78,-21.85,-0.18,-0.97,-0.12,Aufheben
0.299,0.636,-41.14,65.61,-23.13,-0.17,-0.95,-0.12,Aufheben
0.311,0.636,-39.73,69.09,-24.35,-0.18,-0.92,-0.12,Aufheben
0.323,0.636,-41.38,71.53,-24.66,-0.16,-0.93,-0.13,Aufheben
0.335,0.636,-41.38,72.63,-25.88,-0.16,-0.91,-0.13,Aufheben
0.347,0.636,-41.75,72.14,-27.04,-0.16,-0.91,-0.14,Aufheben
0.359,0.636,-43.40,70.86,-28.50,-0.14,-0.95,-0.14,Aufheben
0.371,0.636,-45.65,69.70,-29.66,-0.12,-0.99,-0.13,Aufheben
0.383,0.636,-40.53,75.32,-31.74,-0.07,-1.01,-0.10,Aufheben
0.395,0.636,-33.94,86.18,-33.87,-0.11,-0.98,-0.10,Aufheben
0.407,0.636,-31.49,91.49,-36.07,-0.15,-0.94,-0.16,Aufheben
0.419,0.636,-31.68,84.29,-37.54,-0.14,-0.94,-0.18,Aufheben
0.431,0.636,-30.52,70.37,-40.16,-0.12,-0.95,-0.19,Aufheben
0.443,0.636,-28.69,62.38,-41.38,-0.13,-0.95,-0.20,Aufheben
0.455,0.637,-29.79,57.98,-40.41,-0.15,-0.95,-0.22,Aufheben
0.467,0.637,-31.43,51.88,-41.81,-0.16,-1.00,-0.20,Aufheben
0.479,0.637,-29.24,45.53,-45.72,-0.11,-1.03,-0.21,Aufheben
0.491,0.637,-25.21,50.84,-45.04,-0.11,-1.02,-0.20,Aufheben
0.503,0.637,-24.72,51.64,-42.05,-0.12,-0.97,-0.18,Aufheben
0.515,0.637,-24.54,45.47,-40.04,-0.13,-0.98,-0.21,Aufheben
0.527,0.637,-22.22,40.28,-36.80,-0.09,-0.99,-0.21,Aufheben
0.539,0.637,-19.71,38.94,-34.73,-0.08,-0.97,-0.21,Aufheben
0.551,0.655,-18.13,39.67,-32.04,-0.06,-0.94,-0.20,Aufheben
0.563,0.655,-17.82,40.53,-29.17,-0.05,-0.92,-0.21,Aufheben
0.576,0.699,-16.97,40.65,-26.00,-0.05,-0.92,-0.20,Aufheben
0.588,0.699,-14.89,42.24,-25.76,-0.03,-0.91,-0.21,Aufheben
0.6,0.739,-15.44,41.38,-22.95,-0.02,-0.87,-0.20,Aufheben
0.612,0.739,-16.30,39.49,-20.87,-0.02,-0.91,-0.21,Aufheben
0.624,0.739,-16.72,38.94,-19.53,-0.01,-0.92,-0.22,Aufheben
0.636,0.739,-14.59,37.17,-19.17,-0.01,-0.92,-0.24,Aufheben
0.648,0.739,-14.04,35.71,-18.62,0.00,-0.93,-0.22,Aufheben
0.66,1.075,-13.06,33.26,-18.80,0.01,-0.91,-0.24,Aufheben
0.672,1.075,-12.57,32.84,-18.01,0.01,-0.94,-0.23,Aufheben
0.684,1.075,-12.82,32.41,-18.55,0.03,-0.94,-0.22,Aufheben
0.696,1.075,-12.57,30.88,-16.78,0.00,-0.92,-0.24,Aufheben
0.708,1.075,-12.02,28.93,-15.38,0.01,-0.92,-0.23,Aufheben
0.72,1.075,-11.47,24.78,-13.06,-0.00,-0.91,-0.23,Aufheben
0.732,1.075,-12.45,19.84,-11.05,0.02,-0.94,-0.24,Aufheben
0.744,1.075,-11.78,16.11,-9.77,0.06,-0.95,-0.24,Aufheben
0.756,1.075,-10.19,14.47,-7.26,0.08,-0.94,-0.23,Aufheben
0.768,1.075,-7.81,15.93,-5.68,0.09,-0.93,-0.25,Aufheben
0.78,1.075,-6.59,19.04,-4.94,0.07,-0.90,-0.27,Aufheben
0.792,1.075,-2.44,24.60,-3.72,0.08,-0.94,-0.27,Aufheben
0.804,1.075,-3.05,30.21,-5.68,0.07,-0.96,-0.26,Aufheben
0.816,1.075,-0.37,34.67,-5.92,0.08,-0.97,-0.29,Aufheben
0.828,1.075,4.09,38.21,-6.65,0.07,-0.96,-0.29,Aufheben
0.84,1.075,6.59,38.94,-6.71,0.05,-0.95,-0.29,Aufheben
0.852,1.075,7.69,35.95,-5.86,0.07,-0.95,-0.29,Aufheben
0.864,1.075,8.67,32.59,-4.94,0.06,-0.98,-0.30,Aufheben
0.876,1.075,8.00,29.24,-3.85,0.06,-0.99,-0.31,Aufheben
0.888,1.075,8.67,27.10,-3.17,0.06,-1.03,-0.31,Aufheben
0.9,1.295,9.64,24.54,-3.23,0.06,-1.01,-0.31,Aufheben
0.912,1.295,10.25,22.09,-2.56,0.06,-1.01,-0.32,Aufheben
0.924,1.295,10.44,19.17,-1.95,0.09,-0.99,-0.32,Aufheben
0.936,1.295,9.03,15.87,-1.22,0.08,-0.99,-0.30,Aufheben
0.948,1.295,7.26,12.15,-0.37,0.10,-0.99,-0.30,Aufheben
0.96,1.295,5.62,9.28,0.67,0.10,-1.00,-0.31,Aufheben
0.972,1.295,4.70,6.59,1.59,0.10,-1.01,-0.31,Aufheben
0.984,1.295,4.94,4.46,1.46,0.11,-1.01,-0.31,Aufheben
0.996,1.295,5.98,2.75,2.75,0.12,-1.02,-0.31,Aufheben
1.008,1.295,6.71,2.32,2.32,0.13,-1.04,-0.30,Aufheben
1.041,1.295,10.19,5.31,2.81,0.15,-1.00,-0.31,Aufheben
1.053,1.295,9.77,7.63,3.42,0.15,-1.00,-0.32,Aufheben
1.065,1.295,8.36,9.46,3.78,0.14,-1.04,-0.32,Aufheben
1.077,1.295,12.21,12.94,3.36,0.15,-1.07,-0.35,Aufheben
1.089,1.295,15.44,14.59,2.38,0.14,-1.05,-0.34,Aufheben
1.101,1.295,16.72,15.44,2.81,0.14,-1.03,-0.33,Aufheben
1.113,1.295,15.14,15.93,2.62,0.13,-1.03,-0.32,Aufheben
1.125,1.295,14.16,14.77,2.38,0.11,-1.03,-0.33,Aufheben
1.137,1.295,14.04,12.39,2.87,0.13,-1.03,-0.33,Aufheben
1.149,1.295,13.85,10.50,3.54,0.12,-1.02,-0.33,Aufheben
1.161,1.295,13.12,7.14,3.66,0.12,-1.00,-0.35,Aufheben
1.173,1.296,12.70,5.80,3.48,0.14,-1.01,-0.33,Aufheben
1.185,1.296,12.27,4.94,4.46,0.14,-1.02,-0.33,Aufheben
1.197,1.296,12.08,3.91,4.27,0.14,-1.03,-0.35,Aufheben
1.209,1.306,12.08,3.48,4.58,0.13,-1.02,-0.33,Aufheben
1.221,1.306,11.47,3.11,4.46,0.11,-1.04,-0.34,Aufheben
1.233,1.343,10.86,2.81,4.94,0.12,-1.07,-0.33,Aufheben
1.245,1.343,11.05,2.38,5.07,0.12,-1.08,-0.34,Aufheben
1.257,1.352,10.25,-0.92,5.00,0.12,-1.11,-0.34,Aufheben
1.269,1.381,10.07,-3.85,6.23,0.13,-1.14,-0.33,Aufheben
1.281,1.39,8.73,-6.71,7.08,0.11,-1.17,-0.33,Aufheben
1.293,1.39,8.67,-8.36,6.65,0.13,-1.18,-0.33,Aufheben
1.305,1.39,9.40,-9.58,7.32,0.13,-1.21,-0.34,Aufheben
1.317,1.398,9.64,-9.03,6.23,0.15,-1.23,-0.34,Aufheben
1.329,1.412,12.33,-7.08,5.68,0.15,-1.24,-0.35,Aufheben
1.341,1.443,15.69,-4.82,5.07,0.15,-1.28,-0.35,Aufheben
1.353,1.448,18.13,-1.59,4.94,0.14,-1.28,-0.36,Aufheben
1.365,1.448,21.48,0.43,5.07,0.11,-1.30,-0.35,Aufheben
1.377,1.458,24.41,4.21,5.43,0.13,-1.30,-0.38,Aufheben
1.389,1.473,27.59,6.65,5.80,0.13,-1.30,-0.38,Aufheben
1.402,1.49,29.60,8.97,7.57,0.13,-1.29,-0.40,Aufheben
1.414,1.496,30.82,11.29,8.24,0.14,-1.23,-0.39,Aufheben
1.426,1.507,29.36,13.06,10.19,0.16,-1.21,-0.41,Aufheben
1.438,1.524,26.18,11.23,10.99,0.12,-1.20,-0.37,Aufheben
