time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.158,10.56,-38.09,-2.32,0.29,-1.00,0.23,Aufheben
0.022,0.168,13.24,-37.72,-3.66,0.29,-0.99,0.23,Aufheben
0.034,0.168,14.95,-35.77,-4.09,0.30,-0.99,0.22,Aufheben
0.046,0.168,16.78,-33.81,-5.13,0.27,-0.98,0.20,Aufheben
0.058,0.168,18.13,-31.92,-5.25,0.25,-0.97,0.19,Aufheben
0.07,0.168,18.92,-32.35,-5.62,0.23,-0.96,0.17,Aufheben
0.082,0.168,19.23,-33.94,-5.49,0.20,-0.96,0.16,Aufheben
0.094,0.168,20.87,-38.76,-7.08,0.18,-0.96,0.15,Aufheben
0.106,0.183,22.09,-45.72,-7.93,0.16,-0.95,0.14,Aufheben
0.118,0.197,20.94,-50.42,-8.97,0.18,-0.93,0.13,Aufheben
0.13,0.203,20.32,-52.25,-8.42,0.20,-0.93,0.12,Aufheben
0.142,0.214,20.87,-52.98,-7.32,0.19,-0.92,0.10,Aufheben
0.154,0.229,20.39,-52.67,-5.25,0.19,-0.93,0.11,Aufheben
0.166,0.236,20.20,-51.76,-4.15,0.19,-0.93,0.10,Aufheben
0.178,0.253,19.23,-52.92,-2.93,0.18,-0.93,0.11,Aufheben
0.19,0.26,19.04,-56.40,-2.26,0.18,-0.93,0.12,Aufheben
0.202,0.271,17.52,-59.51,-1.89,0.20,-0.93,0.12,Aufheben
0.214,0.304,17.33,-62.32,-0.61,0.22,-0.95,0.13,Aufheben
0.226,0.31,16.42,-62.07,0.49,0.23,-0.95,0.14,Aufheben
0.238,0.31,17.33,-62.99,1.71,0.24,-0.96,0.14,Aufheben
0.25,0.32,17.15,-62.32,1.71,0.26,-0.96,0.15,Aufheben
0.262,0.337,17.94,-63.11,1.46,0.26,-0.94,0.16,Aufheben
0.274,0.352,17.64,-63.66,1.34,0.27,-0.96,0.16,Aufheben
0.287,0.358,17.46,-65.00,1.34,0.28,-0.96,0.16,Aufheben
0.299,0.368,17.09,-65.19,-0.37,0.29,-0.94,0.15,Aufheben
0.311,0.385,17.27,-63.84,-0.73,0.29,-0.94,0.16,Aufheben
0.323,0.398,18.19,-60.73,-1.28,0.29,-0.94,0.15,Aufheben
0.335,0.409,18.19,-60.85,-1.46,0.29,-0.93,0.17,Aufheben
0.347,0.422,18.74,-58.29,-2.38,0.29,-0.92,0.16,Aufheben
0.359,1.845,18.55,-57.37,-1.95,0.28,-0.93,0.16,Aufheben
0.372,1.845,18.43,-57.07,-1.59,0.28,-0.93,0.17,Aufheben
0.384,1.845,18.25,-55.42,-1.22,0.28,-0.94,0.19,Aufheben
0.396,1.845,17.40,-56.09,-1.22,0.28,-0.94,0.17,Aufheben
0.408,1.845,18.13,-55.79,-2.08,0.29,-0.95,0.18,Aufheben
0.42,1.845,18.55,-55.30,-2.26,0.28,-0.94,0.17,Aufheben
0.432,1.845,17.52,-54.44,-2.01,0.26,-0.96,0.17,Aufheben
0.444,1.845,18.68,-54.14,-2.93,0.27,-0.97,0.16,Aufheben
0.456,1.845,20.39,-55.66,-3.23,0.27,-0.96,0.15,Aufheben
0.468,1.845,20.63,-56.09,-3.48,0.27,-0.96,0.16,Aufheben
0.48,1.845,20.87,-57.43,-3.17,0.27,-0.98,0.17,Aufheben
0.492,1.845,22.09,-59.63,-4.15,0.27,-0.96,0.17,Aufheben
0.504,1.845,22.03,-59.33,-2.99,0.27,-0.97,0.16,Aufheben
0.516,1.845,21.67,-58.53,-3.60,0.27,-0.97,0.16,Aufheben
0.528,1.845,21.67,-60.12,-3.48,0.25,-0.94,0.15,Aufheben
0.54,1.845,21.61,-62.13,-3.48,0.25,-0.97,0.16,Aufheben
0.552,1.845,22.40,-63.11,-2.99,0.27,-0.98,0.15,Aufheben
0.564,1.845,23.56,-62.01,-2.99,0.26,-0.96,0.17,Aufheben
0.576,1.845,22.52,-61.04,-1.28,0.27,-0.96,0.16,Aufheben
0.588,1.845,22.03,-60.61,-0.43,0.25,-0.96,0.15,Aufheben
0.6,1.845,21.42,-61.22,0.18,0.25,-0.96,0.14,Aufheben
0.612,1.845,21.30,-61.10,1.83,0.27,-0.95,0.14,Aufheben
0.624,1.845,20.45,-60.73,3.05,0.23,-0.97,0.14,Aufheben
0.636,1.845,20.63,-63.42,1.95,0.25,-0.97,0.14,Aufheben
0.648,1.845,20.08,-62.19,3.30,0.26,-0.96,0.14,Aufheben
0.66,1.845,20.32,-62.26,3.91,0.26,-0.95,0.15,Aufheben
0.672,1.845,19.65,-60.79,5.55,0.25,-0.95,0.13,Aufheben
0.684,1.845,20.32,-61.89,5.25,0.25,-0.94,0.13,Aufheben
0.696,1.845,19.84,-61.10,6.77,0.25,-0.94,0.13,Aufheben
0.708,1.845,18.49,-58.17,7.02,0.25,-0.94,0.14,Aufheben
0.72,1.854,18.49,-60.06,7.45,0.25,-0.94,0.15,Aufheben
0.732,1.854,16.17,-57.86,9.22,0.25,-0.94,0.15,Aufheben
0.744,1.854,15.87,-58.47,8.85,0.26,-0.93,0.14,Aufheben
0.756,1.854,15.69,-58.84,10.99,0.26,-0.94,0.14,Aufheben
0.768,1.854,14.04,-58.04,11.84,0.25,-0.93,0.13,Aufheben
0.78,1.854,14.28,-60.06,11.41,0.26,-0.94,0.13,Aufheben
0.792,1.854,13.06,-59.33,12.21,0.26,-0.97,0.15,Aufheben
0.804,1.854,13.61,-60.79,11.96,0.27,-0.97,0.15,Aufheben
0.816,1.854,13.92,-60.12,11.47,0.29,-0.96,0.16,Aufheben
0.828,1.854,13.43,-57.74,11.78,0.28,-0.95,0.15,Aufheben
0.84,1.854,13.98,-58.41,10.86,0.27,-0.94,0.16,Aufheben
0.852,1.854,14.22,-57.56,10.62,0.26,-0.94,0.16,Aufheben
0.864,1.854,14.59,-59.81,10.13,0.26,-0.93,0.15,Aufheben
0.876,1.854,15.01,-60.42,9.52,0.26,-0.95,0.16,Aufheben
0.888,1.855,14.34,-59.57,10.19,0.26,-0.94,0.17,Aufheben
0.9,1.855,13.79,-57.80,10.68,0.27,-0.94,0.17,Aufheben
0.912,1.855,11.96,-57.31,12.15,0.26,-0.93,0.16,Aufheben
0.924,1.855,11.35,-57.43,12.45,0.27,-0.93,0.17,Aufheben
0.936,1.855,10.07,-55.85,12.57,0.27,-0.92,0.15,Aufheben
0.948,1.855,9.22,-53.96,11.35,0.27,-0.91,0.15,Aufheben
0.96,1.855,5.98,-50.29,11.78,0.26,-0.90,0.15,Aufheben
0.972,1.855,3.66,-52.67,9.40,0.25,-0.89,0.13,Aufheben
0.984,1.855,1.77,-54.57,7.08,0.28,-0.92,0.13,Aufheben
0.996,1.855,1.95,-52.49,6.84,0.34,-0.93,0.16,Aufheben
1.008,1.855,2.32,-43.76,7.26,0.34,-0.92,0.17,Aufheben
1.041,1.855,-2.56,-32.29,4.39,0.26,-0.89,0.22,Aufheben
1.053,1.855,-4.27,-31.19,3.23,0.25,-0.90,0.25,Aufheben
1.065,1.855,-4.52,-34.73,1.40,0.25,-0.90,0.24,Aufheben
1.077,1.855,-2.87,-38.27,-0.31,0.25,-0.91,0.25,Aufheben
1.089,1.855,-1.28,-43.21,-2.08,0.27,-0.91,0.27,Aufheben
1.798,1.869,19.04,28.50,-2.56,0.29,-0.94,0.13,Aufheben
1.81,1.885,20.39,23.32,-3.91,0.31,-0.91,0.11,Aufheben
1.822,1.894,19.23,21.61,-5.07,0.33,-0.90,0.10,Aufheben
1.834,1.903,16.66,23.01,-5.86,0.35,-0.91,0.08,Aufheben
1.846,1.918,15.99,24.05,-7.63,0.35,-0.90,0.07,Aufheben
1.858,1.935,13.85,24.84,-10.50,0.36,-0.87,0.06,Aufheben
1.87,1.942,8.79,27.40,-12.45,0.36,-0.87,0.06,Aufheben
1.882,1.954,5.62,28.63,-15.20,0.37,-0.86,0.05,Aufheben
1.894,1.998,1.34,33.33,-16.30,0.38,-0.84,0.04,Aufheben
1.906,1.998,-3.91,41.69,-17.64,0.39,-0.84,0.04,Aufheben
1.918,1.998,-11.29,51.82,-17.52,0.39,-0.84,0.05,Aufheben
1.93,2.006,-17.94,63.35,-17.27,0.40,-0.85,0.05,Aufheben
1.942,2.013,-24.90,76.97,-16.91,0.37,-0.86,0.06,Aufheben
1.954,2.022,-31.86,87.52,-15.93,0.36,-0.86,0.05,Aufheben
1.966,2.035,-38.76,98.21,-16.05,0.34,-0.88,0.06,Aufheben
1.978,2.047,-41.32,105.71,-14.83,0.35,-0.89,0.06,Aufheben
1.99,2.065,-44.07,117.37,-14.10,0.32,-0.88,0.07,Aufheben
2.002,2.076,-45.23,122.38,-13.85,0.30,-0.86,0.09,Aufheben
2.014,2.091,-47.00,125.98,-14.28,0.29,-0.86,0.09,Aufheben
2.026,2.098,-45.41,129.03,-15.32,0.26,-0.87,0.09,Aufheben
2.038,2.107,-43.70,128.30,-15.93,0.25,-0.88,0.10,Aufheben
2.071,2.144,-37.90,114.81,-15.81,0.20,-0.93,0.11,Aufheben
2.083,2.159,-33.20,105.59,-15.14,0.20,-0.94,0.11,Laufen
2.095,2.17,-28.38,97.47,-12.94,0.21,-0.97,0.11,Laufen
2.107,2.18,-26.18,91.49,-11.11,0.20,-0.97,0.11,Laufen
2.119,2.188,-22.46,83.74,-8.97,0.20,-0.97,0.11,Laufen
2.131,2.201,-20.45,76.35,-7.93,0.21,-0.96,0.10,Laufen
2.143,2.216,-17.27,63.17,-8.91,0.23,-0.94,0.09,Laufen
2.155,2.225,-14.95,52.31,-10.56,0.24,-0.94,0.08,Laufen
2.167,2.239,-14.77,45.47,-11.29,0.26,-0.94,0.07,Laufen
2.179,2.255,-12.57,37.60,-13.67,0.30,-0.96,0.08,Laufen
2.191,2.273,-12.45,36.01,-15.01,0.32,-0.96,0.10,Laufen
2.203,2.286,-12.94,38.88,-14.83,0.35,-0.95,0.08,Laufen
2.215,2.3,-15.08,44.74,-14.95,0.37,-0.97,0.08,Laufen
2.227,2.318,-14.89,51.57,-14.77,0.38,-0.99,0.07,Laufen
2.239,2.318,-15.20,60.97,-13.43,0.37,-1.00,0.05,Laufen
2.251,2.346,-14.59,64.51,-13.24,0.36,-1.02,0.04,Laufen
2.263,2.352,-14.47,69.82,-12.21,0.34,-1.02,0.05,Laufen
2.275,2.352,-14.65,67.75,-12.76,0.33,-1.02,0.06,Laufen
2.287,2.358,-14.40,67.02,-13.00,0.32,-1.02,0.05,Laufen
2.299,2.368,-14.28,64.51,-13.31,0.32,-1.02,0.04,Laufen
2.311,2.384,-12.70,60.00,-13.61,0.32,-1.02,0.04,Laufen
2.323,2.394,-12.21,58.90,-13.92,0.31,-1.01,0.04,Laufen
2.335,2.407,-10.13,57.62,-12.57,0.32,-1.02,0.05,Laufen
2.347,2.423,-9.64,58.11,-11.41,0.31,-1.03,0.08,Laufen
2.359,2.432,-7.20,55.18,-10.68,0.31,-1.02,0.08,Laufen
2.371,2.446,-6.10,53.34,-9.16,0.30,-0.98,0.08,Laufen
2.383,2.454,-5.37,51.33,-8.42,0.29,-0.99,0.07,Laufen
2.395,2.471,-3.36,48.22,-6.41,0.29,-0.99,0.06,Laufen
2.407,2.477,-1.22,45.29,-4.76,0.29,-0.99,0.05,Laufen
2.419,2.487,1.65,38.70,-3.11,0.28,-0.99,0.06,Laufen
2.431,2.513,2.26,35.22,-1.59,0.29,-0.99,0.04,Laufen
2.443,2.521,3.23,30.58,0.49,0.30,-0.97,0.06,Laufen
2.455,2.531,2.62,30.46,2.69,0.32,-0.95,0.06,Laufen
2.467,2.541,-0.12,29.05,4.64,0.34,-0.94,0.07,Laufen
2.479,2.548,-3.11,34.12,8.30,0.36,-0.96,0.07,Laufen
2.491,2.569,-4.58,39.55,9.28,0.37,-0.97,0.09,Laufen
2.503,2.576,-4.64,44.68,12.63,0.37,-0.97,0.10,Laufen
2.515,2.59,-5.92,49.50,15.50,0.36,-0.97,0.11,Laufen
2.527,2.597,-3.72,51.88,16.97,0.35,-0.99,0.11,Laufen
2.539,2.607,-0.98,53.83,17.64,0.34,-0.99,0.13,Laufen
2.551,2.621,0.92,54.08,18.68,0.33,-0.99,0.13,Laufen
2.563,2.638,3.60,51.15,17.58,0.32,-0.99,0.15,Laufen
2.575,2.65,7.20,48.22,17.21,0.31,-0.99,0.15,Laufen
2.587,2.663,11.96,42.79,14.95,0.30,-0.98,0.14,Laufen
2.599,2.677,15.38,37.29,14.16,0.28,-0.96,0.13,Laufen
2.611,2.683,19.71,29.24,11.66,0.28,-0.95,0.12,Laufen
2.623,2.693,23.68,21.18,10.80,0.29,-0.94,0.11,Laufen
2.635,2.73,26.06,14.71,9.77,0.29,-0.91,0.11,Laufen
2.647,2.73,28.69,9.77,9.22,0.29,-0.90,0.12,Laufen
2.659,2.751,27.59,5.49,9.16,0.29,-0.89,0.10,Laufen
2.671,2.774,26.98,3.48,9.03,0.29,-0.88,0.10,Laufen
2.683,2.774,25.21,1.46,10.25,0.29,-0.90,0.07,Laufen
2.695,2.774,23.99,0.61,12.63,0.30,-0.89,0.07,Laufen
2.707,2.782,23.56,-1.40,13.92,0.31,-0.88,0.06,Laufen
2.719,2.788,21.97,-2.62,15.44,0.32,-0.88,0.08,Laufen
2.732,2.801,18.13,-0.06,17.52,0.33,-0.90,0.07,Laufen
2.744,2.814,14.83,3.85,20.39,0.35,-0.91,0.08,Laufen
2.756,2.827,12.63,5.92,22.52,0.35,-0.93,0.08,Laufen
2.768,2.86,9.52,8.67,25.33,0.34,-0.96,0.09,Laufen
2.78,2.878,10.56,8.48,24.35,0.33,-0.96,0.08,Laufen
2.792,2.878,8.73,7.69,22.77,0.33,-0.95,0.09,Laufen
2.804,2.889,7.51,2.99,20.39,0.33,-0.96,0.08,Laufen
2.816,2.889,7.51,-2.87,17.27,0.34,-0.98,0.09,Laufen
2.829,2.902,8.54,-7.39,12.15,0.34,-0.95,0.09,Laufen
2.841,2.91,8.73,-9.89,6.84,0.33,-0.91,0.09,Laufen
2.853,2.924,7.45,-11.47,0.55,0.31,-0.87,0.07,Laufen
2.865,2.936,7.45,-14.65,-7.20,0.27,-0.83,0.10,Laufen
2.877,2.958,6.59,-16.72,-12.57,0.22,-0.78,0.08,Laufen
2.889,2.966,2.26,-20.81,-19.53,0.14,-0.74,0.08,Laufen
2.901,2.972,-4.15,-27.83,-22.83,0.08,-0.71,0.05,Laufen
2.913,2.982,-10.13,-31.43,-23.93,0.09,-0.72,0.04,Laufen
2.925,2.997,-16.42,-28.26,-18.86,0.13,-0.80,0.06,Laufen
2.937,3.008,-25.82,-18.55,-10.25,0.14,-0.91,0.07,Laufen
2.949,3.017,-32.23,-2.62,-0.12,0.18,-1.01,0.08,Laufen
2.961,3.03,-36.01,19.23,12.94,0.19,-1.08,0.11,Laufen
2.973,3.046,-41.63,41.63,24.60,0.17,-1.11,0.14,Laufen
2.985,3.069,-46.08,59.94,31.98,0.14,-1.13,0.14,Laufen
2.997,3.069,-48.65,73.67,34.55,0.08,-1.11,0.15,Laufen
3.009,3.08,-46.57,75.56,34.24,0.05,-1.11,0.16,Laufen
3.021,3.093,-42.24,67.63,29.30,-0.01,-1.06,0.18,Laufen
3.033,3.102,-39.00,50.29,21.36,-0.05,-1.01,0.21,Laufen
3.045,3.117,-36.32,27.59,11.29,-0.05,-0.98,0.21,Laufen
3.057,3.126,-33.69,9.64,0.85,-0.01,-0.97,0.23,Laufen
3.069,3.145,-30.52,0.06,-6.65,0.05,-0.96,0.24,Laufen
3.102,3.171,-21.85,19.84,-17.03,0.12,-0.95,0.25,Laufen
3.114,3.185,-15.99,29.66,-14.77,0.10,-0.97,0.27,Laufen
3.126,3.195,-9.95,36.44,-12.08,0.10,-0.95,0.29,Laufen
3.138,3.21,-9.58,41.81,-9.89,0.12,-0.93,0.30,Laufen
3.15,3.219,-11.47,48.28,-6.53,0.14,-0.93,0.31,Laufen
3.163,3.233,-14.65,54.93,-2.75,0.12,-0.94,0.30,Laufen
3.175,3.266,-13.73,55.48,-0.85,0.11,-0.95,0.31,Laufen
3.187,3.276,-10.31,50.84,-0.37,0.11,-0.93,0.29,Laufen
3.199,3.276,-9.22,42.54,-4.76,0.10,-0.93,0.29,Laufen
3.211,3.286,-5.25,27.28,-6.53,0.11,-0.93,0.33,Laufen
3.223,3.295,-3.30,15.87,-9.09,0.17,-0.92,0.27,Laufen
3.236,3.323,-5.80,22.71,-9.52,0.26,-0.91,0.25,Laufen
3.248,3.355,-6.16,38.02,-7.93,0.21,-0.94,0.27,Laufen
3.26,3.355,-5.07,41.63,-8.61,0.13,-0.96,0.30,Laufen
3.272,3.366,-3.60,32.96,-8.73,0.11,-0.97,0.31,Laufen
3.284,3.366,-3.30,27.53,-9.09,0.14,-0.93,0.26,Laufen
3.296,3.388,-2.99,28.63,-8.18,0.12,-0.94,0.26,Laufen
3.309,3.388,-2.08,23.32,-8.36,0.04,-0.98,0.26,Laufen
3.321,3.426,2.01,11.90,-10.31,-0.01,-0.98,0.26,Laufen
3.333,3.453,6.04,-2.62,-12.27,0.00,-0.93,0.24,Laufen
3.345,3.453,9.40,-15.93,-13.18,0.02,-0.88,0.23,Laufen
3.357,3.453,10.31,-25.27,-12.82,0.05,-0.86,0.22,Laufen
3.369,3.511,12.45,-31.56,-11.54,0.09,-0.86,0.20,Laufen
3.382,3.511,15.81,-29.24,-8.48,0.17,-0.88,0.20,Laufen
3.394,3.511,18.01,-18.98,-5.55,0.21,-0.89,0.20,Laufen
3.406,3.588,18.62,-6.23,-2.20,0.24,-0.90,0.18,Laufen
3.418,3.588,18.74,4.27,2.99,0.24,-0.98,0.15,Laufen
3.43,3.588,20.26,11.17,6.23,0.24,-1.08,0.15,Laufen
3.442,3.588,23.44,13.61,9.28,0.23,-1.12,0.12,Laufen
3.454,3.588,28.26,11.66,11.05,0.25,-1.15,0.11,Laufen
3.466,3.635,33.26,4.09,10.86,0.26,-1.13,0.09,Laufen
3.478,3.635,34.48,-4.39,10.68,0.30,-1.13,0.09,Laufen
3.49,3.635,32.90,-9.70,10.44,0.32,-1.13,0.09,Laufen
3.502,3.635,30.09,-11.66,8.42,0.37,-1.13,0.08,Laufen
3.514,3.635,26.49,-7.93,8.18,0.42,-1.17,0.07,Laufen
3.526,3.635,21.24,2.38,8.42,0.46,-1.23,0.10,Laufen
3.538,3.635,16.66,15.99,6.65,0.50,-1.25,0.13,Laufen
3.55,3.635,12.39,34.91,5.86,0.54,-1.23,0.15,Laufen
3.562,3.635,8.54,53.34,4.21,0.54,-1.19,0.13,Laufen
3.574,3.648,7.02,67.38,-0.92,0.53,-1.14,0.13,Laufen
3.586,3.675,10.38,78.74,-8.97,0.52,-1.09,0.11,Laufen
3.598,3.682,13.67,88.50,-18.49,0.48,-1.05,0.09,Laufen
3.61,3.682,17.09,96.74,-29.97,0.42,-1.04,0.07,Laufen
3.622,3.694,23.99,99.55,-42.85,0.38,-1.05,0.06,Laufen
3.634,3.704,29.97,103.33,-52.43,0.37,-1.08,0.07,Laufen
3.646,3.718,36.38,105.90,-62.13,0.35,-1.10,0.09,Laufen
3.658,3.729,41.81,103.27,-69.03,0.31,-1.08,0.10,Laufen
3.67,3.744,43.70,103.88,-74.46,0.32,-1.09,0.09,Laufen
3.682,3.751,47.61,103.64,-78.00,0.29,-1.10,0.07,Laufen
3.694,3.773,51.33,101.20,-79.22,0.26,-1.10,0.07,Laufen
3.706,3.781,53.47,96.86,-80.44,0.24,-1.08,0.06,Laufen
3.718,3.788,54.44,91.19,-81.18,0.20,-1.06,0.06,Laufen
3.73,3.799,54.87,80.02,-82.09,0.25,-1.05,0.06,Laufen
3.742,3.814,55.73,65.49,-83.01,0.13,-1.00,0.04,Laufen
3.754,3.833,55.60,48.77,-83.74,0.14,-0.94,0.04,Laufen
3.766,3.84,52.55,35.64,-83.13,0.14,-0.89,0.04,Laufen
3.778,3.847,49.74,25.57,-80.20,0.16,-0.85,0.04,Laufen
3.79,3.862,46.94,15.63,-79.41,0.18,-0.81,0.04,Laufen
3.802,3.878,42.11,11.05,-76.60,0.18,-0.78,0.05,Laufen
3.814,3.888,37.11,8.24,-73.49,0.19,-0.76,0.05,Laufen
3.826,3.899,32.23,8.30,-69.64,0.21,-0.71,0.05,Laufen
3.838,3.912,25.27,12.21,-63.23,0.21,-0.70,0.07,Laufen
3.85,3.919,19.17,17.03,-57.37,0.21,-0.67,0.07,Laufen
3.863,3.937,13.92,22.64,-50.17,0.21,-0.67,0.05,Laufen
3.875,3.944,8.18,29.30,-41.87,0.20,-0.65,0.07,Laufen
3.887,3.956,3.91,34.48,-34.85,0.20,-0.66,0.08,Laufen
3.899,3.998,-0.61,37.72,-26.67,0.16,-0.66,0.09,Laufen
3.911,3.998,-4.03,38.51,-19.35,0.15,-0.64,0.10,Laufen
3.923,3.998,-8.85,36.25,-11.66,0.14,-0.64,0.11,Laufen
3.935,4.012,-12.82,31.43,-4.15,0.13,-0.66,0.12,Laufen
3.947,4.045,-16.17,24.90,2.87,0.12,-0.66,0.12,Laufen
