time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.197,4.15,-13.18,2.01,0.25,-0.93,-0.04,Aufheben
0.022,0.21,4.15,-14.16,2.26,0.27,-0.95,-0.04,Aufheben
0.034,0.223,3.91,-13.73,2.50,0.27,-0.95,-0.05,Aufheben
0.046,0.24,3.91,-12.45,2.75,0.26,-0.94,-0.04,Aufheben
0.058,0.249,4.09,-13.55,2.50,0.25,-0.95,-0.05,Aufheben
0.07,0.258,5.25,-15.14,1.10,0.28,-0.95,-0.04,Aufheben
0.082,0.276,5.25,-12.33,0.98,0.27,-0.94,-0.04,Aufheben
0.094,0.283,4.21,-17.82,3.78,0.26,-0.96,-0.06,Aufheben
0.106,0.294,4.33,-15.32,1.46,0.28,-0.95,-0.03,Aufheben
0.118,0.309,4.46,-12.33,2.75,0.26,-0.93,-0.04,Aufheben
0.13,0.32,4.39,-13.67,3.48,0.24,-0.94,-0.03,Aufheben
0.142,0.333,2.87,-15.32,2.14,0.25,-0.94,-0.05,Aufheben
0.154,0.342,2.62,-13.67,3.36,0.26,-0.93,-0.07,Aufheben
0.166,0.355,2.99,-15.56,4.09,0.25,-0.96,-0.05,Aufheben
0.178,0.368,4.09,-14.16,4.82,0.23,-0.95,-0.05,Aufheben
0.19,0.382,1.40,-16.54,5.13,0.22,-0.93,-0.07,Aufheben
0.202,0.391,0.49,-20.57,5.43,0.23,-0.94,-0.06,Aufheben
0.214,0.406,0.43,-18.92,6.47,0.25,-0.94,-0.06,Aufheben
0.226,0.414,1.71,-17.88,8.06,0.27,-0.96,-0.06,Aufheben
0.238,0.433,4.76,-17.27,8.79,0.25,-0.94,-0.04,Aufheben
0.25,0.447,4.76,-16.91,9.70,0.23,-0.93,-0.05,Aufheben
0.262,0.455,1.89,-16.42,10.62,0.21,-0.91,-0.04,Aufheben
0.274,0.469,0.00,-21.06,11.47,0.24,-0.91,-0.03,Aufheben
0.286,0.48,-1.34,-19.71,11.72,0.25,-0.91,-0.03,Aufheben
0.298,0.487,-0.06,-15.93,12.63,0.25,-0.90,-0.02,Aufheben
0.311,0.519,-3.85,-14.04,13.18,0.24,-0.89,-0.04,Aufheben
0.323,0.529,-4.82,-13.61,14.59,0.24,-0.90,-0.04,Aufheben
0.335,0.529,-3.91,-11.90,15.26,0.24,-0.90,-0.03,Aufheben
0.347,0.535,-2.14,-11.35,15.56,0.25,-0.87,-0.04,Aufheben
