time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.1,8.42,-13.12,-0.98,0.32,-0.94,-0.02,Aufheben
0.022,0.112,7.69,-13.85,-1.83,0.32,-0.93,0.00,Aufheben
0.034,0.127,6.47,-11.54,-2.08,0.32,-0.92,-0.02,Aufheben
0.046,0.138,5.92,-11.35,-2.87,0.31,-0.92,-0.02,Aufheben
0.058,0.147,5.80,-12.08,-2.56,0.31,-0.93,-0.02,Aufheben
0.07,0.172,5.98,-11.84,-3.36,0.30,-0.91,-0.01,Aufheben
0.082,0.172,6.04,-11.05,-3.91,0.30,-0.93,-0.01,Aufheben
0.094,0.182,5.19,-11.11,-4.03,0.30,-0.92,-0.02,Aufheben
0.106,0.198,5.62,-11.47,-3.36,0.30,-0.93,-0.01,Aufheben
0.118,0.206,5.00,-10.44,-3.48,0.29,-0.93,-0.00,Aufheben
0.13,0.229,4.82,-10.74,-2.99,0.29,-0.93,-0.01,Aufheben
0.142,0.235,4.76,-10.80,-2.44,0.29,-0.92,-0.01,Aufheben
0.154,0.243,3.97,-10.80,-1.95,0.29,-0.93,-0.00,Aufheben
0.166,0.275,3.48,-11.72,-1.65,0.29,-0.94,0.00,Aufheben
0.178,0.301,3.97,-10.74,-1.71,0.29,-0.94,0.00,Aufheben
0.19,0.301,4.15,-10.68,-0.98,0.30,-0.94,0.01,Aufheben
0.202,0.32,3.72,-9.52,-0.06,0.31,-0.95,-0.01,Aufheben
0.214,0.32,2.08,-6.90,-0.85,0.35,-0.96,-0.01,Aufheben
0.226,0.32,-0.67,3.36,0.98,0.39,-0.95,-0.01,Aufheben
0.238,0.351,-1.16,14.53,2.20,0.42,-0.97,0.01,Aufheben
0.25,0.357,-0.85,27.16,2.87,0.42,-0.99,0.09,Aufheben
0.262,0.357,-1.40,36.56,2.38,0.43,-0.98,0.17,Aufheben
0.274,0.404,-0.06,38.33,-0.55,0.42,-0.95,0.24,Aufheben
0.286,0.404,-0.67,34.67,-3.36,0.46,-0.94,0.21,Aufheben
0.298,0.404,-3.66,31.01,-8.97,0.56,-0.97,0.13,Aufheben
0.31,0.404,-0.37,24.41,-18.68,0.61,-1.02,0.10,Aufheben
0.322,0.424,10.25,10.80,-27.65,0.60,-1.02,0.17,Aufheben
0.334,0.437,21.61,-5.13,-37.17,0.64,-0.96,0.19,Aufheben
0.346,0.453,23.07,-9.77,-45.90,0.69,-0.92,0.24,Aufheben
0.358,0.46,21.61,-7.93,-54.81,0.71,-0.93,0.23,Aufheben
0.37,0.46,25.39,-5.92,-63.05,0.71,-0.95,0.21,Aufheben
0.382,0.486,29.79,-1.77,-68.66,0.72,-0.94,0.19,Aufheben
0.394,0.498,31.37,6.16,-72.81,0.73,-0.92,0.16,Aufheben
0.406,0.504,33.26,16.24,-74.65,0.70,-0.91,0.13,Aufheben
0.418,0.515,35.03,22.58,-75.68,0.66,-0.90,0.10,Aufheben
0.43,0.528,35.03,26.49,-78.19,0.64,-0.88,0.05,Aufheben
0.442,0.542,36.56,31.37,-79.90,0.63,-0.87,0.05,Aufheben
0.454,0.55,37.72,33.26,-79.65,0.59,-0.86,0.04,Aufheben
0.466,0.557,38.45,31.62,-80.38,0.57,-0.83,0.02,Aufheben
0.478,0.57,36.38,32.10,-80.08,0.54,-0.82,0.01,Aufheben
0.49,0.586,35.40,30.27,-78.92,0.53,-0.81,0.02,Aufheben
0.502,0.614,33.39,27.89,-77.39,0.53,-0.81,0.02,Aufheben
0.514,0.64,28.14,31.98,-71.90,0.54,-0.84,0.01,Aufheben
0.526,0.64,26.61,36.44,-68.42,0.53,-0.86,-0.00,Aufheben
0.538,0.7,27.83,40.59,-64.70,0.52,-0.84,0.00,Aufheben
0.55,0.7,29.85,41.63,-61.10,0.49,-0.82,-0.00,Aufheben
0.562,0.7,25.76,38.45,-60.06,0.49,-0.78,0.01,Aufheben
0.574,0.7,21.00,33.87,-59.02,0.49,-0.76,0.01,Aufheben
0.586,0.717,18.68,32.41,-58.47,0.48,-0.79,0.02,Aufheben
0.598,0.717,16.36,32.90,-56.46,0.46,-0.78,0.00,Aufheben
0.61,0.717,15.44,29.79,-55.18,0.45,-0.75,0.01,Aufheben
0.622,0.746,12.45,28.32,-53.16,0.45,-0.74,0.01,Aufheben
0.635,0.746,10.07,27.10,-51.76,0.45,-0.72,-0.01,Aufheben
0.647,0.765,9.16,24.17,-49.62,0.44,-0.72,0.00,Aufheben
0.659,0.765,7.69,21.36,-47.12,0.41,-0.68,0.03,Aufheben
0.671,0.792,5.37,12.33,-45.47,0.38,-0.69,0.04,Aufheben
0.683,0.792,2.01,4.64,-44.49,0.41,-0.68,0.03,Aufheben
0.695,0.792,-0.12,-0.55,-43.40,0.44,-0.69,0.00,Aufheben
