time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.071,4.15,-10.68,-5.92,0.22,-0.94,-0.06,Aufheben
0.022,0.135,5.19,-15.26,-5.19,0.22,-0.95,-0.04,Aufheben
0.034,0.135,6.59,-19.23,-4.82,0.22,-0.94,-0.04,Aufheben
0.046,0.241,7.93,-24.48,-3.72,0.23,-0.93,-0.05,Aufheben
0.058,0.241,9.03,-29.85,-3.42,0.25,-0.95,-0.06,Aufheben
0.07,0.241,10.80,-29.42,-2.75,0.27,-0.95,-0.06,Aufheben
0.082,0.241,10.44,-29.54,-1.53,0.27,-0.94,-0.07,Aufheben
0.094,0.241,11.60,-26.92,-1.59,0.29,-0.93,-0.08,Aufheben
0.106,0.241,12.39,-22.64,-1.77,0.30,-0.93,-0.09,Aufheben
0.118,0.241,12.88,-18.92,-1.71,0.29,-0.93,-0.08,Aufheben
0.13,0.241,11.72,-17.21,-1.40,0.28,-0.92,-0.08,Aufheben
0.142,0.241,12.15,-14.47,-0.98,0.29,-0.92,-0.08,Aufheben
0.154,0.241,10.86,-13.31,-0.92,0.29,-0.93,-0.09,Aufheben
0.166,0.241,9.40,-12.51,-1.34,0.28,-0.93,-0.10,Aufheben
0.178,0.241,8.67,-13.24,-1.65,0.29,-0.93,-0.10,Aufheben
0.19,0.256,9.16,-15.38,-1.10,0.29,-0.93,-0.11,Aufheben
0.202,0.272,9.95,-15.56,-1.46,0.30,-0.93,-0.10,Aufheben
0.214,0.288,10.62,-18.37,-2.38,0.29,-0.92,-0.11,Aufheben
0.226,0.288,9.83,-18.43,-2.81,0.28,-0.92,-0.10,Aufheben
0.238,0.297,7.93,-18.31,-3.36,0.28,-0.91,-0.10,Aufheben
0.25,0.306,8.30,-19.41,-4.70,0.28,-0.92,-0.11,Aufheben
0.262,0.32,6.23,-18.37,-4.15,0.29,-0.93,-0.10,Aufheben
0.274,0.338,7.20,-18.19,-5.13,0.30,-0.93,-0.12,Aufheben
0.286,0.348,6.04,-17.58,-5.25,0.29,-0.93,-0.11,Aufheben
0.298,0.359,6.29,-17.52,-5.86,0.28,-0.93,-0.10,Aufheben
0.31,0.373,6.47,-17.03,-5.92,0.28,-0.92,-0.11,Aufheben
0.322,0.38,6.47,-17.27,-5.86,0.28,-0.92,-0.10,Aufheben
0.334,0.39,5.92,-17.40,-5.55,0.28,-0.93,-0.10,Aufheben
0.346,0.405,6.35,-15.99,-4.94,0.28,-0.93,-0.08,Aufheben
0.358,0.415,5.68,-16.48,-5.07,0.28,-0.93,-0.07,Aufheben
0.37,0.436,6.23,-14.34,-4.27,0.27,-0.93,-0.08,Aufheben
0.382,0.444,6.23,-13.24,-4.33,0.27,-0.93,-0.08,Aufheben
0.394,0.451,6.41,-12.39,-3.66,0.27,-0.93,-0.09,Aufheben
0.406,0.464,7.57,-13.24,-3.54,0.28,-0.93,-0.09,Aufheben
0.418,0.475,7.69,-13.06,-2.69,0.29,-0.93,-0.09,Aufheben
0.43,0.491,7.39,-12.51,-2.14,0.28,-0.92,-0.10,Aufheben
0.442,0.501,7.93,-14.04,-0.85,0.27,-0.93,-0.10,Aufheben
0.454,0.516,8.24,-13.06,-0.98,0.30,-0.92,-0.11,Aufheben
0.466,0.522,6.47,-10.68,-0.92,0.30,-0.92,-0.10,Aufheben
0.479,0.547,6.41,-9.28,0.06,0.28,-0.93,-0.10,Aufheben
0.491,0.555,7.63,-10.68,0.55,0.29,-0.94,-0.11,Aufheben
0.503,0.565,6.77,-9.09,0.73,0.29,-0.93,-0.11,Aufheben
0.515,0.572,5.86,-7.26,1.04,0.29,-0.93,-0.09,Aufheben
0.528,0.585,5.62,-7.08,2.56,0.28,-0.92,-0.09,Aufheben
0.541,0.603,3.85,-4.58,3.91,0.29,-0.92,-0.09,Aufheben
0.553,0.61,2.08,-3.54,5.86,0.31,-0.92,-0.09,Aufheben
0.565,0.621,0.98,1.34,6.53,0.33,-0.93,-0.08,Aufheben
0.578,0.642,2.62,5.62,8.73,0.30,-0.91,-0.06,Aufheben
0.59,0.653,2.62,5.92,9.52,0.26,-0.90,-0.06,Aufheben
0.602,0.659,2.75,2.01,9.16,0.25,-0.90,-0.06,Aufheben
0.614,0.669,1.77,-2.56,8.61,0.26,-0.88,-0.09,Aufheben
0.626,0.682,0.73,-6.04,9.64,0.26,-0.89,-0.09,Aufheben
