time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.1,-7.69,-19.10,-10.74,-0.35,-0.94,0.19,Aufheben
0.022,0.111,-8.18,-20.02,-11.60,-0.32,-0.93,0.18,Aufheben
0.034,0.126,-9.28,-19.41,-11.17,-0.34,-0.95,0.19,Aufheben
0.046,0.139,-9.46,-18.74,-11.35,-0.33,-0.96,0.20,Aufheben
0.058,0.147,-8.12,-17.88,-10.19,-0.32,-0.96,0.18,Aufheben
0.07,0.167,-9.34,-17.70,-10.13,-0.34,-0.95,0.17,Aufheben
0.082,0.173,-9.58,-18.25,-10.13,-0.33,-0.95,0.15,Aufheben
0.094,0.182,-11.23,-18.92,-9.64,-0.32,-0.96,0.16,Aufheben
0.106,0.196,-12.27,-20.39,-11.23,-0.30,-0.95,0.15,Aufheben
0.118,0.206,-13.31,-19.84,-10.38,-0.29,-0.93,0.17,Aufheben
0.13,0.23,-14.28,-19.41,-11.78,-0.30,-0.95,0.16,Aufheben
0.142,0.236,-15.81,-21.97,-11.84,-0.31,-0.95,0.16,Aufheben
0.154,0.243,-16.30,-25.33,-14.22,-0.30,-0.95,0.18,Aufheben
0.166,0.254,-13.49,-22.89,-13.49,-0.29,-0.94,0.18,Aufheben
0.178,0.269,-14.95,-18.74,-13.37,-0.34,-0.93,0.17,Aufheben
0.19,0.278,-15.26,-19.04,-13.12,-0.33,-0.93,0.17,Aufheben
0.202,0.293,-14.28,-20.20,-13.18,-0.31,-0.93,0.16,Aufheben
0.214,0.302,-15.14,-19.96,-12.27,-0.30,-0.91,0.18,Aufheben
0.226,0.316,-15.75,-20.08,-11.60,-0.30,-0.88,0.18,Aufheben
0.238,0.335,-17.46,-21.61,-10.86,-0.33,-0.89,0.20,Aufheben
0.25,0.343,-27.65,-31.86,-13.67,-0.22,-0.86,0.28,Aufheben
0.262,0.351,-19.53,-19.59,3.11,-0.32,-0.78,0.24,Aufheben
0.274,0.369,-20.75,-17.21,-16.97,-0.44,-0.79,0.23,Aufheben
0.286,0.376,-64.51,-41.14,13.18,-0.35,-0.85,0.21,Aufheben
0.298,0.385,-26.79,-39.49,-23.56,-0.41,-0.86,0.06,Aufheben
0.31,0.4,-3.42,-29.66,-5.98,-0.42,-0.73,-0.06,Aufheben
0.322,0.414,-31.31,-36.25,-10.44,-0.48,-0.69,0.10,Aufheben
0.334,0.44,-41.26,-67.44,-16.78,-0.41,-0.84,0.09,Aufheben
0.346,0.443,-34.36,-82.03,-19.23,-0.20,-0.88,0.15,Aufheben
0.358,0.593,-2.32,-30.33,-49.44,0.32,-0.72,0.29,Aufheben
0.37,0.594,-16.78,25.15,9.64,-0.42,-0.52,0.13,Aufheben
0.382,0.594,-60.36,0.37,-19.84,-0.53,-0.75,0.12,Aufheben
0.394,0.594,-34.91,-23.19,-14.04,-0.26,-0.86,0.12,Aufheben
0.406,0.594,-16.30,-5.98,-10.68,-0.20,-0.72,0.12,Aufheben
0.418,0.594,-28.63,12.88,-10.31,-0.31,-0.64,0.11,Aufheben
0.43,0.594,-31.25,10.93,-8.73,-0.37,-0.68,0.10,Aufheben
0.442,0.594,-30.46,-2.01,-9.77,-0.37,-0.71,0.10,Aufheben
