time_s,server_time_s,GX,GY,GZ,AX,AY,AZ,phase
0.01,0.151,8.67,-21.24,-3.66,0.28,-0.94,-0.04,Aufheben
0.022,0.175,8.97,-20.63,-3.60,0.28,-0.94,-0.03,Aufheben
0.034,0.175,8.79,-20.26,-3.60,0.28,-0.93,-0.03,Aufheben
0.046,0.183,8.18,-20.87,-3.36,0.28,-0.94,-0.02,Aufheben
0.058,0.195,9.09,-21.30,-2.44,0.27,-0.94,-0.04,Aufheben
0.07,0.218,9.46,-21.85,-2.99,0.27,-0.94,-0.03,Aufheben
0.082,0.226,8.24,-21.61,-1.77,0.29,-0.94,-0.03,Aufheben
0.094,0.233,8.67,-22.89,-1.83,0.29,-0.93,-0.04,Aufheben
0.106,0.242,9.28,-23.56,-1.04,0.30,-0.93,-0.04,Aufheben
0.118,0.256,9.16,-24.72,-0.98,0.30,-0.92,-0.03,Aufheben
0.13,0.282,9.16,-23.56,-1.59,0.31,-0.93,-0.03,Aufheben
0.142,0.291,9.22,-22.83,-1.34,0.31,-0.93,-0.05,Aufheben
0.154,0.3,9.16,-21.61,-1.40,0.31,-0.94,-0.05,Aufheben
0.166,0.311,8.30,-20.14,-2.14,0.31,-0.94,-0.05,Aufheben
0.178,0.321,8.12,-19.35,-2.32,0.31,-0.95,-0.05,Aufheben
0.19,0.327,6.59,-16.24,-3.05,0.31,-0.95,-0.05,Aufheben
0.202,0.343,6.47,-14.22,-3.72,0.30,-0.94,-0.03,Aufheben
0.214,0.351,6.53,-11.35,-3.36,0.29,-0.95,-0.03,Aufheben
0.226,0.362,7.57,-11.60,-2.75,0.28,-0.94,-0.03,Aufheben
0.238,0.379,7.63,-12.15,-2.20,0.29,-0.96,-0.04,Aufheben
0.25,0.387,8.24,-12.51,-2.01,0.28,-0.98,-0.03,Aufheben
0.262,0.4,7.81,-10.31,-0.49,0.26,-0.98,-0.04,Aufheben
0.274,0.413,10.93,-14.04,2.69,0.26,-0.95,-0.05,Aufheben
0.286,0.43,9.95,-11.60,-2.62,0.27,-0.96,-0.02,Aufheben
0.298,0.437,10.68,-14.65,6.29,0.26,-0.94,-0.03,Aufheben
0.31,0.47,11.41,-11.90,0.31,0.27,-0.96,-0.03,Aufheben
0.322,0.47,8.97,-11.23,3.23,0.25,-0.95,-0.05,Aufheben
0.334,0.485,10.56,-10.07,1.22,0.22,-0.96,-0.05,Aufheben
0.346,0.491,11.84,-14.53,2.75,0.24,-0.97,-0.06,Aufheben
0.358,0.498,11.72,-16.05,3.60,0.22,-0.96,-0.07,Aufheben
0.37,0.509,10.99,-16.48,3.30,0.25,-0.97,-0.06,Aufheben
0.382,0.54,12.94,-19.17,0.43,0.24,-0.96,-0.07,Aufheben
0.394,0.54,10.93,-16.54,1.16,0.21,-0.95,-0.06,Aufheben
0.406,0.554,11.66,-21.24,1.40,0.23,-0.95,-0.07,Aufheben
0.418,0.56,8.48,-22.46,1.83,0.22,-0.96,-0.07,Aufheben
0.43,0.568,9.89,-23.68,-1.04,0.29,-0.96,-0.08,Aufheben
0.442,0.585,10.44,-20.39,3.85,0.22,-0.94,-0.11,Aufheben
0.454,0.592,10.74,-24.11,0.12,0.18,-0.95,-0.07,Aufheben
0.466,0.606,9.46,-26.67,0.18,0.24,-0.96,-0.06,Aufheben
0.478,0.624,10.31,-24.35,1.77,0.19,-0.95,-0.09,Aufheben
0.49,0.689,12.02,-24.84,-1.95,0.25,-0.96,-0.08,Aufheben
0.502,1.004,8.06,-24.35,2.75,0.19,-0.94,-0.08,Aufheben
0.514,1.004,9.16,-28.93,-1.04,0.20,-0.96,-0.07,Aufheben
0.526,1.004,9.70,-30.21,3.30,0.24,-0.97,-0.08,Aufheben
0.538,1.004,9.70,-25.51,-3.36,0.22,-0.97,-0.03,Aufheben
0.55,1.004,8.79,-28.75,5.68,0.21,-0.95,-0.09,Aufheben
0.562,1.004,9.95,-25.57,-2.87,0.14,-0.97,-0.06,Aufheben
0.574,1.004,13.79,-35.40,6.16,0.20,-0.96,-0.05,Aufheben
0.586,1.004,14.10,-35.95,2.01,0.30,-0.95,-0.05,Aufheben
0.598,1.004,8.91,-27.77,2.93,0.19,-0.93,-0.07,Aufheben
0.61,1.004,11.11,-31.80,4.09,0.18,-0.94,-0.07,Aufheben
0.622,1.004,10.93,-32.35,3.54,0.23,-0.93,-0.05,Aufheben
0.634,1.004,10.99,-32.35,6.41,0.11,-0.94,-0.12,Aufheben
0.646,1.004,12.57,-33.57,1.53,0.26,-0.97,-0.02,Aufheben
0.658,1.004,7.69,-29.72,7.14,0.23,-0.98,-0.06,Aufheben
0.67,1.005,10.50,-26.31,4.15,0.23,-0.96,-0.06,Aufheben
0.682,1.005,11.54,-27.40,7.69,0.20,-0.95,-0.05,Aufheben
0.694,1.005,15.75,-33.75,9.34,0.30,-0.95,-0.05,Aufheben
0.706,1.005,8.85,-25.27,5.62,0.24,-0.94,-0.05,Aufheben
0.718,1.005,10.93,-26.18,7.39,0.15,-0.95,-0.06,Aufheben
0.73,1.005,15.99,-35.77,7.57,0.29,-0.96,-0.05,Aufheben
0.742,1.005,8.67,-26.86,5.43,0.25,-0.95,-0.06,Aufheben
0.754,1.005,9.64,-23.99,4.27,0.21,-0.98,-0.04,Aufheben
0.766,1.005,13.18,-27.59,6.04,0.22,-0.97,-0.04,Aufheben
0.778,1.005,14.40,-30.15,10.56,0.26,-0.96,-0.05,Aufheben
0.79,1.005,12.33,-25.33,5.86,0.27,-0.98,-0.05,Aufheben
0.802,1.005,8.42,-19.78,10.31,0.25,-1.03,-0.05,Aufheben
0.814,1.005,14.83,-19.04,8.12,0.24,-1.02,-0.05,Aufheben
0.826,1.005,15.75,-20.20,9.03,0.23,-0.99,-0.06,Aufheben
0.838,1.005,15.38,-21.36,7.45,0.25,-0.95,-0.04,Aufheben
0.85,1.014,12.08,-19.04,5.74,0.25,-0.95,-0.04,Aufheben
0.862,1.014,12.27,-20.94,5.13,0.23,-0.93,-0.05,Aufheben
0.874,1.014,14.47,-22.03,2.99,0.21,-0.92,-0.02,Aufheben
0.887,1.034,12.51,-17.52,-0.24,0.22,-0.89,-0.01,Aufheben
0.899,1.049,9.52,-14.83,-0.06,0.17,-0.90,-0.04,Aufheben
0.911,1.056,10.19,-13.92,-2.26,0.20,-0.89,-0.03,Aufheben
0.923,1.063,11.23,-19.78,1.04,0.19,-0.90,-0.04,Aufheben
0.935,1.073,11.41,-17.94,-3.78,0.21,-0.91,0.01,Aufheben
0.947,1.116,9.89,-14.83,-2.62,0.19,-0.92,-0.03,Aufheben
0.959,1.116,11.23,-17.64,-0.18,0.15,-0.94,-0.06,Aufheben
0.971,1.116,11.66,-17.88,-2.32,0.15,-0.95,-0.03,Aufheben
0.983,1.124,11.41,-20.81,0.12,0.18,-0.94,-0.02,Aufheben
0.995,1.142,10.86,-23.56,0.55,0.22,-0.94,-0.05,Aufheben
1.007,1.158,9.16,-23.93,-0.49,0.19,-0.95,-0.03,Aufheben
1.04,1.179,7.45,-26.61,-3.54,0.19,-0.93,-0.05,Aufheben
1.052,1.201,8.30,-27.10,-3.72,0.19,-0.93,-0.03,Aufheben
1.064,1.208,7.32,-28.44,-4.21,0.22,-0.94,-0.02,Aufheben
